candidate_id,requested_repository,canonical_repository,domain,reviewed_commit,reviewed_release,license_metadata,decision,integration_phase,integration_boundary,rationale,empirical_admission_gate,risk_and_constraint,current_action
OSR-011,lightgbm-org/LightGBM,lightgbm-org/LightGBM,boosting,18d59591ad024ac883f8fe051f581d06b40a4306,v4.7.0,MIT,DEFER_CONDITIONAL,BOOSTING_CHALLENGER,Existing optional boosting interface,Efficient alternative if XGBoost establishes that boosted trees add meaningful value or memory becomes limiting.,Run only after XGBoost baseline; admit only on incremental protected value or material resource advantage.,Adding parallel tree stacks multiplies tuning and supply-chain surface without current evidence.,Keep a pinned candidate specification; do not install yet.
OSR-012,catboost/catboost,catboost/catboost,boosting,e10520bb8ce6b13b1264baa902fef2c021697232,v1.2.10,Apache-2.0,DEFER_CONDITIONAL,BOOSTING_CHALLENGER,Existing optional boosting interface,Native categorical handling may help only if approved model matrices retain useful categorical structure.,Admit after XGBoost only when categorical treatment produces development lift with controlled compute.,Large repository/runtime and duplicated tree-stack complexity; no present empirical need.,"Retain as challenger candidate, not an immediate dependency."
OSR-013,mlflow/mlflow,mlflow/mlflow,experiment_tracking,79163356ec58a1966524b8eafb5cccbefde925f8,v3.15.1,Apache-2.0,ADAPT_AT_DEPENDENCY,EXPERIMENTATION,mlflow-skinny local tracking mirror; canonical manifests remain authority,Experiment search and visualization can accelerate tournaments already designed around an MLflow adapter.,"Round-trip export must reproduce canonical experiment IDs, inputs, metrics and artifacts without altering promotion state.",Full MLflow has 20 mandatory dependencies and increasingly broad LLM/server scope; remote service is unnecessary.,Use mlflow-skinny 3.15.1 only when experiment execution starts.
OSR-014,optuna/optuna,optuna/optuna,hpo,d02dad591b16ad2993ebfdd1735336d2ba56b00c,v4.9.0,MIT,ADOPT_AT_DEPENDENCY,EXPERIMENTATION,Development-only HPO adapter with sealed objective isolation,Mature samplers and pruning replace custom search while fitting existing HPO contracts.,"Studies must be bounded, reproducible, chronological and unable to observe protected metrics.",Default random-split examples are inapplicable and persistent studies can become hidden authority.,Pin 4.9.0 and integrate at the declared HPO work unit.
OSR-015,shap/shap,shap/shap,explainability,5410d4ee4b98fdf31667f55805d6af3d0236d9b7,v0.52.0,MIT,ADOPT_AT_DEPENDENCY,EXPLAINABILITY,Offline explanation generator; serving renders precomputed evidence only,Fast tree explanations support XGBoost/LightGBM/CatBoost/sklearn and improve forecast accountability.,Attribution stability and output consistency must pass on the admitted champion; no causal claims.,Latest 0.52.0 requires Python 3.12; current host must pin 0.51.0.,Pin 0.51.0 only after a tree challenger is admitted.
OSR-016,scikit-learn-contrib/MAPIE,scikit-learn-contrib/MAPIE,uncertainty,60031ac78aa6b46142c29d6ed6bad33dc081802e,v1.5.0,BSD-3-Clause,ADAPT_AT_DEPENDENCY,UNCERTAINTY,Chronological conformal/risk-control challenger,Prediction intervals and sets can improve uncertainty reporting and coverage evaluation.,"Exchangeability diagnostics, rolling calibration and regime coverage must pass; random calibration splits are forbidden.",Football seasons are nonexchangeable and adaptive methods can still miscover under regime shift.,Pin 1.5.0 for a development-only challenger after calibrated baselines exist.
OSR-017,evidentlyai/evidently,evidentlyai/evidently,monitoring,a4aa4c2b37fe7a4344cc5031f566deccf3d69e4f,v0.7.21,Apache-2.0,DEFER_CONDITIONAL,WEEKLY_OPERATIONS,Optional offline report exporter behind monitoring contracts,Broad drift/quality metrics and reports could accelerate weekly monitoring once a champion operates.,Must add actionable signal beyond existing schema/missingness/residual monitors with acceptable runtime cost.,Twenty-six mandatory dependencies and service/UI scope are excessive before weekly production exists.,Retain as an operations candidate; do not install in the current critical path.
OSR-018,sportsdataverse/cfb4th,sportsdataverse/cfb4th,football_features,a71ff01aa02504a8ea9cfad8100d873f7721baa9,,NOASSERTION,REFERENCE_ONLY,FEATURE_RESEARCH,Formula and decision-policy parity reference,Provides a concrete fourth-down expected-value feature family.,Python implementation must match pinned fixtures and then earn incremental chronological value.,Experimental R package with simplifying assumptions and post-play inputs that can leak into pregame features.,Extract hypotheses and parity fixtures only; do not embed R in production.
OSR-019,pymc-devs/pymc,pymc-devs/pymc,bayesian_models,1ad7ad2ed91078dd9f62323f72a916bed321bca7,v6.2.0,NOASSERTION,DEFER_CONDITIONAL,HIERARCHICAL_RESEARCH,Isolated Bayesian research runtime,Could support hierarchical A&M/team effects and uncertainty when sparse-history evidence warrants it.,Admit only after simpler shrinkage baselines reveal a specific unmet uncertainty or pooling need.,"Heavy probabilistic runtime; latest 6.2.0 needs Python 3.12, so Python 3.11 would require 5.28.5.",Retain 5.28.5 as the compatible candidate pin; do not install now.
OSR-020,nflverse/nflfastR,nflverse/nflfastR,architecture_reference,0326e2e67694bc835e2b55a3b72c7a8e01ccd6ea,v5.2.0,NOASSERTION,REFERENCE_ONLY,FOOTBALL_PARITY,Architecture and feature parity fixtures,Mature EP/WP/data-release/update patterns are valuable independent implementation references.,CFB implementation must match only transferable definitions on pinned fixtures and remain source-specific.,NFL rules/population differ; R runtime and NFL data are not production dependencies.,"Use as a design comparator for releases, EP/WP and incremental enrichment."
OSR-021,drewddudney/TAMU_KyleField,drewddudney/TAMU_KyleField,tamu_research,ce3b0fd6d8c58b816ab4c0a48a49d15208330bdd,,NO_ASSERTION,REFERENCE_ONLY,TAMU_HYPOTHESIS_QUEUE,A&M hypothesis definitions only,"Surfaces testable Kyle Field, home/road, attendance, penalty, turnover and opponent-strength questions.",Every hypothesis must be rebuilt from canonical PIT-safe data with national/SEC comparators and multiple-testing controls.,"No license/tests, notebook-only analysis, post-outcome variables and observational conclusions cannot be imported as results.",Add hypotheses to the A&M research queue; copy no conclusions or runtime code.
OSR-022,chrispm15/AggieFYI,chrispm15/AggieFYI,tamu_acquisition,241e3c985ea8bee6e365dd79f7e2357a3f5d2f06,,NO_ASSERTION,REJECT_NOT_FIT,NONE,No integration,Inspection found only direct CFBD schedule/roster calls already covered more robustly by project sources; no unique A&M acquisition path was present.,None; the candidate adds no distinct capability.,"No license/tests, hard-coded years/facts, OpenAI 0.28.1/Chroma coupling, broad exception swallowing, and a UTC conversion defect.",Do not adopt code or RAG architecture; retain the negative finding.
OSR-023,moj-analytical-services/splink,moj-analytical-services/splink,entity_resolution,e22dacdda967988fe701368d5bc21a54eebba0cf,v4.0.16,MIT,ADAPT_NOW,ENTITY_RESOLUTION,Multi-field probabilistic linkage after deterministic/RapidFuzz candidate generation,Fellegi-Sunter linkage on DuckDB fits player/coach records with multiple partially reliable attributes.,Labeled cross-source pairs must establish precision/recall and thresholds; unresolved/ambiguous cases remain quarantined.,Not suitable for single-name linking; correlation and sparse fields can produce overconfident matches.,"Pin 4.0.16 and add a settings builder, but prohibit automatic canonical promotion until BAT-388 validation."
OSR-024,rapidfuzz/RapidFuzz,rapidfuzz/RapidFuzz,entity_resolution,03a5137851aab675b430389235d73bb18873dafe,v3.14.5,MIT,ADOPT_NOW,ENTITY_RESOLUTION,Candidate generation only before deterministic/probabilistic review,Fast zero-runtime-dependency similarity metrics materially reduce manual candidate search.,Adversarial aliases and labeled pairs must prove recall; scores never auto-accept an identity.,"RapidFuzz 3 does no preprocessing by default, so project normalization must remain explicit.",Pin 3.14.5 and implement a bounded candidate generator immediately.
OSR-025,sportsdataverse/cfbfastR,sportsdataverse/cfbfastR,football_reference,746ed353278cfe68051fb5bfee7b76eff9ce45ef,v2.0.0,NOASSERTION,REFERENCE_ONLY,FOOTBALL_PARITY,Pinned R reference outputs and taxonomy only,Established CFB play processing and EP/WP interfaces provide independent parity targets.,Python outputs must match pinned cases with documented semantic differences and chronology.,R runtime would duplicate production and CFBD wrappers; derived metrics are not independent truth.,"Use for EPA/WPA/play taxonomy parity tests, not as a runtime dependency."
OSR-026,frazane/scoringrules,frazane/scoringrules,probabilistic_evaluation,e48aa74fdbf2d916ade569e1b7516286dbc8b303,0.11.0,Apache-2.0,ADOPT_AT_DEPENDENCY,PROBABILISTIC_EVALUATION,Protected evaluator beneath metric registry,"Brier, log, CRPS, energy and threshold-weighted scores directly cover forecast distributions and BAS tails.","Orientation, sample weighting, tail thresholds and reference calculations must pass before protected use.",Latest 0.11.0 requires Python 3.12; current host must pin 0.10.0.,Pin 0.10.0 and implement at probabilistic evaluation readiness.
OSR-027,stanfordmlgroup/ngboost,stanfordmlgroup/ngboost,probabilistic_models,672034041fc05d9d4b7a80c1e6163ea102579752,v0.5.11,Apache-2.0,ADOPT_AT_DEPENDENCY,PROBABILISTIC_CHALLENGER,Optional distributional model behind model contracts,"Direct predictive distributions align with score, margin and BAS-tail outputs.",Must beat point-model-plus-calibration baselines on chronological NLL/CRPS/calibration and resource cost.,Examples use random splits; distributional misspecification can create misleading tails.,Pin 0.5.11 for the model tournament after baseline approval.
OSR-028,interpretml/interpret,interpretml/interpret,interpretable_ml,2ed5ecb72f63ad120f445a3401b6b4040f61cad2,v0.7.8,MIT,ADOPT_AT_DEPENDENCY,INTERPRETABLE_CHALLENGER,EBM candidate behind model and explanation contracts,Provides nonlinear glass-box behavior between GLM and black-box boosted trees.,Must earn chronological lift and stable explanations relative to GLM/XGBoost.,Native extension footprint and interaction search require deterministic resource controls.,Pin 0.7.8 and evaluate EBM in the model tournament.
OSR-029,HypothesisWorks/hypothesis,HypothesisWorks/hypothesis,property_testing,d139e32f8c64334b2aea6480181e771d095bb850,v6.165.2,NOASSERTION,ADOPT_NOW,TESTING,Development/test dependency only,"Property-based generation directly targets PIT boundaries, identity stability, probability coherence and temporal edge cases.",Deterministic profiles must reproduce minimal failures and never access protected outcomes.,Generated cases complement but cannot replace real-data population validation.,Pin 6.165.2 and add entity/PIT invariants immediately.
OSR-030,open-meteo/python-requests,open-meteo/python-requests,weather_acquisition,762a91c94dbb9ca5489fcf72bcf3ef1f15e47815,v1.7.5,MIT,ADOPT_NOW,WEATHER_ACQUISITION,Optional decoder/client after immutable HTTP capture,Efficient FlatBuffers and NumPy/Polars access reduce historical weather parsing work.,Forecast-run identity and initialization must be preserved; realized archive weather is explicitly non-PIT for pregame forecasts.,Uses niquests/openmeteo-sdk; decoded arrays are not substitutes for immutable raw response identity.,Pin 1.7.5 and add a weather decoder adapter while direct HTTP remains the raw-evidence route.
OSR-031,feast-dev/feast,feast-dev/feast,feature_store,037c4cd1cea75167d32a2a025f28e65085d97da0,v0.65.0,Apache-2.0,REJECT_NOT_FIT,NONE,No integration,An online feature store is unnecessary for the local weekly batch product and duplicates the feature/PIT registries.,Reconsider only if a measured online serving requirement appears.,Service and dependency complexity exceed present value.,Do not add.
OSR-032,apache/airflow,apache/airflow,orchestration,9ec73bab050c524627f12abcf6bbc1d0b30f70a9,3.3.0,Apache-2.0,REJECT_NOT_FIT,NONE,No integration,Existing local scheduler and Jira DAG already cover required orchestration.,Reconsider only for a demonstrated multi-worker scheduling gap.,Large service/database operational burden.,Do not add.
OSR-033,dagster-io/dagster,dagster-io/dagster,orchestration,6542eff83164cbb1b544225d0890a38c6aeb75c9,1.13.17,Apache-2.0,REJECT_NOT_FIT,NONE,No integration,"Asset orchestration duplicates existing manifests, DAG and scheduler contracts.",Reconsider only after a measured orchestration reliability gap.,Adds daemon/UI/storage surface.,Do not add.
OSR-034,PrefectHQ/prefect,PrefectHQ/prefect,orchestration,40a34ba1f53d46a791358459eb96d9cd006f4628,3.8.2,Apache-2.0,REJECT_NOT_FIT,NONE,No integration,Current local-first scheduling does not need a second workflow control plane.,Reconsider only for a measured remote orchestration need.,Adds server/cloud semantics and dependency surface.,Do not add.
OSR-035,apache/spark,apache/spark,distributed_compute,9a20f8b3693c527485e432a57d3fcac6df8eda86,,Apache-2.0,REJECT_NOT_FIT,NONE,No integration,Current national history fits local DuckDB/Polars and has no distributed-compute evidence.,Reconsider only when measured workloads exceed the local resource envelope.,JVM/cluster complexity and duplicated dataframe semantics.,Do not add.
OSR-036,ray-project/ray,ray-project/ray,distributed_compute,ceb4d22a2d05b3b2a476cfc857b975ad44e3b536,ray-2.56.1,Apache-2.0,REJECT_NOT_FIT,NONE,No integration,No workload currently justifies a distributed Python runtime.,Reconsider only after bounded local parallelism fails measured targets.,Scheduler/process complexity and reproducibility risk.,Do not add.
OSR-037,kubernetes/kubernetes,kubernetes/kubernetes,orchestration,94c136764292cc5fac976c0de6587daaea56410f,v1.36.3,Apache-2.0,REJECT_NOT_FIT,NONE,No integration,The project operates on one authorized local computer and has no cluster product requirement.,Reconsider only if deployment topology changes explicitly.,Extreme operational mismatch.,Do not add.
OSR-038,iterative/dvc,treeverse/dvc,data_versioning,56e59829512ff134aa269099a2099587b810b4dd,3.67.1,Apache-2.0,REJECT_NOT_FIT,NONE,No integration,"Content-addressed raw captures, manifests and external storage already provide project-specific data versioning.",Reconsider only if an unserved remote artifact-sharing requirement appears.,Would create competing identity and retention authorities.,Do not add; retain project manifests.
OSR-039,great-expectations/great_expectations,fivetran/great_expectations,data_quality,8aff5b69d371da2f23cea801b001a9e03a635600,1.20.0,Apache-2.0,REJECT_NOT_FIT,NONE,No integration,Pandera provides the needed lightweight dataframe contract layer while existing validators cover provenance and coverage.,Reconsider only if Pandera cannot express a measured production requirement.,Larger duplicate quality framework; upstream repository now redirects to Fivetran ownership.,Do not add.
OSR-040,pytorch/pytorch,pytorch/pytorch,deep_learning,b436d55518f347a24df0887569a59aba2095728b,v2.13.0,NOASSERTION,DEFER_CONDITIONAL,P3_ADVANCED_MODEL,Isolated advanced-model runtime,Neural sequence models remain plausible only after conventional baselines expose a specific gap.,"Protected admission requires incremental chronological lift, calibration, stability and resource value.","Large binary/runtime, nondeterminism and overfitting risk for sparse seasonal data.",Retain as conditional P3; do not install now.
OSR-041,pyg-team/pytorch_geometric,pyg-team/pytorch_geometric,graph_neural_networks,cc678a392255a1467872f54582724b8dce434603,2.8.0,MIT,DEFER_CONDITIONAL,P3_GRAPH_MODEL,Isolated graph challenger,Graph structure may eventually model schedules/teams/players if simpler relational features saturate.,"Require an explicit graph hypothesis, leakage-safe edges and lift over tabular baselines.",Depends on PyTorch and adds complex graph construction/leakage risk.,Retain as conditional P3; do not install now.
OSR-042,chroma-core/chroma,chroma-core/chroma,rag_vector_store,65c7d1e9096dc92e87ed80409d0ce5f537b0563d,1.5.9,Apache-2.0,REJECT_NOT_FIT,NONE,No integration,"The forecasting engine has no RAG/vector-store requirement, and AggieFYI supplied no unique acquisition value.",Reconsider only for a separately approved document-retrieval product.,Unrelated service/storage authority and dependency surface.,Do not add.
