research_id,pass,query,date,source_reviewed,conclusion,follow_up,evidence
W06-R-019,C_ALTERNATIVE,Stats Perform NCAA football data Opta,2026-08-08,multiple current primary/official/vendor sources,Commercial stats/live alternative confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-020,C_ALTERNATIVE,Teamworks coaching college football formation motion personnel tracking depth charts,2026-08-08,multiple current primary/official/vendor sources,Commercial tracking/tendency lane found; research-only without license.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-021,D_HISTORY,NJCAA football statistics archive leaders 2005 2026 official,2026-08-08,multiple current primary/official/vendor sources,NJCAA official stats/rankings archive demonstrates useful JUCO history.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-022,D_HISTORY,NAIA PrestoStats official statistics historical migration 2026,2026-08-08,multiple current primary/official/vendor sources,NAIA official PrestoStats requirement and 2026 data feed partnership confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-023,D_HISTORY,AP Top 25 college football poll history official,2026-08-08,multiple current primary/official/vendor sources,AP history to 1936 confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-024,D_HISTORY,CFP rankings archive 2014 official,2026-08-08,multiple current primary/official/vendor sources,Weekly CFP ranking archive from 2014 confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-025,E_PIT,The Odds API historical odds timestamp snapshot NCAA football,2026-08-08,multiple current primary/official/vendor sources,Paid historical snapshots 2020+; returns closest <= requested timestamp.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-026,E_PIT,historical weather forecast archive model initialization lead time NOAA Open-Meteo,2026-08-08,multiple current primary/official/vendor sources,Issued forecast-run reconstruction feasible; observed weather remains distinct.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-027,F_ACCESS,EADA download annual athletics data official Department of Education,2026-08-08,multiple current primary/official/vendor sources,Mandatory federal annual disclosure and complete/custom downloads confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-028,F_ACCESS,IRS 990 bulk data tax exempt organizations official,2026-08-08,multiple current primary/official/vendor sources,Bulk public filings confirmed; useful only as institution/foundation proxy lane.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-029,F_ACCESS,NCAA Financial Reporting System public access,2026-08-08,multiple current primary/official/vendor sources,Member/restricted system recognized; no access-control bypass.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-030,G_GAP,college football official depth charts historical depth chart API,2026-08-08,multiple current primary/official/vendor sources,No scalable open national historical depth-chart source discovered; commercial/provider and official-document reconstruction remain.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-031,G_GAP,college football referee crew assignments official conference 2026,2026-08-08,multiple current primary/official/vendor sources,"No stable national pregame assignment feed discovered; gamebooks support postgame crew history, narrow official archives exist.",See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-032,G_GAP,college football snap counts routes pressure coverage data provider 2026,2026-08-08,multiple current primary/official/vendor sources,"Advanced charting/tracking exists commercially, not as a verified open national source.",See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-033,H_DUPLICATION,compare CFBD SportsDataverse NCAA stats official conference game data overlap,2026-08-08,multiple current primary/official/vendor sources,"Core game/team/PBP sources overlap; official sources retained for validation/fallback, not redundant ingestion everywhere.",See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-034,I_ARCH,NCAA roster eligibility House settlement 2025 age-based eligibility 2026 transfer rules,2026-08-08,multiple current primary/official/vendor sources,Regulatory environment changes require effective-dated off-field rule state beyond playing-rule era.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-035,J_VALUE,source engineering cost marginal prediction value licensed college football data,2026-08-08,multiple current primary/official/vendor sources,Commercial feeds classified optional/research-only until measured marginal value justifies cost.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
