source_id,owner,dataset,url,ownership_class,access_method,authentication,cost,terms_or_license,redistribution,attribution,public_repository_suitability,local_only_recommendation,review_status,notes
SRC-011,Official conferences,stats/schedules/archives/game notes,conference-specific,OFFICIAL,HTML/PDF,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-012,Recognized preseason selectors,preseason all-conference/all-America,selector-specific,MIXED,HTML/PDF,none/varies,free/varies,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-013,NCAA,Football Playing Rules + legislation/LSDBi,https://www.ncaa.org/championships/playing-rules/football-playing-rules/,OFFICIAL_GOVERNING_BODY,HTML/PDF/legislative DB,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-014,Official gamebooks/box scores,gamebooks incl. officials/participation,school/conference-specific,OFFICIAL,PDF/HTML,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-015,NCAA Statistics,Football Statistics & Records,https://www.ncaa.org/championships/statistics-and-records/football/,OFFICIAL_GOVERNING_BODY,HTML/PDF/stats.ncaa.org,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-016,NCAA,Membership Directory,https://web3.ncaa.org/directory/,OFFICIAL_GOVERNING_BODY,HTML directory,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-017,Southeastern Conference,Football Student-Athlete Availability Reports,https://www.secsports.com/fbreports-archive,OFFICIAL,public HTML/report archive,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-018,Big Ten Conference,Gameday Availability Reports,https://bigten.org/fb/article/blt2856785fb75ee868/,OFFICIAL,public conference reports,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-019,Atlantic Coast Conference,Availability Reporting,https://theacc.com/sports/2025/8/28/availability-reporting.aspx,OFFICIAL,public HTML/PDF/reports,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-020,Big 12 Conference,Player Availability Reporting,https://big12sports.com/news/2025/8/13/general-big-12-conference-to-begin-player-availability-reporting-for-football-womens-and-mens-basketball.aspx,OFFICIAL,public reports,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-021,American Conference,Football Player Availability Reports,https://theamerican.org/sports/2025/8/5/fbavail.aspx,OFFICIAL,public reports,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-022,Sun Belt Conference,Football Availability Reporting,https://sunbeltsports.org/news/2025/8/20/sun-belt-to-institute-availability-reporting-for-2025-football-season.aspx,OFFICIAL,public reports,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-023,Conference USA,Football Availability Reports,https://conferenceusa.com/sports/2025/8/23/FB_0823254134.aspx,OFFICIAL,public HTML/PDF reports,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-024,Mid-American Conference,Football Availability Reports,https://getsomemaction.com/news/2024/8/22/mac-to-launch-gameday-student-athlete-availability-report-for-2024-football-season.aspx,OFFICIAL,public PDF reports,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-025,College Football Playoff,CFP Student-Athlete Availability Reporting,https://collegefootballplayoff.com/sports/2025/11/12/reports.aspx,OFFICIAL,public report/archive,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-026,Open-Meteo,Previous Runs / Single Runs API,https://open-meteo.com/en/docs/previous-runs-api,NONOFFICIAL_WEATHER_AGGREGATOR,REST API,none/customer key,free noncommercial + paid commercial,CC_BY_4_0_DATA_PLUS_API_TERMS,ATTRIBUTION_AND_PLAN_REVIEW,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-027,NOAA/NCEP/GSL,HRRR model + archives,https://rapidrefresh.noaa.gov/hrrr/,OFFICIAL_GOVERNMENT,cloud/NOMADS archives,none,free,US_GOV_PUBLIC_DATA_TERMS,PUBLIC_DATA_WITH_PROVENANCE,source-specific,GENERALLY_YES_WITH_PROVENANCE,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-028,NOAA/NCEP/ARL,NAM/GFS and forecast model archives,https://www.ready.noaa.gov/archives.php,OFFICIAL_GOVERNMENT,archive/cloud/NOMADS,none,free,US_GOV_PUBLIC_DATA_TERMS,PUBLIC_DATA_WITH_PROVENANCE,source-specific,GENERALLY_YES_WITH_PROVENANCE,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-029,NOAA/NCEI,GHCN Hourly / historical observations,https://www.ncei.noaa.gov/products/global-historical-climatology-network-hourly,OFFICIAL_GOVERNMENT,bulk/API,none,free,US_GOV_PUBLIC_DATA_TERMS,PUBLIC_DATA_WITH_PROVENANCE,source-specific,GENERALLY_YES_WITH_PROVENANCE,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-030,IANA,Time Zone Database,https://www.iana.org/time-zones,OFFICIAL_STANDARD,bulk tzdb / OS zoneinfo,none,free,PUBLIC_STANDARD_DATA,PUBLIC_WITH_LICENSE,source-specific,GENERALLY_YES_WITH_PROVENANCE,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-031,USGS,3DEP / Elevation Point Query Service,https://www.usgs.gov/the-national-map-data-delivery/gis-data-download,OFFICIAL_GOVERNMENT,API/bulk,none,free,US_GOV_PUBLIC_DATA_TERMS,PUBLIC_DATA_WITH_PROVENANCE,source-specific,GENERALLY_YES_WITH_PROVENANCE,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-032,The Odds API,Historical Odds,https://the-odds-api.com/liveapi/guides/v4/,NONOFFICIAL_COMMERCIAL,REST API,API key,paid for historical,COMMERCIAL_API_TERMS,LICENSE_REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,YES,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-033,SportsDataIO,NCAA Football API / injuries / betting,https://sportsdata.io/developers/workflow-guide/ncaa-football,NONOFFICIAL_COMMERCIAL,REST API,API subscription,paid,COMMERCIAL_LICENSE,LICENSE_REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,YES,W06_CLASSIFIED_NOT_LEGAL_OPINION,Provider explicitly states no college depth charts/lineups; injuries aggregate official wires + trusted media. Betting lines include opening/movement/closing timestamps.
SRC-034,Sportradar,NCAA Football API v7,https://developer.sportradar.com/football/docs/ncaafb-ig-api-basics,NONOFFICIAL_COMMERCIAL,REST + optional push,API key/license,paid,COMMERCIAL_LICENSE,LICENSE_REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,YES,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-035,Sports Info Solutions,Advanced College Football Data,https://www.sportsinfosolutions.com/football/,NONOFFICIAL_COMMERCIAL,licensed feeds/DataHub,license,paid,COMMERCIAL_LICENSE,LICENSE_REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,YES,W06_CLASSIFIED_NOT_LEGAL_OPINION,Potentially supplies deeper play/player analytics; no core dependency until value/cost/rights justified.
SRC-036,Stats Perform / Opta,NCAA Football Data,https://www.statsperform.com/ncaa-football-basketball/,NONOFFICIAL_COMMERCIAL,licensed feeds/dashboard,license,paid,COMMERCIAL_LICENSE,LICENSE_REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,YES,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-037,Teamworks,Coaching / tracking data,https://teamworks.com/coaching-college-football/,NONOFFICIAL_COMMERCIAL,licensed platform,institution license,paid,COMMERCIAL_LICENSE,RESTRICTED,source-specific,DERIVED_ONLY_OR_REVIEW,YES,W06_CLASSIFIED_NOT_LEGAL_OPINION,"Current product advertises formation, motion, personnel, alignment, snap/depth and player tracking. Treat as inaccessible unless licensed."
SRC-038,NFL,Official Draft Tracker,https://www.nfl.com/draft/tracker/picks/,OFFICIAL,HTML/data,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-039,Associated Press,AP Top 25 College Football Poll,https://www.ap.org/content/topics/sports/college-football/,OFFICIAL_PUBLISHER,HTML/archive,none,free viewing,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-040,American Football Coaches Association,AFCA Coaches Poll,https://www.afca.com/polls/,OFFICIAL_ORGANIZATION,HTML/archive,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-041,College Football Playoff,Selection Committee Rankings,https://collegefootballplayoff.com/rankings.aspx,OFFICIAL,HTML/archive,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-042,Official conference statistics pages,Conference football statistics,conference-specific,OFFICIAL,HTML/PDF,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-043,Texas A&M / official opponents,Game notes and media guides,https://12thman.com/sports/football/archives,OFFICIAL,PDF/HTML,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-044,IRS,Form 990 / TEOS bulk data,https://www.irs.gov/charities-non-profits/public-disclosure-datasets-and-downloads,OFFICIAL_GOVERNMENT,bulk XML/search,none,free,US_GOV_PUBLIC_DATA_TERMS,PUBLIC_DATA_WITH_PROVENANCE,source-specific,GENERALLY_YES_WITH_PROVENANCE,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,Never label as football spending unless filing explicitly supports that interpretation.
SRC-045,NCAA,Membership Financial Reporting System,https://frs.ncaa.org/,OFFICIAL_RESTRICTED,member/login system,restricted login,not public,RESTRICTED_MEMBER_SYSTEM,NOT_AUTHORIZED_WITHOUT_LICENSE,source-specific,DERIVED_ONLY_OR_REVIEW,YES,W06_CLASSIFIED_NOT_LEGAL_OPINION,Do not bypass access control; public alternatives remain primary.
SRC-046,NCAA,Transfer Portal / Transfer Research Dashboard,https://www.ncaa.org/what-we-do/research/student-athlete-transfer-research/,OFFICIAL_GOVERNING_BODY,public aggregate dashboard + restricted portal,portal restricted; dashboard public,free aggregate/restricted detailed,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,NCAA describes Transfer Portal as centralized database. Detailed portal is not treated as a public acquisition API.
SRC-047,On3,Transfer Portal Wire/Rankings,https://www.on3.com/transfer-portal/wire/football/,NONOFFICIAL_COMMERCIAL_PUBLISHER,public web / paid products,varies,free viewing + commercial,TERMS_REVIEW_REQUIRED,DO_NOT_REPACKAGE_WITHOUT_PERMISSION,source-specific,DERIVED_ONLY_OR_REVIEW,YES,W06_CLASSIFIED_NOT_LEGAL_OPINION,Public visibility does not establish automated collection/redistribution rights.
SRC-048,NCAA Statistics,FCS/DII/DIII Football Stats,https://www.ncaa.org/sports/2013/11/19/ncaa-football-statistics,OFFICIAL_GOVERNING_BODY,HTML/PDF/stats.ncaa.org,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-049,NAIA,PrestoStats / NAIA Stats,https://www.naia.org/membership/resources/sports-information-directors/,OFFICIAL_ASSOCIATION,public scoreboard/stats; member upload platform,public viewing/member upload,free viewing,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,NAIA requires member schools to submit final stats via PrestoStats; 2026 partnership adds data feed to NAIA.org.
SRC-050,NJCAA,NJCAA Football Statistics,https://www.njcaa.org/sports/fball/index,OFFICIAL_ASSOCIATION,public HTML stats,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-051,NAIA,NAIA Football Polls,https://www.naia.org/sports/football/,OFFICIAL_ASSOCIATION,HTML/archive,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-052,NJCAA,NJCAA Football Rankings,https://www.njcaa.org/sports/fball/rankings/DI/index,OFFICIAL_ASSOCIATION,HTML/archive,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-053,NCAA Statistics,Football Attendance Records,https://www.ncaa.org/championships/statistics-and-records/football/,OFFICIAL_GOVERNING_BODY,PDF/HTML,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-054,NCAA Division I Governance,House settlement roster-limit implementation,https://www.ncaa.org/news/2025/6/23/media-center-division-i-board-of-directors-formally-adopts-changes-to-rules-related-to-house-settlement.aspx,OFFICIAL_GOVERNING_BODY,HTML/policy,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-055,NCAA Division I Governance / LSDBi,Age-based eligibility and transfer legislation,https://www.ncaa.org/division-i-adopts-age-based-eligibility-model/,OFFICIAL_GOVERNING_BODY,HTML/LSDBi,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-056,NCAA / College Sports Commission context,NIL/House settlement policy,https://www.ncaa.org/student-athletes/name-image-likeness/,OFFICIAL_GOVERNING_BODY,HTML/policy,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-057,FAA / U.S. DOT,Airport reference data,https://www.transportation.gov/resources/individuals/privacy/national-flight-data-center-nfdc,OFFICIAL_GOVERNMENT,bulk/reference,none,free,US_GOV_PUBLIC_DATA_TERMS,PUBLIC_DATA_WITH_PROVENANCE,source-specific,GENERALLY_YES_WITH_PROVENANCE,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-058,SportsDataverse upstream recruiting assets,247-derived recruits/team talent,https://github.com/sportsdataverse/cfbfastR-cfb-data,NONOFFICIAL_DERIVED,bulk repository,none,free repository,UPSTREAM_247_TERMS_REVIEW,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,YES,W06_CLASSIFIED_NOT_LEGAL_OPINION,Must not treat public repo availability as proof of upstream redistribution rights or timeless PIT state.
SRC-059,CollegeFootballData,GraphQL/live subscription tier,https://graphqldocs.collegefootballdata.com/,NONOFFICIAL_AGGREGATOR,GraphQL subscriptions,Tier 3+,paid tier,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-060,College Football Playoff,All-time championship game officials,https://collegefootballplayoff.com/,OFFICIAL,HTML archive,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
