source_id,dataset,domain,classification,source_specific_semantics,snapshot_required,required_timestamp_fields,historical_backfill_risk,ban_or_guardrail
SRC-025,CFP Student-Athlete Availability Reporting,injuries/availability,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,YES,3 days + daily + final 90m,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-026,Previous Runs / Single Runs API,weather forecast snapshots,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_WITH_RUN_TIMESTAMP,YES,model run initialization + valid time + lead offset,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-027,HRRR model + archives,weather forecast snapshots,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_WITH_RUN_TIMESTAMP,YES,model initialization + forecast hour + valid time,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-028,NAM/GFS and forecast model archives,weather forecast snapshots,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_WITH_RUN_TIMESTAMP,YES,model initialization + forecast hour + valid time,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-029,GHCN Hourly / historical observations,observed weather,POSTGAME_ONLY_OR_BANNED,POSTGAME_ONLY_FOR_EARLIER_FORECASTS,YES,observation time,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-030,Time Zone Database,timezone/body-clock,DIRECT_PREGAME_SAFE,DIRECT_SAFE_STATIC_EFFECTIVE_DATED,CONDITIONAL,tzdb release/effective transitions,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-031,3DEP / Elevation Point Query Service,venue/elevation,DIRECT_PREGAME_SAFE,DIRECT_SAFE_STATIC_OR_EFFECTIVE_DATED,CONDITIONAL,dataset/version/retrieval,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-032,Historical Odds,markets,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_BY_SNAPSHOT_TIMESTAMP,YES,requested/returned snapshot ISO timestamp,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-033,NCAA Football API / injuries / betting,games/injuries/markets/live,DIRECT_PREGAME_SAFE,DIRECT_OR_POSTGAME_BY_FEED,YES,injury start/update; market line movement timestamps,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-034,NCAA Football API v7,games/PBP/rosters/stats/live,DIRECT_PREGAME_SAFE,DIRECT_OR_POSTGAME_BY_FEED,YES,feed/event timestamps,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-035,Advanced College Football Data,advanced charting/injuries/live,REVIEW_REQUIRED,REVIEW_REQUIRED,CONDITIONAL,varies,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-036,NCAA Football Data,live/stats/advanced,REVIEW_REQUIRED,REVIEW_REQUIRED,CONDITIONAL,varies,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-037,Coaching / tracking data,formation/personnel/alignment/tracking/depth,REVIEW_REQUIRED,REVIEW_REQUIRED,CONDITIONAL,varies,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-038,Official Draft Tracker,NFL draft outcomes,POSTGAME_ONLY_OR_BANNED,POSTGAME_OR_FUTURE_BANNED_FOR_PRIOR_COLLEGE_GAME,CONDITIONAL,draft date/year,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-039,AP Top 25 College Football Poll,rankings/consensus,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,YES,poll publication/week,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-040,AFCA Coaches Poll,rankings/consensus,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,YES,poll publication/week,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-041,Selection Committee Rankings,rankings/stakes,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,YES,ranking release date,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-042,Conference football statistics,team/player stats,REVIEW_REQUIRED,HISTORICAL_GAME_OUTPUT_SAFE_VIA_PRIOR_GAME_AGGREGATION,CONDITIONAL,varies,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-043,Game notes and media guides,depth/starter/context/history,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_IF_PUBLICATION_KNOWN,CONDITIONAL,publication/game date,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-044,Form 990 / TEOS bulk data,institution/foundation resources,HISTORICAL_AGGREGATE_ONLY,HISTORICAL_AGGREGATE_ONLY,CONDITIONAL,tax year/filing/posting date,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-045,Membership Financial Reporting System,athletics finance,HISTORICAL_AGGREGATE_ONLY,HISTORICAL_AGGREGATE_ONLY,CONDITIONAL,varies,HIGH,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-046,Transfer Portal / Transfer Research Dashboard,transfers,REVIEW_REQUIRED,AGGREGATE_SAFE_BY_PUBLICATION; DETAILED_ACCESS_RESTRICTED,YES,entry/report/publication where available,HIGH,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-047,Transfer Portal Wire/Rankings,transfers/recruiting,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_CANDIDATE_IF_ARCHIVED,YES,varies,HIGH,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-048,FCS/DII/DIII Football Stats,lower-division strength,REVIEW_REQUIRED,HISTORICAL_GAME_OUTPUT_SAFE_VIA_PRIOR_GAME_AGGREGATION,CONDITIONAL,week/season/game,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-049,PrestoStats / NAIA Stats,lower-division stats,REVIEW_REQUIRED,HISTORICAL_GAME_OUTPUT_SAFE_VIA_PRIOR_GAME_AGGREGATION,CONDITIONAL,game/season/update,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-050,NJCAA Football Statistics,JUCO stats,REVIEW_REQUIRED,HISTORICAL_GAME_OUTPUT_SAFE_VIA_PRIOR_GAME_AGGREGATION,CONDITIONAL,season/game,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-051,NAIA Football Polls,lower-division rankings,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,YES,poll publication,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-052,NJCAA Football Rankings,JUCO rankings,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,YES,ranking publication,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-053,Football Attendance Records,attendance/venue context,HISTORICAL_AGGREGATE_ONLY,HISTORICAL_AGGREGATE_ONLY,CONDITIONAL,season/year,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-054,House settlement roster-limit implementation,regulatory environment,DIRECT_PREGAME_SAFE,DIRECT_SAFE_BY_EFFECTIVE_DATE,CONDITIONAL,adoption/effective date,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-055,Age-based eligibility and transfer legislation,eligibility/transfer regulatory environment,DIRECT_PREGAME_SAFE,DIRECT_SAFE_BY_EFFECTIVE_DATE,YES,proposal/adoption/effective date,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-056,NIL/House settlement policy,resource/regulatory context,DIRECT_PREGAME_SAFE,DIRECT_SAFE_BY_EFFECTIVE_DATE,CONDITIONAL,policy publication/effective date,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-057,Airport reference data,travel,DIRECT_PREGAME_SAFE,DIRECT_SAFE_STATIC_OR_EFFECTIVE_DATED,CONDITIONAL,dataset/version,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-058,247-derived recruits/team talent,recruiting,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_CANDIDATE_IF_SNAPSHOT_SEMANTICS_PROVEN,CONDITIONAL,class/year; upstream snapshot semantics require review,HIGH,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-059,GraphQL/live subscription tier,live/Phase5,CURRENT_GAME_ONLY,CURRENT_GAME_ONLY_FOR_LIVE,CONDITIONAL,event/subscription timestamps,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-060,All-time championship game officials,officiating,POSTGAME_ONLY_OR_BANNED,POSTGAME_HISTORICAL_ONLY,CONDITIONAL,game date,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
