domain_id,domain,available_source,primary_source,fallback_source,historical_depth,point_in_time_quality,confidence,remaining_gap
DOM-030,field position/hidden yards,YES,SRC-001,SRC-002,modern PBP,HIGH,HIGH,Derivable
DOM-031,special teams,YES,SRC-001,SRC-002;SRC-015,modern,HIGH,HIGH,Component-wise data available
DOM-032,fourth-down decisions,YES,derived PBP,SRC-002,modern,HIGH,HIGH,Decision-quality model is derived
DOM-033,clock management,YES,derived PBP,SRC-001;SRC-002,modern,MEDIUM_HIGH,MEDIUM_HIGH,Needs context/score-state definitions
DOM-034,garbage time/score state,YES,derived PBP,SRC-001;SRC-002,modern,HIGH,HIGH,Policy empirically validated
DOM-035,opponent adjustment,YES,derived,SRC-002 adjusted metrics,broad,HIGH,HIGH,No single source defines truth
DOM-036,schedule stress/workload,YES,derived games/PBP/travel,SRC-001;SRC-002,broad,HIGH,HIGH,Look-ahead causal claims remain experimental
DOM-037,poll rankings,YES,SRC-039,SRC-040;SRC-041;SRC-002,AP 1936+; CFP 2014+,HIGH,HIGH,Archive publication date
DOM-038,external ratings,YES,SRC-002,public rating publishers,rating-dependent,MEDIUM_HIGH,MEDIUM_HIGH,PIT semantics per rating
DOM-039,markets,YES,SRC-032,SRC-033;SRC-002;SRC-001,timestamped high-quality 2020+ paid; older public variable,MEDIUM_HIGH,MEDIUM_HIGH,Pure-football lane remains independent
DOM-040,officials/crew history,YES,SRC-014,SRC-060,gamebook-dependent,MEDIUM,MEDIUM,Pregame assignment coverage remains unresolved
DOM-041,officials upcoming assignments,YES,conference-specific if published,none verified national,current/fragmentary,LOW,LOW,Experimental; no stable national public pregame feed found
DOM-042,playing rule era,YES,SRC-013,NCAA rule archives,historical/current,VERY_HIGH,VERY_HIGH,Effective-dated
DOM-043,eligibility/roster/transfer regulatory era,YES,SRC-055,SRC-054;SRC-013,current changes 2025-26 + archived legislation,VERY_HIGH,VERY_HIGH,NEW W06 expansion beyond on-field rule era
DOM-044,game stakes/CFP state,YES,SRC-041,schedule/standings/conference sources,2014+ CFP; broader derivable,HIGH,HIGH,Only data public by cutoff
DOM-045,rivalry/homecoming/senior day,YES,SRC-005,schedule/event labels;game notes,team-dependent,MEDIUM,MEDIUM,Candidate context only
DOM-046,FCS strength,YES,SRC-015,SRC-001;SRC-002,broad,HIGH,HIGH,Explicit strong lower-division lane
DOM-047,DII/DIII strength,YES,SRC-048,school/conference stats,2001+ rankings + current stats,MEDIUM_HIGH,MEDIUM_HIGH,Bounded priors; do not build equal-resolution recursive system
DOM-048,NAIA strength,YES,SRC-049,SRC-051,Presto era + migrated history,MEDIUM_HIGH,MEDIUM_HIGH,Bounded priors/transfer translation
DOM-049,JUCO strength,YES,SRC-050,SRC-052,at least 2005-06 online,MEDIUM_HIGH,MEDIUM_HIGH,Useful transfer translation prior
DOM-050,live/in-game,YES,SRC-059,SRC-034;SRC-033;SRC-035,current/vendor-dependent,HIGH_OPTIONAL,HIGH_OPTIONAL,Phase 5 isolated from pregame
DOM-051,advanced formation/personnel/tracking,YES,SRC-037,SRC-035;SRC-036,commercial,LOW_OPEN_HIGH_COMMERCIAL,LOW_OPEN_HIGH_COMMERCIAL,No verified free scalable national lane
DOM-052,licensing/redistribution metadata,YES,source-specific,manual legal/terms review,current,MEDIUM,MEDIUM,Must be refreshed; public accessibility != redistribution permission
