source_id,owner,dataset,domain,source_type,official_nonofficial,url,access_method,authentication,cost,rate_limits,historical_coverage,divisions_covered,team_coverage,player_coverage,grain,update_cadence,format,estimated_data_volume,stable_ids,join_keys,timestamp_fields,point_in_time_feasibility,known_at_feasibility,source_quality,completeness,schema_stability,licensing,redistribution,attribution,acquisition_priority,fallback_source,project_role,inclusion_status,exclusion_reason,notes
SRC-011,Official conferences,stats/schedules/archives/game notes,conference validation/context,official conference sites,OFFICIAL,conference-specific,HTML/PDF,none,free,source-specific,conference-dependent,FBS/FCS,varies,varies,game/team/player/document,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,event/publication date,DIRECT_OR_HISTORICAL_BY_FIELD,REVIEW_REQUIRED,HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-005;SRC-015,official validation/fallback and reports,INCLUDE,,
SRC-012,Recognized preseason selectors,preseason all-conference/all-America,preseason honors,publisher/association,MIXED,selector-specific,HTML/PDF,none/varies,free/varies,source-specific,selector-dependent,national/conference,varies,varies,player-list/date,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,announcement date,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,REVIEW_REQUIRED,MEDIUM,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,SECONDARY,SRC-010;conference releases,consensus prior research candidate,INCLUDE,,
SRC-013,NCAA,Football Playing Rules + legislation/LSDBi,rules/regulatory era,governing body,OFFICIAL_GOVERNING_BODY,https://www.ncaa.org/championships/playing-rules/football-playing-rules/,HTML/PDF/legislative DB,none,free,source-specific,current + archived rules/legislation,NCAA divisions,varies,varies,rule/effective-date,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,adoption/effective/publication date,DIRECT_SAFE_BY_EFFECTIVE_DATE,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,none,effective-dated playing/regulatory environment,INCLUDE,,
SRC-014,Official gamebooks/box scores,gamebooks incl. officials/participation,game/officials/participation,official school/conference documents,OFFICIAL,school/conference-specific,PDF/HTML,none,free,source-specific,school/conference dependent,all,varies,varies,game/document/player/official,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,game/document date,POSTGAME_FOR_GAME_STATS; PREGAME_FOR_PREP_DOCS,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-001;SRC-015,"official reconciliation, officiating and participation evidence",INCLUDE,,
SRC-015,NCAA Statistics,Football Statistics & Records,team/player stats/lower divisions/attendance,governing-body stats,OFFICIAL_GOVERNING_BODY,https://www.ncaa.org/championships/statistics-and-records/football/,HTML/PDF/stats.ncaa.org,none,free,source-specific,archived rankings/statistics including DII/DIII 2001+ and broader records,FBS/FCS/DII/DIII,varies,varies,team/player/season/game depending endpoint,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,season/week/game,HISTORICAL_GAME_OUTPUT_SAFE_VIA_PRIOR_GAME_AGGREGATION,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-001;SRC-002,official validation + lower-division foundation,INCLUDE,,
SRC-016,NCAA,Membership Directory,entity identity/membership,governing-body directory,OFFICIAL_GOVERNING_BODY,https://web3.ncaa.org/directory/,HTML directory,none,free,source-specific,current plus membership metadata/history signals,NCAA institutions/conferences,varies,varies,institution/conference,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,current/effective membership fields,DIRECT_IDENTITY_METADATA,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-008,canonical institution/division/conference crosswalk support,INCLUDE,,
SRC-017,Southeastern Conference,Football Student-Athlete Availability Reports,injuries/availability,official conference report,OFFICIAL,https://www.secsports.com/fbreports-archive,public HTML/report archive,none,free,source-specific,2024 onward,SEC conference games,varies,varies,player-game-report-version,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,report publication/update; final 90 min pregame,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-033;school reports/media,A&M primary structured availability evidence,INCLUDE,,
SRC-018,Big Ten Conference,Gameday Availability Reports,injuries/availability,official conference report,OFFICIAL,https://bigten.org/fb/article/blt2856785fb75ee868/,public conference reports,none,free,source-specific,2023 onward,Big Ten football competition,varies,varies,player-game-report-version,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,gameday report/publication,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-033,national official availability lane,INCLUDE,,
SRC-019,Atlantic Coast Conference,Availability Reporting,injuries/availability,official conference report,OFFICIAL,https://theacc.com/sports/2025/8/28/availability-reporting.aspx,public HTML/PDF/reports,none,free,source-specific,2025 onward,ACC conference football games,varies,varies,player-game-report-version,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,two nights/night before/2h pregame reports,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-033,national official availability lane,INCLUDE,,
SRC-020,Big 12 Conference,Player Availability Reporting,injuries/availability,official conference report,OFFICIAL,https://big12sports.com/news/2025/8/13/general-big-12-conference-to-begin-player-availability-reporting-for-football-womens-and-mens-basketball.aspx,public reports,none,free,source-specific,2025 onward,Big 12 conference games,varies,varies,player-game-report-version,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,daily starting 3 days pregame; final 90m,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-033,national official availability lane,INCLUDE,,
SRC-021,American Conference,Football Player Availability Reports,injuries/availability,official conference report,OFFICIAL,https://theamerican.org/sports/2025/8/5/fbavail.aspx,public reports,none,free,source-specific,2025 onward,American intraconference games,varies,varies,player-game-report,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,no later than 2h pre-kick,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-033,national official availability lane,INCLUDE,,
SRC-022,Sun Belt Conference,Football Availability Reporting,injuries/availability,official conference report,OFFICIAL,https://sunbeltsports.org/news/2025/8/20/sun-belt-to-institute-availability-reporting-for-2025-football-season.aspx,public reports,none,free,source-specific,2025 onward,Sun Belt conference games,varies,varies,player-game-report-version,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,initial 3 days prior + gameday update,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-033,national official availability lane,INCLUDE,,
SRC-023,Conference USA,Football Availability Reports,injuries/availability,official conference report,OFFICIAL,https://conferenceusa.com/sports/2025/8/23/FB_0823254134.aspx,public HTML/PDF reports,none,free,source-specific,2025 onward,CUSA football,varies,varies,player-game-report-version,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,policy/report publication,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-033,national official availability lane,INCLUDE,,
SRC-024,Mid-American Conference,Football Availability Reports,injuries/availability,official conference report,OFFICIAL,https://getsomemaction.com/news/2024/8/22/mac-to-launch-gameday-student-athlete-availability-report-for-2024-football-season.aspx,public PDF reports,none,free,source-specific,2024 onward,MAC football,varies,varies,player-game-report,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,gameday report publication,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-033,national official availability lane,INCLUDE,,
SRC-025,College Football Playoff,CFP Student-Athlete Availability Reporting,injuries/availability,official postseason report,OFFICIAL,https://collegefootballplayoff.com/sports/2025/11/12/reports.aspx,public report/archive,none,free,source-specific,2025-26 CFP onward,CFP participants,varies,varies,player-game-report-version,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,3 days + daily + final 90m,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,conference reports;SRC-033,official postseason availability lane,INCLUDE,,
SRC-026,Open-Meteo,Previous Runs / Single Runs API,weather forecast snapshots,weather API,NONOFFICIAL_WEATHER_AGGREGATOR,https://open-meteo.com/en/docs/previous-runs-api,REST API,none/customer key,free noncommercial + paid commercial,source-specific,most models Jan 2024+; GFS 2m temp Mar 2021+; JMA 2018+,all venues,varies,varies,grid-model-run/lead/valid-time,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,model run initialization + valid time + lead offset,DIRECT_PREGAME_SAFE_WITH_RUN_TIMESTAMP,DIRECT_PREGAME_SAFE_WITH_RUN_TIMESTAMP,HIGH,varies,MEDIUM,CC_BY_4_0_DATA_PLUS_API_TERMS,ATTRIBUTION_AND_PLAN_REVIEW,source-specific,PRIMARY,SRC-027;SRC-028,normalized historical forecast reconstruction,INCLUDE,,
SRC-027,NOAA/NCEP/GSL,HRRR model + archives,weather forecast snapshots,government model archive,OFFICIAL_GOVERNMENT,https://rapidrefresh.noaa.gov/hrrr/,cloud/NOMADS archives,none,free,source-specific,HRRR archive since 2014,CONUS venues,varies,varies,model-run/grid/forecast-hour,varies,GRIB2/cloud objects,variable,source-specific,canonical mapping required,model initialization + forecast hour + valid time,DIRECT_PREGAME_SAFE_WITH_RUN_TIMESTAMP,DIRECT_PREGAME_SAFE_WITH_RUN_TIMESTAMP,VERY_HIGH,varies,MEDIUM,US_GOV_PUBLIC_DATA_TERMS,PUBLIC_DATA_WITH_PROVENANCE,source-specific,PRIMARY,SRC-026;SRC-028,high-resolution historical forecast source,INCLUDE,,
SRC-028,NOAA/NCEP/ARL,NAM/GFS and forecast model archives,weather forecast snapshots,government model archives,OFFICIAL_GOVERNMENT,https://www.ready.noaa.gov/archives.php,archive/cloud/NOMADS,none,free,source-specific,NAM roughly 2007+; GFS archive coverage varies; current NOAA archives documented,US/global venues,varies,varies,model-run/grid/forecast-hour,varies,GRIB/archive,variable,source-specific,canonical mapping required,model initialization + forecast hour + valid time,DIRECT_PREGAME_SAFE_WITH_RUN_TIMESTAMP,DIRECT_PREGAME_SAFE_WITH_RUN_TIMESTAMP,VERY_HIGH,varies,MEDIUM,US_GOV_PUBLIC_DATA_TERMS,PUBLIC_DATA_WITH_PROVENANCE,source-specific,PRIMARY,SRC-026;SRC-027,longer-horizon historical forecast fallback,INCLUDE,,
SRC-029,NOAA/NCEI,GHCN Hourly / historical observations,observed weather,government observations,OFFICIAL_GOVERNMENT,https://www.ncei.noaa.gov/products/global-historical-climatology-network-hourly,bulk/API,none,free,source-specific,long historical hourly record,all with stations,varies,varies,station-observation-hour,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,observation time,POSTGAME_ONLY_FOR_EARLIER_FORECASTS,POSTGAME_ONLY_FOR_EARLIER_FORECASTS,VERY_HIGH,varies,MEDIUM,US_GOV_PUBLIC_DATA_TERMS,PUBLIC_DATA_WITH_PROVENANCE,source-specific,PRIMARY,SRC-003,actual-condition label/context and weather forecast verification,INCLUDE,,
SRC-030,IANA,Time Zone Database,timezone/body-clock,standards database,OFFICIAL_STANDARD,https://www.iana.org/time-zones,bulk tzdb / OS zoneinfo,none,free,source-specific,historical timezone rules; current release 2026c,global,varies,varies,zone-rule/effective-date,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,tzdb release/effective transitions,DIRECT_SAFE_STATIC_EFFECTIVE_DATED,DIRECT_SAFE_STATIC_EFFECTIVE_DATED,VERY_HIGH,varies,MEDIUM,PUBLIC_STANDARD_DATA,PUBLIC_WITH_LICENSE,source-specific,PRIMARY,OS tzdata,historically correct venue timezone conversion,INCLUDE,,
SRC-031,USGS,3DEP / Elevation Point Query Service,venue/elevation,government geospatial,OFFICIAL_GOVERNMENT,https://www.usgs.gov/the-national-map-data-delivery/gis-data-download,API/bulk,none,free,source-specific,current national elevation products; stable venue geography,US venues,varies,varies,coordinate/elevation,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,dataset/version/retrieval,DIRECT_SAFE_STATIC_OR_EFFECTIVE_DATED,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,US_GOV_PUBLIC_DATA_TERMS,PUBLIC_DATA_WITH_PROVENANCE,source-specific,SECONDARY,SRC-002 venue data,venue elevation verification,INCLUDE,,
SRC-032,The Odds API,Historical Odds,markets,commercial API,NONOFFICIAL_COMMERCIAL,https://the-odds-api.com/liveapi/guides/v4/,REST API,API key,paid for historical,source-specific,"2020-06-06 onward; 10m snapshots, 5m from Sep 2022",NCAA football markets where covered,varies,varies,bookmaker-market-snapshot,varies,JSON,variable,source-specific,canonical mapping required,requested/returned snapshot ISO timestamp,DIRECT_PREGAME_SAFE_BY_SNAPSHOT_TIMESTAMP,DIRECT_PREGAME_SAFE_BY_SNAPSHOT_TIMESTAMP,HIGH,varies,MEDIUM,COMMERCIAL_API_TERMS,LICENSE_REVIEW_REQUIRED,source-specific,OPTIONAL,SRC-033;SRC-002;SRC-001,PIT-safe historical market enrichment/benchmark,INCLUDE,,
SRC-033,SportsDataIO,NCAA Football API / injuries / betting,games/injuries/markets/live,commercial API,NONOFFICIAL_COMMERCIAL,https://sportsdata.io/developers/workflow-guide/ncaa-football,REST API,API subscription,paid,source-specific,vendor historical archive; current feeds,FBS,varies,varies,game/player/injury/market snapshot,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,injury start/update; market line movement timestamps,DIRECT_OR_POSTGAME_BY_FEED,FIELD_BY_FIELD,HIGH,varies,MEDIUM,COMMERCIAL_LICENSE,LICENSE_REVIEW_REQUIRED,source-specific,OPTIONAL,official reports;SRC-032;SRC-034,licensed availability/market/live fallback,INCLUDE,,Provider explicitly states no college depth charts/lineups; injuries aggregate official wires + trusted media. Betting lines include opening/movement/closing timestamps.
SRC-034,Sportradar,NCAA Football API v7,games/PBP/rosters/stats/live,commercial API,NONOFFICIAL_COMMERCIAL,https://developer.sportradar.com/football/docs/ncaafb-ig-api-basics,REST + optional push,API key/license,paid,source-specific,2013 onward documented,Division I; realtime FBS coverage,varies,varies,feed/game/play/player,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,feed/event timestamps,DIRECT_OR_POSTGAME_BY_FEED,FIELD_BY_FIELD,HIGH,varies,MEDIUM,COMMERCIAL_LICENSE,LICENSE_REVIEW_REQUIRED,source-specific,OPTIONAL,SRC-002;SRC-033;SRC-001,licensed fallback/live Phase-5 option,INCLUDE,,
SRC-035,Sports Info Solutions,Advanced College Football Data,advanced charting/injuries/live,commercial data feeds,NONOFFICIAL_COMMERCIAL,https://www.sportsinfosolutions.com/football/,licensed feeds/DataHub,license,paid,source-specific,vendor-dependent,FBS emphasis,varies,varies,play/player/team,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,varies,REVIEW_REQUIRED,REVIEW_REQUIRED,HIGH,varies,MEDIUM,COMMERCIAL_LICENSE,LICENSE_REVIEW_REQUIRED,source-specific,RESEARCH_ONLY,SRC-036;SRC-037;SRC-006,advanced charting challenger source,INCLUDE,,Potentially supplies deeper play/player analytics; no core dependency until value/cost/rights justified.
SRC-036,Stats Perform / Opta,NCAA Football Data,live/stats/advanced,commercial data feeds,NONOFFICIAL_COMMERCIAL,https://www.statsperform.com/ncaa-football-basketball/,licensed feeds/dashboard,license,paid,source-specific,vendor-dependent,NCAA football,varies,varies,game/play/player/team,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,varies,REVIEW_REQUIRED,REVIEW_REQUIRED,HIGH,varies,MEDIUM,COMMERCIAL_LICENSE,LICENSE_REVIEW_REQUIRED,source-specific,RESEARCH_ONLY,SRC-035;SRC-034,commercial enrichment/fallback,INCLUDE,,
SRC-037,Teamworks,Coaching / tracking data,formation/personnel/alignment/tracking/depth,commercial coaching platform,NONOFFICIAL_COMMERCIAL,https://teamworks.com/coaching-college-football/,licensed platform,institution license,paid,source-specific,vendor-dependent,college football customers,varies,varies,snap/alignment/player tracking,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,varies,REVIEW_REQUIRED,REVIEW_REQUIRED,HIGH,varies,MEDIUM,COMMERCIAL_LICENSE,RESTRICTED,source-specific,RESEARCH_ONLY,SRC-035;SRC-036,advanced Phase-5 scheme/tracking research only,INCLUDE,,"Current product advertises formation, motion, personnel, alignment, snap/depth and player tracking. Treat as inaccessible unless licensed."
SRC-038,NFL,Official Draft Tracker,NFL draft outcomes,league official,OFFICIAL,https://www.nfl.com/draft/tracker/picks/,HTML/data,none,free,source-specific,current/historical tracker coverage,draft-eligible college players,varies,varies,draft-pick/player,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,draft date/year,POSTGAME_OR_FUTURE_BANNED_FOR_PRIOR_COLLEGE_GAME,POSTGAME_OR_FUTURE_BANNED_FOR_PRIOR_COLLEGE_GAME,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,VALIDATION,SRC-002 draft endpoints,completed draft outcome validation only,INCLUDE,,
SRC-039,Associated Press,AP Top 25 College Football Poll,rankings/consensus,official poll publisher,OFFICIAL_PUBLISHER,https://www.ap.org/content/topics/sports/college-football/,HTML/archive,none,free viewing,source-specific,history to 1936,FBS,varies,varies,poll-week/team-rank/votes,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,poll publication/week,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-002 rankings,point-in-time poll feature/benchmark,INCLUDE,,
SRC-040,American Football Coaches Association,AFCA Coaches Poll,rankings/consensus,official poll organization,OFFICIAL_ORGANIZATION,https://www.afca.com/polls/,HTML/archive,none,free,source-specific,historical/current,NCAA divisions depending poll,varies,varies,poll-week/team-rank,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,poll publication/week,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,REVIEW_REQUIRED,HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,SECONDARY,SRC-039;SRC-041,point-in-time consensus candidate,INCLUDE,,
SRC-041,College Football Playoff,Selection Committee Rankings,rankings/stakes,official postseason organization,OFFICIAL,https://collegefootballplayoff.com/rankings.aspx,HTML/archive,none,free,source-specific,weekly rankings archive 2014 onward,FBS postseason contenders,varies,varies,ranking-release/team-rank,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,ranking release date,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-039;SRC-002,late-season point-in-time context/benchmark,INCLUDE,,
SRC-042,Official conference statistics pages,Conference football statistics,team/player stats,official conference,OFFICIAL,conference-specific,HTML/PDF,none,free,source-specific,conference-dependent,conference members,varies,varies,team/player/game/season,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,varies,HISTORICAL_GAME_OUTPUT_SAFE_VIA_PRIOR_GAME_AGGREGATION,REVIEW_REQUIRED,HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,VALIDATION,SRC-015;SRC-001;SRC-002,official cross-check and targeted gaps,INCLUDE,,
