sequence_hint,local_id,issue_type,summary,state,priority,blocked_by,blocks_count,maturity_after,note
21,EPIC-021,Epic,"[EPIC-021] Model targets, joint score and simulation",DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
22,EPIC-022,Epic,"[EPIC-022] Uncertainty, OOD and market lanes",DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
23,EPIC-023,Epic,"[EPIC-023] Validation, benchmarking and promotion science",DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
24,EPIC-024,Epic,[EPIC-024] Experimentation and autonomous research system,DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
25,EPIC-025,Epic,"[EPIC-025] Model, calibration and forecast starter implementation",DONE,P1,,0,FUNCTIONAL_STARTER,Dependency criticality only; this is not a duration estimate.
26,EPIC-026,Epic,[EPIC-026] Autonomous weekly MLOps,DONE,P1,,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
27,EPIC-027,Epic,"[EPIC-027] API, dashboard and forecast product",DONE,P1,,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
28,EPIC-028,Epic,"[EPIC-028] CI/CD, security, observability and local operations",BLOCKED,P1,,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
29,EPIC-031,Epic,[EPIC-031] End-to-end readiness and source refresh,DONE,P1,,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
30,EPIC-032,Epic,[EPIC-032] Final consolidation and Codex handoff,DONE,P1,,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
31,POST-EPIC-001,Epic,"[POST-EPIC-001] Target environment, reproducibility, and AC-038 hardware evidence",BACKLOG,P0,,0,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
32,POST-EPIC-002,Epic,"[POST-EPIC-002] Source access, rights, credentials, and acquisition governance",BACKLOG,P0,,0,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
33,POST-EPIC-003,Epic,[POST-EPIC-003] Immutable national historical data materialization,BACKLOG,P0,POST-SUBTASK-024,0,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
34,POST-EPIC-004,Epic,[POST-EPIC-004] Population schema profiling and canonical entity resolution,BACKLOG,P0,POST-SUBTASK-033,0,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
35,POST-EPIC-005,Epic,[POST-EPIC-005] Point-in-time historical state and protected replay,BACKLOG,P0,POST-SUBTASK-042,0,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
36,POST-EPIC-006,Epic,[POST-EPIC-006] Production feature materialization and lifecycle,BACKLOG,P1,POST-SUBTASK-048,0,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
37,POST-EPIC-007,Epic,"[POST-EPIC-007] Player, roster, recruiting, coaching, and matchup intelligence",BACKLOG,P1,POST-SUBTASK-030;POST-SUBTASK-048,0,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
38,POST-EPIC-008,Epic,"[POST-EPIC-008] Reproducible baseline, coherent score, probability, and uncertainty modeling",BACKLOG,P1,POST-SUBTASK-051;POST-SUBTASK-060,0,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
39,POST-EPIC-009,Epic,[POST-EPIC-009] Texas A&M high-resolution specialization and no-lift-safe evaluation,BACKLOG,P1,POST-SUBTASK-063;POST-SUBTASK-069;POST-SUBTASK-078,0,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
40,POST-EPIC-010,Epic,"[POST-EPIC-010] Scientific BAS, general FBS surprise, Aggie excess, and component validation",BACKLOG,P1,POST-SUBTASK-078;POST-SUBTASK-084,0,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
41,POST-EPIC-011,Epic,"[POST-EPIC-011] Protected chronological evaluation, calibration, and champion promotion",BACKLOG,P1,POST-SUBTASK-078;POST-SUBTASK-084;POST-SUBTASK-090,0,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
42,POST-EPIC-012,Epic,[POST-EPIC-012] Autonomous weekly real-data execution and immutable forecast publication,BACKLOG,P2,POST-SUBTASK-105,0,OPERATING,Dependency criticality only; this is not a duration estimate.
43,POST-EPIC-013,Epic,"[POST-EPIC-013] Snapshot API, dashboard, explanations, analogs, and freshness-safe product",BACKLOG,P2,POST-SUBTASK-111,0,OPERATING,Dependency criticality only; this is not a duration estimate.
44,POST-EPIC-014,Epic,"[POST-EPIC-014] Security, observability, backup/restore, drift, and incident operations",BACKLOG,P2,POST-SUBTASK-002;POST-SUBTASK-024,0,OPERATING,Dependency criticality only; this is not a duration estimate.
45,POST-EPIC-015,Epic,[POST-EPIC-015] Full end-to-end release candidate and operating acceptance,BACKLOG,P2,POST-SUBTASK-009;POST-SUBTASK-114;POST-SUBTASK-123;POST-SUBTASK-132,0,OPERATING,Dependency criticality only; this is not a duration estimate.
46,POST-STORY-001,Story,[POST-STORY-001] Canonical handoff and target-environment preflight,BACKLOG,P0,,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
47,POST-STORY-003,Story,[POST-STORY-003] Authoritative target-hardware benchmark and threshold governance,BACKLOG,P0,POST-SUBTASK-002;POST-SUBTASK-006,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
48,POST-STORY-005,Story,[POST-STORY-005] Reconcile the final source universe and authority decisions,BACKLOG,P0,,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
49,POST-STORY-006,Story,"[POST-STORY-006] Per-source license, terms, and redistribution decisions",BACKLOG,P0,POST-SUBTASK-015,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
50,POST-STORY-007,Story,[POST-STORY-007] Credential configuration and access smoke tests,BACKLOG,P0,POST-SUBTASK-015,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
51,POST-STORY-009,Story,[POST-STORY-009] Core national game spine,BACKLOG,P0,POST-SUBTASK-006;POST-SUBTASK-018;POST-SUBTASK-021;POST-SUBTASK-022,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
52,POST-STORY-010,Story,"[POST-STORY-010] Player, roster, recruiting, market, weather, and contextual raw domains",BACKLOG,P0,POST-SUBTASK-027,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
53,POST-STORY-011,Story,"[POST-STORY-011] Immutable raw store, manifests, provenance, and population audit",BACKLOG,P0,POST-SUBTASK-027;POST-SUBTASK-030,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
54,POST-STORY-012,Story,[POST-STORY-012] Population schema and missingness contracts,BACKLOG,P0,POST-SUBTASK-033,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
55,POST-STORY-013,Story,"[POST-STORY-013] Canonical registries, aliases, and temporal relationships",BACKLOG,P0,POST-SUBTASK-036,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
56,POST-STORY-014,Story,"[POST-STORY-014] Population resolution, review workflow, transitions, and entity gate",BACKLOG,P0,POST-SUBTASK-039,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
57,POST-STORY-015,Story,[POST-STORY-015] Known-at registry and timestamp normalization,BACKLOG,P0,POST-SUBTASK-042,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
58,POST-STORY-016,Story,[POST-STORY-016] Append-only as-of state and pregame matrices,BACKLOG,P0,POST-SUBTASK-045,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
59,POST-STORY-017,Story,[POST-STORY-017] Leakage battery and chronological replay infrastructure,BACKLOG,P0,POST-SUBTASK-048,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
60,POST-STORY-020,Story,"[POST-STORY-020] Screening, ablation, stability, and promotion",BACKLOG,P1,POST-SUBTASK-057,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
61,POST-STORY-024,Story,"[POST-STORY-024] Model-ready targets, splits, weights, and datasets",BACKLOG,P1,POST-SUBTASK-051;POST-SUBTASK-060,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
62,POST-STORY-026,Story,"[POST-STORY-026] Calibration, ensembles, OOD, abstention, and candidate artifact registry",BACKLOG,P1,POST-SUBTASK-075,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
63,POST-STORY-033,Story,"[POST-STORY-033] Protected split, judging rule, threshold, candidate, and access seal",BACKLOG,P1,POST-SUBTASK-078;POST-SUBTASK-084;POST-SUBTASK-090,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
64,POST-STORY-034,Story,[POST-STORY-034] Sealed walk-forward predictions and complete scorecards,BACKLOG,P1,POST-SUBTASK-099,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
65,POST-STORY-035,Story,"[POST-STORY-035] Calibration/robustness gates, A&M/BAS decisions, and champion promotion",BACKLOG,P1,POST-SUBTASK-087;POST-SUBTASK-096;POST-SUBTASK-102,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
66,TASK-006,Task,[TASK-006] Run W06 architecture/backlog replan gate,DONE,P1,TASK-005,5,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
67,TASK-012,Task,[TASK-012] Freeze canonical identity contracts and acceptance evidence plan,DONE,P1,TASK-010;TASK-011,5,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
68,TASK-018,Task,[TASK-018] Freeze PIT gateway as mandatory feature-entry boundary,DONE,P1,TASK-016;TASK-017,12,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
69,TASK-023,Task,[TASK-023] Freeze registry schema and source-to-feature-candidate handoff,DONE,P1,TASK-022,3,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
70,TASK-029,Task,[TASK-029] Freeze target-specific feature lifecycle gate,DONE,P1,TASK-028,5,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
71,TASK-035,Task,[TASK-035] Freeze team-state/early-season interface for downstream intelligence,DONE,P1,TASK-034,6,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
72,TASK-040,Task,[TASK-040] Freeze minimum baseline comparison bar methodology,DONE,P1,TASK-039,4,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
73,TASK-046,Task,[TASK-046] Pass foundation implementation gate,DONE,P1,TASK-045,6,FUNCTIONAL_STARTER,Dependency criticality only; this is not a duration estimate.
74,TASK-052,Task,[TASK-052] Freeze player/availability downstream interface,DONE,P1,TASK-050;TASK-051,6,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
75,TASK-058,Task,[TASK-058] Freeze advanced player-input contract,DONE,P1,TASK-052;TASK-057,2,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
76,TASK-064,Task,[TASK-064] Freeze coaching intelligence interface,DONE,P1,TASK-063,3,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
77,TASK-070,Task,[TASK-070] Freeze context interface and missingness behavior,DONE,P1,TASK-065;TASK-067;TASK-068;TASK-069,3,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
78,TASK-076,Task,[TASK-076] Freeze mechanics feature interfaces,DONE,P1,TASK-073;TASK-075,2,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
79,TASK-082,Task,[TASK-082] Freeze matchup/context adjustment interfaces,DONE,P1,TASK-077;TASK-078;TASK-080;TASK-081,2,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
80,TASK-087,Task,[TASK-087] Run advanced feature family ablation readiness gate,DONE,P1,TASK-040;TASK-086,0,FUNCTIONAL_STARTER,Dependency criticality only; this is not a duration estimate.
81,TASK-093,Task,[TASK-093] Freeze A&M state interface,DONE,P1,TASK-089;TASK-090;TASK-091;TASK-092,2,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
82,TASK-099,Task,[TASK-099] Freeze specialization candidates for W16/W17 comparison,DONE,P1,TASK-097;TASK-098,3,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
83,TASK-104,Task,[TASK-104] Freeze BAS labeling contract,DONE,P1,TASK-103,4,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
84,TASK-110,Task,[TASK-110] Freeze BAS component promotion/rejection decision rule,DONE,P1,TASK-109,2,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
85,TASK-115,Task,[TASK-115] Pass A&M/BAS starter integration gate,DONE,P1,TASK-110;TASK-114,2,FUNCTIONAL_STARTER,Dependency criticality only; this is not a duration estimate.
86,TASK-121,Task,[TASK-121] Freeze model/joint-score architecture candidates,DONE,P1,TASK-118;TASK-120,6,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
87,TASK-127,Task,[TASK-127] Freeze uncertainty/market promotion and warning decision rules,DONE,P1,TASK-126,2,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
88,TASK-133,Task,[TASK-133] Freeze W17 validation/promotion science protocol gate,DONE,P1,TASK-110;TASK-127;TASK-132,6,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
89,TASK-139,Task,[TASK-139] Pass corrected autonomous research/tournament governance gate,DONE,P1,TASK-138,4,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
90,TASK-145,Task,[TASK-145] Pass starter forecast-model integration gate,DONE,P1,TASK-115;TASK-143;TASK-144,4,FUNCTIONAL_STARTER,Dependency criticality only; this is not a duration estimate.
91,TASK-151,Task,[TASK-151] Pass weekly pipeline idempotency/resume gate,DONE,P1,TASK-147;TASK-150,3,INTEGRATED,Dependency criticality only; this is not a duration estimate.
92,TASK-157,Task,[TASK-157] Pass snapshot-only serving and product acceptance gate,DONE,P1,TASK-155;TASK-156,2,INTEGRATED,Dependency criticality only; this is not a duration estimate.
93,TASK-163,Task,[TASK-163] Pass local production operations gate,BLOCKED,P1,TASK-159;TASK-161;TASK-162,1,FUNCTIONAL_STARTER,Dependency criticality only; this is not a duration estimate.
94,TASK-178,Task,[TASK-178] Pass W24 end-to-end readiness gate,DONE,P1,TASK-177,1,INTEGRATED,Dependency criticality only; this is not a duration estimate.
95,TASK-184,Task,[TASK-184] Freeze final cumulative/hydration Codex handoff,DONE,P1,TASK-183,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
96,POST-SUBTASK-001,Subtask,"[POST-SUBTASK-001] Verify W25 repository identity, manifests, and no-Wave-26 state",READY,P0,,6,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
97,POST-SUBTASK-002,Subtask,[POST-SUBTASK-002] Run the full unit and governance validator suite on the target host,BLOCKED,P0,POST-SUBTASK-001,10,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
98,POST-SUBTASK-003,Subtask,[POST-SUBTASK-003] Capture the authoritative target runtime and dependency manifest,BLOCKED,P0,POST-SUBTASK-001;POST-SUBTASK-002,0,INTEGRATED,Dependency criticality only; this is not a duration estimate.
99,POST-SUBTASK-007,Subtask,[POST-SUBTASK-007] Stage the representative AC-038 workload and benchmark input manifest,BLOCKED,P0,POST-SUBTASK-002;POST-SUBTASK-006,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
100,POST-SUBTASK-008,Subtask,[POST-SUBTASK-008] Run scripts/benchmark_target.ps1 on the declared Windows/Ryzen 7 HX/32 GB/RTX 5060/NVMe target,BLOCKED,P0,POST-SUBTASK-002;POST-SUBTASK-006;POST-SUBTASK-007,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
101,POST-SUBTASK-009,Subtask,[POST-SUBTASK-009] Govern THR-011 and THR-012 values and clear or retain the W23 local-production gate,BLOCKED,P0,POST-SUBTASK-002;POST-SUBTASK-006;POST-SUBTASK-007;POST-SUBTASK-008,13,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
102,POST-SUBTASK-013,Subtask,[POST-SUBTASK-013] Reconcile W06 source inventory with W24 refresh and current handoff gaps,READY,P0,,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
103,POST-SUBTASK-014,Subtask,"[POST-SUBTASK-014] Freeze source priority, fallback, and required-versus-optional classifications",BLOCKED,P0,POST-SUBTASK-013,1,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
104,POST-SUBTASK-015,Subtask,[POST-SUBTASK-015] Validate source inventory completeness and unresolved decision coverage,BLOCKED,P0,POST-SUBTASK-013;POST-SUBTASK-014,8,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
105,POST-SUBTASK-016,Subtask,"[POST-SUBTASK-016] Complete rights review for CFBD, SportsDataverse, Open-Meteo, and official A&M/SEC/NCAA lanes",BLOCKED,P0,POST-SUBTASK-015,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
106,POST-SUBTASK-017,Subtask,"[POST-SUBTASK-017] Complete rights review for recruiting, transfer, market, resources, gamebook, and officiating lanes",BLOCKED,P0,POST-SUBTASK-015;POST-SUBTASK-016,1,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
107,POST-SUBTASK-018,Subtask,[POST-SUBTASK-018] Publish the approved source-rights matrix and block disallowed acquisition/export paths,BLOCKED,P0,POST-SUBTASK-015;POST-SUBTASK-016;POST-SUBTASK-017,8,INTEGRATED,Dependency criticality only; this is not a duration estimate.
108,POST-SUBTASK-019,Subtask,"[POST-SUBTASK-019] Define credential names, scopes, owners, rotation, and non-repository storage contract",BLOCKED,P0,POST-SUBTASK-015,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
109,POST-SUBTASK-020,Subtask,[POST-SUBTASK-020] Run authenticated and no-key source access smoke tests with rate-limit capture,BLOCKED,P0,POST-SUBTASK-015;POST-SUBTASK-019,1,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
110,POST-SUBTASK-021,Subtask,[POST-SUBTASK-021] Validate access readiness and generate source-specific unblock conditions,BLOCKED,P0,POST-SUBTASK-015;POST-SUBTASK-019;POST-SUBTASK-020,8,INTEGRATED,Dependency criticality only; this is not a duration estimate.
111,POST-SUBTASK-025,Subtask,"[POST-SUBTASK-025] Acquire approved national team, schedule, game, score, drive, play, box-score, and gamebook history",BLOCKED,P0,POST-SUBTASK-006;POST-SUBTASK-018;POST-SUBTASK-021;POST-SUBTASK-022,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
112,POST-SUBTASK-026,Subtask,[POST-SUBTASK-026] Normalize and reconcile core/game-event records while preserving immutable source evidence,BLOCKED,P0,POST-SUBTASK-006;POST-SUBTASK-018;POST-SUBTASK-021;POST-SUBTASK-022;POST-SUBTASK-025,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
113,POST-SUBTASK-027,Subtask,[POST-SUBTASK-027] Approve or block the population-level core-history coverage gate,BLOCKED,P0,POST-SUBTASK-006;POST-SUBTASK-018;POST-SUBTASK-021;POST-SUBTASK-022;POST-SUBTASK-025;POST-SUBTASK-026,8,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
114,POST-SUBTASK-028,Subtask,"[POST-SUBTASK-028] Acquire timestamped roster, depth, participation, injury, recruiting, transfer, coaching, weather, venue, travel, market, resource, and mechanics evidence",BLOCKED,P0,POST-SUBTASK-027,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
115,POST-SUBTASK-029,Subtask,"[POST-SUBTASK-029] Profile supporting-domain schema, historical coverage, timestamp quality, upstream lineage, and rights class",BLOCKED,P0,POST-SUBTASK-027;POST-SUBTASK-028,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
116,POST-SUBTASK-030,Subtask,"[POST-SUBTASK-030] Approve domain-by-domain production, experimental, conditional, rejected, or banned eligibility",BLOCKED,P0,POST-SUBTASK-027;POST-SUBTASK-028;POST-SUBTASK-029,13,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
117,POST-SUBTASK-031,Subtask,"[POST-SUBTASK-031] Enforce content-addressed raw snapshots, correction lineage, quarantine, and source-rights storage classes",BLOCKED,P0,POST-SUBTASK-027;POST-SUBTASK-030,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
118,POST-SUBTASK-032,Subtask,"[POST-SUBTASK-032] Build the cross-domain acquisition, schema, quality, and source-to-snapshot provenance manifests",BLOCKED,P0,POST-SUBTASK-027;POST-SUBTASK-030;POST-SUBTASK-031,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
119,POST-SUBTASK-033,Subtask,[POST-SUBTASK-033] Run and publish the national historical-lake readiness decision,BLOCKED,P0,POST-SUBTASK-027;POST-SUBTASK-030;POST-SUBTASK-031;POST-SUBTASK-032,5,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
120,POST-SUBTASK-034,Subtask,"[POST-SUBTASK-034] Profile every materialized table for rows, types, nulls, uniqueness, ranges, duplicates, timestamps, and partitions",BLOCKED,P0,POST-SUBTASK-033,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
121,POST-SUBTASK-035,Subtask,"[POST-SUBTASK-035] Reconcile measured fields with canonical contracts, compatibility policy, and quarantine/rejection decisions",BLOCKED,P0,POST-SUBTASK-033;POST-SUBTASK-034,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
122,POST-SUBTASK-036,Subtask,[POST-SUBTASK-036] Approve or block schema and missingness readiness for entity resolution,BLOCKED,P0,POST-SUBTASK-033;POST-SUBTASK-034;POST-SUBTASK-035,4,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
123,POST-SUBTASK-037,Subtask,"[POST-SUBTASK-037] Build canonical team, conference, venue, game, season, and source registries with effective-dated aliases",BLOCKED,P0,POST-SUBTASK-036,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
124,POST-SUBTASK-038,Subtask,"[POST-SUBTASK-038] Build coach, staff, player, roster, recruiting, and transfer identity registries with confidence and review state",BLOCKED,P0,POST-SUBTASK-036;POST-SUBTASK-037,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
125,POST-SUBTASK-039,Subtask,"[POST-SUBTASK-039] Validate registry uniqueness, temporal consistency, collisions, and referential completeness",BLOCKED,P0,POST-SUBTASK-036;POST-SUBTASK-037;POST-SUBTASK-038,4,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
126,POST-SUBTASK-040,Subtask,"[POST-SUBTASK-040] Run exact, alias, contextual, and bounded probabilistic resolution over the full population with evidence per decision",BLOCKED,P0,POST-SUBTASK-039,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
127,POST-SUBTASK-041,Subtask,"[POST-SUBTASK-041] Operate unresolved/collision/merge/split review and materialize temporal team, conference, staff, roster, and player transitions",BLOCKED,P0,POST-SUBTASK-039;POST-SUBTASK-040,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
128,POST-SUBTASK-042,Subtask,[POST-SUBTASK-042] Publish the canonical entity snapshot and approve or block downstream PIT consumption,BLOCKED,P0,POST-SUBTASK-039;POST-SUBTASK-040;POST-SUBTASK-041,5,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
129,POST-SUBTASK-043,Subtask,"[POST-SUBTASK-043] Reconcile field temporal classes, source known-at rules, cutoffs, correction policies, and prohibited uses against real schemas",BLOCKED,P0,POST-SUBTASK-042,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
130,POST-SUBTASK-044,Subtask,"[POST-SUBTASK-044] Normalize observed, published, effective, retrieved, and corrected timestamps with source-specific precedence and timezone rules",BLOCKED,P0,POST-SUBTASK-042;POST-SUBTASK-043,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
131,POST-SUBTASK-045,Subtask,[POST-SUBTASK-045] Validate fail-closed cutoff eligibility and deliberate future/same-game/postgame rejection,BLOCKED,P0,POST-SUBTASK-042;POST-SUBTASK-043;POST-SUBTASK-044,4,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
132,POST-SUBTASK-046,Subtask,"[POST-SUBTASK-046] Materialize append-only game, team, conference, venue, player, roster, staff, availability, weather, market, and context as-of state",BLOCKED,P0,POST-SUBTASK-045,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
133,POST-SUBTASK-047,Subtask,"[POST-SUBTASK-047] Build national pregame matrices at configured cutoffs with row/cell lineage, missingness class, fallback, and pinned versions",BLOCKED,P0,POST-SUBTASK-045;POST-SUBTASK-046,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
