adr_id,title,status,wave,post_wave_issue_ids,change_required_if_violated,source_ref_id,mapped
ADR-134,Lifecycle decisions are append-only evidence records,ACCEPTED,W10,POST-SUBTASK-105,true,SRCREF-01347,true
ADR-135,"BANNED is structural, not low importance",ACCEPTED,W10,POST-SUBTASK-078,true,SRCREF-01348,true
ADR-136,Real feature promotion deferred to empirical owner waves,ACCEPTED,W10,POST-SUBTASK-105,true,SRCREF-01349,true
ADR-137,Explicit interactions only; no combinatorial explosion,ACCEPTED,W10,POST-SUBTASK-141,true,SRCREF-01350,true
ADR-138,Standard-library reference feature machinery at W10,ACCEPTED,W10,POST-SUBTASK-060,true,SRCREF-01351,true
ADR-139,Separate prior/underlying/available/form state,ACCEPTED,W11,POST-SUBTASK-141,true,SRCREF-01352,true
ADR-140,Team state is immutable PIT snapshot,ACCEPTED,W11,POST-SUBTASK-051,true,SRCREF-01353,true
ADR-141,Composite Week-1 prior with no frozen component weights,ACCEPTED,W11,POST-SUBTASK-141,true,SRCREF-01354,true
ADR-142,Early-season blend schedule remains empirical,ACCEPTED,W11,POST-SUBTASK-141,true,SRCREF-01355,true
ADR-143,National training utility differs from current-team relevance,ACCEPTED,W11,POST-SUBTASK-042,true,SRCREF-01356,true
ADR-144,Recency/regime/change-point representations remain candidates,ACCEPTED,W11,POST-SUBTASK-141,true,SRCREF-01357,true
ADR-145,Change points shrink/inflate uncertainty before hard reset,ACCEPTED,W11,POST-SUBTASK-078,true,SRCREF-01358,true
ADR-146,Bounded FBS/FCS/lower-division hierarchy,ACCEPTED,W11,POST-SUBTASK-069,true,SRCREF-01359,true
ADR-147,Cross-division translation is data-driven with uncertainty,ACCEPTED,W11,POST-SUBTASK-078,true,SRCREF-01360,true
ADR-148,Resources are upstream prior candidates,ACCEPTED,W11,POST-SUBTASK-114,true,SRCREF-01361,true
ADR-149,W12 owns detailed available-strength player adjustment,ACCEPTED,W11,POST-SUBTASK-069,true,SRCREF-01362,true
ADR-150,Team-state subsystem stays inside modular monolith,ACCEPTED,W11,POST-SUBTASK-141,true,SRCREF-01363,true
ADR-151,"W11 gate freezes semantics, not empirical parameterization",ACCEPTED,W11,POST-SUBTASK-141,true,SRCREF-01364,true
ADR-152,"Separate roster, depth, availability and participation state",ACCEPTED,W12,POST-SUBTASK-069,true,SRCREF-01365,true
ADR-153,Position-aware player value without manual point assignments,ACCEPTED,W12,POST-SUBTASK-069,true,SRCREF-01366,true
ADR-154,"Availability uses probability, effectiveness and expected usage scenarios",ACCEPTED,W12,POST-SUBTASK-078,true,SRCREF-01367,true
ADR-155,Replacement effect is identity/value/usage specific,ACCEPTED,W12,POST-SUBTASK-078,true,SRCREF-01368,true
ADR-156,Sparse availability evidence remains uncertain,ACCEPTED,W12,POST-SUBTASK-069,true,SRCREF-01369,true
ADR-157,Rotation is first-class player state,ACCEPTED,W12,POST-SUBTASK-069,true,SRCREF-01370,true
ADR-158,Transfer preserves canonical player identity,ACCEPTED,W12,POST-SUBTASK-069,true,SRCREF-01371,true
ADR-159,Transfer translation is learned from continuous context,ACCEPTED,W12,POST-SUBTASK-069,true,SRCREF-01372,true
ADR-160,Freshmen/prospects use separate priors,ACCEPTED,W12,POST-SUBTASK-123,true,SRCREF-01373,true
ADR-161,Preseason honors are external-consensus candidates,ACCEPTED,W12,POST-SUBTASK-141,true,SRCREF-01374,true
ADR-162,Draft outcomes are lagged evidence/training targets only,ACCEPTED,W12,POST-SUBTASK-060,true,SRCREF-01375,true
ADR-163,Official conference availability is primary when policy covers,ACCEPTED,W12,POST-SUBTASK-069,true,SRCREF-01376,true
ADR-164,W12 source-registry provenance catch-up completes TASK-197,ACCEPTED,W12,POST-SUBTASK-069,true,SRCREF-01377,true
ADR-165,Transfer/recruiting source use remains terms/provenance governed,ACCEPTED,W12,POST-SUBTASK-069,true,SRCREF-01378,true
ADR-166,W12 available-strength handoff remains uncalibrated abstract value units,ACCEPTED,W12,POST-SUBTASK-069,true,SRCREF-01379,true
ADR-167,"W12 gate freezes contracts, not empirical winners",ACCEPTED,W12,POST-SUBTASK-123,true,SRCREF-01380,true
ADR-168,Coach jobs as effective-dated role episodes,ACCEPTED,W13,POST-SUBTASK-069,true,SRCREF-01381,true
ADR-169,Coach effects use residuals with hierarchical confound controls,ACCEPTED,W13,POST-SUBTASK-069,true,SRCREF-01382,true
ADR-170,Promotions retain evidence without additive double counting,ACCEPTED,W13,POST-SUBTASK-105,true,SRCREF-01383,true
ADR-171,Scheme and play-caller state are effective-dated,ACCEPTED,W13,POST-SUBTASK-141,true,SRCREF-01384,true
ADR-172,Fourth-down/clock/halftime effects remain experimental,ACCEPTED,W13,POST-SUBTASK-123,true,SRCREF-01385,true
ADR-173,Issued forecast runs are the pregame weather lane,ACCEPTED,W13,POST-SUBTASK-078,true,SRCREF-01386,true
ADR-174,"Travel is differential, cumulative and DST-aware",ACCEPTED,W13,POST-SUBTASK-060,true,SRCREF-01387,true
ADR-175,Four resource lanes R0/R1/R2/R3,ACCEPTED,W13,POST-SUBTASK-141,true,SRCREF-01388,true
ADR-176,"Home field is hierarchical residual, not raw home record",ACCEPTED,W13,POST-SUBTASK-069,true,SRCREF-01389,true
ADR-177,Game stakes remain factual PIT context,ACCEPTED,W13,POST-SUBTASK-051,true,SRCREF-01390,true
ADR-178,Rule era expands to regulatory environment,ACCEPTED,W13,POST-SUBTASK-069,true,SRCREF-01391,true
ADR-179,Possession opportunity separated from scoring efficiency,ACCEPTED,W13,POST-SUBTASK-141,true,SRCREF-01392,true
ADR-180,Field-position and special-teams component accounting,ACCEPTED,W13,POST-SUBTASK-141,true,SRCREF-01393,true
ADR-181,Score-state/garbage-time policies remain challengers,ACCEPTED,W13,POST-SUBTASK-141,true,SRCREF-01394,true
ADR-182,Opponent adjustment and style similarity require strict-prior evidence,ACCEPTED,W13,POST-SUBTASK-141,true,SRCREF-01395,true
ADR-183,Schedule stress uses completed prior workload plus known current trip,ACCEPTED,W13,POST-SUBTASK-051,true,SRCREF-01396,true
ADR-184,Officiating remains experimental and fails closed,ACCEPTED,W13,POST-SUBTASK-060,true,SRCREF-01397,true
ADR-185,W13 is contract/reference maturity only,ACCEPTED,W13,POST-SUBTASK-069,true,SRCREF-01398,true
ADR-186,Repair W14 dependency inversion,ACCEPTED,W13,POST-SUBTASK-141,true,SRCREF-01399,true
ADR-187,A&M high-resolution overlay reuses national canonical truth,ACCEPTED,W14,POST-SUBTASK-141,true,SRCREF-01400,true
ADR-188,Freeze versioned A&M state overlay contract,ACCEPTED,W14,POST-SUBTASK-078,true,SRCREF-01401,true
ADR-189,Prioritize official A&M/SEC evidence with governed fallbacks,ACCEPTED,W14,POST-SUBTASK-141,true,SRCREF-01402,true
ADR-190,A&M unit resolution does not imply manual unit bonuses,ACCEPTED,W14,POST-SUBTASK-069,true,SRCREF-01403,true
ADR-191,A&M snapshot cadence remains candidate and immutable,ACCEPTED,W14,POST-SUBTASK-033,true,SRCREF-01404,true
ADR-192,Separate peer cohorts from historical analog retrieval,ACCEPTED,W14,POST-SUBTASK-141,true,SRCREF-01405,true
ADR-193,Peer/analog methods remain strict-prior experimental evidence,ACCEPTED,W14,POST-SUBTASK-078,true,SRCREF-01406,true
ADR-194,Freeze national→A&M specialization semantic interface,ACCEPTED,W14,POST-SUBTASK-087,true,SRCREF-01407,true
ADR-195,No-adjustment national forecast is mandatory A&M baseline,ACCEPTED,W14,POST-SUBTASK-078,true,SRCREF-01408,true
ADR-196,Residual adapter remains specialization challenger,ACCEPTED,W14,POST-SUBTASK-141,true,SRCREF-01409,true
ADR-197,Hierarchical/multi-task remains specialization challenger,ACCEPTED,W14,POST-SUBTASK-141,true,SRCREF-01410,true
ADR-198,Partial-pooling/shrinkage is explicit specialization challenger,ACCEPTED,W14,POST-SUBTASK-141,true,SRCREF-01411,true
ADR-199,Promotion requires shrinkage and protected incremental value,ACCEPTED,W14,POST-SUBTASK-105,true,SRCREF-01412,true
ADR-200,Retain dual A&M and national evaluation scorecards,ACCEPTED,W14,POST-SUBTASK-105,true,SRCREF-01413,true
ADR-201,Isolate pure-football specialization from market/BAS/narrative leakage,ACCEPTED,W14,POST-SUBTASK-096,true,SRCREF-01414,true
ADR-202,Freeze W14 candidate set without empirical winner,ACCEPTED,W14,POST-SUBTASK-141,true,SRCREF-01415,true
ADR-203,Freeze BAS residual sign and headline >=7 threshold,ACCEPTED,W15,POST-SUBTASK-096,true,SRCREF-01416,true
ADR-204,Require chronological OOS expected-margin labels,ACCEPTED,W15,POST-SUBTASK-141,true,SRCREF-01417,true
ADR-205,Group mirrored rows by canonical game in BAS cross-fit/inference,ACCEPTED,W15,POST-SUBTASK-096,true,SRCREF-01418,true
ADR-206,Use BAS-independent national pregame expectation as primary scientific anchor,ACCEPTED,W15,POST-SUBTASK-096,true,SRCREF-01419,true
ADR-207,Defer exact expectation-model family to W16/W17,ACCEPTED,W15,POST-SUBTASK-078,true,SRCREF-01420,true
ADR-208,Version BAS labels and anchors immutably,ACCEPTED,W15,POST-SUBTASK-096,true,SRCREF-01421,true
ADR-209,Use general FBS underperformance before Aggie Excess claim,ACCEPTED,W15,POST-SUBTASK-078,true,SRCREF-01422,true
ADR-210,Treat Aggie Excess as null-first effect,ACCEPTED,W15,POST-SUBTASK-141,true,SRCREF-01423,true
ADR-211,Freeze peers/regimes before protected outcome inspection,ACCEPTED,W15,POST-SUBTASK-141,true,SRCREF-01424,true
ADR-212,"Require effect size, stability and multiple-testing policy",ACCEPTED,W15,POST-SUBTASK-096,true,SRCREF-01425,true
ADR-213,Keep BAS component decompositions unselected in W15,ACCEPTED,W15,POST-SUBTASK-096,true,SRCREF-01426,true
ADR-214,Isolate Collapse BAS to chronological live-replay lane,ACCEPTED,W15,POST-SUBTASK-096,true,SRCREF-01427,true
ADR-215,Do not require BAS components to add unless W16 score model guarantees coherence,ACCEPTED,W15,POST-SUBTASK-096,true,SRCREF-01428,true
ADR-216,Require nested calibrated BAS probability outputs later,ACCEPTED,W15,POST-SUBTASK-096,true,SRCREF-01429,true
ADR-217,Keep sensitivity anchors separate from primary label,ACCEPTED,W15,POST-SUBTASK-078,true,SRCREF-01430,true
ADR-218,Leave THR-006 blank until W17 precommitment,ACCEPTED,W15,POST-SUBTASK-141,true,SRCREF-01431,true
ADR-219,Repair W15/W16 dependency inversion,ACCEPTED,W15,POST-SUBTASK-141,true,SRCREF-01432,true
ADR-220,Freeze W15 contract-only maturity and W16 handoff,ACCEPTED,W15,POST-SUBTASK-141,true,SRCREF-01433,true
ADR-221,Joint score distribution is coherence source of truth,ACCEPTED,W16,POST-SUBTASK-078,true,SRCREF-01434,true
ADR-222,Explicit overtime resolution for tie mass,ACCEPTED,W16,POST-SUBTASK-141,true,SRCREF-01435,true
ADR-223,Keep W15 BAS label semantics unchanged,ACCEPTED,W16,POST-SUBTASK-096,true,SRCREF-01436,true
ADR-224,Retain mandatory simple baselines,ACCEPTED,W16,POST-SUBTASK-078,true,SRCREF-01437,true
ADR-225,Do not select a W16 model family,ACCEPTED,W16,POST-SUBTASK-078,true,SRCREF-01438,true
ADR-226,Do not freeze boosted-tree library,ACCEPTED,W16,POST-SUBTASK-141,true,SRCREF-01439,true
ADR-227,Keep small neural architecture challenger-only,ACCEPTED,W16,POST-SUBTASK-078,true,SRCREF-01440,true
ADR-228,Pure-football and market-augmented lanes remain isolated,ACCEPTED,W16,POST-SUBTASK-060,true,SRCREF-01441,true
ADR-229,Closing market is timestamped benchmark not universal feature,ACCEPTED,W16,POST-SUBTASK-078,true,SRCREF-01442,true
ADR-230,Scenario engine binds immutable baseline snapshot,ACCEPTED,W16,POST-SUBTASK-078,true,SRCREF-01443,true
ADR-231,Prefer exact scenario mixtures when practical,ACCEPTED,W16,POST-SUBTASK-141,true,SRCREF-01444,true
ADR-232,Separate uncertainty categories,ACCEPTED,W16,POST-SUBTASK-078,true,SRCREF-01445,true
ADR-233,OOD is warning/uncertainty signal not directional strength rule,ACCEPTED,W16,POST-SUBTASK-078,true,SRCREF-01446,true
ADR-234,Leave THR-014 and THR-015 blank,ACCEPTED,W16,POST-SUBTASK-078,true,SRCREF-01447,true
ADR-235,Model disagreement is candidate evidence only,ACCEPTED,W16,POST-SUBTASK-078,true,SRCREF-01448,true
ADR-236,Retain W14 no-adjustment A&M baseline,ACCEPTED,W16,POST-SUBTASK-078,true,SRCREF-01449,true
