source_ref_id,repo_relative_path,windows_absolute_path,document_sha256,heading,start_line,end_line,anchor_excerpt,anchor_hash,source_type,authority_level,why_relevant,last_verified
SRCREF-00011,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,12,12,"EPIC-011,PHASE-2,W13,Coaching and staff intelligence,""Represent effective-dated role episodes, development residuals, scheme/tendency and decision evidence with partial pooling."",MUST,W06_REPLAN,DONE_W13_CONTRACT_ONLY",b33b31a8e1a31444983bdaf2a69d8f7dc9f27df986f72a559ece5e4410b2d079,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-011,2026-08-08
SRCREF-00012,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,13,13,"EPIC-012,PHASE-2,W13,""Environment, resources, venue and travel context"",Represent environment and resource signals without inventing private-school values or hard-coded home bonuses.,MUST,W06_REPLAN,DONE_W13_CONTRACT_ONLY",bcd8e6bfb4a3068c14299a8428a5f75b2f5816bb4d34e239b4547c728869bb03,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-012,2026-08-08
SRCREF-00013,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,14,14,"EPIC-013,PHASE-2,W13,""Possession, field position and special teams mechanics"",""Represent opportunity volume, hidden yards and specialists as separable candidate subsystems."",MUST,W06_REPLAN,DONE_W13_CONTRACT_ONLY",fdb5cbf9fe3cd64f05592c43ede8ace6c90108d36c6891200a147582f06502c9,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-013,2026-08-08
SRCREF-00014,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,15,15,"EPIC-014,PHASE-2,W13,""Opponent adjustment, style and schedule stress"",Normalize performance by opponent quality and represent matchup/style/workload context.,MUST,W06_REPLAN,DONE_W13_CONTRACT_ONLY",53fa23bcae18c2c6580e6c1c16653a2a5007fcaf7a806d58558ed7e6d0f3c8b3,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-014,2026-08-08
SRCREF-00015,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,16,16,"EPIC-015,PHASE-2,W19-W20,Advanced intelligence implementation realization,Implement selected advanced state/feature components behind stable PIT-safe interfaces.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",86d8a2a573c704c8a8ade08841457f5c529dab773dc182271848ccaaba7bf077,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-015,2026-08-08
SRCREF-00016,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,17,17,"EPIC-016,PHASE-3,W14,Texas A&M high-resolution state,Define deeper A&M roster/unit/regime/matchup state while preserving one canonical truth.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",95c2d425ef2fdeb8b096bd473454109dc2e882c67931626268eaf51b9d535712,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-016,2026-08-08
SRCREF-00017,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,18,18,"EPIC-017,PHASE-3,W14,A&M specialization architecture,""Compare residual, hierarchical multi-task, stacking and other specialization forms without forcing a nonzero adjustment."",MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",90962748aabf138c5a8028a55eac3983b9c4d88ab5e3fcc0a1e7178e2f85d29d,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-017,2026-08-08
SRCREF-00018,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,19,19,"EPIC-018,PHASE-3,W15,Scientific BAS labels and cross-fitting,Formalize leakage-safe performance residuals and BAS severity labels.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",1a40557367cd4b8b3fbbcb6e12ff28a21d1ab1b3502ca2628b06040e15f9a1fa,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-018,2026-08-08
SRCREF-00019,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,20,20,"EPIC-019,PHASE-3,W15-W17,BAS decomposition and statistical validation,""Evaluate Aggie Excess, peer/regime/component hypotheses without hard-coding fan narratives."",MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",96c864912020f02e67d3b2a6e0861e31f9100893a430eabb19efe9e331a9f3d8,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-019,2026-08-08
SRCREF-00020,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,21,21,"EPIC-020,PHASE-3,W20,A&M specialization and BAS starter implementation,Implement selected specialization/BAS interfaces and integrate them with coherent forecast assembly.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",4d0a55a7d2a5ded22d75d7de56b628ba4a9f28859c3381c6ff7d663a47818f4c,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-020,2026-08-08
SRCREF-00021,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,22,22,"EPIC-021,PHASE-4,W16,""Model targets, joint score and simulation"",Build coherent outcome-distribution architecture for win/loss/score/margin/BAS rather than disconnected point predictions.,MUST,W06_REPLAN,DONE_W16_CONTRACT_ONLY",b81d517d7a52cd33571b284431fc9c04ac65086d5977d150301e3ddaf5d8a787,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-021,2026-08-08
SRCREF-00022,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,23,23,"EPIC-022,PHASE-4,W16-W17,""Uncertainty, OOD and market lanes"",Separate pure-football and timestamp-safe market-augmented forecasts and expose uncertainty without unsupported directional claims.,MUST,W06_REPLAN,W16_CONTRACTS_COMPLETE_W17_PROTOCOL_PENDING",cecbf1c6497918bdc767d869990282ff47af8cc8a46f85fbb3939ee5d3848465,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-022,2026-08-08
SRCREF-00023,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,24,24,"EPIC-023,PHASE-4,W17,""Validation, benchmarking and promotion science"",Protect chronological evaluation and promotion rules before protected results are observed.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",f959cab40d5d4e37d9e6254d7480c97cecbec02705718ba62e3b7e43c910de57,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-023,2026-08-08
SRCREF-00024,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,25,25,"EPIC-024,PHASE-4,W18,Experimentation and autonomous research system,Build a governed experiment queue that can propose/run challengers without changing its own judging rules.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",bf9ee1fcab80e317ec2348d603b51a26284a1b7624c60779e73977f74c279760,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-024,2026-08-08
SRCREF-00025,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,26,26,"EPIC-025,PHASE-4,W20,""Model, calibration and forecast starter implementation"",Implement selected baseline/boosting/score/calibration/ensemble/uncertainty interfaces without fabricated performance.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",4aeb2b8da29ef4a41fd61da292077cbb78bd7a7ba37b7635508ad325c238eb93,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-025,2026-08-08
SRCREF-00026,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,27,27,"EPIC-026,PHASE-4,W21,Autonomous weekly MLOps,Create resumable ingestion→QA→state→features→train→evaluate→promote→forecast→postmortem workflows.,MUST,W06_REPLAN,COMPLETE_W21_FUNCTIONAL_STARTER",df470ab128a9e59e0bbd3a6ea9436c01f9e74a902f16b9b39b815e789568b1c4,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-026,2026-08-08
SRCREF-00027,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,28,28,"EPIC-027,PHASE-4,W22,""API, dashboard and forecast product"",""Serve immutable forecast snapshots with lineage, explanation, uncertainty, BAS and availability context."",MUST,W06_REPLAN,COMPLETE_W22_FUNCTIONAL_STARTER",6a06543dcb2c931b5c274e353b600e961cb2a118af93616b9a655faa87205c06,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-027,2026-08-08
SRCREF-00028,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,29,29,"EPIC-028,PHASE-4,W23,""CI/CD, security, observability and local operations"",Harden the local production path using measured operational needs rather than cargo-cult infrastructure.,MUST,W06_REPLAN,READY_W23",367276ab7cab44c8a95e3910c1804873a9055b0e45746e4c15a43c3d9ee39b55,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-028,2026-08-08
SRCREF-00029,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,30,30,"EPIC-029,PHASE-5,W18+,Advanced challenger framework,Allow neural/sequence/graph/other challengers only after strong baselines and protected evaluation exist.,SHOULD,W06_REPLAN,REVALIDATED_W06_PLANNED",2b3bb6287450d16045203aa50da28bee66a984cc19a5d683c2ba18ae06d579b3,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-029,2026-08-08
SRCREF-00030,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,31,31,"EPIC-030,PHASE-5,W24+,Future live/in-game research lane,Research chronological live replay without allowing live state into the same game pregame feature row.,COULD,W06_REPLAN,REVALIDATED_W06_PLANNED",8116f9d0bbc7d35af8a3aab8738cae91f9ebe407567eec5ee6040b07009a6bbb,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-030,2026-08-08
SRCREF-00031,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,32,32,"EPIC-031,PHASE-5,W24,End-to-end readiness and source refresh,""Replay the integrated system, refresh source assumptions and challenge architecture before final consolidation."",MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",c9dffed90d40960b048118e8e8f4295be7fba7b07bca150c4d36a713f5d30d58,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-031,2026-08-08
SRCREF-00032,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,33,33,"EPIC-032,PHASE-5,W25,Final consolidation and Codex handoff,Audit all requirements/ADRs/data/PIT/features/models/acceptance and deliver the final canonical repository and implementation priority.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",33ba82efff7394eee0e484d1ca66b03f1501ce68a3f5ed9c369dd3a9aa197774,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-032,2026-08-08
SRCREF-00033,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,34,34,"EPIC-033,PHASE-4,W06-W25,""Program governance, packaging and adaptive control"",""Maintain cumulative integrity, stable IDs, acceptance evidence, architecture conformance and adaptive replanning across all implementation waves."",MUST,NONE,PLANNED",08606c6d8ea67770414cd66644b7e810d0878f456696cd7f52596adc444355af,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-033,2026-08-08
SRCREF-00034,governance/IMPLEMENTATION_WBS.csv,C:\BatteredAggieSyndrome\governance\IMPLEMENTATION_WBS.csv,2d12a13e74b4519e8b1494566846eff25c88e2794197a99241fd2933daad626e,,2,2,"TASK-001,PHASE-1,EPIC-001,W06,Freeze W06 research method and stopping rules,RESEARCH_GOVERNANCE,MUST,C3,SHARED_CONTRACT,DONE,,REQ-198;REQ-232;REQ-233,AC-009;AC-055;AC-056,DATA_RESEARCH_METHOD.md; SOURCE_RESEARCH_LOG.csv,docs/data research governance,NONE,NO,",0e45c9bc429fc2962d889af67f4d98b16fdd251d839ec837510a95030e0a3efd,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for TASK-001,2026-08-09
SRCREF-00035,governance/IMPLEMENTATION_WBS.csv,C:\BatteredAggieSyndrome\governance\IMPLEMENTATION_WBS.csv,2d12a13e74b4519e8b1494566846eff25c88e2794197a99241fd2933daad626e,,3,3,"TASK-002,PHASE-1,EPIC-001,W06,Execute multi-pass domain and source discovery,RESEARCH,MUST,C4,RESEARCH_LANE,DONE,TASK-001,REQ-198;REQ-232;REQ-233,AC-009;AC-055;AC-056,DATA_UNIVERSE_MASTER.csv; DATA_DOMAIN_COVERAGE_MATRIX.csv,,NONE,NO,",8c50f3279b9433654a484e16d6a1296df58d409cf016af4e53a91c0e48000eee,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for TASK-002,2026-08-09
SRCREF-00036,governance/IMPLEMENTATION_WBS.csv,C:\BatteredAggieSyndrome\governance\IMPLEMENTATION_WBS.csv,2d12a13e74b4519e8b1494566846eff25c88e2794197a99241fd2933daad626e,,4,4,"TASK-003,PHASE-1,EPIC-001,W06,""Audit access, licensing, historical depth and PIT feasibility"",RESEARCH,MUST,C4,RESEARCH_LANE,DONE,TASK-002,REQ-198;REQ-232;REQ-233,AC-009;AC-055;AC-056,SOURCE_ACCESS_LICENSE_MATRIX.csv; POINT_IN_TIME_FEASIBILITY_MATRIX.csv,,NONE,NO,",57805195ed8d16df0512201b7bd6fca208a5e9aed36c12cd47e8c22787d56e7b,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for TASK-003,2026-08-09
SRCREF-00037,governance/IMPLEMENTATION_WBS.csv,C:\BatteredAggieSyndrome\governance\IMPLEMENTATION_WBS.csv,2d12a13e74b4519e8b1494566846eff25c88e2794197a99241fd2933daad626e,,5,5,"TASK-004,PHASE-1,EPIC-001,W06,""Inventory schemas/endpoints, redundancy and source risks"",RESEARCH,MUST,C4,RESEARCH_LANE,DONE,TASK-002,REQ-198;REQ-232;REQ-233,AC-009;AC-055;AC-056,DATASET_ENDPOINT_COLUMN_INVENTORY.csv; SOURCE_REDUNDANCY_MAP.csv; DATA_SOURCE_RISK_REGISTER.csv,,NONE,NO,",592601505abe7063134fc96b9c8259f4573468012e8e6a6b0a252db294fcfa43,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for TASK-004,2026-08-09
SRCREF-00038,governance/IMPLEMENTATION_WBS.csv,C:\BatteredAggieSyndrome\governance\IMPLEMENTATION_WBS.csv,2d12a13e74b4519e8b1494566846eff25c88e2794197a99241fd2933daad626e,,6,6,"TASK-005,PHASE-1,EPIC-001,W06,Decide source priorities and acquisition strategy,DECISION,MUST,C4,SHARED_CONTRACT,DONE,TASK-003;TASK-004,REQ-198;REQ-232;REQ-233,AC-009;AC-055;AC-056,SOURCE_PRIORITY_DECISIONS.md; DATA_ACQUISITION_PLAN.md; DATA_MISSINGNESS_STRATEGY.md,,NONE,NO,",71a56c6bb7cd050c86fc0858b3ba6c61e341c26502d9e3c22505d4d7079752f8,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for TASK-005,2026-08-09
SRCREF-00039,governance/IMPLEMENTATION_WBS.csv,C:\BatteredAggieSyndrome\governance\IMPLEMENTATION_WBS.csv,2d12a13e74b4519e8b1494566846eff25c88e2794197a99241fd2933daad626e,,7,7,"TASK-006,PHASE-1,EPIC-001,W06,Run W06 architecture/backlog replan gate,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-005,REQ-054;REQ-057;REQ-198;REQ-211;REQ-224;REQ-225;REQ-232;REQ-233;REQ-241;REQ-242;REQ-258,AC-009;AC-043;AC-053;AC-055;AC-056;AC-057;AC-060,WAVE_06_ARCHITECTURE_IMPACT.md; WAVE_PLAN_REVISIONS.md; revalidated im",22c260c07f1c5d23bf03dfb9183ba4d32cbdfdb244ed26d4bf9c43ca00744605,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for TASK-006,2026-08-09
SRCREF-00040,governance/IMPLEMENTATION_WBS.csv,C:\BatteredAggieSyndrome\governance\IMPLEMENTATION_WBS.csv,2d12a13e74b4519e8b1494566846eff25c88e2794197a99241fd2933daad626e,,8,8,"TASK-007,PHASE-1,EPIC-002,W07,Define canonical entity semantics and stable ID policy,DESIGN,MUST,C5,SHARED_CONTRACT,DONE,TASK-006,REQ-037;REQ-159;REQ-261;REQ-262;REQ-263;REQ-264;REQ-268;REQ-269;REQ-270;REQ-271;REQ-272;REQ-273;REQ-274,AC-010;AC-055;AC-056;AC-061;AC-062;AC-063,docs/14_CANONICAL_ENTITY_ARCHITECTURE.md; go",97eeb4d50f61ac66167ac7e55cf076693b30a824564c1c248cd8e70ac6b6dc7c,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for TASK-007,2026-08-09
SRCREF-00041,governance/IMPLEMENTATION_WBS.csv,C:\BatteredAggieSyndrome\governance\IMPLEMENTATION_WBS.csv,2d12a13e74b4519e8b1494566846eff25c88e2794197a99241fd2933daad626e,,9,9,"TASK-008,PHASE-1,EPIC-002,W07,""Define source mapping, aliases and temporal identity contracts"",DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-007,REQ-038;REQ-040;REQ-058;REQ-159;REQ-252;REQ-265;REQ-267;REQ-268;REQ-269;REQ-270;REQ-271;REQ-272;REQ-273,AC-010;AC-055;AC-056;AC-062;AC-065,docs/15_SOURCE_MAPPING_AND_EVIDENCE_IDENTIT",ad5027add8ce4a3122289cac179a867ef0711979147d6f8447c4c7524aea79bd,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for TASK-008,2026-08-09
SRCREF-00042,governance/IMPLEMENTATION_WBS.csv,C:\BatteredAggieSyndrome\governance\IMPLEMENTATION_WBS.csv,2d12a13e74b4519e8b1494566846eff25c88e2794197a99241fd2933daad626e,,10,10,"TASK-009,PHASE-1,EPIC-002,W07,Design deterministic/fuzzy entity-resolution pipeline,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-008,REQ-037;REQ-038;REQ-196;REQ-266;REQ-274;REQ-278;REQ-282,AC-010;AC-017;AC-055;AC-056;AC-062;AC-063,docs/16_ENTITY_RESOLUTION_AND_REVIEW.md; governance/ENTITY_RESOLUTION_STATES.csv; configs/entit",16d67bc32bda83bcb90447dc431fcdf997198d45c595bd6e1c97d4fc0967d339,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for TASK-009,2026-08-09
SRCREF-00043,governance/IMPLEMENTATION_WBS.csv,C:\BatteredAggieSyndrome\governance\IMPLEMENTATION_WBS.csv,2d12a13e74b4519e8b1494566846eff25c88e2794197a99241fd2933daad626e,,11,11,"TASK-010,PHASE-1,EPIC-002,W07,""Define confidence, quarantine and unresolved-review workflow"",DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-009,REQ-049;REQ-058;REQ-196;REQ-277;REQ-279;REQ-280,AC-010;AC-017;AC-055;AC-056;AC-063;AC-064,docs/16_ENTITY_RESOLUTION_AND_REVIEW.md; schemas/canonical/resolution_decision.json,,W06_REPLA",141cb32f003a55cf3e21858db66eae4cb6026ace6499aa2878eeab9e264aa04f,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for TASK-010,2026-08-09
