local_id,jira_key,import_id,issue_type,summary,parent,epic,phase,priority,workflow_state,maturity_before,maturity_after,evidence_state,ready,blocked_by,critical_path,component,execution_lane,execution_mode,historical_classification,owner_wave,read_file_count,touch_file_count,source_ids,primary_source_refs,canonical_record,generated_markdown
EPIC-018,BAT-18,100018,Epic,[EPIC-018] Scientific BAS labels and cross-fitting,,,PHASE-3,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,bas-science,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W15,2,2,EPIC-018,SRCREF-00018;SRCREF-01978,jira/records/issues/epics/EPIC-018_scientific_bas_labels_and_cross_fitting.json,jira/issues/epics/EPIC-018_scientific_bas_labels_and_cross_fitting.md
EPIC-019,BAT-19,100019,Epic,[EPIC-019] BAS decomposition and statistical validation,,,PHASE-3,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,bas-science,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W15-W17,2,2,EPIC-019,SRCREF-00019;SRCREF-01979,jira/records/issues/epics/EPIC-019_bas_decomposition_and_statistical_validation.json,jira/issues/epics/EPIC-019_bas_decomposition_and_statistical_validation.md
EPIC-020,BAT-20,100020,Epic,[EPIC-020] A&M specialization and BAS starter implementation,,,PHASE-3,P1,DONE,CONTRACT_DEFINED,FUNCTIONAL_STARTER,VERIFIED,false,,true,bas-science,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W20,2,2,EPIC-020,SRCREF-00020;SRCREF-01980,jira/records/issues/epics/EPIC-020_a_and_m_specialization_and_bas_starter_implementation.json,jira/issues/epics/EPIC-020_a_and_m_specialization_and_bas_starter_implementation.md
EPIC-021,BAT-21,100021,Epic,"[EPIC-021] Model targets, joint score and simulation",,,PHASE-4,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,bas-science,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W16,2,2,EPIC-021,SRCREF-00021;SRCREF-01981,jira/records/issues/epics/EPIC-021_model_targets_joint_score_and_simulation.json,jira/issues/epics/EPIC-021_model_targets_joint_score_and_simulation.md
EPIC-022,BAT-22,100022,Epic,"[EPIC-022] Uncertainty, OOD and market lanes",,,PHASE-4,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,modeling,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W16-W17,2,2,EPIC-022,SRCREF-00022;SRCREF-01982,jira/records/issues/epics/EPIC-022_uncertainty_ood_and_market_lanes.json,jira/issues/epics/EPIC-022_uncertainty_ood_and_market_lanes.md
EPIC-023,BAT-23,100023,Epic,"[EPIC-023] Validation, benchmarking and promotion science",,,PHASE-4,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,validation-promotion,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W17,2,2,EPIC-023,SRCREF-00023;SRCREF-01983,jira/records/issues/epics/EPIC-023_validation_benchmarking_and_promotion_science.json,jira/issues/epics/EPIC-023_validation_benchmarking_and_promotion_science.md
EPIC-024,BAT-24,100024,Epic,[EPIC-024] Experimentation and autonomous research system,,,PHASE-4,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,validation-promotion,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W18,2,2,EPIC-024,SRCREF-00024;SRCREF-01984,jira/records/issues/epics/EPIC-024_experimentation_and_autonomous_research_system.json,jira/issues/epics/EPIC-024_experimentation_and_autonomous_research_system.md
EPIC-025,BAT-25,100025,Epic,"[EPIC-025] Model, calibration and forecast starter implementation",,,PHASE-4,P1,DONE,CONTRACT_DEFINED,FUNCTIONAL_STARTER,VERIFIED,false,,true,modeling,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W20,2,2,EPIC-025,SRCREF-00025;SRCREF-01985,jira/records/issues/epics/EPIC-025_model_calibration_and_forecast_starter_implementation.json,jira/issues/epics/EPIC-025_model_calibration_and_forecast_starter_implementation.md
EPIC-026,BAT-26,100026,Epic,[EPIC-026] Autonomous weekly MLOps,,,PHASE-4,P1,DONE,CONTRACT_DEFINED,INTEGRATED,VERIFIED,false,,true,mlops,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W21,2,2,EPIC-026,SRCREF-00026;SRCREF-01986,jira/records/issues/epics/EPIC-026_autonomous_weekly_mlops.json,jira/issues/epics/EPIC-026_autonomous_weekly_mlops.md
EPIC-027,BAT-27,100027,Epic,"[EPIC-027] API, dashboard and forecast product",,,PHASE-4,P1,DONE,CONTRACT_DEFINED,INTEGRATED,VERIFIED,false,,true,bas-science,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W22,2,2,EPIC-027,SRCREF-00027;SRCREF-01987,jira/records/issues/epics/EPIC-027_api_dashboard_and_forecast_product.json,jira/issues/epics/EPIC-027_api_dashboard_and_forecast_product.md
EPIC-028,BAT-28,100028,Epic,"[EPIC-028] CI/CD, security, observability and local operations",,,PHASE-4,P1,BLOCKED,CONTRACT_DEFINED,INTEGRATED,PARTIAL,false,,true,serving-product,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_OPEN_OR_DEFERRED,W23,2,2,EPIC-028,SRCREF-00028;SRCREF-01988,jira/records/issues/epics/EPIC-028_ci_cd_security_observability_and_local_operations.json,jira/issues/epics/EPIC-028_ci_cd_security_observability_and_local_operations.md
EPIC-029,BAT-29,100029,Epic,[EPIC-029] Advanced challenger framework,,,PHASE-5,P2,DEFERRED,CONTRACT_DEFINED,FUNCTIONAL_STARTER,PARTIAL,false,,false,advanced-challengers,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_OPEN_OR_DEFERRED,W18+,2,2,EPIC-029,SRCREF-00029;SRCREF-01989,jira/records/issues/epics/EPIC-029_advanced_challenger_framework.json,jira/issues/epics/EPIC-029_advanced_challenger_framework.md
EPIC-030,BAT-30,100030,Epic,[EPIC-030] Future live/in-game research lane,,,PHASE-5,P3,DEFERRED,CONTRACT_DEFINED,FUNCTIONAL_STARTER,PARTIAL,false,,false,live-modeling,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_OPEN_OR_DEFERRED,W24+,2,2,EPIC-030,SRCREF-00030;SRCREF-01990,jira/records/issues/epics/EPIC-030_future_live_in_game_research_lane.json,jira/issues/epics/EPIC-030_future_live_in_game_research_lane.md
EPIC-031,BAT-31,100031,Epic,[EPIC-031] End-to-end readiness and source refresh,,,PHASE-5,P1,DONE,CONTRACT_DEFINED,INTEGRATED,VERIFIED,false,,true,release-readiness,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W24,2,2,EPIC-031,SRCREF-00031;SRCREF-01991,jira/records/issues/epics/EPIC-031_end_to_end_readiness_and_source_refresh.json,jira/issues/epics/EPIC-031_end_to_end_readiness_and_source_refresh.md
EPIC-032,BAT-32,100032,Epic,[EPIC-032] Final consolidation and Codex handoff,,,PHASE-5,P1,DONE,CONTRACT_DEFINED,INTEGRATED,VERIFIED,false,,true,modeling,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W25,2,2,EPIC-032,SRCREF-00032;SRCREF-01992,jira/records/issues/epics/EPIC-032_final_consolidation_and_codex_handoff.json,jira/issues/epics/EPIC-032_final_consolidation_and_codex_handoff.md
EPIC-033,BAT-33,100033,Epic,"[EPIC-033] Program governance, packaging and adaptive control",,,PHASE-4,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,false,release-readiness,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W06-W25,2,2,EPIC-033,SRCREF-00033;SRCREF-01993,jira/records/issues/epics/EPIC-033_program_governance_packaging_and_adaptive_control.json,jira/issues/epics/EPIC-033_program_governance_packaging_and_adaptive_control.md
POST-EPIC-001,BAT-34,100034,Epic,"[POST-EPIC-001] Target environment, reproducibility, and AC-038 hardware evidence",,,PHASE-4,P0,BACKLOG,FUNCTIONAL_STARTER,EMPIRICALLY_VALIDATED,PLANNED,false,,true,operations-security,PROTECTED_GATE,AGGREGATE_GATE,ACTIONABLE_POST_WAVE,POST_W25,12,0,GAP-001;HANDOFF-001,SRCREF-01994;SRCREF-01995;SRCREF-01996;SRCREF-01997;SRCREF-01998;SRCREF-01999;SRCREF-02000;SRCREF-02001,jira/records/issues/epics/POST-EPIC-001_target_environment_reproducibility_and_ac_038_hardware_evidence.json,jira/issues/epics/POST-EPIC-001_target_environment_reproducibility_and_ac_038_hardware_evidence.md
POST-EPIC-002,BAT-35,100035,Epic,"[POST-EPIC-002] Source access, credentials, private-research acquisition, and publication governance",,,PHASE-1,P0,BACKLOG,CONTRACT_DEFINED,EMPIRICALLY_VALIDATED,PLANNED,false,,true,data-sources,PROTECTED_GATE,AGGREGATE_GATE,ACTIONABLE_POST_WAVE,POST_W25,11,0,GAP-010;HANDOFF-002;HANDOFF-012,SRCREF-02007;SRCREF-02008;SRCREF-02009;SRCREF-02010;SRCREF-02011;SRCREF-02012;SRCREF-02001;SRCREF-02002,jira/records/issues/epics/POST-EPIC-002_source_access_rights_credentials_and_acquisition_governance.json,jira/issues/epics/POST-EPIC-002_source_access_rights_credentials_and_acquisition_governance.md
POST-EPIC-003,BAT-36,100036,Epic,[POST-EPIC-003] Immutable national historical data materialization,,,PHASE-1,P0,BACKLOG,SCAFFOLD,EMPIRICALLY_VALIDATED,PLANNED,false,POST-SUBTASK-024,true,raw-snapshots,PROTECTED_GATE,AGGREGATE_GATE,ACTIONABLE_POST_WAVE,POST_W25,12,0,GAP-002;HANDOFF-003,SRCREF-02013;SRCREF-02014;SRCREF-02015;SRCREF-02016;SRCREF-02017;SRCREF-02018;SRCREF-02001;SRCREF-02002,jira/records/issues/epics/POST-EPIC-003_immutable_national_historical_data_materialization.json,jira/issues/epics/POST-EPIC-003_immutable_national_historical_data_materialization.md
POST-EPIC-004,BAT-37,100037,Epic,[POST-EPIC-004] Population schema profiling and canonical entity resolution,,,PHASE-1,P0,BACKLOG,FUNCTIONAL_STARTER,EMPIRICALLY_VALIDATED,PLANNED,false,POST-SUBTASK-033,true,entities,PROTECTED_GATE,AGGREGATE_GATE,ACTIONABLE_POST_WAVE,POST_W25,12,0,GAP-003;GAP-004,SRCREF-02019;SRCREF-02020;SRCREF-02021;SRCREF-02022;SRCREF-02023;SRCREF-02024;SRCREF-02001;SRCREF-02002,jira/records/issues/epics/POST-EPIC-004_population_schema_profiling_and_canonical_entity_resolution.json,jira/issues/epics/POST-EPIC-004_population_schema_profiling_and_canonical_entity_resolution.md
POST-EPIC-005,BAT-38,100038,Epic,[POST-EPIC-005] Point-in-time historical state and protected replay,,,PHASE-1,P0,BACKLOG,FUNCTIONAL_STARTER,EMPIRICALLY_VALIDATED,PLANNED,false,POST-SUBTASK-042,true,pit-temporal,PROTECTED_GATE,AGGREGATE_GATE,ACTIONABLE_POST_WAVE,POST_W25,12,0,GAP-005;HANDOFF-004,SRCREF-02025;SRCREF-02026;SRCREF-02027;SRCREF-02028;SRCREF-02029;SRCREF-02030;SRCREF-02031;SRCREF-02032,jira/records/issues/epics/POST-EPIC-005_point_in_time_historical_state_and_protected_replay.json,jira/issues/epics/POST-EPIC-005_point_in_time_historical_state_and_protected_replay.md
POST-EPIC-006,BAT-39,100039,Epic,[POST-EPIC-006] Production feature materialization and lifecycle,,,PHASE-1,P1,BACKLOG,FUNCTIONAL_STARTER,EMPIRICALLY_VALIDATED,PLANNED,false,POST-SUBTASK-048,true,feature-engineering,PROTECTED_GATE,AGGREGATE_GATE,ACTIONABLE_POST_WAVE,POST_W25,12,0,GAP-007;HANDOFF-005,SRCREF-02033;SRCREF-02034;SRCREF-02035;SRCREF-02036;SRCREF-02037;SRCREF-02038;SRCREF-02039;SRCREF-02040,jira/records/issues/epics/POST-EPIC-006_production_feature_materialization_and_lifecycle.json,jira/issues/epics/POST-EPIC-006_production_feature_materialization_and_lifecycle.md
POST-EPIC-007,BAT-40,100040,Epic,"[POST-EPIC-007] Player, roster, recruiting, coaching, and matchup intelligence",,,PHASE-2,P1,BACKLOG,FUNCTIONAL_STARTER,EMPIRICALLY_VALIDATED,PLANNED,false,POST-SUBTASK-030;POST-SUBTASK-048,true,player-context-intelligence,PROTECTED_GATE,AGGREGATE_GATE,ACTIONABLE_POST_WAVE,POST_W25,12,0,GAP-006;HANDOFF-008,SRCREF-02041;SRCREF-02042;SRCREF-02043;SRCREF-02044;SRCREF-02045;SRCREF-02046;SRCREF-02047;SRCREF-02048,jira/records/issues/epics/POST-EPIC-007_player_roster_recruiting_coaching_and_matchup_intelligence.json,jira/issues/epics/POST-EPIC-007_player_roster_recruiting_coaching_and_matchup_intelligence.md
POST-EPIC-008,BAT-41,100041,Epic,"[POST-EPIC-008] Reproducible baseline, coherent score, probability, and uncertainty modeling",,,PHASE-1,P1,BACKLOG,FUNCTIONAL_STARTER,EMPIRICALLY_VALIDATED,PLANNED,false,POST-SUBTASK-051;POST-SUBTASK-060,true,modeling,PROTECTED_GATE,AGGREGATE_GATE,ACTIONABLE_POST_WAVE,POST_W25,12,0,GAP-008;HANDOFF-006,SRCREF-02049;SRCREF-02050;SRCREF-02051;SRCREF-02052;SRCREF-02053;SRCREF-02054;SRCREF-02055;SRCREF-02056,jira/records/issues/epics/POST-EPIC-008_reproducible_baseline_coherent_score_probability_and_uncertainty_modeling.json,jira/issues/epics/POST-EPIC-008_reproducible_baseline_coherent_score_probability_and_uncertainty_modeling.md
POST-EPIC-009,BAT-42,100042,Epic,[POST-EPIC-009] Texas A&M high-resolution specialization and no-lift-safe evaluation,,,PHASE-3,P1,BACKLOG,FUNCTIONAL_STARTER,EMPIRICALLY_VALIDATED,PLANNED,false,POST-SUBTASK-063;POST-SUBTASK-069;POST-SUBTASK-078,true,tamu-specialization,PROTECTED_GATE,AGGREGATE_GATE,ACTIONABLE_POST_WAVE,POST_W25,12,0,GAP-009;HANDOFF-007,SRCREF-02057;SRCREF-02058;SRCREF-02059;SRCREF-02060;SRCREF-02061;SRCREF-02062;SRCREF-02063;SRCREF-02001,jira/records/issues/epics/POST-EPIC-009_texas_a_and_m_high_resolution_specialization_and_no_lift_safe_evaluation.json,jira/issues/epics/POST-EPIC-009_texas_a_and_m_high_resolution_specialization_and_no_lift_safe_evaluation.md
POST-EPIC-010,BAT-43,100043,Epic,"[POST-EPIC-010] Scientific BAS, general FBS surprise, Aggie excess, and component validation",,,PHASE-3,P1,BACKLOG,FUNCTIONAL_STARTER,EMPIRICALLY_VALIDATED,PLANNED,false,POST-SUBTASK-078;POST-SUBTASK-084,true,bas-science,PROTECTED_GATE,AGGREGATE_GATE,ACTIONABLE_POST_WAVE,POST_W25,12,0,GAP-009;HANDOFF-009,SRCREF-02064;SRCREF-02065;SRCREF-02066;SRCREF-02067;SRCREF-02068;SRCREF-02069;SRCREF-02070;SRCREF-02001,jira/records/issues/epics/POST-EPIC-010_scientific_bas_general_fbs_surprise_aggie_excess_and_component_validation.json,jira/issues/epics/POST-EPIC-010_scientific_bas_general_fbs_surprise_aggie_excess_and_component_validation.md
POST-EPIC-011,BAT-44,100044,Epic,"[POST-EPIC-011] Protected chronological evaluation, calibration, and champion promotion",,,PHASE-4,P1,BACKLOG,FUNCTIONAL_STARTER,EMPIRICALLY_VALIDATED,PLANNED,false,POST-SUBTASK-078;POST-SUBTASK-084;POST-SUBTASK-090,true,validation-promotion,PROTECTED_GATE,AGGREGATE_GATE,ACTIONABLE_POST_WAVE,POST_W25,12,0,GAP-008;GAP-009;HANDOFF-006,SRCREF-02071;SRCREF-02072;SRCREF-02073;SRCREF-02074;SRCREF-02075;SRCREF-02076;SRCREF-02077;SRCREF-02078,jira/records/issues/epics/POST-EPIC-011_protected_chronological_evaluation_calibration_and_champion_promotion.json,jira/issues/epics/POST-EPIC-011_protected_chronological_evaluation_calibration_and_champion_promotion.md
POST-EPIC-012,BAT-45,100045,Epic,[POST-EPIC-012] Autonomous weekly real-data execution and immutable forecast publication,,,PHASE-4,P2,BACKLOG,FUNCTIONAL_STARTER,OPERATING,PLANNED,false,POST-SUBTASK-105,true,mlops,PROTECTED_GATE,AGGREGATE_GATE,ACTIONABLE_POST_WAVE,POST_W25,12,0,GAP-012;HANDOFF-010,SRCREF-02079;SRCREF-02080;SRCREF-02081;SRCREF-02082;SRCREF-02083;SRCREF-02084;SRCREF-02001;SRCREF-02002,jira/records/issues/epics/POST-EPIC-012_autonomous_weekly_real_data_execution_and_immutable_forecast_publication.json,jira/issues/epics/POST-EPIC-012_autonomous_weekly_real_data_execution_and_immutable_forecast_publication.md
POST-EPIC-013,BAT-46,100046,Epic,"[POST-EPIC-013] Snapshot API, dashboard, explanations, analogs, and freshness-safe product",,,PHASE-4,P2,BACKLOG,FUNCTIONAL_STARTER,OPERATING,PLANNED,false,POST-SUBTASK-111,true,serving-product,PROTECTED_GATE,AGGREGATE_GATE,ACTIONABLE_POST_WAVE,POST_W25,12,0,GAP-012;HANDOFF-011,SRCREF-02085;SRCREF-02086;SRCREF-02087;SRCREF-02088;SRCREF-02089;SRCREF-02090;SRCREF-02091;SRCREF-02001,jira/records/issues/epics/POST-EPIC-013_snapshot_api_dashboard_explanations_analogs_and_freshness_safe_product.json,jira/issues/epics/POST-EPIC-013_snapshot_api_dashboard_explanations_analogs_and_freshness_safe_product.md
POST-EPIC-014,BAT-47,100047,Epic,"[POST-EPIC-014] Security, observability, backup/restore, drift, and incident operations",,,PHASE-4,P2,BACKLOG,FUNCTIONAL_STARTER,OPERATING,PLANNED,false,POST-SUBTASK-002;POST-SUBTASK-024,true,operations-security,PROTECTED_GATE,AGGREGATE_GATE,ACTIONABLE_POST_WAVE,POST_W25,12,0,HANDOFF-012,SRCREF-02092;SRCREF-02093;SRCREF-02094;SRCREF-02095;SRCREF-02096;SRCREF-02097;SRCREF-02098;SRCREF-02001,jira/records/issues/epics/POST-EPIC-014_security_observability_backup_restore_drift_and_incident_operations.json,jira/issues/epics/POST-EPIC-014_security_observability_backup_restore_drift_and_incident_operations.md
