requirement_id,title,status,category,constraint_class,historical_task_ids,post_wave_issue_ids,mapping_disposition,source_ref_id,mapped
REQ-020,Input identity is content/version based,ACTIVE,provenance,A,TASK-187,POST-SUBTASK-042,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00254,true
REQ-021,Texas A&M is primary product objective,ACTIVE,objective,A,TASK-099,POST-SUBTASK-087,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00255,true
REQ-022,Broad national historical foundation,ACTIVE,objective,A,TASK-099,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00256,true
REQ-023,Meaningful FCS modeling,ACTIVE,objective,A,TASK-030;TASK-031;TASK-032;TASK-033;TASK-034;TASK-035;TASK-082,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00257,true
REQ-024,Lower divisions use coarse priors with uncertainty,ACTIVE,objective,A,TASK-184,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00258,true
REQ-025,Disproportionately deep A&M specialization,ACTIVE,objective,A,TASK-099;TASK-111;TASK-112;TASK-113;TASK-114;TASK-115,POST-SUBTASK-087,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00259,true
REQ-026,Win and loss probabilities,ACTIVE,outputs,A,TASK-099;TASK-116;TASK-117;TASK-118;TASK-119;TASK-120;TASK-121,POST-SUBTASK-087,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00260,true
REQ-027,Team and opponent score forecasts,ACTIVE,outputs,A,TASK-099;TASK-121,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00261,true
REQ-028,Expected margin forecast,ACTIVE,outputs,A,TASK-099,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00262,true
REQ-029,Full outcome distributions,ACTIVE,outputs,A,TASK-121;TASK-157,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00263,true
REQ-030,Calibrated uncertainty/confidence,ACTIVE,outputs,A,TASK-122;TASK-123;TASK-124;TASK-125;TASK-126;TASK-127;TASK-157,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00264,true
REQ-031,"Matchup, team, unit and player strength analysis",ACTIVE,outputs,A,TASK-052,POST-SUBTASK-069,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00265,true
REQ-032,Explainability and historical analogs,DEFAULT,outputs,B,TASK-157,POST-SUBTASK-141,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00266,true
REQ-033,Pure-football and optional market-augmented forecasts,ACTIVE,outputs,A,TASK-157,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00267,true
REQ-034,BAS severity outputs,ACTIVE,outputs,A,TASK-100;TASK-101;TASK-102;TASK-103;TASK-104;TASK-115;TASK-157,POST-SUBTASK-096,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00268,true
REQ-035,Autonomous weekly refresh/retraining/calibration,ACTIVE,objective,A,TASK-184,POST-SUBTASK-114,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00269,true
REQ-036,Model/version/data lineage,ACTIVE,objective,A,TASK-184,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00270,true
REQ-037,Canonical internal entity IDs,ACTIVE,data,A,TASK-007;TASK-008;TASK-009;TASK-010;TASK-011;TASK-012;TASK-052,POST-SUBTASK-069,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00271,true
REQ-038,Preserve source entity mappings,ACTIVE,data,A,TASK-012,POST-SUBTASK-042,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00272,true
REQ-039,Immutable raw snapshots first,ACTIVE,data,A,TASK-018,POST-SUBTASK-033,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00273,true
REQ-040,Versioned normalization contracts,ACTIVE,data,A,TASK-012,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00274,true
REQ-041,Known-at/effective-dated observation semantics,ACTIVE,data,A,TASK-018,POST-SUBTASK-114,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00275,true
REQ-042,Absolute no-future-information leakage,ACTIVE,data,A,TASK-018,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00276,true
REQ-043,Weather forecast vs observed separation,ACTIVE,data,A,TASK-065;TASK-066;TASK-067;TASK-068;TASK-069;TASK-070,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00277,true
REQ-044,Market observations are timestamped and provider-specific,ACTIVE,data,A,TASK-018,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00278,true
REQ-045,Future NFL Draft outcomes banned for historical roster features,ACTIVE,data,A,TASK-052,POST-SUBTASK-060,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00279,true
REQ-046,Roster/staff/depth/availability are snapshots,ACTIVE,data,A,TASK-052,POST-SUBTASK-069,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00280,true
REQ-047,No name-only durable production joins,ACTIVE,data,A,TASK-052,POST-SUBTASK-123,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00281,true
REQ-048,Units/sign conventions explicit,ACTIVE,data,A,TASK-070,POST-SUBTASK-069,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00282,true
REQ-049,Unknown is not zero,ACTIVE,data,A,TASK-012,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00283,true
REQ-050,Field-specific source precedence,ACTIVE,data,A,TASK-099,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00284,true
REQ-051,Derived features retain parent lineage,ACTIVE,data,A,TASK-019;TASK-020;TASK-021;TASK-022;TASK-023,POST-SUBTASK-060,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00285,true
REQ-052,Full materialization profiling before production reliance,ACTIVE,data,A,TASK-023,POST-SUBTASK-123,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00286,true
REQ-053,Recon sample statistics are not population statistics,ACTIVE,data,A,TASK-046,POST-SUBTASK-033,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00287,true
REQ-054,Source access/license/redistribution governance,ACTIVE,data,A,TASK-006,POST-SUBTASK-024,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00288,true
REQ-055,PFF remains deferred/optional,ACTIVE,data,A,TASK-046,POST-SUBTASK-024,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00289,true
REQ-056,Never bypass source controls,ACTIVE,security,A,TASK-187,POST-SUBTASK-132,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00290,true
REQ-057,Unclear raw redistribution defaults local-only,ACTIVE,data,A,TASK-006,POST-SUBTASK-024,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00291,true
REQ-058,Every normalized record carries provenance/quality metadata,ACTIVE,data,A,TASK-012;TASK-041;TASK-042;TASK-043;TASK-044;TASK-045;TASK-046,POST-SUBTASK-114,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00292,true
REQ-059,Point-in-time/leakage software tests,ACTIVE,testing,A,TASK-013;TASK-014;TASK-015;TASK-016;TASK-017;TASK-018;TASK-076,POST-SUBTASK-051,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00293,true
REQ-060,Canonical game is atomic split unit,ACTIVE,validation,A,TASK-128;TASK-129;TASK-130;TASK-131;TASK-132;TASK-133,POST-SUBTASK-105,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00294,true
REQ-061,Mirrored rows stay in same fold,ACTIVE,validation,A,TASK-133,POST-SUBTASK-105,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00295,true
REQ-062,Explicit game edge-case policy,ACTIVE,data,A,TASK-012,POST-SUBTASK-069,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00296,true
REQ-063,Raw feature registry and schema discovery,ACTIVE,features,A,TASK-023;TASK-076,POST-SUBTASK-060,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00297,true
REQ-064,Production features require empirical evidence,ACTIVE,features,A,TASK-024;TASK-025;TASK-026;TASK-027;TASK-028;TASK-029;TASK-083;TASK-084;TASK-085;TASK-086;TASK-087,POST-SUBTASK-123,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00298,true
REQ-065,Feature lifecycle governance,ACTIVE,features,A,TASK-029,POST-SUBTASK-060,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00299,true
REQ-066,Target-specific feature selection,ACTIVE,features,A,TASK-029,POST-SUBTASK-096,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00300,true
REQ-067,Rolling/trend/opponent-adjusted candidates,RESEARCH,features,C,TASK-164,POST-SUBTASK-060,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00301,true
REQ-068,Schedule load distinct from opponent adjustment,ACTIVE,features,A,TASK-077;TASK-078;TASK-079;TASK-080;TASK-081;TASK-082,POST-SUBTASK-060,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00302,true
REQ-069,Current team-state representation,ACTIVE,modeling,A,TASK-052,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00303,true
REQ-070,"Old games teach football structure, not current identity",DEFAULT,modeling,B,TASK-035,POST-SUBTASK-105,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00304,true
REQ-071,Regime/change-point awareness,DEFAULT,modeling,B,TASK-035;TASK-052,POST-SUBTASK-078,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00305,true
REQ-072,Pregame player-value system,ACTIVE,players,A,TASK-047;TASK-048;TASK-049;TASK-050;TASK-051;TASK-052,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00306,true
REQ-073,Availability impact is player/replacement specific,ACTIVE,players,A,TASK-052,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00307,true
REQ-074,Transfers require learned competition translation,ACTIVE,players,A,TASK-052;TASK-053;TASK-054;TASK-055;TASK-056;TASK-057;TASK-058,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00308,true
REQ-075,Freshmen use separate prospect priors,ACTIVE,players,A,TASK-052;TASK-058,POST-SUBTASK-123,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00309,true
REQ-076,Coach careers use effective-dated role episodes,ACTIVE,coaching,A,TASK-059;TASK-060;TASK-061;TASK-062;TASK-063;TASK-064,POST-SUBTASK-069,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00310,true
REQ-077,"Coach effects are residual/hierarchical, not raw attribution",DEFAULT,coaching,B,TASK-064,POST-SUBTASK-069,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00311,true
REQ-078,Program resources are upstream capacity/expectation variables,ACTIVE,resources,A,TASK-070,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00312,true
REQ-079,Public/private resource asymmetry preserved,ACTIVE,resources,A,TASK-070,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00313,true
REQ-080,"Home field is learned, not hard-coded",ACTIVE,context,A,TASK-070,POST-SUBTASK-069,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00314,true
REQ-081,Expected possession/tempo subsystem,DEFAULT,mechanics,B,TASK-071;TASK-072;TASK-073;TASK-074;TASK-075;TASK-076,POST-SUBTASK-078,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00315,true
REQ-082,Field-position/hidden-yards subsystem,DEFAULT,mechanics,B,TASK-076,POST-SUBTASK-141,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00316,true
REQ-083,Component-level special teams modeling,DEFAULT,mechanics,B,TASK-070;TASK-076,POST-SUBTASK-078,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00317,true
REQ-084,Fourth-down decision quality candidate,RESEARCH,mechanics,C,TASK-076;TASK-164,POST-SUBTASK-069,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00318,true
REQ-085,Clock-management candidate,RESEARCH,mechanics,C,TASK-164,POST-SUBTASK-141,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00319,true
REQ-086,Score-state/garbage-time treatment,DEFAULT,mechanics,B,TASK-076,POST-SUBTASK-141,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00320,true
REQ-087,Effective-dated rule eras,ACTIVE,context,A,TASK-052,POST-SUBTASK-069,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00321,true
REQ-088,Point-in-time game stakes/context candidates,RESEARCH,context,C,TASK-164,POST-SUBTASK-051,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00322,true
REQ-089,Officiating is experimental and anti-causal,RESEARCH,context,C,TASK-082;TASK-164,POST-SUBTASK-069,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00323,true
REQ-090,Separate pure-football and market-augmented lanes,ACTIVE,modeling,A,TASK-121,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00324,true
REQ-091,Immutable prediction snapshots,ACTIVE,modeling,A,TASK-018,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00325,true
REQ-092,Coherent joint-score/margin/win distribution,ACTIVE,modeling,A,TASK-121;TASK-140;TASK-141;TASK-142;TASK-143;TASK-144;TASK-145,POST-SUBTASK-096,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00326,true
REQ-093,Uncertainty decomposition,DEFAULT,modeling,B,TASK-121;TASK-127,POST-SUBTASK-105,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00327,true
REQ-094,OOD awareness widens uncertainty,DEFAULT,modeling,B,TASK-121;TASK-127,POST-SUBTASK-078,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00328,true
REQ-095,BAS expected-margin label is strictly pregame and OOS,ACTIVE,BAS,A,TASK-104;TASK-110,POST-SUBTASK-096,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00329,true
REQ-096,Aggie Excess and peer comparison,DEFAULT,BAS,B,TASK-104;TASK-110,POST-SUBTASK-096,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00330,true
REQ-097,BAS significance/stability/anti-circularity tests,ACTIVE,BAS,A,TASK-104;TASK-105;TASK-106;TASK-107;TASK-108;TASK-109;TASK-110,POST-SUBTASK-096,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00331,true
REQ-098,BAS component decompositions are candidates,RESEARCH,BAS,C,TASK-110;TASK-164,POST-SUBTASK-096,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00332,true
REQ-099,Weekly A&M Team State,ACTIVE,TAMU,A,TASK-088;TASK-089;TASK-090;TASK-091;TASK-092;TASK-093;TASK-099,POST-SUBTASK-087,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00333,true
REQ-100,A&M player/unit/coaching depth exceeds generic team,ACTIVE,TAMU,A,TASK-093;TASK-099,POST-SUBTASK-087,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00334,true
REQ-101,A&M-specific calibration/evaluation priority,ACTIVE,TAMU,A,TASK-099,POST-SUBTASK-087,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00335,true
REQ-102,A&M frequent snapshots and postmortems,DEFAULT,TAMU,B,TASK-099,POST-SUBTASK-087,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00336,true
REQ-103,BAS must not encode fan narrative,ACTIVE,BAS,A,TASK-104;TASK-110,POST-SUBTASK-096,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00337,true
REQ-104,BAS historical identity decays by regime/continuity,DEFAULT,BAS,B,TASK-104;TASK-110,POST-SUBTASK-096,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00338,true
REQ-105,Illustrative BAS percentages are not truth,ACTIVE,BAS,A,TASK-104;TASK-110,POST-SUBTASK-096,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00339,true
REQ-106,Strong simple baselines retained,ACTIVE,modeling,A,TASK-036;TASK-037;TASK-038;TASK-039;TASK-040;TASK-121;TASK-133;TASK-145,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00340,true
REQ-107,Boosted trees are strong default candidates,DEFAULT,modeling,B,TASK-121,POST-SUBTASK-078,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00341,true
REQ-108,"Small PyTorch model is challenger, not assumed winner",DEFAULT,modeling,B,TASK-121;TASK-164;TASK-165;TASK-166;TASK-167;TASK-168,POST-SUBTASK-150,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00342,true
REQ-109,Calibration/ensemble evaluation,ACTIVE,modeling,A,TASK-121,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00343,true
REQ-110,Scenario/joint-score simulation is evidence-gated,DEFAULT,modeling,B,TASK-052;TASK-121,POST-SUBTASK-078,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00344,true
REQ-111,Advanced sequence/graph/transformer research waits,ACTIVE,modeling,A,TASK-139,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00345,true
REQ-112,Local Windows hardware is primary target,ACTIVE,operations,A,TASK-163,POST-SUBTASK-132,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00346,true
REQ-113,Memory/compute-aware local processing,ACTIVE,operations,A,TASK-163,POST-SUBTASK-132,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00347,true
REQ-114,Cloud GPU not mandatory for Phases 1-4,ACTIVE,operations,A,TASK-163,POST-SUBTASK-132,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00348,true
REQ-115,Autonomous dependency chain with quarantine,DEFAULT,MLOps,B,TASK-146;TASK-147;TASK-148;TASK-149;TASK-150;TASK-151,POST-SUBTASK-123,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00349,true
REQ-116,Champion/challenger must earn promotion,ACTIVE,MLOps,A,TASK-052,POST-SUBTASK-114,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00350,true
REQ-117,Operational cadence differs by task,DEFAULT,MLOps,B,TASK-151,POST-SUBTASK-114,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00351,true
REQ-118,Deterministic jobs use deterministic services by default,DEFAULT,architecture,B,TASK-187,POST-SUBTASK-105,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00352,true
REQ-119,LLM/research agent proposes but does not self-judge,ACTIVE,MLOps,A,TASK-139;TASK-163,POST-SUBTASK-114,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00353,true
REQ-120,Protected governance is immutable/human-controlled,ACTIVE,MLOps,A,TASK-163,POST-SUBTASK-096,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00354,true
REQ-121,"Experiment tracking/HPO tools are defaults, not mandates",DEFAULT,experimentation,B,TASK-139,POST-SUBTASK-141,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00355,true
REQ-122,API/dashboard/explainability product comes after core science,DEFAULT,product,B,TASK-152;TASK-153;TASK-154;TASK-155;TASK-156;TASK-157,POST-SUBTASK-123,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00356,true
REQ-123,CI/security/observability/local operations are explicit,ACTIVE,operations,A,TASK-158;TASK-159;TASK-160;TASK-161;TASK-162;TASK-163,POST-SUBTASK-132,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00357,true
REQ-124,Starter implementations carry maturity labels,ACTIVE,repository,A,TASK-046,POST-SUBTASK-123,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00358,true
REQ-125,Repository excludes large raw/model/local artifacts,ACTIVE,repository,A,TASK-187,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00359,true
REQ-126,Stable requirement IDs are never cosmetically renumbered,ACTIVE,governance,A,TASK-187,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00360,true
REQ-127,Stable ADR history preserved,ACTIVE,governance,A,TASK-187,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00361,true
REQ-128,Wave 06 performs fresh comprehensive data-universe research,ACTIVE,research,A,TASK-139,POST-SUBTASK-051,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00362,true
REQ-129,Wave 24 refreshes source landscape and challenges architecture,ACTIVE,research,A,TASK-139;TASK-173;TASK-174;TASK-175;TASK-176;TASK-177;TASK-178,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00363,true
REQ-130,Wave 25 performs final consolidation and Codex handoff,COMPLETE_W25,program,A,TASK-179;TASK-180;TASK-181;TASK-182;TASK-183;TASK-184,POST-SUBTASK-060,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00364,true
REQ-131,Wave 01 reads all source logs in numeric order,COMPLETE_W01,provenance,A,TASK-187,POST-SUBTASK-141,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00365,true
REQ-132,Wave 01 reads mandatory recon chain and extension policies/schemas,COMPLETE_W01,provenance,A,TASK-187,POST-SUBTASK-141,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00366,true
REQ-133,Minimal src-layout package scaffold,COMPLETE_W02,repository,B,TASK-187,POST-SUBTASK-141,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00367,true
REQ-134,Preferred local Python 3.12 baseline,ACTIVE,operations,B,TASK-163,POST-SUBTASK-132,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00368,true
REQ-135,Portable venv plus pip bootstrap baseline,ACTIVE,operations,B,TASK-163,POST-SUBTASK-132,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00369,true
REQ-136,Executable repository integrity command,ACTIVE,testing,A,TASK-121,POST-SUBTASK-132,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00370,true
REQ-137,Deterministic non-self-referential manifests,ACTIVE,packaging,A,TASK-186,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00371,true
REQ-138,ZIP path safety before extraction,ACTIVE,security,A,TASK-163;TASK-186,POST-SUBTASK-132,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00372,true
