issue_id,summary,reason,blocking_issue,blocking_evidence,unblock_condition,priority,downstream_impact,critical_path,execution_lane,execution_mode
POST-SUBTASK-204,[POST-SUBTASK-204] Qualify the private Tailscale CPU worker for deterministic tranches and embedding or deduplication assistance,USER_SCOPE_OVERRIDE_BAS_ONLY: assistive-plane execution is paused; preserve existing evidence and do not resume without a later explicit user instruction.,POST-SUBTASK-201,PARTIAL,Complete and verify all hard dependencies at required maturity/evidence.,P0,1,false,RESEARCH_LANE,ATOMIC_EXECUTION
POST-SUBTASK-205,"[POST-SUBTASK-205] Run cross-plane comparison, utilization floors, 21 scheduler cycles, restart/outage exercises, and seven-day sustained assurance",EXACT_LOCAL_QWEN_ROUTES_REJECTED; NEW_LOCAL_SHADOW_ROUTES_PENDING; CURSOR_AND_OPENROUTER_PILOTS_PENDING; CPU_WORKER_V2_PENDING; SUSTAINED_CLOCK_NOT_STARTED,POST-SUBTASK-202;POST-SUBTASK-203;POST-SUBTASK-204;POST-SUBTASK-168;POST-SUBTASK-199,PARTIAL;PARTIAL;PARTIAL;PLANNED;PARTIAL,"The persistent controller/watchdog deploy, provider and worker campaign prerequisites pass, and seven days plus 21 real scheduler cycles and 25 soak-only units/100 points accrue from production-like eligible work.",P0,0,false,RESEARCH_LANE,ATOMIC_EXECUTION
EPIC-028,"[EPIC-028] CI/CD, security, observability and local operations",,,,,P1,0,true,SHARED_CONTRACT,HISTORICAL_REFERENCE
POST-SUBTASK-052,"[POST-SUBTASK-052] Reconcile feature IDs, source fields, transformations, temporal classes, missingness, code paths, aliases, duplicates, and lifecycle states",QUALITY_GATE_BLOCKED_MATRIX_IDENTITY: 7c4b170a85d7aa8053bbbad099b8569cff6676580f18f46f375bbece8a53b3d1; BAT-398 decision BLOCK; zero accepted rows/cells,,,"Produce a new nonempty content-addressed national pregame matrix with evidence-backed game/cutoff rows, then rerun BAT-398 and obtain an explicit APPROVE decision.",P1,2,false,SHARED_CONTRACT,ATOMIC_EXECUTION
POST-SUBTASK-053,"[POST-SUBTASK-053] Measure feature computability, missingness class, fallback use, and coverage by season/team/cutoff/regime/A&M segment",QUALITY_GATE_BLOCKED_MATRIX_IDENTITY: 7c4b170a85d7aa8053bbbad099b8569cff6676580f18f46f375bbece8a53b3d1; BAT-398 decision BLOCK; zero accepted rows/cells,POST-SUBTASK-052,PLANNED,"Produce a new nonempty content-addressed national pregame matrix with evidence-backed game/cutoff rows, then rerun BAT-398 and obtain an explicit APPROVE decision.",P1,1,false,DATA_MATERIALIZATION,ATOMIC_EXECUTION
POST-SUBTASK-054,[POST-SUBTASK-054] Freeze the experiment-eligible production feature-registry version,QUALITY_GATE_BLOCKED_MATRIX_IDENTITY: 7c4b170a85d7aa8053bbbad099b8569cff6676580f18f46f375bbece8a53b3d1; BAT-398 decision BLOCK; zero accepted rows/cells,POST-SUBTASK-052;POST-SUBTASK-053,PLANNED;PLANNED,"Produce a new nonempty content-addressed national pregame matrix with evidence-backed game/cutoff rows, then rerun BAT-398 and obtain an explicit APPROVE decision.",P1,4,false,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-055,"[POST-SUBTASK-055] Materialize team/opponent form, efficiency, scoring, schedule strength, recency, continuity, rest, travel, venue, sequence, cold-start, and lower-division prior features",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-054,POST-SUBTASK-054,PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,2,false,SOLO_WORKTREE,ATOMIC_EXECUTION
POST-SUBTASK-056,"[POST-SUBTASK-056] Materialize supported player value/depth/replacement/availability, recruiting/transfer, coaching, weather, market, resource, officiating, and game-mechanics candidates",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-054;POST-SUBTASK-055,POST-SUBTASK-054;POST-SUBTASK-055,PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,1,false,SOLO_WORKTREE,ATOMIC_EXECUTION
POST-SUBTASK-057,"[POST-SUBTASK-057] Validate feature values, home/away orientation, future-append invariance, lineage, missingness, and candidate eligibility",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-054;POST-SUBTASK-055;POST-SUBTASK-056,POST-SUBTASK-054;POST-SUBTASK-055;POST-SUBTASK-056,PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,4,false,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-058,[POST-SUBTASK-058] Run staged univariate/multivariate screening and bounded feature tournaments on permitted tuning history,UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-057,POST-SUBTASK-057,PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,2,true,RESEARCH_LANE,ATOMIC_EXECUTION
POST-SUBTASK-059,"[POST-SUBTASK-059] Run ablation, interaction, redundancy, missingness sensitivity, regime stability, A&M/peer, and market-lane analyses",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-057;POST-SUBTASK-058,POST-SUBTASK-057;POST-SUBTASK-058,PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,1,true,RESEARCH_LANE,ATOMIC_EXECUTION
POST-SUBTASK-060,[POST-SUBTASK-060] Publish the evidence-backed production feature lifecycle decision,UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-057;POST-SUBTASK-058;POST-SUBTASK-059,POST-SUBTASK-057;POST-SUBTASK-058;POST-SUBTASK-059,PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,5,true,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-061,"[POST-SUBTASK-061] Materialize effective-dated roster, depth, position, participation, eligibility, transfer, and role state",QUALITY_GATE_BLOCKED_MATRIX_IDENTITY: 7c4b170a85d7aa8053bbbad099b8569cff6676580f18f46f375bbece8a53b3d1; BAT-398 decision BLOCK; zero accepted rows/cells,,,"Produce a new nonempty content-addressed national pregame matrix with evidence-backed game/cutoff rows, then rerun BAT-398 and obtain an explicit APPROVE decision.",P1,2,false,DATA_MATERIALIZATION,ATOMIC_EXECUTION
POST-SUBTASK-062,"[POST-SUBTASK-062] Estimate leakage-safe player value, replacement distributions, and timestamped availability probabilities",QUALITY_GATE_BLOCKED_MATRIX_IDENTITY: 7c4b170a85d7aa8053bbbad099b8569cff6676580f18f46f375bbece8a53b3d1; BAT-398 decision BLOCK; zero accepted rows/cells,POST-SUBTASK-061,PLANNED,"Produce a new nonempty content-addressed national pregame matrix with evidence-backed game/cutoff rows, then rerun BAT-398 and obtain an explicit APPROVE decision.",P1,1,false,RESEARCH_LANE,ATOMIC_EXECUTION
POST-SUBTASK-063,"[POST-SUBTASK-063] Validate player-state coverage, uncertainty, double-counting controls, and production eligibility",QUALITY_GATE_BLOCKED_MATRIX_IDENTITY: 7c4b170a85d7aa8053bbbad099b8569cff6676580f18f46f375bbece8a53b3d1; BAT-398 decision BLOCK; zero accepted rows/cells,POST-SUBTASK-061;POST-SUBTASK-062,PLANNED;PLANNED,"Produce a new nonempty content-addressed national pregame matrix with evidence-backed game/cutoff rows, then rerun BAT-398 and obtain an explicit APPROVE decision.",P1,9,false,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-064,"[POST-SUBTASK-064] Materialize recruiting class, prospect, commitment, signing, enrollment, transfer, coach, coordinator, role, tenure, and transition events",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-063,POST-SUBTASK-063,PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,2,false,DATA_MATERIALIZATION,ATOMIC_EXECUTION
POST-SUBTASK-065,"[POST-SUBTASK-065] Build PIT roster-talent, experience, retention, transfer/freshman, staff/QB/system continuity, prior-performance, and bounded scheme-proxy candidates",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-063;POST-SUBTASK-064,POST-SUBTASK-063;POST-SUBTASK-064,PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,1,false,SOLO_WORKTREE,ATOMIC_EXECUTION
POST-SUBTASK-066,"[POST-SUBTASK-066] Validate identity, timing, source-scale compatibility, sparse-history shrinkage, and experimental eligibility",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-063;POST-SUBTASK-064;POST-SUBTASK-065,POST-SUBTASK-063;POST-SUBTASK-064;POST-SUBTASK-065,PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,4,false,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-067,"[POST-SUBTASK-067] Materialize forecast-time weather, venue, coordinates, travel, rest, opponent sequence, neutral-site, schedule-change, and local-time state",QUALITY_GATE_BLOCKED_MATRIX_IDENTITY: 7c4b170a85d7aa8053bbbad099b8569cff6676580f18f46f375bbece8a53b3d1; BAT-398 decision BLOCK; zero accepted rows/cells,,,"Produce a new nonempty content-addressed national pregame matrix with evidence-backed game/cutoff rows, then rerun BAT-398 and obtain an explicit APPROVE decision.",P1,2,false,DATA_MATERIALIZATION,ATOMIC_EXECUTION
POST-SUBTASK-068,[POST-SUBTASK-068] Materialize supported mechanics/officiating/resource candidates and FCS/DII/DIII/NAIA decreasing-information opponent priors,QUALITY_GATE_BLOCKED_MATRIX_IDENTITY: 7c4b170a85d7aa8053bbbad099b8569cff6676580f18f46f375bbece8a53b3d1; BAT-398 decision BLOCK; zero accepted rows/cells,POST-SUBTASK-067,PLANNED,"Produce a new nonempty content-addressed national pregame matrix with evidence-backed game/cutoff rows, then rerun BAT-398 and obtain an explicit APPROVE decision.",P1,1,false,SOLO_WORKTREE,ATOMIC_EXECUTION
POST-SUBTASK-069,"[POST-SUBTASK-069] Validate context correctness, forecast-versus-realized isolation, fallback behavior, and production eligibility",QUALITY_GATE_BLOCKED_MATRIX_IDENTITY: 7c4b170a85d7aa8053bbbad099b8569cff6676580f18f46f375bbece8a53b3d1; BAT-398 decision BLOCK; zero accepted rows/cells,POST-SUBTASK-067;POST-SUBTASK-068,PLANNED;PLANNED,"Produce a new nonempty content-addressed national pregame matrix with evidence-backed game/cutoff rows, then rerun BAT-398 and obtain an explicit APPROVE decision.",P1,5,false,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-070,"[POST-SUBTASK-070] Materialize official score, margin, win, distribution, market-lane, and BAS-support target tables with game lineage",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-060,POST-SUBTASK-060,PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,2,true,DATA_MATERIALIZATION,ATOMIC_EXECUTION
POST-SUBTASK-071,"[POST-SUBTASK-071] Materialize chronological train/tune/protected assignments, sample weights, cold-start rules, and feature/target separation",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-060;POST-SUBTASK-070,POST-SUBTASK-060;POST-SUBTASK-070,PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,1,true,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-072,"[POST-SUBTASK-072] Approve model dataset identity, leakage isolation, duplicate handling, and reproducibility",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-060;POST-SUBTASK-070;POST-SUBTASK-071,POST-SUBTASK-060;POST-SUBTASK-070;POST-SUBTASK-071,PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,4,true,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-073,"[POST-SUBTASK-073] Train naive, historical-average, home-field, rating, regularized linear, tree-boosting, market-free, and market-aware baselines with bounded searches",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-072,POST-SUBTASK-072,PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,2,false,RESEARCH_LANE,ATOMIC_EXECUTION
POST-SUBTASK-074,"[POST-SUBTASK-074] Train joint/separate score-distribution candidates and deterministic-seed simulations deriving margin, win, score, total, interval, and severity outputs coherently",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-072;POST-SUBTASK-073,POST-SUBTASK-072;POST-SUBTASK-073,PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,1,false,RESEARCH_LANE,ATOMIC_EXECUTION
POST-SUBTASK-075,"[POST-SUBTASK-075] Validate artifacts, tuning predictions, orientation, distribution tails, score-margin-win coherence, runtime, and candidate admission",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-072;POST-SUBTASK-073;POST-SUBTASK-074,POST-SUBTASK-072;POST-SUBTASK-073;POST-SUBTASK-074,PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,4,false,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-076,[POST-SUBTASK-076] Train precommitted task/cutoff/lane calibration and ensemble candidates using permitted tuning predictions,UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-075,POST-SUBTASK-075,PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,2,true,RESEARCH_LANE,ATOMIC_EXECUTION
POST-SUBTASK-077,"[POST-SUBTASK-077] Implement sparse-history, missingness, source/regime shift, feature-pattern OOD, uncertainty, and abstention diagnostics",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-075;POST-SUBTASK-076,POST-SUBTASK-075;POST-SUBTASK-076,PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,1,true,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-078,[POST-SUBTASK-078] Publish the immutable candidate artifact registry for sealed protected evaluation,UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-075;POST-SUBTASK-076;POST-SUBTASK-077,POST-SUBTASK-075;POST-SUBTASK-076;POST-SUBTASK-077,PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,15,true,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-079,"[POST-SUBTASK-079] Acquire quality-supported A&M schedules, rosters, depth, staff, media-guide, participation, availability, and official evidence",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-063;POST-SUBTASK-066;POST-SUBTASK-069,POST-SUBTASK-063;POST-SUBTASK-066;POST-SUBTASK-069,PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,2,false,DATA_MATERIALIZATION,ATOMIC_EXECUTION
POST-SUBTASK-080,[POST-SUBTASK-080] Build high-resolution A&M team/player/staff/context as-of snapshots reconciled with national state,QUALITY_GATE_BLOCKED_MATRIX_IDENTITY: 7c4b170a85d7aa8053bbbad099b8569cff6676580f18f46f375bbece8a53b3d1; BAT-398 decision BLOCK; zero accepted rows/cells,POST-SUBTASK-063;POST-SUBTASK-066;POST-SUBTASK-069;POST-SUBTASK-079,PLANNED;PLANNED;PLANNED;PLANNED,"Produce a new nonempty content-addressed national pregame matrix with evidence-backed game/cutoff rows, then rerun BAT-398 and obtain an explicit APPROVE decision.",P1,1,false,DATA_MATERIALIZATION,ATOMIC_EXECUTION
POST-SUBTASK-081,"[POST-SUBTASK-081] Validate A&M coverage, source conflicts, rights, identity, PIT integrity, and snapshot reproducibility",QUALITY_GATE_BLOCKED_MATRIX_IDENTITY: 7c4b170a85d7aa8053bbbad099b8569cff6676580f18f46f375bbece8a53b3d1; BAT-398 decision BLOCK; zero accepted rows/cells,POST-SUBTASK-063;POST-SUBTASK-066;POST-SUBTASK-069;POST-SUBTASK-079;POST-SUBTASK-080,PLANNED;PLANNED;PLANNED;PLANNED;PLANNED,"Produce a new nonempty content-addressed national pregame matrix with evidence-backed game/cutoff rows, then rerun BAT-398 and obtain an explicit APPROVE decision.",P1,4,false,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-082,[POST-SUBTASK-082] Materialize pregame-observable peer/regime candidates and prior-only historical analog index with distance diagnostics,UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-078;POST-SUBTASK-081,POST-SUBTASK-078;POST-SUBTASK-081,PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,2,false,RESEARCH_LANE,ATOMIC_EXECUTION
POST-SUBTASK-083,"[POST-SUBTASK-083] Train global-only, no-adjustment, residual, hierarchical, calibration, shrinkage, and feature-interaction A&M candidates on permitted history",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-078;POST-SUBTASK-081;POST-SUBTASK-082,POST-SUBTASK-078;POST-SUBTASK-081;POST-SUBTASK-082,PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,1,false,RESEARCH_LANE,ATOMIC_EXECUTION
POST-SUBTASK-084,"[POST-SUBTASK-084] Validate peer/analog anti-selection, tuning lift/stability/uncertainty, and seal admissible candidates plus the no-adjustment fallback",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-078;POST-SUBTASK-081;POST-SUBTASK-082;POST-SUBTASK-083,POST-SUBTASK-078;POST-SUBTASK-081;POST-SUBTASK-082;POST-SUBTASK-083,PLANNED;PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,14,false,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-085,[POST-SUBTASK-085] Generate sealed global-only and A&M candidate predictions inside identical protected chronological replay,UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-084;POST-SUBTASK-102,POST-SUBTASK-084;POST-SUBTASK-102,PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,2,false,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-086,"[POST-SUBTASK-086] Measure incremental accuracy, calibration, stability, uncertainty, data-quality sensitivity, and multiple-comparison context",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-084;POST-SUBTASK-085;POST-SUBTASK-102,POST-SUBTASK-084;POST-SUBTASK-085;POST-SUBTASK-102,PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,1,false,SCIENTIFIC,ATOMIC_EXECUTION
POST-SUBTASK-087,[POST-SUBTASK-087] Publish the protected A&M specialization admission or no-adjustment decision and integrate it consistently,UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-084;POST-SUBTASK-085;POST-SUBTASK-086;POST-SUBTASK-102,POST-SUBTASK-084;POST-SUBTASK-085;POST-SUBTASK-086;POST-SUBTASK-102,PLANNED;PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,4,false,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-088,[POST-SUBTASK-088] Generate out-of-fold or chronological cross-fitted pregame expected margins for every eligible historical game,UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-078,POST-SUBTASK-078,PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,2,false,SCIENTIFIC,ATOMIC_EXECUTION
POST-SUBTASK-089,"[POST-SUBTASK-089] Materialize general surprise and A&M BAS severity labels at protected ≥3, ≥7, ≥14, and ≥21 thresholds",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-078;POST-SUBTASK-088,POST-SUBTASK-078;POST-SUBTASK-088,PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,1,false,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-090,"[POST-SUBTASK-090] Validate direction, thresholds, row lineage, fold isolation, and anti-circularity",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-078;POST-SUBTASK-088;POST-SUBTASK-089,POST-SUBTASK-078;POST-SUBTASK-088;POST-SUBTASK-089,PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,9,false,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-091,[POST-SUBTASK-091] Estimate out-of-sample general FBS severity probabilities and residual distributions across seasons/regimes/contexts,UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-084;POST-SUBTASK-090,POST-SUBTASK-084;POST-SUBTASK-090,PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,2,false,SCIENTIFIC,ATOMIC_EXECUTION
POST-SUBTASK-092,"[POST-SUBTASK-092] Estimate A&M excess versus FBS, precommitted peers/regimes, and matched contexts plus offensive/defensive/special-teams/collapse component evidence",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-084;POST-SUBTASK-090;POST-SUBTASK-091,POST-SUBTASK-084;POST-SUBTASK-090;POST-SUBTASK-091,PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,1,false,SCIENTIFIC,ATOMIC_EXECUTION
POST-SUBTASK-093,"[POST-SUBTASK-093] Validate peer sensitivity, multiple comparisons, component coherence, uncertainty, coverage, and null-result handling",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-084;POST-SUBTASK-090;POST-SUBTASK-091;POST-SUBTASK-092,POST-SUBTASK-084;POST-SUBTASK-090;POST-SUBTASK-091;POST-SUBTASK-092,PLANNED;PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,4,false,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-094,"[POST-SUBTASK-094] Evaluate ≥3/7/14/21 calibration, discrimination, reliability, uncertainty, and national/A&M/peer/regime scorecards on sealed predictions",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-093;POST-SUBTASK-102,POST-SUBTASK-093;POST-SUBTASK-102,PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,2,false,SCIENTIFIC,ATOMIC_EXECUTION
POST-SUBTASK-095,"[POST-SUBTASK-095] Run precommitted temporal, peer, regime, model, cutoff, missingness, data-quality, and specification sensitivity analyses",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-093;POST-SUBTASK-094;POST-SUBTASK-102,POST-SUBTASK-093;POST-SUBTASK-094;POST-SUBTASK-102,PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,1,false,SCIENTIFIC,ATOMIC_EXECUTION
POST-SUBTASK-096,[POST-SUBTASK-096] Publish the final BAS scientific decision and prediction-first product language contract,UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-093;POST-SUBTASK-094;POST-SUBTASK-095;POST-SUBTASK-102,POST-SUBTASK-093;POST-SUBTASK-094;POST-SUBTASK-095;POST-SUBTASK-102,PLANNED;PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,4,false,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-097,"[POST-SUBTASK-097] Verify protected split, judging-rule, threshold, feature, model, A&M, BAS, peer, and candidate seal hashes",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-078;POST-SUBTASK-084;POST-SUBTASK-090,POST-SUBTASK-078;POST-SUBTASK-084;POST-SUBTASK-090,PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,2,true,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-098,"[POST-SUBTASK-098] Establish protected-outcome access isolation, audit logging, one-way evidence, and failure preservation",UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-078;POST-SUBTASK-084;POST-SUBTASK-090;POST-SUBTASK-097,POST-SUBTASK-078;POST-SUBTASK-084;POST-SUBTASK-090;POST-SUBTASK-097,PLANNED;PLANNED;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P1,1,true,SECURITY,ATOMIC_EXECUTION
