artifact_path_or_name,producer_issue_id,issue_type,required_for_completion,expected_maturity,downstream_issue_ids,evidence_state
as-of access API,EPIC-003,Epic,true,CONTRACT_DEFINED,,VERIFIED
availability report PIT contract + fixtures,EPIC-003,Epic,true,CONTRACT_DEFINED,,VERIFIED
cutoff lineage/replay contract,EPIC-003,Epic,true,CONTRACT_DEFINED,,VERIFIED
eligibility rules,EPIC-003,Epic,true,CONTRACT_DEFINED,,VERIFIED
leakage battery,EPIC-003,Epic,true,CONTRACT_DEFINED,,VERIFIED
passing protected PIT controls,EPIC-003,Epic,true,CONTRACT_DEFINED,,VERIFIED
snapshot policy by mutable source domain,EPIC-003,Epic,true,CONTRACT_DEFINED,,VERIFIED
weather model-run PIT contract + fixtures,EPIC-003,Epic,true,CONTRACT_DEFINED,,VERIFIED
feature-registry contract baseline,EPIC-004,Epic,true,CONTRACT_DEFINED,,VERIFIED
field inventory generator,EPIC-004,Epic,true,CONTRACT_DEFINED,,VERIFIED
raw feature registry metadata,EPIC-004,Epic,true,CONTRACT_DEFINED,,VERIFIED
reconciliation report,EPIC-004,Epic,true,CONTRACT_DEFINED,,VERIFIED
redundancy clusters,EPIC-004,Epic,true,CONTRACT_DEFINED,,VERIFIED
registry staging imports,EPIC-004,Epic,true,CONTRACT_DEFINED,,VERIFIED
schema scanner,EPIC-004,Epic,true,CONTRACT_DEFINED,,VERIFIED
source/upstream/license registry schema,EPIC-004,Epic,true,CONTRACT_DEFINED,,VERIFIED
CORE/SUPPORTED/CONDITIONAL/EXPERIMENTAL/REJECTED/BANNED transitions,EPIC-005,Epic,true,CONTRACT_DEFINED,,VERIFIED
approved feature lifecycle contract and evidence rules,EPIC-005,Epic,true,CONTRACT_DEFINED,,VERIFIED
family ablation/stability evidence,EPIC-005,Epic,true,CONTRACT_DEFINED,,VERIFIED
feature transform library/contracts,EPIC-005,Epic,true,CONTRACT_DEFINED,,VERIFIED
opponent/matchup transform interfaces,EPIC-005,Epic,true,CONTRACT_DEFINED,,VERIFIED
screening reports,EPIC-005,Epic,true,CONTRACT_DEFINED,,VERIFIED
selection evidence,EPIC-005,Epic,true,CONTRACT_DEFINED,,VERIFIED
NCAA/NAIA/NJCAA strength-source normalization design,EPIC-006,Epic,true,CONTRACT_DEFINED,,VERIFIED
early-season prior/blending candidates,EPIC-006,Epic,true,CONTRACT_DEFINED,,VERIFIED
historical weighting candidates,EPIC-006,Epic,true,CONTRACT_DEFINED,,VERIFIED
opponent hierarchy and uncertainty contract,EPIC-006,Epic,true,CONTRACT_DEFINED,,VERIFIED
team state contract,EPIC-006,Epic,true,CONTRACT_DEFINED,,VERIFIED
team-state baseline contract,EPIC-006,Epic,true,CONTRACT_DEFINED,,VERIFIED
team-state comparison report,EPIC-006,Epic,true,CONTRACT_DEFINED,,VERIFIED
baseline candidate contracts + reference formulas,EPIC-007,Epic,true,CONTRACT_DEFINED,,VERIFIED
baseline comparison decision method,EPIC-007,Epic,true,CONTRACT_DEFINED,,VERIFIED
boosted-tree candidate interface (XGBoost/LightGBM/CatBoost alternatives),EPIC-007,Epic,true,CONTRACT_DEFINED,,VERIFIED
mandatory comparator registry,EPIC-007,Epic,true,CONTRACT_DEFINED,,VERIFIED
no empirical result required,EPIC-007,Epic,true,CONTRACT_DEFINED,,VERIFIED
numeric deltas remain pending development evidence,EPIC-007,Epic,true,CONTRACT_DEFINED,,VERIFIED
protected baseline benchmark protocol,EPIC-007,Epic,true,CONTRACT_DEFINED,,VERIFIED
versioned calibration artifact/interface contract,EPIC-007,Epic,true,CONTRACT_DEFINED,,VERIFIED
as-of state builder,EPIC-008,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
entity mapping/resolution starter,EPIC-008,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
feature registry/factory,EPIC-008,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
lineage artifacts,EPIC-008,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
raw snapshot writer,EPIC-008,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
source adapter starters,EPIC-008,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
synthetic source→PIT→feature replay fixture,EPIC-008,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
validated functional foundation starter,EPIC-008,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
availability state contract,EPIC-009,Epic,true,CONTRACT_DEFINED,,VERIFIED
injury evidence confidence/missingness policy,EPIC-009,Epic,true,CONTRACT_DEFINED,,VERIFIED
official availability adapter/materialization plan,EPIC-009,Epic,true,CONTRACT_DEFINED,,VERIFIED
player and depth state contracts,EPIC-009,Epic,true,CONTRACT_DEFINED,,VERIFIED
player value input/output contract,EPIC-009,Epic,true,CONTRACT_DEFINED,,VERIFIED
player/availability interface baseline,EPIC-009,Epic,true,CONTRACT_DEFINED,,VERIFIED
replacement value/uncertainty contract,EPIC-009,Epic,true,CONTRACT_DEFINED,,VERIFIED
consensus/development candidate contracts,EPIC-010,Epic,true,CONTRACT_DEFINED,,VERIFIED
position-aware translation experiment plan,EPIC-010,Epic,true,CONTRACT_DEFINED,,VERIFIED
recruiting and freshman prior schema,EPIC-010,Epic,true,CONTRACT_DEFINED,,VERIFIED
transfer episode schema,EPIC-010,Epic,true,CONTRACT_DEFINED,,VERIFIED
transfer/recruiting source provenance decision,EPIC-010,Epic,true,CONTRACT_DEFINED,,VERIFIED
transfer/recruiting/prospect interface baseline,EPIC-010,Epic,true,CONTRACT_DEFINED,,VERIFIED
translation uncertainty/usage outputs,EPIC-010,Epic,true,CONTRACT_DEFINED,,VERIFIED
coach development candidate model contract,EPIC-011,Epic,true,CONTRACT_DEFINED,,VERIFIED
coach-effect evaluation specification,EPIC-011,Epic,true,CONTRACT_DEFINED,,VERIFIED
coaching interface baseline,EPIC-011,Epic,true,CONTRACT_DEFINED,,VERIFIED
decision-quality candidate features,EPIC-011,Epic,true,CONTRACT_DEFINED,,VERIFIED
effective-dated coach role schema,EPIC-011,Epic,true,CONTRACT_DEFINED,,VERIFIED
scheme/tendency feature contract,EPIC-011,Epic,true,CONTRACT_DEFINED,,VERIFIED
context interface baseline,EPIC-012,Epic,true,CONTRACT_DEFINED,,VERIFIED
game-context effective-dated feature contracts,EPIC-012,Epic,true,CONTRACT_DEFINED,,VERIFIED
home-field residual experiment specification,EPIC-012,Epic,true,CONTRACT_DEFINED,,VERIFIED
private-resource proxy semantics/experiment,EPIC-012,Epic,true,CONTRACT_DEFINED,,VERIFIED
regulatory environment contract,EPIC-012,Epic,true,CONTRACT_DEFINED,,VERIFIED
resource capacity evidence lanes and missingness policy,EPIC-012,Epic,true,CONTRACT_DEFINED,,VERIFIED
venue/travel context schema,EPIC-012,Epic,true,CONTRACT_DEFINED,,VERIFIED
weather snapshot feature contract,EPIC-012,Epic,true,CONTRACT_DEFINED,,VERIFIED
field-position value contract,EPIC-013,Epic,true,CONTRACT_DEFINED,,VERIFIED
mechanics interaction candidates,EPIC-013,Epic,true,CONTRACT_DEFINED,,VERIFIED
mechanics interface baseline,EPIC-013,Epic,true,CONTRACT_DEFINED,,VERIFIED
possession/tempo contract,EPIC-013,Epic,true,CONTRACT_DEFINED,,VERIFIED
score-state policy candidates,EPIC-013,Epic,true,CONTRACT_DEFINED,,VERIFIED
special teams component contracts,EPIC-013,Epic,true,CONTRACT_DEFINED,,VERIFIED
chronological schedule context rules,EPIC-014,Epic,true,CONTRACT_DEFINED,,VERIFIED
matchup adjustment baseline,EPIC-014,Epic,true,CONTRACT_DEFINED,,VERIFIED
officiating feasibility decision,EPIC-014,Epic,true,CONTRACT_DEFINED,,VERIFIED
officiating source/gap decision,EPIC-014,Epic,true,CONTRACT_DEFINED,,VERIFIED
opponent adjustment candidates,EPIC-014,Epic,true,CONTRACT_DEFINED,,VERIFIED
pregame assignment semantics evidence,EPIC-014,Epic,true,CONTRACT_DEFINED,,VERIFIED
schedule stress feature contract,EPIC-014,Epic,true,CONTRACT_DEFINED,,VERIFIED
style similarity candidates,EPIC-014,Epic,true,CONTRACT_DEFINED,,VERIFIED
advanced PIT fixtures,EPIC-015,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
advanced intelligence implementation evidence,EPIC-015,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
context/mechanics starter modules,EPIC-015,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
player/availability starter modules,EPIC-015,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
transfer/recruiting starter modules,EPIC-015,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
A&M high-resolution state contract,EPIC-016,Epic,true,CONTRACT_DEFINED,,VERIFIED
A&M regime/availability overlay,EPIC-016,Epic,true,CONTRACT_DEFINED,,VERIFIED
A&M snapshot cadence proposal,EPIC-016,Epic,true,CONTRACT_DEFINED,,VERIFIED
A&M team-state baseline,EPIC-016,Epic,true,CONTRACT_DEFINED,,VERIFIED
A&M unit-state contracts,EPIC-016,Epic,true,CONTRACT_DEFINED,,VERIFIED
peer/analog contract,EPIC-016,Epic,true,CONTRACT_DEFINED,,VERIFIED
A&M evaluation slice contract,EPIC-017,Epic,true,CONTRACT_DEFINED,,VERIFIED
hierarchical/multi-task candidates,EPIC-017,Epic,true,CONTRACT_DEFINED,,VERIFIED
national→A&M specialization interface,EPIC-017,Epic,true,CONTRACT_DEFINED,,VERIFIED
residual specialization candidate,EPIC-017,Epic,true,CONTRACT_DEFINED,,VERIFIED
specialization candidate baseline,EPIC-017,Epic,true,CONTRACT_DEFINED,,VERIFIED
specialization overfit safeguards,EPIC-017,Epic,true,CONTRACT_DEFINED,,VERIFIED
BAS protected test battery,EPIC-018,Epic,true,CONTRACT_DEFINED,,VERIFIED
BAS residual/threshold contract,EPIC-018,Epic,true,CONTRACT_DEFINED,,VERIFIED
BAS severity label interface,EPIC-018,Epic,true,CONTRACT_DEFINED,,VERIFIED
accepted BAS label baseline,EPIC-018,Epic,true,CONTRACT_DEFINED,,VERIFIED
cross-fit label-generation contract,EPIC-018,Epic,true,CONTRACT_DEFINED,,VERIFIED
Aggie Excess test plan,EPIC-019,Epic,true,CONTRACT_DEFINED,,VERIFIED
BAS component candidate registry,EPIC-019,Epic,true,CONTRACT_DEFINED,,VERIFIED
BAS significance/stability/calibration/multiplicity evaluation protocol,EPIC-019,Epic,true,CONTRACT_DEFINED,,VERIFIED
BAS stability/calibration plan,EPIC-019,Epic,true,CONTRACT_DEFINED,,VERIFIED
general underperformance benchmark,EPIC-019,Epic,true,CONTRACT_DEFINED,,VERIFIED
no-excess/reject/inconclusive outcomes preserved,EPIC-019,Epic,true,CONTRACT_DEFINED,,VERIFIED
precommitted BAS component decision rule,EPIC-019,Epic,true,CONTRACT_DEFINED,,VERIFIED
A&M specialization model adapter,EPIC-020,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
A&M state adapter,EPIC-020,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
A&M/BAS snapshot fields + lineage,EPIC-020,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
BAS interface,EPIC-020,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
validated A&M/BAS starter,EPIC-020,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
forecast distribution interface,EPIC-021,Epic,true,CONTRACT_DEFINED,,VERIFIED
joint-distribution candidate report,EPIC-021,Epic,true,CONTRACT_DEFINED,,VERIFIED
model architecture baseline,EPIC-021,Epic,true,CONTRACT_DEFINED,,VERIFIED
scenario perturbation contract,EPIC-021,Epic,true,CONTRACT_DEFINED,,VERIFIED
simulation/scenario contract,EPIC-021,Epic,true,CONTRACT_DEFINED,,VERIFIED
target contract,EPIC-021,Epic,true,CONTRACT_DEFINED,,VERIFIED
OOD/disagreement candidate registry,EPIC-022,Epic,true,CONTRACT_DEFINED,,VERIFIED
market source comparison + PIT fixture plan,EPIC-022,Epic,true,CONTRACT_DEFINED,,VERIFIED
market-augmented path with observation cutoffs,EPIC-022,Epic,true,CONTRACT_DEFINED,,VERIFIED
market-independent prediction path,EPIC-022,Epic,true,CONTRACT_DEFINED,,VERIFIED
no empirical result required,EPIC-022,Epic,true,CONTRACT_DEFINED,,VERIFIED
precommitted uncertainty/OOD/disagreement/market warning/promotion decision rules,EPIC-022,Epic,true,CONTRACT_DEFINED,,VERIFIED
uncertainty contract,EPIC-022,Epic,true,CONTRACT_DEFINED,,VERIFIED
uncertainty/OOD/disagreement/market benchmark protocol,EPIC-022,Epic,true,CONTRACT_DEFINED,,VERIFIED
2024-2025 holdout,EPIC-023,Epic,true,CONTRACT_DEFINED,,VERIFIED
2026+ forward shadow,EPIC-023,Epic,true,CONTRACT_DEFINED,,VERIFIED
THR-001..007/014/015 numeric values remain blank pending development evidence,EPIC-023,Epic,true,CONTRACT_DEFINED,,VERIFIED
W18 research boundary,EPIC-023,Epic,true,CONTRACT_DEFINED,,VERIFIED
blank required threshold blocks,EPIC-023,Epic,true,CONTRACT_DEFINED,,VERIFIED
immutable decision-state contract,EPIC-023,Epic,true,CONTRACT_DEFINED,,VERIFIED
predeclared national/A&M/subgroup evaluation scorecard registry,EPIC-023,Epic,true,CONTRACT_DEFINED,,VERIFIED
proper scoring/calibration/error metric registry plus dependency-light reference metrics,EPIC-023,Epic,true,CONTRACT_DEFINED,,VERIFIED
reference promotion evaluator,EPIC-023,Epic,true,CONTRACT_DEFINED,,VERIFIED
sealed protected evaluation/promotion contract,EPIC-023,Epic,true,CONTRACT_DEFINED,,VERIFIED
sealed protected split registry,EPIC-023,Epic,true,CONTRACT_DEFINED,,VERIFIED
threshold precommitment registry,EPIC-023,Epic,true,CONTRACT_DEFINED,,VERIFIED
MLflow/Optuna adapter decisions + HPO search-space/study policy,EPIC-024,Epic,true,CONTRACT_DEFINED,,VERIFIED
complete W18 master coverage + W17 preservation + tournament/HPO/replay test gate + W19 handoff,EPIC-024,Epic,true,CONTRACT_DEFINED,,VERIFIED
experiment lineage contract,EPIC-024,Epic,true,CONTRACT_DEFINED,,VERIFIED
feature tournament + model tournament + artifact/replay/comparison/adoption reference system,EPIC-024,Epic,true,CONTRACT_DEFINED,,VERIFIED
hypothesis lifecycle + experiment queue + worktree/resource execution reference,EPIC-024,Epic,true,CONTRACT_DEFINED,,VERIFIED
protected evaluator separation tests + W17 hash-seal verification CLI,EPIC-024,Epic,true,CONTRACT_DEFINED,,VERIFIED
calibration/ensemble/uncertainty adapters,EPIC-025,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
functional model starters,EPIC-025,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
functional selected model/calibration starter,EPIC-025,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
joint forecast starter,EPIC-025,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
model registry interface,EPIC-025,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
model runtime/artifact abstraction,EPIC-025,Epic,true,FUNCTIONAL_STARTER,,VERIFIED
Prefect-or-approved choice,EPIC-026,Epic,true,INTEGRATED,,VERIFIED
data refresh workflow,EPIC-026,Epic,true,INTEGRATED,,VERIFIED
end-to-end resumability evidence,EPIC-026,Epic,true,INTEGRATED,,VERIFIED
orchestrator ADR,EPIC-026,Epic,true,INTEGRATED,,VERIFIED
postmortem/research loop,EPIC-026,Epic,true,INTEGRATED,,VERIFIED
promotion+rollback+snapshot workflow,EPIC-026,Epic,true,INTEGRATED,,VERIFIED
training workflow,EPIC-026,Epic,true,INTEGRATED,,VERIFIED
A&M dashboard,EPIC-027,Epic,true,INTEGRATED,,VERIFIED
FastAPI/Streamlit/React-or-approved ADR,EPIC-027,Epic,true,INTEGRATED,,VERIFIED
explanation and warning surfaces,EPIC-027,Epic,true,INTEGRATED,,VERIFIED
forecast provenance UI/API,EPIC-027,Epic,true,INTEGRATED,,VERIFIED
product acceptance evidence,EPIC-027,Epic,true,INTEGRATED,,VERIFIED
read-only forecast API schema,EPIC-027,Epic,true,INTEGRATED,,VERIFIED
THR-011/012 remain TBD,EPIC-028,Epic,true,INTEGRATED,,PARTIAL
content-verified backup/restore + protected retention policy/runbook,EPIC-028,Epic,true,INTEGRATED,,PARTIAL
dependency pin/provenance/security gates + CodeQL/dependency-review workflows,EPIC-028,Epic,true,INTEGRATED,,PARTIAL
expanded cross-platform core/product CI + runtime manifest artifacts,EPIC-028,Epic,true,INTEGRATED,,PARTIAL
production gate awaits target benchmark,EPIC-028,Epic,true,INTEGRATED,,PARTIAL
security/observability/restore evidence complete,EPIC-028,Epic,true,INTEGRATED,,PARTIAL
structured redacted logs/metrics/runtime environment evidence,EPIC-028,Epic,true,INTEGRATED,,PARTIAL
target-hardware benchmark harness + non-authoritative smoke evidence,EPIC-028,Epic,true,INTEGRATED,,PARTIAL
advanced challenger admission policy,EPIC-029,Epic,true,FUNCTIONAL_STARTER,,PARTIAL
advanced challenger promotion/rejection record,EPIC-029,Epic,true,FUNCTIONAL_STARTER,,PARTIAL
optional graph challenger report,EPIC-029,Epic,true,FUNCTIONAL_STARTER,,PARTIAL
optional tabular neural challenger,EPIC-029,Epic,true,FUNCTIONAL_STARTER,,PARTIAL
optional temporal challenger report,EPIC-029,Epic,true,FUNCTIONAL_STARTER,,PARTIAL
live isolation evidence,EPIC-030,Epic,true,FUNCTIONAL_STARTER,,PARTIAL
live replay contract,EPIC-030,Epic,true,FUNCTIONAL_STARTER,,PARTIAL
live source feasibility update,EPIC-030,Epic,true,FUNCTIONAL_STARTER,,PARTIAL
optional live replay prototype,EPIC-030,Epic,true,FUNCTIONAL_STARTER,,PARTIAL
E2E/replay readiness report,EPIC-031,Epic,true,INTEGRATED,,VERIFIED
W24 acceptance/readiness baseline,EPIC-031,Epic,true,INTEGRATED,,VERIFIED
W24 delta against W06 data universe,EPIC-031,Epic,true,INTEGRATED,,VERIFIED
accepted W24 repairs/revisions,EPIC-031,Epic,true,INTEGRATED,,VERIFIED
architecture challenge decision set,EPIC-031,Epic,true,INTEGRATED,,VERIFIED
full acceptance battery,EPIC-031,Epic,true,INTEGRATED,,VERIFIED
source refresh delta report,EPIC-031,Epic,true,INTEGRATED,,VERIFIED
docs/final/FINAL_ARCHITECTURE_RATIONALE.md,EPIC-032,Epic,true,INTEGRATED,,VERIFIED
docs/final/FINAL_IMPLEMENTATION_PRIORITY.md,EPIC-032,Epic,true,INTEGRATED,,VERIFIED
docs/final/FINAL_REJECTED_ALTERNATIVES.md,EPIC-032,Epic,true,INTEGRATED,,VERIFIED
final gap/risk/backlog artifacts,EPIC-032,Epic,true,INTEGRATED,,VERIFIED
final governance audit,EPIC-032,Epic,true,INTEGRATED,,VERIFIED
final technical readiness audit,EPIC-032,Epic,true,INTEGRATED,,VERIFIED
final validated bound repository/hydration pair,EPIC-032,Epic,true,INTEGRATED,,VERIFIED
first-72-hour queue,EPIC-032,Epic,true,INTEGRATED,,VERIFIED
adaptive change/plan revision records,EPIC-033,Epic,true,CONTRACT_DEFINED,,VERIFIED
protected governance boundary evidence,EPIC-033,Epic,true,CONTRACT_DEFINED,,VERIFIED
updated governance ledgers and validators,EPIC-033,Epic,true,CONTRACT_DEFINED,,VERIFIED
validated cumulative/hydration packs,EPIC-033,Epic,true,CONTRACT_DEFINED,,VERIFIED
verified prior-wave binding evidence,EPIC-033,Epic,true,CONTRACT_DEFINED,,VERIFIED
artifacts/implementation_preflight/repository_identity.json,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/implementation_preflight/target_validation_results.json,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/implementation_preflight/target_validation.log,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/implementation_preflight/runtime_manifest.json,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/implementation_preflight/local_path_contract.json,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
docs/operations/LOCAL_RUNTIME_PATHS.md,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/implementation_preflight/credential_inventory.redacted.json,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
docs/operations/CREDENTIALS_AND_SECRETS.md,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/implementation_preflight/storage_probe.json,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/benchmarks/ac038_input_manifest.json,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/benchmarks/ac038_target_benchmark.json,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/benchmarks/ac038_target_benchmark.log,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/benchmarks/ac038_gate_decision.json,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
governance/ACCEPTANCE_THRESHOLD_REGISTRY.csv,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/benchmarks/concurrency_envelope.json,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/benchmarks/storage_growth_profile.json,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
docs/operations/LOCAL_RESOURCE_ENVELOPE.md,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/benchmarks/resource_stop_condition_test.json,POST-EPIC-001,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/source_governance/production_source_inventory.csv,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/source_governance/source_priority_decisions.json,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/source_governance/source_inventory_validation.json,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/source_governance/tier1_rights_decisions.csv,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/source_governance/supplemental_rights_decisions.csv,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
configs/source_rights_registry.json,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/source_governance/source_rights_gate_test.json,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
docs/operations/SOURCE_CREDENTIAL_CONTRACT.md,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/source_governance/credential_contract.redacted.json,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/source_governance/source_access_smoke_results.json,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/source_governance/source_access_readiness.csv,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
configs/source_acquisition_registry.json,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/source_governance/acquisition_resilience_test.json,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
artifacts/source_governance/source_drift_baseline.json,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
configs/source_drift_registry.json,POST-EPIC-002,Epic,true,EMPIRICALLY_VALIDATED,,PLANNED
