Local Issue ID,Issue key,Issue ID,Status,Logical Workflow State,Assignee,Sprint,Updated
POST-STORY-002,BAT-52,24192,To Do,BACKLOG,,,2026-08-09T23:23:54.605-0500
POST-STORY-003,BAT-53,24193,To Do,BACKLOG,,,2026-08-09T23:23:54.614-0500
POST-STORY-004,BAT-54,24194,To Do,BACKLOG,,,2026-08-09T23:23:54.622-0500
POST-STORY-005,BAT-55,24195,To Do,BACKLOG,,,2026-08-09T23:23:54.948-0500
POST-STORY-006,BAT-56,24196,To Do,BACKLOG,,,2026-08-09T15:42:08.548-0500
POST-STORY-007,BAT-57,24197,To Do,BACKLOG,,,2026-08-09T15:42:09.126-0500
POST-STORY-008,BAT-58,24198,To Do,BACKLOG,,,2026-08-09T23:23:55.020-0500
POST-STORY-009,BAT-59,24199,To Do,BACKLOG,,,2026-08-12T01:17:40.255-0500
POST-STORY-010,BAT-60,24200,To Do,BACKLOG,,,2026-08-12T01:17:40.811-0500
POST-STORY-011,BAT-61,24201,To Do,BACKLOG,,,2026-08-09T23:23:55.384-0500
POST-STORY-012,BAT-62,24202,To Do,BACKLOG,,,2026-08-09T23:23:55.407-0500
POST-STORY-013,BAT-63,24203,To Do,BACKLOG,,,2026-08-09T23:23:55.402-0500
POST-STORY-014,BAT-64,24204,To Do,BACKLOG,,,2026-08-09T23:23:55.433-0500
POST-STORY-015,BAT-65,24205,To Do,BACKLOG,,,2026-08-09T23:23:55.781-0500
POST-STORY-016,BAT-66,24206,To Do,BACKLOG,,,2026-08-09T23:23:55.797-0500
POST-STORY-017,BAT-67,24207,To Do,BACKLOG,,,2026-08-09T23:23:55.780-0500
POST-STORY-018,BAT-68,24208,To Do,BACKLOG,,,2026-08-09T23:23:55.820-0500
POST-STORY-019,BAT-69,24209,To Do,BACKLOG,,,2026-08-12T02:53:07.098-0500
POST-STORY-020,BAT-70,24210,To Do,BACKLOG,,,2026-08-09T23:23:56.182-0500
POST-STORY-021,BAT-71,24211,To Do,BACKLOG,,,2026-08-09T23:23:56.207-0500
POST-STORY-022,BAT-72,24212,To Do,BACKLOG,,,2026-08-09T23:23:56.319-0500
POST-STORY-023,BAT-73,24213,To Do,BACKLOG,,,2026-08-09T23:23:56.586-0500
POST-STORY-024,BAT-74,24214,To Do,BACKLOG,,,2026-08-09T23:23:56.592-0500
POST-STORY-025,BAT-75,24215,To Do,BACKLOG,,,2026-08-09T23:23:56.619-0500
POST-STORY-026,BAT-76,24216,To Do,BACKLOG,,,2026-08-09T23:23:56.696-0500
POST-STORY-027,BAT-77,24217,To Do,BACKLOG,,,2026-08-09T23:23:56.984-0500
POST-STORY-028,BAT-78,24218,To Do,BACKLOG,,,2026-08-09T23:23:57.002-0500
POST-STORY-029,BAT-79,24219,To Do,BACKLOG,,,2026-08-09T23:23:57.014-0500
POST-STORY-030,BAT-80,24220,To Do,BACKLOG,,,2026-08-09T23:23:57.228-0500
POST-STORY-031,BAT-81,24221,To Do,BACKLOG,,,2026-08-09T23:23:57.422-0500
POST-STORY-032,BAT-82,24222,To Do,BACKLOG,,,2026-08-09T23:23:57.416-0500
POST-STORY-033,BAT-83,24223,To Do,BACKLOG,,,2026-08-09T23:23:57.423-0500
POST-STORY-034,BAT-84,24224,To Do,BACKLOG,,,2026-08-09T23:23:57.656-0500
POST-STORY-035,BAT-85,24225,To Do,BACKLOG,,,2026-08-09T23:23:57.795-0500
POST-STORY-036,BAT-86,24226,To Do,BACKLOG,,,2026-08-09T23:23:57.818-0500
POST-STORY-037,BAT-87,24227,To Do,BACKLOG,,,2026-08-09T23:23:57.958-0500
POST-STORY-038,BAT-88,24228,To Do,BACKLOG,,,2026-08-09T23:23:58.021-0500
POST-STORY-039,BAT-89,24229,To Do,BACKLOG,,,2026-08-09T23:23:58.206-0500
POST-STORY-040,BAT-90,24230,To Do,BACKLOG,,,2026-08-09T23:23:58.343-0500
POST-STORY-041,BAT-91,24231,To Do,BACKLOG,,,2026-08-09T23:23:58.346-0500
POST-STORY-042,BAT-92,24232,To Do,BACKLOG,,,2026-08-09T23:23:58.402-0500
POST-STORY-043,BAT-93,24233,To Do,BACKLOG,,,2026-08-09T23:23:58.607-0500
POST-STORY-044,BAT-94,24234,To Do,BACKLOG,,,2026-08-09T23:23:58.700-0500
POST-STORY-045,BAT-95,24235,To Do,BACKLOG,,,2026-08-09T23:23:58.747-0500
POST-STORY-046,BAT-96,24236,To Do,BACKLOG,,,2026-08-09T23:23:58.809-0500
POST-STORY-047,BAT-97,24237,To Do,BACKLOG,,,2026-08-09T23:23:58.983-0500
POST-STORY-048,BAT-98,24238,To Do,DEFERRED,,,2026-08-09T23:23:59.092-0500
POST-STORY-049,BAT-99,24239,To Do,DEFERRED,,,2026-08-09T23:23:59.139-0500
POST-STORY-050,BAT-100,24240,To Do,DEFERRED,,,2026-08-09T23:23:59.190-0500
POST-STORY-051,BAT-101,24241,To Do,DEFERRED,,,2026-08-09T23:23:59.389-0500
POST-STORY-052,BAT-102,24242,To Do,DEFERRED,,,2026-08-09T23:23:59.484-0500
POST-STORY-053,BAT-103,24243,To Do,DEFERRED,,,2026-08-09T23:23:59.553-0500
TASK-001,BAT-104,24244,To Do,DONE,,,2026-08-09T00:40:15.455-0500
TASK-002,BAT-105,24245,To Do,DONE,,,2026-08-09T00:40:15.871-0500
TASK-003,BAT-106,24246,To Do,DONE,,,2026-08-09T00:40:16.186-0500
TASK-004,BAT-107,24247,To Do,DONE,,,2026-08-09T00:40:16.156-0500
TASK-005,BAT-108,24248,To Do,DONE,,,2026-08-09T00:40:16.208-0500
TASK-006,BAT-109,24249,To Do,DONE,,,2026-08-09T00:40:16.721-0500
TASK-007,BAT-110,24250,To Do,DONE,,,2026-08-09T00:40:16.952-0500
TASK-008,BAT-111,24251,To Do,DONE,,,2026-08-09T00:40:17.021-0500
TASK-009,BAT-112,24252,To Do,DONE,,,2026-08-09T00:40:17.068-0500
TASK-010,BAT-113,24253,To Do,DONE,,,2026-08-09T00:40:17.480-0500
TASK-011,BAT-114,24254,To Do,DONE,,,2026-08-09T00:40:17.822-0500
TASK-012,BAT-115,24255,To Do,DONE,,,2026-08-09T00:40:17.859-0500
TASK-013,BAT-116,24256,To Do,DONE,,,2026-08-09T00:40:17.773-0500
TASK-014,BAT-117,24257,To Do,DONE,,,2026-08-09T00:40:18.307-0500
TASK-015,BAT-118,24258,To Do,DONE,,,2026-08-09T00:40:18.542-0500
TASK-016,BAT-119,24259,To Do,DONE,,,2026-08-09T00:40:18.587-0500
TASK-017,BAT-120,24260,To Do,DONE,,,2026-08-09T00:40:18.637-0500
TASK-018,BAT-121,24261,To Do,DONE,,,2026-08-09T00:40:19.211-0500
TASK-019,BAT-122,24262,To Do,DONE,,,2026-08-09T00:40:19.407-0500
TASK-020,BAT-123,24263,To Do,DONE,,,2026-08-09T00:40:19.381-0500
TASK-021,BAT-124,24264,To Do,DONE,,,2026-08-09T00:40:19.381-0500
TASK-022,BAT-125,24265,To Do,DONE,,,2026-08-09T00:40:19.891-0500
TASK-023,BAT-126,24266,To Do,DONE,,,2026-08-09T00:40:20.087-0500
TASK-024,BAT-127,24267,To Do,DONE,,,2026-08-09T00:40:20.127-0500
TASK-025,BAT-128,24268,To Do,DONE,,,2026-08-09T00:40:20.150-0500
TASK-026,BAT-129,24269,To Do,DONE,,,2026-08-09T00:40:20.592-0500
TASK-027,BAT-130,24270,To Do,DONE,,,2026-08-09T00:40:20.831-0500
TASK-028,BAT-131,24271,To Do,DONE,,,2026-08-09T00:40:20.956-0500
TASK-029,BAT-132,24272,To Do,DONE,,,2026-08-09T00:40:21.029-0500
TASK-030,BAT-133,24273,To Do,DONE,,,2026-08-09T00:40:21.354-0500
TASK-031,BAT-134,24274,To Do,DONE,,,2026-08-09T00:40:21.709-0500
TASK-032,BAT-135,24275,To Do,DONE,,,2026-08-09T00:40:21.818-0500
TASK-033,BAT-136,24276,To Do,DONE,,,2026-08-09T00:40:21.830-0500
TASK-034,BAT-137,24277,To Do,DONE,,,2026-08-09T00:40:22.196-0500
TASK-035,BAT-138,24278,To Do,DONE,,,2026-08-09T00:40:22.471-0500
TASK-036,BAT-139,24279,To Do,DONE,,,2026-08-09T00:40:22.632-0500
TASK-037,BAT-140,24280,To Do,DONE,,,2026-08-09T00:40:22.628-0500
TASK-038,BAT-141,24281,To Do,DONE,,,2026-08-09T00:40:23.066-0500
TASK-039,BAT-142,24282,To Do,DONE,,,2026-08-09T00:40:23.239-0500
TASK-040,BAT-143,24283,To Do,DONE,,,2026-08-09T00:40:23.389-0500
TASK-041,BAT-144,24284,To Do,DONE,,,2026-08-09T00:40:23.416-0500
TASK-042,BAT-145,24285,To Do,DONE,,,2026-08-09T00:40:23.906-0500
TASK-043,BAT-146,24286,To Do,DONE,,,2026-08-09T00:40:23.943-0500
TASK-044,BAT-147,24287,To Do,DONE,,,2026-08-09T00:40:24.128-0500
TASK-045,BAT-148,24288,To Do,DONE,,,2026-08-09T00:40:24.177-0500
TASK-046,BAT-149,24289,To Do,DONE,,,2026-08-09T00:40:24.715-0500
TASK-047,BAT-150,24290,To Do,DONE,,,2026-08-09T00:40:24.675-0500
TASK-048,BAT-151,24291,To Do,DONE,,,2026-08-09T00:40:24.852-0500
TASK-049,BAT-152,24292,To Do,DONE,,,2026-08-09T00:40:24.977-0500
TASK-050,BAT-153,24293,To Do,DONE,,,2026-08-09T00:40:25.405-0500
TASK-051,BAT-154,24294,To Do,DONE,,,2026-08-09T00:40:25.459-0500
TASK-052,BAT-155,24295,To Do,DONE,,,2026-08-09T00:40:25.546-0500
TASK-053,BAT-156,24296,To Do,DONE,,,2026-08-09T00:40:25.742-0500
TASK-054,BAT-157,24297,To Do,DONE,,,2026-08-09T00:40:26.194-0500
TASK-055,BAT-158,24298,To Do,DONE,,,2026-08-09T00:40:26.186-0500
TASK-056,BAT-159,24299,To Do,DONE,,,2026-08-09T00:40:26.336-0500
TASK-057,BAT-160,24300,To Do,DONE,,,2026-08-09T00:40:26.473-0500
TASK-058,BAT-161,24301,To Do,DONE,,,2026-08-09T00:40:26.957-0500
TASK-059,BAT-162,24302,To Do,DONE,,,2026-08-09T00:40:27.057-0500
TASK-060,BAT-163,24303,To Do,DONE,,,2026-08-09T00:40:27.086-0500
TASK-061,BAT-164,24304,To Do,DONE,,,2026-08-09T00:40:27.238-0500
TASK-062,BAT-165,24305,To Do,DONE,,,2026-08-09T00:40:27.697-0500
TASK-063,BAT-166,24306,To Do,DONE,,,2026-08-09T00:40:27.877-0500
TASK-064,BAT-167,24307,To Do,DONE,,,2026-08-09T00:40:27.775-0500
TASK-065,BAT-168,24308,To Do,DONE,,,2026-08-09T00:40:28.115-0500
TASK-066,BAT-169,24309,To Do,DONE,,,2026-08-09T00:40:28.526-0500
TASK-067,BAT-170,24310,To Do,DONE,,,2026-08-09T00:40:28.584-0500
TASK-068,BAT-171,24311,To Do,DONE,,,2026-08-09T00:40:28.637-0500
TASK-069,BAT-172,24312,To Do,DONE,,,2026-08-09T00:40:28.867-0500
TASK-070,BAT-173,24313,To Do,DONE,,,2026-08-09T00:40:29.292-0500
TASK-071,BAT-174,24314,To Do,DONE,,,2026-08-09T00:40:29.326-0500
TASK-072,BAT-175,24315,To Do,DONE,,,2026-08-09T00:40:29.424-0500
TASK-073,BAT-176,24316,To Do,DONE,,,2026-08-09T00:40:29.652-0500
TASK-074,BAT-177,24317,To Do,DONE,,,2026-08-09T00:40:30.037-0500
TASK-075,BAT-178,24318,To Do,DONE,,,2026-08-09T00:40:30.114-0500
TASK-076,BAT-179,24319,To Do,DONE,,,2026-08-09T00:40:30.248-0500
TASK-077,BAT-180,24320,To Do,DONE,,,2026-08-12T09:06:20.882-0500
TASK-078,BAT-181,24321,To Do,DONE,,,2026-08-09T00:40:30.798-0500
TASK-079,BAT-182,24322,To Do,DONE,,,2026-08-12T09:06:21.698-0500
TASK-080,BAT-183,24323,To Do,DONE,,,2026-08-09T00:40:30.984-0500
TASK-081,BAT-184,24324,To Do,DONE,,,2026-08-09T00:40:31.225-0500
TASK-082,BAT-185,24325,To Do,DONE,,,2026-08-09T00:40:31.547-0500
TASK-083,BAT-186,24326,To Do,DONE,,,2026-08-09T00:40:31.660-0500
TASK-084,BAT-187,24327,To Do,DONE,,,2026-08-09T00:40:31.754-0500
TASK-085,BAT-188,24328,To Do,DONE,,,2026-08-09T00:40:31.992-0500
TASK-086,BAT-189,24329,To Do,DONE,,,2026-08-09T00:40:32.292-0500
TASK-087,BAT-190,24330,To Do,DONE,,,2026-08-09T00:40:32.426-0500
TASK-088,BAT-191,24331,To Do,DONE,,,2026-08-09T00:40:32.463-0500
TASK-089,BAT-192,24332,To Do,DONE,,,2026-08-09T00:40:32.872-0500
TASK-090,BAT-193,24333,To Do,DONE,,,2026-08-09T00:40:33.037-0500
TASK-091,BAT-194,24334,To Do,DONE,,,2026-08-09T00:40:33.182-0500
TASK-092,BAT-195,24335,To Do,DONE,,,2026-08-09T00:40:33.241-0500
TASK-093,BAT-196,24336,To Do,DONE,,,2026-08-09T00:40:33.670-0500
TASK-094,BAT-197,24337,To Do,DONE,,,2026-08-09T00:40:33.854-0500
TASK-095,BAT-198,24338,To Do,DONE,,,2026-08-09T00:40:33.929-0500
TASK-096,BAT-199,24339,To Do,DONE,,,2026-08-09T00:40:34.172-0500
TASK-097,BAT-200,24340,To Do,DONE,,,2026-08-09T00:40:34.409-0500
TASK-098,BAT-201,24341,To Do,DONE,,,2026-08-09T00:40:34.745-0500
TASK-099,BAT-202,24342,To Do,DONE,,,2026-08-09T00:40:34.760-0500
TASK-100,BAT-203,24343,To Do,DONE,,,2026-08-09T00:40:34.946-0500
TASK-101,BAT-204,24344,To Do,DONE,,,2026-08-09T00:40:35.234-0500
TASK-102,BAT-205,24345,To Do,DONE,,,2026-08-09T00:40:35.488-0500
TASK-103,BAT-206,24346,To Do,DONE,,,2026-08-09T00:40:35.549-0500
TASK-104,BAT-207,24347,To Do,DONE,,,2026-08-09T00:40:35.676-0500
TASK-105,BAT-208,24348,To Do,DONE,,,2026-08-09T00:40:36.061-0500
TASK-106,BAT-209,24349,To Do,DONE,,,2026-08-09T00:40:36.295-0500
TASK-107,BAT-210,24350,To Do,DONE,,,2026-08-12T09:33:30.894-0500
TASK-108,BAT-211,24351,To Do,DONE,,,2026-08-09T00:40:36.439-0500
TASK-109,BAT-212,24352,To Do,DONE,,,2026-08-09T00:40:36.922-0500
TASK-110,BAT-213,24353,To Do,DONE,,,2026-08-09T00:40:37.067-0500
TASK-111,BAT-214,24354,To Do,DONE,,,2026-08-09T00:40:37.079-0500
TASK-112,BAT-215,24355,To Do,DONE,,,2026-08-09T00:40:37.130-0500
TASK-113,BAT-216,24356,To Do,DONE,,,2026-08-09T00:40:37.664-0500
TASK-114,BAT-217,24357,To Do,DONE,,,2026-08-09T00:40:37.854-0500
TASK-115,BAT-218,24358,To Do,DONE,,,2026-08-09T00:40:37.820-0500
TASK-116,BAT-219,24359,To Do,DONE,,,2026-08-09T00:40:37.888-0500
TASK-117,BAT-220,24360,To Do,DONE,,,2026-08-09T00:40:38.599-0500
TASK-118,BAT-221,24361,To Do,DONE,,,2026-08-09T00:40:38.667-0500
TASK-119,BAT-222,24362,To Do,DONE,,,2026-08-09T00:40:38.657-0500
TASK-120,BAT-223,24363,To Do,DONE,,,2026-08-09T00:40:38.619-0500
TASK-121,BAT-224,24364,To Do,DONE,,,2026-08-09T00:40:39.370-0500
TASK-122,BAT-225,24365,To Do,DONE,,,2026-08-09T00:40:39.349-0500
TASK-123,BAT-226,24366,To Do,DONE,,,2026-08-09T00:40:39.462-0500
TASK-124,BAT-227,24367,To Do,DONE,,,2026-08-09T00:40:39.387-0500
TASK-125,BAT-228,24368,To Do,DONE,,,2026-08-09T00:40:40.097-0500
TASK-126,BAT-229,24369,To Do,DONE,,,2026-08-09T00:40:40.098-0500
TASK-127,BAT-230,24370,To Do,DONE,,,2026-08-09T00:40:40.146-0500
TASK-128,BAT-231,24371,To Do,DONE,,,2026-08-09T00:40:40.230-0500
TASK-129,BAT-232,24372,To Do,DONE,,,2026-08-09T00:40:40.861-0500
TASK-130,BAT-233,24373,To Do,DONE,,,2026-08-09T00:40:41.051-0500
TASK-131,BAT-234,24374,To Do,DONE,,,2026-08-09T00:40:40.970-0500
TASK-132,BAT-235,24375,To Do,DONE,,,2026-08-09T00:40:40.978-0500
TASK-133,BAT-236,24376,To Do,DONE,,,2026-08-09T00:40:41.586-0500
TASK-134,BAT-237,24377,To Do,DONE,,,2026-08-09T00:40:41.767-0500
TASK-135,BAT-238,24378,To Do,DONE,,,2026-08-09T00:40:42.013-0500
TASK-136,BAT-239,24379,To Do,DONE,,,2026-08-09T00:40:41.745-0500
TASK-137,BAT-240,24380,To Do,DONE,,,2026-08-09T00:40:42.291-0500
TASK-138,BAT-241,24381,To Do,DONE,,,2026-08-09T00:40:42.490-0500
TASK-139,BAT-242,24382,To Do,DONE,,,2026-08-09T00:40:42.523-0500
TASK-140,BAT-243,24383,To Do,DONE,,,2026-08-09T00:40:42.857-0500
TASK-141,BAT-244,24384,To Do,DONE,,,2026-08-09T00:40:43.012-0500
TASK-142,BAT-245,24385,To Do,DONE,,,2026-08-09T00:40:43.256-0500
TASK-143,BAT-246,24386,To Do,DONE,,,2026-08-09T00:40:43.282-0500
TASK-144,BAT-247,24387,To Do,DONE,,,2026-08-09T00:40:43.596-0500
TASK-145,BAT-248,24388,To Do,DONE,,,2026-08-09T00:40:43.748-0500
TASK-146,BAT-249,24389,To Do,DONE,,,2026-08-09T00:40:43.990-0500
TASK-147,BAT-250,24390,To Do,DONE,,,2026-08-09T00:40:44.018-0500
TASK-148,BAT-251,24391,To Do,DONE,,,2026-08-09T00:40:44.404-0500
TASK-149,BAT-252,24392,To Do,DONE,,,2026-08-09T00:40:44.483-0500
TASK-150,BAT-253,24393,To Do,DONE,,,2026-08-09T00:40:44.773-0500
TASK-151,BAT-254,24394,To Do,DONE,,,2026-08-09T00:40:44.739-0500
TASK-152,BAT-255,24395,To Do,DONE,,,2026-08-09T00:40:45.149-0500
TASK-153,BAT-256,24396,To Do,DONE,,,2026-08-09T00:40:45.288-0500
TASK-154,BAT-257,24397,To Do,DONE,,,2026-08-09T00:40:45.442-0500
TASK-155,BAT-258,24398,To Do,DONE,,,2026-08-09T00:40:45.655-0500
TASK-156,BAT-259,24399,To Do,DONE,,,2026-08-09T00:40:45.915-0500
TASK-157,BAT-260,24400,To Do,DONE,,,2026-08-09T00:40:46.051-0500
TASK-158,BAT-261,24401,To Do,DONE,,,2026-08-09T00:40:46.232-0500
TASK-159,BAT-262,24402,To Do,DONE,,,2026-08-09T00:40:46.385-0500
TASK-160,BAT-263,24403,To Do,DONE,,,2026-08-09T00:40:46.643-0500
TASK-161,BAT-265,24405,To Do,BLOCKED,,,2026-08-09T00:05:13.849-0500
TASK-162,BAT-267,24407,To Do,DONE,,,2026-08-09T00:40:46.732-0500
TASK-163,BAT-268,24408,To Do,BLOCKED,,,2026-08-09T00:05:14.012-0500
TASK-164,BAT-270,24410,To Do,DONE,,,2026-08-09T00:40:47.018-0500
TASK-165,BAT-272,24412,To Do,DEFERRED,,,2026-08-09T00:05:14.297-0500
TASK-166,BAT-274,24414,To Do,DEFERRED,,,2026-08-09T00:05:14.340-0500
TASK-167,BAT-276,24416,To Do,DEFERRED,,,2026-08-09T00:05:14.409-0500
TASK-168,BAT-278,24418,To Do,DEFERRED,,,2026-08-09T00:05:14.553-0500
TASK-169,BAT-280,24420,To Do,DEFERRED,,,2026-08-09T00:05:14.821-0500
TASK-170,BAT-282,24422,To Do,DEFERRED,,,2026-08-09T00:05:14.774-0500
TASK-171,BAT-284,24424,To Do,DEFERRED,,,2026-08-09T00:05:14.900-0500
TASK-172,BAT-286,24426,To Do,DEFERRED,,,2026-08-09T00:05:15.001-0500
TASK-173,BAT-288,24428,To Do,DONE,,,2026-08-09T00:40:47.149-0500
TASK-174,BAT-290,24430,To Do,DONE,,,2026-08-09T00:40:47.390-0500
TASK-175,BAT-293,24433,To Do,DONE,,,2026-08-09T00:40:47.472-0500
TASK-176,BAT-295,24435,To Do,DONE,,,2026-08-09T00:40:47.834-0500
TASK-177,BAT-296,24436,To Do,DONE,,,2026-08-09T00:40:47.946-0500
TASK-178,BAT-298,24438,To Do,DONE,,,2026-08-09T00:40:48.180-0500
TASK-179,BAT-300,24440,To Do,DONE,,,2026-08-09T00:40:48.282-0500
TASK-180,BAT-302,24442,To Do,DONE,,,2026-08-09T00:40:48.658-0500
TASK-181,BAT-304,24444,To Do,DONE,,,2026-08-09T00:40:48.758-0500
TASK-182,BAT-306,24446,To Do,DONE,,,2026-08-09T00:40:48.984-0500
TASK-183,BAT-308,24448,To Do,DONE,,,2026-08-09T00:40:49.008-0500
TASK-184,BAT-310,24450,To Do,DONE,,,2026-08-09T00:40:49.412-0500
TASK-185,BAT-312,24452,To Do,DONE,,,2026-08-09T00:40:49.548-0500
TASK-186,BAT-314,24454,To Do,DONE,,,2026-08-09T00:40:49.672-0500
TASK-187,BAT-316,24456,To Do,DONE,,,2026-08-09T00:40:49.713-0500
TASK-188,BAT-318,24458,To Do,DONE,,,2026-08-09T00:40:50.137-0500
TASK-189,BAT-320,24460,To Do,DONE,,,2026-08-09T00:40:50.316-0500
TASK-190,BAT-322,24462,To Do,DONE,,,2026-08-09T00:40:50.390-0500
TASK-191,BAT-324,24464,To Do,DONE,,,2026-08-11T07:09:31.691-0500
TASK-192,BAT-325,24465,To Do,DONE,,,2026-08-09T00:40:50.915-0500
TASK-193,BAT-328,24468,To Do,DONE,,,2026-08-11T07:09:32.132-0500
TASK-194,BAT-329,24469,To Do,DONE,,,2026-08-09T00:40:51.167-0500
TASK-195,BAT-331,24471,To Do,DONE,,,2026-08-09T00:40:51.257-0500
TASK-196,BAT-333,24473,To Do,DONE,,,2026-08-09T00:40:51.717-0500
TASK-197,BAT-335,24475,To Do,DONE,,,2026-08-09T00:40:51.928-0500
TASK-198,BAT-347,24487,To Do,DONE,,,2026-08-09T00:40:51.924-0500
TASK-199,BAT-348,24488,To Do,DONE,,,2026-08-09T00:40:52.008-0500
TASK-200,BAT-349,24489,To Do,DONE,,,2026-08-09T00:40:52.484-0500
TASK-201,BAT-350,24490,To Do,DONE,,,2026-08-09T00:40:52.802-0500
POST-SUBTASK-001,BAT-351,24491,Done,DONE,kevinsgarrett@gmail.com,,2026-08-09T23:23:59.632-0500
POST-SUBTASK-002,BAT-352,24492,Done,DONE,kevinsgarrett@gmail.com,,2026-08-09T23:23:59.707-0500
POST-SUBTASK-003,BAT-353,24493,Done,DONE,kevinsgarrett@gmail.com,,2026-08-09T23:23:59.907-0500
POST-SUBTASK-004,BAT-354,24494,Done,DONE,kevinsgarrett@gmail.com,,2026-08-11T06:31:07.544-0500
POST-SUBTASK-005,BAT-355,24495,Done,DONE,,,2026-08-09T23:24:00.129-0500
