open_issue_id,title,source_path,start_line,end_line,jira_issue_ids,disposition,source_ref_id
ISSUE-024,Rule eras (MEDIUM),governance/OPEN_ISSUES.md,143,148,POST-SUBTASK-141,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01924
ISSUE-025,Market snapshots (HIGH),governance/OPEN_ISSUES.md,149,154,POST-SUBTASK-078,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01925
ISSUE-026,Uncertainty/OOD (MEDIUM),governance/OPEN_ISSUES.md,155,160,POST-SUBTASK-123,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01926
ISSUE-027,Live/BAS collapse (NONE),governance/OPEN_ISSUES.md,161,166,POST-SUBTASK-096,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01927
ISSUE-028,Source rights (MEDIUM),governance/OPEN_ISSUES.md,167,172,POST-SUBTASK-024,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01928
ISSUE-029,Architecture (HIGH),governance/OPEN_ISSUES.md,173,178,POST-SUBTASK-078,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01929
ISSUE-030,Validation (HIGH),governance/OPEN_ISSUES.md,179,184,POST-SUBTASK-105,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01930
ISSUE-031,BAS (HIGH),governance/OPEN_ISSUES.md,185,190,POST-SUBTASK-096,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01931
ISSUE-032,Modeling (MEDIUM),governance/OPEN_ISSUES.md,191,196,POST-SUBTASK-078,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01932
ISSUE-033,Orchestration (MEDIUM),governance/OPEN_ISSUES.md,197,202,POST-SUBTASK-114,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01933
ISSUE-034,Storage (MEDIUM),governance/OPEN_ISSUES.md,203,208,POST-SUBTASK-042,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01934
ISSUE-035,A&M (HIGH),governance/OPEN_ISSUES.md,209,214,POST-SUBTASK-069,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01935
ISSUE-036,Research (MEDIUM),governance/OPEN_ISSUES.md,215,221,POST-SUBTASK-141,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01936
ISSUE-037,Dependency locking (LOW),governance/OPEN_ISSUES.md,222,227,POST-SUBTASK-123,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01937
ISSUE-038,PowerShell runtime validation (LOW),governance/OPEN_ISSUES.md,228,234,POST-SUBTASK-105,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01938
ISSUE-039,Canonical relational persistence (MEDIUM),governance/OPEN_ISSUES.md,235,240,POST-SUBTASK-042,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01939
ISSUE-040,Forecast snapshot product schema (MEDIUM),governance/OPEN_ISSUES.md,241,246,POST-SUBTASK-123,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01940
ISSUE-041,A&M statistical specialization form (HIGH),governance/OPEN_ISSUES.md,247,252,POST-SUBTASK-051,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01941
ISSUE-042,Architecture-to-code conformance (MEDIUM),governance/OPEN_ISSUES.md,253,258,POST-SUBTASK-141,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01942
ISSUE-043,Snapshot freshness operations (MEDIUM),governance/OPEN_ISSUES.md,259,317,POST-SUBTASK-096,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01943
ISSUE-077,Historical depth state coverage (HIGH),governance/OPEN_ISSUES.md,318,322,POST-SUBTASK-069,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01944
ISSUE-078,Historical availability before official-report eras (HIGH),governance/OPEN_ISSUES.md,323,327,POST-SUBTASK-069,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01945
ISSUE-079,Player-value target/calibration (HIGH),governance/OPEN_ISSUES.md,328,332,POST-SUBTASK-078,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01946
ISSUE-080,Same-player transfer training coverage (HIGH),governance/OPEN_ISSUES.md,333,337,POST-SUBTASK-069,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01947
ISSUE-081,Recruiting/transfer source rights and history (MEDIUM),governance/OPEN_ISSUES.md,338,342,POST-SUBTASK-114,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01948
ISSUE-082,Official availability report archive materialization (MEDIUM),governance/OPEN_ISSUES.md,343,347,POST-SUBTASK-069,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01949
ISSUE-083,Availability source-confidence calibration (MEDIUM),governance/OPEN_ISSUES.md,348,352,POST-SUBTASK-078,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01950
ISSUE-084,Preseason honor historical completeness (LOW),governance/OPEN_ISSUES.md,353,419,POST-SUBTASK-096,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01951
ISSUE-106,Exact BAS-independent expected-margin model family not selected,governance/OPEN_ISSUES.md,383,385,POST-SUBTASK-096,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01952
ISSUE-107,Historical cross-fitted BAS labels not materialized,governance/OPEN_ISSUES.md,386,388,POST-SUBTASK-096,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01953
ISSUE-108,Aggie Excess effect size/significance unknown,governance/OPEN_ISSUES.md,389,391,POST-SUBTASK-141,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01954
ISSUE-109,THR-006 scientific criterion unset,governance/OPEN_ISSUES.md,392,394,POST-SUBTASK-096,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01955
ISSUE-110,BAS component identifiability/stability unknown,governance/OPEN_ISSUES.md,395,397,POST-SUBTASK-096,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01956
ISSUE-111,Live Collapse BAS definition/replay threshold unresolved,governance/OPEN_ISSUES.md,398,400,POST-SUBTASK-096,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01957
ISSUE-112,Calibration of nested BAS probability severities unmeasured,governance/OPEN_ISSUES.md,401,419,POST-SUBTASK-096,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01958
ISSUE-113,W23 target-hardware benchmark gate,governance/OPEN_ISSUES.md,420,426,POST-SUBTASK-009,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01959
ISSUE-114,W23 target benchmark carried into W25,governance/OPEN_ISSUES.md,427,438,POST-SUBTASK-096,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01960
