risk_id,risk,severity,likelihood,mitigation,status,owner_wave,final_disposition,jira_issue_ids,source_ref_id,mapped
RISK-023,RAM pressure from raw PBP/feature matrices destabilizes local pipeline,MEDIUM,MEDIUM,"Parquet partitioning, DuckDB/Polars lazy processing, caches, bounded concurrency",OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-060,SRCREF-01599,true
RISK-024,Repository grows through duplication rather than refinement,MEDIUM,MEDIUM,"Active redundancy-removal mandate, change logs, file-purpose reviews",OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01600,true
RISK-025,Recon samples mistaken for full data coverage/performance,HIGH,HIGH,Explicit sample-vs-population rule and full-data profiling contract,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01601,true
RISK-026,Current source status becomes stale before implementation,HIGH,MEDIUM,Wave06 fresh research and Wave24 refresh,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01602,true
RISK-027,Rule changes alter feature semantics across eras,MEDIUM,MEDIUM,Effective-dated rule registry and versioned definitions,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-060,SRCREF-01603,true
RISK-028,Mirrored game rows leak across folds,CRITICAL,MEDIUM,Canonical game grouping and split-safety tests,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01604,true
RISK-029,Unsafe ZIP member path escapes extraction directory,HIGH,LOW,Verify archive paths before extraction and use safe_extract helper,MITIGATED_W02,MULTI,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01605,true
RISK-030,Repository/pack manifests become self-referential or nondeterministic,HIGH,MEDIUM,Exclude manifest/hash files; sorted hashing; fixed ZIP metadata; pair validation,MITIGATED_W02,MULTI,CONTROL_PRESENT_MONITOR,POST-SUBTASK-105,SRCREF-01606,true
RISK-031,Parallel Codex worktrees collide on shared unfrozen contracts,HIGH,MEDIUM,"Explicit worktree policy, protected/shared file ownership and focused task packets",OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01607,true
RISK-032,Wave02 prematurely freezes domain/service architecture,MEDIUM,MEDIUM,Minimal src scaffold; defer football/service boundaries to W03,MITIGATED_W02,W02-W03,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01608,true
RISK-033,Local and CI validation behavior diverges,MEDIUM,MEDIUM,CI calls same Python validation/tests used locally,MITIGATED_W02,W02-W23,CONTROL_PRESENT_MONITOR,POST-SUBTASK-132,SRCREF-01609,true
RISK-034,Windows path or line-ending differences break tooling,MEDIUM,MEDIUM,"pathlib, gitattributes/editorconfig, Windows/Linux CI",OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-132,SRCREF-01610,true
RISK-035,Credentials or large local artifacts enter cumulative ZIP,HIGH,MEDIUM,"Secret scan, forbidden-artifact scan, gitignore and strict packaging validation",OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-132,SRCREF-01611,true
RISK-036,Required external environment manager becomes unnecessary dependency,LOW,MEDIUM,Use venv/pip portability baseline; optional accelerators only,MITIGATED_W02,W02+,CONTROL_PRESENT_MONITOR,POST-SUBTASK-078,SRCREF-01612,true
RISK-037,Modular monolith degrades into tightly coupled god modules,MEDIUM,MEDIUM,Enforce logical ownership/import direction and architecture registry tests,OPEN,W03+,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01613,true
RISK-038,Parquet/DuckDB default cannot satisfy later transactional or concurrent entity workflows,MEDIUM,MEDIUM,Keep storage contracts backend-neutral and evaluate PostgreSQL/relational adapter in W07/W22,OPEN,W07/W22,OPEN_HANDOFF,POST-SUBTASK-042,SRCREF-01614,true
RISK-039,Snapshot serving exposes stale forecast if refresh orchestration fails,HIGH,MEDIUM,"Timestamp every forecast, show freshness, monitor refresh jobs and never label stale snapshot as current",OPEN,W21-W23,OPEN_HANDOFF,POST-SUBTASK-123,SRCREF-01615,true
RISK-040,Research experiment or agent bypasses protected evaluation and changes production state,CRITICAL,MEDIUM,Separate research plane; protected evaluation/promotion interface; immutable judging rules,OPEN,W17-W18,OPEN_HANDOFF,POST-SUBTASK-123,SRCREF-01616,true
RISK-041,LLM-derived extraction enters canonical state without sufficient evidence validation,HIGH,MEDIUM,Retain source evidence/extraction provenance/confidence and require deterministic validation/review,OPEN,W07-W13,OPEN_HANDOFF,POST-SUBTASK-105,SRCREF-01617,true
RISK-042,W03 A&M specialization interface is misread as a frozen residual-model implementation,MEDIUM,MEDIUM,Document semantic-only contract; W14/W16 retain statistical-family authority,OPEN,W14-W16,OPEN_HANDOFF,POST-SUBTASK-087,SRCREF-01618,true
RISK-043,Serving layer bypasses forecast snapshots and creates unreproducible on-request outputs,HIGH,LOW,Read-only serving boundary plus architecture dependency tests and snapshot lineage,OPEN,W22,OPEN_HANDOFF,POST-SUBTASK-123,SRCREF-01619,true
RISK-044,Future service split breaks shared contracts or creates duplicate sources of truth,HIGH,LOW,Split only behind accepted interfaces and preserve canonical/PIT ownership,OPEN,W23+,OPEN_HANDOFF,POST-SUBTASK-051,SRCREF-01620,true
RISK-045,Architecture registry drifts from later implementation,MEDIUM,MEDIUM,Run architecture validator each wave and update registry via ADR when boundaries materially change,OPEN,W04-W25,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01621,true
RISK-046,Acceptance criteria are too vague to produce objective evidence,HIGH,MEDIUM,Machine-readable controls with criterion/evidence mode/owner/gate and validator coverage,MITIGATED_W04,W04+,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01622,true
RISK-047,Arbitrary numeric thresholds create false rigor or lock bad decisions,HIGH,HIGH,Threshold registry keeps unknown values blank/TBD until evidence-owning wave,MITIGATED_W04,W04-W23,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01623,true
RISK-048,Future-wave control is marked PASS before implementation/data evidence exists,HIGH,MEDIUM,Separate acceptance evidence state; validator and honest-maturity rule,MITIGATED_W04,W04-W25,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01624,true
RISK-049,Protected test period becomes iterative tuning feedback,CRITICAL,MEDIUM,Protected-test seal and precommitted promotion criteria; prospective replacement if exhausted,OPEN,W17+,OPEN_HANDOFF,POST-SUBTASK-105,SRCREF-01625,true
RISK-050,Ambiguous known-at timestamp is treated as eligible instead of unsafe,CRITICAL,MEDIUM,Fail-closed PIT eligibility and release-blocking temporal controls,OPEN,W08+,OPEN_HANDOFF,POST-SUBTASK-051,SRCREF-01626,true
RISK-051,Requirements ADRs risks and acceptance controls drift out of traceability,HIGH,MEDIUM,Exact bidirectional mapping validation in repository tooling,MITIGATED_W04,W04-W25,CONTROL_PRESENT_MONITOR,POST-SUBTASK-105,SRCREF-01627,true
RISK-052,Local performance limits are guessed before full materialization and misguide architecture,MEDIUM,HIGH,Benchmark-first performance threshold registry on target hardware,OPEN,W19-W23,OPEN_HANDOFF,POST-SUBTASK-009,SRCREF-01628,true
RISK-053,Operational logs expose credentials or restricted source data,HIGH,MEDIUM,Structured/redacted logging acceptance control and secret/restricted-data policy,OPEN,W21-W23,OPEN_HANDOFF,POST-SUBTASK-132,SRCREF-01629,true
RISK-054,Manual licensing/semantic exception review is skipped because automated tests pass,HIGH,MEDIUM,Manual-review acceptance mode with required reviewer rationale/evidence/date,OPEN,W06+,OPEN_HANDOFF,POST-SUBTASK-024,SRCREF-01630,true
RISK-055,W05 backlog becomes stale after W06 source discoveries,HIGH,HIGH,Mandatory W06 replan gate; preserve task IDs and revise statuses/dependencies through change log,OPEN,W06,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01631,true
RISK-056,Backlog over-decomposition creates micro-handoff overhead,MEDIUM,MEDIUM,Codex packets group coherent task slices; tasks remain atomic enough to test but not prompt fragments,MITIGATED_W05,W05+,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01632,true
RISK-057,Backlog under-specification lets Codex infer unsafe scope,HIGH,MEDIUM,"Explicit outputs, mutation scope, dependencies, AC/REQ mapping and stop conditions",MITIGATED_W05,W05+,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01633,true
RISK-058,Parallel worktrees concurrently mutate shared contracts,HIGH,MEDIUM,Shared-contract ownership table and serialized mutation lane,OPEN,W05+,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01634,true
RISK-059,Fake time estimates distort implementation decisions,MEDIUM,MEDIUM,No duration estimates; dependency/complexity classes only until measured throughput exists,MITIGATED_W05,W05+,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01635,true
RISK-060,Blocked tasks execute before protected prerequisite gate,CRITICAL,MEDIUM,Machine-readable dependency DAG/readiness validator; protected gates block downstream readiness,OPEN,W06+,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01636,true
RISK-061,Requirement/acceptance/task traceability drifts as backlog changes,HIGH,MEDIUM,Exact-coverage task traceability tables and validate_backlog.py,OPEN,W05+,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01637,true
RISK-062,Critical-path label is mistaken for a promised delivery schedule,MEDIUM,MEDIUM,Document dependency-critical semantics and prohibit duration interpretation,MITIGATED_W05,W05+,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01638,true
RISK-063,Autonomous Codex queue expands scope beyond current wave or protected contracts,HIGH,MEDIUM,"Packet wave ownership, stop conditions, protected-control boundary, integration steward rules",OPEN,W06+,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01639,true
RISK-064,Too many concurrent worktrees exceed local CPU/RAM/storage or increase merge risk,MEDIUM,MEDIUM,Bounded adaptive concurrency based on independence/resource pressure; no fixed maximum required by W05,OPEN,W06+,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01640,true
RISK-065,Official availability reports cover only certain conferences/games/eras,,HIGH,Coverage-policy metadata; unknown outside scope; media/licensed fallback,OPEN,W08-W12,OPEN_HANDOFF,POST-SUBTASK-069,SRCREF-01641,true
RISK-066,Missing availability is mistaken for healthy/available,,MEDIUM,Policy-aware missingness; only infer available when source policy explicitly defines unlisted players as available,OPEN,W08-W12,OPEN_HANDOFF,POST-SUBTASK-069,SRCREF-01642,true
RISK-067,Weather forecast archive coverage/model versions differ by era,,HIGH,Model/run/version/lead provenance; era-specific fallback and uncertainty,OPEN,W08-W13,OPEN_HANDOFF,POST-SUBTASK-078,SRCREF-01643,true
RISK-068,Open-Meteo plan/license/coverage changes affect automated weather workflow,,MEDIUM,NOAA primary archive fallback; terms/version monitoring,OPEN,W06-W24,OPEN_HANDOFF,POST-SUBTASK-069,SRCREF-01644,true
RISK-069,High-quality timestamped market history requires paid data,,HIGH,Pure-football lane independent; optional paid adapter; no forced market feature,OPEN,W16-W17,OPEN_HANDOFF,POST-SUBTASK-060,SRCREF-01645,true
RISK-070,Derived open sources share upstream data and create false corroboration,,MEDIUM,Upstream provenance/redundancy map,OPEN,W07-W09,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01646,true
RISK-071,Commercial vendor lock-in or price changes destabilize pipeline,,MEDIUM,Adapter isolation/fallbacks; evidence-backed adoption only,OPEN,W18-W24,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01647,true
RISK-072,Private-school proxy resources are misinterpreted as football spending,,MEDIUM,Semantic proxy lane + uncertainty + no fabricated values,OPEN,W13,OPEN_HANDOFF,POST-SUBTASK-078,SRCREF-01648,true
RISK-073,2025-26 roster/eligibility/transfer rules change feature semantics,,HIGH,Effective-dated regulatory environment,OPEN,W08-W13,OPEN_HANDOFF,POST-SUBTASK-060,SRCREF-01649,true
RISK-074,Lower-division official schemas and coverage are inconsistent,,HIGH,Bounded normalized priors + source confidence/missingness,OPEN,W11-W12,OPEN_HANDOFF,POST-SUBTASK-033,SRCREF-01650,true
RISK-075,Pregame officiating assignment coverage remains sparse,,HIGH,Experimental lane; suppress missing features; gamebooks postgame history only,OPEN,W13,OPEN_HANDOFF,POST-SUBTASK-060,SRCREF-01651,true
RISK-076,Formation/route/coverage/tracking data remains proprietary,,HIGH,Phase-5 optional research; core features derived from public PBP,OPEN,W18+,OPEN_HANDOFF,POST-SUBTASK-060,SRCREF-01652,true
RISK-077,Recruiting/transfer upstream rights or snapshot semantics are unclear,,MEDIUM,Rights/upstream audit; local-only raw where needed,OPEN,W09-W12,OPEN_HANDOFF,POST-SUBTASK-069,SRCREF-01653,true
RISK-078,Mutable official pages are edited after initial publication,,MEDIUM,Immutable page/report snapshots + first-known/retrieval times/hashes,OPEN,W07-W09,OPEN_HANDOFF,POST-SUBTASK-114,SRCREF-01654,true
RISK-079,W06 source universe becomes stale before final system completion,,HIGH,W24 targeted refresh; change log and source risk monitoring,OPEN,W24,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01655,true
RISK-080,Name collisions/normalization conflate distinct players or coaches,HIGH,MEDIUM,Prohibit name-only durable joins; review ambiguous candidates; labeled resolver tests in W19,OPEN,W07-W19,OPEN_HANDOFF,POST-SUBTASK-069,SRCREF-01656,true
RISK-081,One real entity is fragmented into duplicate canonical IDs,HIGH,MEDIUM,"Verified source mappings, aliases, merge/redirect history and duplicate-detection review",OPEN,W07-W19,OPEN_HANDOFF,POST-SUBTASK-042,SRCREF-01657,true
RISK-082,Source IDs are reused or change semantics across time/schema versions,HIGH,LOW_MEDIUM,Scope source keys by source/type/context; validate direct-ID contracts; preserve source versions,OPEN,W07-W09,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01658,true
RISK-083,Transfers/role changes accidentally create new player/coach identities,HIGH,MEDIUM,Separate human identity from membership/role episodes,MITIGATED_BY_CONTRACT,W07-W12,CONTROL_PRESENT_MONITOR,POST-SUBTASK-069,SRCREF-01659,true
RISK-084,Rescheduled/canceled/relocated games are duplicated or conflated,HIGH,MEDIUM,Explicit underlying-contest identity policy and review on opponent replacement/conflicts,OPEN,W07-W19,OPEN_HANDOFF,POST-SUBTASK-042,SRCREF-01660,true
RISK-085,Mutable official reports overwrite earlier publication/capture evidence,CRITICAL,MEDIUM,Layer publication version/raw capture/source observation identity; immutable raw hashes,MITIGATED_BY_CONTRACT,W07-W08,CONTROL_PRESENT_MONITOR,POST-SUBTASK-114,SRCREF-01661,true
RISK-086,Uncalibrated fuzzy score silently auto-accepts wrong mapping,CRITICAL,MEDIUM,Disable fuzzy auto-accept; THR-008 remains unset until labeled W19 evidence,MITIGATED_BY_CONTRACT,W07-W19,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01662,true
RISK-087,Entity merge/split correction rewrites history and breaks replay,CRITICAL,LOW_MEDIUM,"Append-only decisions, redirect/supersession and versioned downstream rebuilds",MITIGATED_BY_CONTRACT,W07-W19,CONTROL_PRESENT_MONITOR,POST-SUBTASK-042,SRCREF-01663,true
RISK-088,Future multi-user review outgrows single-writer storage model,MEDIUM,LOW,Storage port + explicit PostgreSQL reopen triggers; benchmark W19/W22,OPEN,W19-W22,OPEN_HANDOFF,POST-SUBTASK-078,SRCREF-01664,true
RISK-089,Weak officiating identity creates false referee histories,MEDIUM,HIGH,Keep unresolved/name-only official identities out of promoted features; W13 gap policy,OPEN,W07-W13,OPEN_HANDOFF,POST-SUBTASK-060,SRCREF-01665,true
RISK-090,Stale wave-state fields cause wrong-wave execution despite valid pack binding,HIGH,LOW_MEDIUM,Normalize CURRENT_STATE current_wave field; backward-compatible verifier; cross-file wave validator,MITIGATED_W07,W07+,CONTROL_PRESENT_MONITOR,POST-SUBTASK-051,SRCREF-01666,true
RISK-091,Knowledge time conflated with effective/valid time,CRITICAL,HIGH,Bitemporal W08 contract + AC-067,MITIGATED_CONTRACT_REAL_DATA_PENDING,W08-W19,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01667,true
RISK-092,Current mutable page incorrectly treated as historical publication,CRITICAL,HIGH,first-known evidence policy + retrospective quarantine,OPEN_MATERIALIZATION,W08-W19,OPEN_HANDOFF,POST-SUBTASK-114,SRCREF-01668,true
RISK-093,Later source correction rewrites historical replay,CRITICAL,MEDIUM,append-only publication versions + AC-069,MITIGATED_CONTRACT_REAL_DATA_PENDING,W08-W24,CONTROL_PRESENT_MONITOR,POST-SUBTASK-114,SRCREF-01669,true
RISK-094,No availability report inferred as healthy,CRITICAL,MEDIUM,policy-scope metadata + UNKNOWN noncoverage,MITIGATED_CONTRACT_MATERIALIZATION_PENDING,W08-W12,CONTROL_PRESENT_MONITOR,POST-SUBTASK-069,SRCREF-01670,true
RISK-095,Observed weather contaminates earlier pregame forecasts,CRITICAL,HIGH,issued model-run contract + synthetic replay,MITIGATED_CONTRACT_ARCHIVE_PENDING,W08-W13,CONTROL_PRESENT_MONITOR,POST-SUBTASK-078,SRCREF-01671,true
RISK-096,Weather model initialization mistaken for public availability,HIGH,MEDIUM,separate model_available_at/first_known_at,MITIGATED_CONTRACT_ARCHIVE_PENDING,W08-W13,CONTROL_PRESENT_MONITOR,POST-SUBTASK-078,SRCREF-01672,true
RISK-097,Fiscal/reporting period mistaken for public availability date,HIGH,MEDIUM,resource dual-time contract,MITIGATED_CONTRACT_MATERIALIZATION_PENDING,W08-W13,CONTROL_PRESENT_MONITOR,POST-SUBTASK-069,SRCREF-01673,true
RISK-098,Rule season/effective year used without publication/validity semantics,HIGH,MEDIUM,regulatory dual-time contract,MITIGATED_CONTRACT_MATERIALIZATION_PENDING,W08-W13,CONTROL_PRESENT_MONITOR,POST-SUBTASK-114,SRCREF-01674,true
RISK-099,Same/future game outputs leak into pregame aggregates,CRITICAL,HIGH,game-completion gate + protected synthetic tests,MITIGATED_CONTRACT_REAL_DATA_PENDING,W08-W17,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01675,true
RISK-100,Historical model training uses labels from future games,CRITICAL,HIGH,separate model-training cutoff + AC-076,MITIGATED_CONTRACT_WALK_FORWARD_PENDING,W08-W17,CONTROL_PRESENT_MONITOR,POST-SUBTASK-078,SRCREF-01676,true
RISK-101,Naive/local timezone timestamps shift eligibility boundary,HIGH,MEDIUM,timezone-aware UTC normalization + raw value preservation,MITIGATED_CONTRACT_REAL_DATA_PENDING,W08-W19,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01677,true
RISK-102,prediction_eligible_at treated as universal raw truth,HIGH,MEDIUM,derived-policy semantics + validator,MITIGATED_W08,W08+,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01678,true
RISK-103,Feature code bypasses PIT gateway,CRITICAL,MEDIUM,protected architecture/gateway validation,MITIGATED_CONTRACT_IMPLEMENTATION_PENDING,W08-W19,CONTROL_PRESENT_MONITOR,POST-SUBTASK-105,SRCREF-01679,true
RISK-104,Historical archive lacks exact first-known evidence,HIGH,HIGH,"conservative retrieval/lag, uncertainty, suppress feature where necessary",OPEN,W08-W24,OPEN_HANDOFF,POST-SUBTASK-078,SRCREF-01680,true
RISK-105,Synthetic PIT tests create false confidence before real replay,HIGH,MEDIUM,explicit maturity state and integration/replay controls remain pending,MITIGATED_GOVERNANCE,W08-W24,CONTROL_PRESENT_MONITOR,POST-SUBTASK-051,SRCREF-01681,true
RISK-106,Schema drift silently changes feature meaning,HIGH,MEDIUM,versioned scans + drift comparison,MITIGATED_CONTRACT_MATERIALIZATION_PENDING,W09-W24,CONTROL_PRESENT_MONITOR,POST-SUBTASK-060,SRCREF-01682,true
RISK-107,Sample type inference overrides documented schema,HIGH,MEDIUM,documented_type separate from observed_type,MITIGATED_W09,W09+,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01683,true
RISK-108,Representative missingness mistaken for population completeness,HIGH,HIGH,sample-only registry + unmeasured population default,MITIGATED_W09,W09-W19,CONTROL_PRESENT_MONITOR,POST-SUBTASK-033,SRCREF-01684,true
RISK-109,Exact-name fields incorrectly merged across sources,HIGH,MEDIUM,review-only redundancy clusters,MITIGATED_W09,W09-W10,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01685,true
RISK-110,Join-key presence mistaken for semantic identity,CRITICAL,MEDIUM,canonical W07 mappings + semantic validation,MITIGATED_CONTRACT_MATERIALIZATION_PENDING,W09-W19,CONTROL_PRESENT_MONITOR,POST-SUBTASK-105,SRCREF-01686,true
RISK-111,Scanner downgrades verified temporal risk,CRITICAL,LOW,classification precedence + validator,MITIGATED_W09,W09+,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01687,true
RISK-112,Raw-field registration mistaken for feature promotion,HIGH,MEDIUM,explicit handoff states + maturity labels,MITIGATED_W09,W09-W10,CONTROL_PRESENT_MONITOR,POST-SUBTASK-105,SRCREF-01688,true
RISK-113,Unknown W06 schemas filled with invented fields,HIGH,MEDIUM,SCHEMA_PENDING_MATERIALIZATION policy,MITIGATED_W09,W09-W19,CONTROL_PRESENT_MONITOR,POST-SUBTASK-033,SRCREF-01689,true
RISK-114,Nested JSON paths collide or drift,MEDIUM,MEDIUM,versioned dotted-path convention + drift tests,MITIGATED_CONTRACT_REAL_DATA_PENDING,W09-W19,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01690,true
RISK-115,Optional Parquet support becomes accidental hard dependency,MEDIUM,MEDIUM,optional import + no pyarrow project dependency,MITIGATED_W09,W09-W19,CONTROL_PRESENT_MONITOR,POST-SUBTASK-141,SRCREF-01691,true
RISK-116,Raw-field IDs change across registry rebuild,HIGH,LOW,stable import ordering/identity policy + validator,MITIGATED_W09,W09+,CONTROL_PRESENT_MONITOR,POST-SUBTASK-042,SRCREF-01692,true
RISK-117,Source license/access context lost during feature handoff,HIGH,MEDIUM,license/access fields retained in registry,MITIGATED_CONTRACT_PUBLICATION_REVIEW_PENDING,W09-W24,CONTROL_PRESENT_MONITOR,POST-SUBTASK-114,SRCREF-01693,true
RISK-118,W09 candidate permission bypasses W08 PIT gateway,CRITICAL,LOW,pit_gateway_required=true + protected validator,MITIGATED_W09,W09+,CONTROL_PRESENT_MONITOR,POST-SUBTASK-051,SRCREF-01694,true
RISK-119,Rolling/trend feature accidentally includes target game,CRITICAL,MEDIUM,Strict-prior transform implementation + synthetic tests,MITIGATED_W10_CONTRACT,W10-W19,CONTROL_PRESENT_MONITOR,POST-SUBTASK-060,SRCREF-01695,true
RISK-120,Window/decay hyperparameters overfit historical seasons,HIGH,HIGH,Treat windows as experiment parameters; chronological protected evaluation,OPEN_EMPIRICAL,W10-W17,OPEN_HANDOFF,POST-SUBTASK-105,SRCREF-01696,true
RISK-121,Large candidate set produces multiple-comparison false discoveries,HIGH,HIGH,"Family-first plans, precommitted protected evaluation, stability/ablation gates",OPEN_EMPIRICAL,W10-W17,OPEN_HANDOFF,POST-SUBTASK-105,SRCREF-01697,true
