repo_relative_path,size_bytes,line_count,sha256,authority_level,role,top_directory,extension,parse_status
docs/04_REPOSITORY_OPERATIONS.md,1613,32,2caf76a8a85592adf1fea83b4aff6867b622d25ff2975af555eeb1a6a8146868,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/05_LOCAL_WINDOWS_SETUP.md,1147,18,34d6b5c81b35ab1967e5d2a061eab604f597d53ca1eebf4df6eb3f33dcba5c80,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/06_GITHUB_CODEX_WORKFLOW.md,934,15,3ff557c129c061fb1be7a26a42b17c3ea31b00e4ab35a4d59cbaec030a6fe8da,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/07_PACKAGING_INTEGRITY.md,1691,32,25e08209e76a304e2fae09835b90fa5741f506856d84747df066485e0c4c04b2,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/08_REQUIREMENTS_AND_ACCEPTANCE_ARCHITECTURE.md,3473,44,9cbad42b6035b8aeb421bb38dd4e0e99055574d590348da0a1db2fae95ac0043,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/09_SECURITY_REPRODUCIBILITY_PERFORMANCE_GOVERNANCE.md,1815,16,42b76936922ee5095954b39cc0805f88113f4040793fc3e70d6c05fcfbd70742,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/100_W18_FULL_IMPLEMENTATION_INVENTORY.md,1802,23,dd278da52d7c11af54b4fb009d63416271c0afdd4bf317b46fb0164e39d0bc4b,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/101_W19_FOUNDATION_IMPLEMENTATION.md,2457,29,dadce77e0c5f4892c8cc6238806133bab9543509f657ab87000a730fa5e1eec6,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/102_W19_IMPLEMENTATION_INVENTORY.md,924,21,604a04df62cdcb6f41d662e6ccad44efb01c51b7b73441fb7df1caf6e9c157dc,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/103_W20_MODEL_CALIBRATION_BAS_IMPLEMENTATION.md,3339,48,49e22485c338db1d6ac010448e7c0c388c4bb6787efe8136252903fde9a5ba76,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/104_W20_IMPLEMENTATION_INVENTORY.md,1165,18,6e11ea7c5144b4a296ee73086b5f8d852bf8e63e4746e74478f2b01c9330760c,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/105_W21_AUTONOMOUS_WEEKLY_MLOPS.md,2273,27,fbe0318625ec30d8e4e29680e2913e3deac8b6862c2e3e39eb25904fefcb7def,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/106_W21_IMPLEMENTATION_INVENTORY.md,589,17,caca757ba6ab05d1bff36be450082c591deb34149761e1ff7ea161caf8355340,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/107_W22_SNAPSHOT_SERVING_PRODUCT.md,1608,23,0dac1b467e1835da291acdbcc219a1b8f19cf1fe80b911ad1ba71ad447878446,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/108_W22_IMPLEMENTATION_INVENTORY.md,1035,27,d4583fbca1db376bec5bb0cea9ffacc17bda4d078467cb772f160186f5ded504,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/109_W23_LOCAL_PRODUCTION_OPERATIONS.md,1200,19,620aca9a055f436140ecd7f34da1662a4328856ff726f14a3f2eae0f90cc9978,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/10_IMPLEMENTATION_MASTER_PLAN.md,3261,49,0a66613bfa4056b47ddc560c96d4d039cf07c5d42945c795f5c04c4ba808bcb6,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/110_W23_IMPLEMENTATION_INVENTORY.md,960,15,c5d861bc491744b659366fdee7c43234ae812ddaeb975c5a17e43405fb7b86f8,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/111_W24_END_TO_END_READINESS_AUDIT.md,2046,21,8adcc7139630585ac6be45176551b11c00e43e440871a335cf88b818b3488f82,LATE_READINESS,Late-wave readiness or finalization evidence,docs,.md,OK
docs/112_W24_IMPLEMENTATION_INVENTORY.md,1462,18,18e1852c8b2fd5b9b16fae345bd258f4314a1b989d9955b4540800726cdf8177,LATE_READINESS,Late-wave readiness or finalization evidence,docs,.md,OK
docs/113_W25_FINAL_CONSOLIDATION_AND_CODEX_HANDOFF.md,954,12,8a4fcb835e8b4663e078b286320b132cf636280d1d468f70434878bce3772f10,LATE_READINESS,Late-wave readiness or finalization evidence,docs,.md,OK
docs/11_CODEX_EXECUTION_STRATEGY.md,2160,32,045cb173be633f17964842ccbda6da5f6e6dbc244c0473df08be92dc05175cca,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/12_SHARED_CONTRACT_AND_WORKTREE_STRATEGY.md,840,13,3649169c14020b0976cf10f24936e453b18cff37ff3837ae1aa8bb449f73f3ea,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/13_IMPLEMENTATION_EVIDENCE_GATES.md,975,16,cff0f23c88c74b78a9e2c300f5aa1928fdc83fb7cd946522c2041c67031bb5ec,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/14_CANONICAL_ENTITY_ARCHITECTURE.md,3752,55,44e0f776dbbb6d8e31f307fac37683fe8c86528c7c353c7e4d10220e4fedb595,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/15_SOURCE_MAPPING_AND_EVIDENCE_IDENTITY.md,2303,43,9fbf23d76009407c25ac28070668325e1df0739d655ccfc5d90ef5f53e9de71d,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/16_ENTITY_RESOLUTION_AND_REVIEW.md,2410,47,b9b4845be3f8fa2adcd4348c25e1a3d37dd0ca30bdb974c5e980e01584f0c08f,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/17_ENTITY_STORAGE_EVALUATION.md,2162,37,258a85bef9f21de348ad81736158f7c6dbfd7066fe9ff45769b6239f10a1a860,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/18_POINT_IN_TIME_DATA_ARCHITECTURE.md,2310,30,c1bde8d7eee342d75908fa18330edcff814c7d84327a29d78ab4da47363750fe,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/19_ASOF_QUERY_AND_CUTOFF_CONTRACT.md,1582,24,5b94506cd458825048a1e74a443d683cc056a37d2f3d19c4ddc479709f77940d,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/20_MUTABLE_DOMAIN_SNAPSHOT_POLICIES.md,1734,22,d8f6cd0c2d6994cb7d4293da0d70021820777b4a12bc30451266e5cb9b08b1ee,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/21_LEAKAGE_AND_REPLAY_TEST_SPEC.md,915,19,a21ebe22ad0a2663d1281258c48dda9d127d75656009573323a9316d2a3eb508,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/22_RAW_FEATURE_REGISTRY_ARCHITECTURE.md,1648,24,b45a118fc0da6f90747c821f185a00fa49d9bae1927a3e7e80e53000e9910ad7,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/23_SCHEMA_DISCOVERY_AND_RECONCILIATION.md,923,9,5a2fe37b22a3ac99e8157349066031ff35a867663affd2026a878cb307c1ece8,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/24_RAW_FIELD_TO_CANDIDATE_HANDOFF.md,798,7,103c57900477460d8bc9c6a4ef4bbcd658a5d3ee2d9d2a3cdd8c8ab74bec274c,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/25_FEATURE_ENGINEERING_ARCHITECTURE.md,1944,24,bb484a2ff370389fef538c4e571e4200e10022a6a059a90799292e203a9de757,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/26_FEATURE_SCREENING_AND_SELECTION.md,1554,33,b4b7c8f9223be05e116981cf5e6d8edca03f2b2294c0694bfd32088f949bca86,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/27_FEATURE_LIFECYCLE_GOVERNANCE.md,1379,20,05c31feafeea7702a4714860ea1f853f23d9f61aa022e94f74ece3276564972c,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/28_FEATURE_ABLATION_AND_STABILITY.md,1267,18,8703e0580e45289f7796bce2adadfedf5575034d0ef60fb35d40c43a324d8698,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/29_COACHING_INTELLIGENCE_ARCHITECTURE.md,1308,20,34f1738f58366efc3e6e2feea431399bfa1a8a1735d3f24c1084a81a5c790150,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/29_TEAM_STATE_ARCHITECTURE.md,1614,24,8ab42b7f390655052e19b0dc72947b2f26690f31f199fd8cf3fa99bfb38b0bba,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/30_EARLY_SEASON_PRIORS_AND_BLENDING.md,1432,25,b9393b5bda8e705c1980245700e9fcf6f3bd184e6692afc3bb6f4627c5585a35,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/30_ENVIRONMENT_RESOURCE_CONTEXT_ARCHITECTURE.md,1451,24,ffef412c1d3ef4e6ce65bf8f09b6bff5a50aebbe1ed42d8123086bfbe878f44e,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/31_HISTORICAL_WEIGHTING_AND_REGIME.md,1396,29,96a689987ca717cfd7af013777c681adbd83397ba1b42822c8a44a616de66c67,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/31_REGULATORY_ENVIRONMENT_ARCHITECTURE.md,682,14,f51f19e341b4282ec8dacd74f892cd8b00edbfc07e266c5a865a3dce8b068c08,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/32_GAME_MECHANICS_ARCHITECTURE.md,1041,19,c12aa1cce4bdc5560425648638894c7964a4451512cd8cbf5a0241359d956c37,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/32_LOWER_DIVISION_STRENGTH_AND_UNCERTAINTY.md,1288,33,206f1ca5aef2ce2b2f3e6d4a17c8703dcfca9ae781f43b808c3a0a69327ebed0,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/33_OPPONENT_STYLE_SCHEDULE_OFFICIATING.md,1164,19,31e70588f04c5c019512471f60cc0701a69425833ec357c1c4078bb9a5228d37,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/33_TEAM_STATE_COMPARISON_AND_GATE.md,1143,37,c3804ea97b25fa644ff52b679af97668d87e11ec6694eca348894b4133e18a35,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/34_PLAYER_ROSTER_DEPTH_ARCHITECTURE.md,2113,41,81f740dd0d7fd17dc1050d147b2c2bea909c7c07a62eaa661517c82d7a462b54,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/34_W13_EXPERIMENT_BOUNDARIES.md,623,19,be35187b0d886e6780ff0e0fd3ac8b277d502dab6d06d32854adfb25d154ff3a,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/35_PLAYER_VALUE_REPLACEMENT_AND_AVAILABILITY.md,2032,52,b31df121dc75f3bf1a5d7d4912f090240f6e5e52a0aefe3bd6eb6cdcf65b5dac,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/35_W13_TO_W14_HANDOFF.md,705,17,af2cd0f93eafee70cdebb333d15741547c7bd9e3c6f2d98d2c800eca0cabc5ab,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/36_AVAILABILITY_EVIDENCE_AND_OFFICIAL_REPORTS.md,1593,23,2837c318b5afa052ecfbdc0804c14254007058c331e7dbc9116d8d059a59945e,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/37_RECRUITING_TRANSFER_AND_FRESHMAN_INTELLIGENCE.md,1627,34,37af6220d726b9cb4667d2535dd44fd6282955dd734375025035653e1e05feb2,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/38_PRESEASON_HONORS_AND_DRAFT_DEVELOPMENT.md,1352,31,aefc24da060abbdd419ccac730d1f005f4517e592a3df607c95ec93409ef7e32,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/39_PLAYER_INTELLIGENCE_GATE_AND_HANDOFF.md,1494,36,00d7357136935a00beb3231968ced35bf0913b22f9eb2640f12971f872832f7a,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/40_TEXAS_AM_SPECIALIZATION_ARCHITECTURE.md,1241,16,c8a8aff2a83d4272fbe860eb67913788580124cf674d6155bb72d7780cbf0718,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/41_TAMU_HIGH_RESOLUTION_STATE.md,789,7,26f144da14356dc18a6db41056dad517b1a2c7b17dbc92f772c79317ffd7d373,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/42_TAMU_PEERS_ANALOGS_AND_SNAPSHOTS.md,728,7,3b4e0ba68f742b539499646b0f18ba6518ac5015d9a35d83623e8c7b2c491aab,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/43_TAMU_SPECIALIZATION_CANDIDATES_AND_OVERFIT_GUARDS.md,732,13,3e46e6ced0fe09fe6c1a8a747ac0b9d83cf308b0c054f9dcbda5ebe8e99b8816,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/44_W14_TO_W15_HANDOFF.md,509,7,3d370d69e58fa0905d747b715a5d06b15d891e65abe05cbdbb8de8a91db29272,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/45_SCIENTIFIC_BAS_SPECIFICATION.md,1509,25,5686b9fc38c62ce089e0e2b277356d32101b6de1593f334bbf95dc3518f73065,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/46_BAS_CROSSFIT_LABELING_AND_ANTI_CIRCULARITY.md,848,7,3e5ccf7426247265a0549806ffa879d812f71745123689e9aa2807e3e4857d0e,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/47_BAS_GENERAL_FBS_AGGIE_EXCESS_AND_PEERS.md,855,9,9e00d6badf24665d5fbb668e16b9921604cbb96225a20810b75bcdbd6dbfc624,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/48_BAS_COMPONENTS_REGIME_STABILITY_AND_CALIBRATION.md,913,9,b0326bac2afe72c6b97abc8fc487343fbfd8d87c802de852664deb32234b7323,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/49_W15_EXPERIMENT_BOUNDARIES.md,516,7,7105d948bd16c7f92f7ce8af985d8e53e175a542d1430efca214cdc42a88b2ed,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/50_W15_TO_W16_HANDOFF.md,687,7,3f54d7387a78c3da1768ec3ca572268ae2287c7a1ddd0af0c199b816065a2635,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/51_MODEL_TARGETS_AND_OUTPUT_COHERENCE.md,1668,27,0a9ef5d0cc74649cb829719c389f4d9941d40bd4b9eab83870c931b3a16d861d,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/52_MODEL_ARCHITECTURE_CANDIDATES.md,1361,23,99be1aaa01490817a06f76e778fb6d098b8fdf6e3a596ee1a453bc85d0402925,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/53_JOINT_SCORE_AND_SIMULATION.md,1311,37,8d76729ed1b772b0861568309948ca4e7c713940c460dfe5ac1d13fadf987fde,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/54_UNCERTAINTY_OOD_AND_MARKET_LANES.md,1397,37,98e0478a2eb1e611ba2de6145bea6bbb96f4e46e952663b418096f6fd57fc305,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/55_W16_EXPERIMENT_BOUNDARIES_AND_W17_HANDOFF.md,1461,38,faaf29e1f32aa6f512adf6cf8869a578a9353ac4e6d3388cfcd908d443e076b2,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/56_VALIDATION_AND_PROTECTED_SPLITS.md,2044,29,c868b8d962482fca305db33d230d4338d32f1de6282476829eb62afc06bb3bf2,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/57_SCORING_CALIBRATION_AND_SCORECARDS.md,1619,24,17fc5e920fd0879788ce41b7222083730af8491f53580831425be8c0c6b8a1fd,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
