risk_id,risk,severity,likelihood,mitigation,status,owner_wave
RISK-014,Source-chat ZIP archive order causes chronology inversion,MEDIUM,HIGH,Numeric 001→020 sorting is explicit Wave01/next-session rule,OPEN,MULTI
RISK-015,Host filename suffix causes false pack mismatch,LOW,MEDIUM,"Validate content/internal edition/hash, not exact copy filename",OPEN,MULTI
RISK-016,Complex model architecture adds cost without predictive gain,MEDIUM,MEDIUM,Simple baselines/champion; complexity must win evidence-backed comparison,OPEN,MULTI
RISK-017,FCS/lower-division recursion explodes scope,MEDIUM,MEDIUM,FBS/FCS hierarchy and coarse lower-division priors with uncertainty,OPEN,MULTI
RISK-018,Coach effects confounded by players/co-staff/scheme/opponents,HIGH,HIGH,Residual/hierarchical role-conditioned models and uncertainty,OPEN,MULTI
RISK-019,Home-field effect confounded by team quality,MEDIUM,HIGH,Neutral-equivalent residual and shrinkage; no raw home win percentage,OPEN,MULTI
RISK-020,Transfer translation uses simplistic conference stereotype,MEDIUM,MEDIUM,Same-player cohorts + continuous opponent/context strength + uncertainty,OPEN,MULTI
RISK-021,Model outputs contradict score/margin/win/BAS relationships,HIGH,MEDIUM,Joint-score/simulation coherence contract and consistency tests,OPEN,MULTI
RISK-022,Autonomous agent modifies judging rules or hides bad results,CRITICAL,MEDIUM,Protected immutable validation/promotion/ground-truth governance,OPEN,MULTI
RISK-023,RAM pressure from raw PBP/feature matrices destabilizes local pipeline,MEDIUM,MEDIUM,"Parquet partitioning, DuckDB/Polars lazy processing, caches, bounded concurrency",OPEN,MULTI
RISK-024,Repository grows through duplication rather than refinement,MEDIUM,MEDIUM,"Active redundancy-removal mandate, change logs, file-purpose reviews",OPEN,MULTI
RISK-025,Recon samples mistaken for full data coverage/performance,HIGH,HIGH,Explicit sample-vs-population rule and full-data profiling contract,OPEN,MULTI
RISK-026,Current source status becomes stale before implementation,HIGH,MEDIUM,Wave06 fresh research and Wave24 refresh,OPEN,MULTI
RISK-027,Rule changes alter feature semantics across eras,MEDIUM,MEDIUM,Effective-dated rule registry and versioned definitions,OPEN,MULTI
RISK-028,Mirrored game rows leak across folds,CRITICAL,MEDIUM,Canonical game grouping and split-safety tests,OPEN,MULTI
RISK-029,Unsafe ZIP member path escapes extraction directory,HIGH,LOW,Verify archive paths before extraction and use safe_extract helper,MITIGATED_W02,MULTI
RISK-030,Repository/pack manifests become self-referential or nondeterministic,HIGH,MEDIUM,Exclude manifest/hash files; sorted hashing; fixed ZIP metadata; pair validation,MITIGATED_W02,MULTI
RISK-031,Parallel Codex worktrees collide on shared unfrozen contracts,HIGH,MEDIUM,"Explicit worktree policy, protected/shared file ownership and focused task packets",OPEN,MULTI
RISK-032,Wave02 prematurely freezes domain/service architecture,MEDIUM,MEDIUM,Minimal src scaffold; defer football/service boundaries to W03,MITIGATED_W02,W02-W03
RISK-033,Local and CI validation behavior diverges,MEDIUM,MEDIUM,CI calls same Python validation/tests used locally,MITIGATED_W02,W02-W23
RISK-034,Windows path or line-ending differences break tooling,MEDIUM,MEDIUM,"pathlib, gitattributes/editorconfig, Windows/Linux CI",OPEN,MULTI
RISK-035,Credentials or large local artifacts enter cumulative ZIP,HIGH,MEDIUM,"Secret scan, forbidden-artifact scan, gitignore and strict packaging validation",OPEN,MULTI
RISK-036,Required external environment manager becomes unnecessary dependency,LOW,MEDIUM,Use venv/pip portability baseline; optional accelerators only,MITIGATED_W02,W02+
RISK-037,Modular monolith degrades into tightly coupled god modules,MEDIUM,MEDIUM,Enforce logical ownership/import direction and architecture registry tests,OPEN,W03+
RISK-038,Parquet/DuckDB default cannot satisfy later transactional or concurrent entity workflows,MEDIUM,MEDIUM,Keep storage contracts backend-neutral and evaluate PostgreSQL/relational adapter in W07/W22,OPEN,W07/W22
RISK-039,Snapshot serving exposes stale forecast if refresh orchestration fails,HIGH,MEDIUM,"Timestamp every forecast, show freshness, monitor refresh jobs and never label stale snapshot as current",OPEN,W21-W23
RISK-040,Research experiment or agent bypasses protected evaluation and changes production state,CRITICAL,MEDIUM,Separate research plane; protected evaluation/promotion interface; immutable judging rules,OPEN,W17-W18
RISK-041,LLM-derived extraction enters canonical state without sufficient evidence validation,HIGH,MEDIUM,Retain source evidence/extraction provenance/confidence and require deterministic validation/review,OPEN,W07-W13
RISK-042,W03 A&M specialization interface is misread as a frozen residual-model implementation,MEDIUM,MEDIUM,Document semantic-only contract; W14/W16 retain statistical-family authority,OPEN,W14-W16
RISK-043,Serving layer bypasses forecast snapshots and creates unreproducible on-request outputs,HIGH,LOW,Read-only serving boundary plus architecture dependency tests and snapshot lineage,OPEN,W22
RISK-044,Future service split breaks shared contracts or creates duplicate sources of truth,HIGH,LOW,Split only behind accepted interfaces and preserve canonical/PIT ownership,OPEN,W23+
RISK-045,Architecture registry drifts from later implementation,MEDIUM,MEDIUM,Run architecture validator each wave and update registry via ADR when boundaries materially change,OPEN,W04-W25
RISK-046,Acceptance criteria are too vague to produce objective evidence,HIGH,MEDIUM,Machine-readable controls with criterion/evidence mode/owner/gate and validator coverage,MITIGATED_W04,W04+
RISK-047,Arbitrary numeric thresholds create false rigor or lock bad decisions,HIGH,HIGH,Threshold registry keeps unknown values blank/TBD until evidence-owning wave,MITIGATED_W04,W04-W23
RISK-048,Future-wave control is marked PASS before implementation/data evidence exists,HIGH,MEDIUM,Separate acceptance evidence state; validator and honest-maturity rule,MITIGATED_W04,W04-W25
RISK-049,Protected test period becomes iterative tuning feedback,CRITICAL,MEDIUM,Protected-test seal and precommitted promotion criteria; prospective replacement if exhausted,OPEN,W17+
RISK-050,Ambiguous known-at timestamp is treated as eligible instead of unsafe,CRITICAL,MEDIUM,Fail-closed PIT eligibility and release-blocking temporal controls,OPEN,W08+
RISK-051,Requirements ADRs risks and acceptance controls drift out of traceability,HIGH,MEDIUM,Exact bidirectional mapping validation in repository tooling,MITIGATED_W04,W04-W25
RISK-052,Local performance limits are guessed before full materialization and misguide architecture,MEDIUM,HIGH,Benchmark-first performance threshold registry on target hardware,OPEN,W19-W23
RISK-053,Operational logs expose credentials or restricted source data,HIGH,MEDIUM,Structured/redacted logging acceptance control and secret/restricted-data policy,OPEN,W21-W23
RISK-054,Manual licensing/semantic exception review is skipped because automated tests pass,HIGH,MEDIUM,Manual-review acceptance mode with required reviewer rationale/evidence/date,OPEN,W06+
RISK-055,W05 backlog becomes stale after W06 source discoveries,HIGH,HIGH,Mandatory W06 replan gate; preserve task IDs and revise statuses/dependencies through change log,OPEN,W06
RISK-056,Backlog over-decomposition creates micro-handoff overhead,MEDIUM,MEDIUM,Codex packets group coherent task slices; tasks remain atomic enough to test but not prompt fragments,MITIGATED_W05,W05+
RISK-057,Backlog under-specification lets Codex infer unsafe scope,HIGH,MEDIUM,"Explicit outputs, mutation scope, dependencies, AC/REQ mapping and stop conditions",MITIGATED_W05,W05+
RISK-058,Parallel worktrees concurrently mutate shared contracts,HIGH,MEDIUM,Shared-contract ownership table and serialized mutation lane,OPEN,W05+
RISK-059,Fake time estimates distort implementation decisions,MEDIUM,MEDIUM,No duration estimates; dependency/complexity classes only until measured throughput exists,MITIGATED_W05,W05+
RISK-060,Blocked tasks execute before protected prerequisite gate,CRITICAL,MEDIUM,Machine-readable dependency DAG/readiness validator; protected gates block downstream readiness,OPEN,W06+
RISK-061,Requirement/acceptance/task traceability drifts as backlog changes,HIGH,MEDIUM,Exact-coverage task traceability tables and validate_backlog.py,OPEN,W05+
RISK-062,Critical-path label is mistaken for a promised delivery schedule,MEDIUM,MEDIUM,Document dependency-critical semantics and prohibit duration interpretation,MITIGATED_W05,W05+
RISK-063,Autonomous Codex queue expands scope beyond current wave or protected contracts,HIGH,MEDIUM,"Packet wave ownership, stop conditions, protected-control boundary, integration steward rules",OPEN,W06+
RISK-064,Too many concurrent worktrees exceed local CPU/RAM/storage or increase merge risk,MEDIUM,MEDIUM,Bounded adaptive concurrency based on independence/resource pressure; no fixed maximum required by W05,OPEN,W06+
RISK-065,Official availability reports cover only certain conferences/games/eras,,HIGH,Coverage-policy metadata; unknown outside scope; media/licensed fallback,OPEN,W08-W12
RISK-066,Missing availability is mistaken for healthy/available,,MEDIUM,Policy-aware missingness; only infer available when source policy explicitly defines unlisted players as available,OPEN,W08-W12
RISK-067,Weather forecast archive coverage/model versions differ by era,,HIGH,Model/run/version/lead provenance; era-specific fallback and uncertainty,OPEN,W08-W13
RISK-068,Open-Meteo plan/license/coverage changes affect automated weather workflow,,MEDIUM,NOAA primary archive fallback; terms/version monitoring,OPEN,W06-W24
RISK-069,High-quality timestamped market history requires paid data,,HIGH,Pure-football lane independent; optional paid adapter; no forced market feature,OPEN,W16-W17
RISK-070,Derived open sources share upstream data and create false corroboration,,MEDIUM,Upstream provenance/redundancy map,OPEN,W07-W09
RISK-071,Commercial vendor lock-in or price changes destabilize pipeline,,MEDIUM,Adapter isolation/fallbacks; evidence-backed adoption only,OPEN,W18-W24
RISK-072,Private-school proxy resources are misinterpreted as football spending,,MEDIUM,Semantic proxy lane + uncertainty + no fabricated values,OPEN,W13
RISK-073,2025-26 roster/eligibility/transfer rules change feature semantics,,HIGH,Effective-dated regulatory environment,OPEN,W08-W13
RISK-074,Lower-division official schemas and coverage are inconsistent,,HIGH,Bounded normalized priors + source confidence/missingness,OPEN,W11-W12
RISK-075,Pregame officiating assignment coverage remains sparse,,HIGH,Experimental lane; suppress missing features; gamebooks postgame history only,OPEN,W13
RISK-076,Formation/route/coverage/tracking data remains proprietary,,HIGH,Phase-5 optional research; core features derived from public PBP,OPEN,W18+
RISK-077,Recruiting/transfer upstream rights or snapshot semantics are unclear,,MEDIUM,Rights/upstream audit; local-only raw where needed,OPEN,W09-W12
RISK-078,Mutable official pages are edited after initial publication,,MEDIUM,Immutable page/report snapshots + first-known/retrieval times/hashes,OPEN,W07-W09
RISK-079,W06 source universe becomes stale before final system completion,,HIGH,W24 targeted refresh; change log and source risk monitoring,OPEN,W24
RISK-080,Name collisions/normalization conflate distinct players or coaches,HIGH,MEDIUM,Prohibit name-only durable joins; review ambiguous candidates; labeled resolver tests in W19,OPEN,W07-W19
RISK-081,One real entity is fragmented into duplicate canonical IDs,HIGH,MEDIUM,"Verified source mappings, aliases, merge/redirect history and duplicate-detection review",OPEN,W07-W19
RISK-082,Source IDs are reused or change semantics across time/schema versions,HIGH,LOW_MEDIUM,Scope source keys by source/type/context; validate direct-ID contracts; preserve source versions,OPEN,W07-W09
RISK-083,Transfers/role changes accidentally create new player/coach identities,HIGH,MEDIUM,Separate human identity from membership/role episodes,MITIGATED_BY_CONTRACT,W07-W12
RISK-084,Rescheduled/canceled/relocated games are duplicated or conflated,HIGH,MEDIUM,Explicit underlying-contest identity policy and review on opponent replacement/conflicts,OPEN,W07-W19
RISK-085,Mutable official reports overwrite earlier publication/capture evidence,CRITICAL,MEDIUM,Layer publication version/raw capture/source observation identity; immutable raw hashes,MITIGATED_BY_CONTRACT,W07-W08
RISK-086,Uncalibrated fuzzy score silently auto-accepts wrong mapping,CRITICAL,MEDIUM,Disable fuzzy auto-accept; THR-008 remains unset until labeled W19 evidence,MITIGATED_BY_CONTRACT,W07-W19
RISK-087,Entity merge/split correction rewrites history and breaks replay,CRITICAL,LOW_MEDIUM,"Append-only decisions, redirect/supersession and versioned downstream rebuilds",MITIGATED_BY_CONTRACT,W07-W19
RISK-088,Future multi-user review outgrows single-writer storage model,MEDIUM,LOW,Storage port + explicit PostgreSQL reopen triggers; benchmark W19/W22,OPEN,W19-W22
RISK-089,Weak officiating identity creates false referee histories,MEDIUM,HIGH,Keep unresolved/name-only official identities out of promoted features; W13 gap policy,OPEN,W07-W13
RISK-090,Stale wave-state fields cause wrong-wave execution despite valid pack binding,HIGH,LOW_MEDIUM,Normalize CURRENT_STATE current_wave field; backward-compatible verifier; cross-file wave validator,MITIGATED_W07,W07+
RISK-091,Knowledge time conflated with effective/valid time,CRITICAL,HIGH,Bitemporal W08 contract + AC-067,MITIGATED_CONTRACT_REAL_DATA_PENDING,W08-W19
RISK-092,Current mutable page incorrectly treated as historical publication,CRITICAL,HIGH,first-known evidence policy + retrospective quarantine,OPEN_MATERIALIZATION,W08-W19
RISK-093,Later source correction rewrites historical replay,CRITICAL,MEDIUM,append-only publication versions + AC-069,MITIGATED_CONTRACT_REAL_DATA_PENDING,W08-W24
RISK-094,No availability report inferred as healthy,CRITICAL,MEDIUM,policy-scope metadata + UNKNOWN noncoverage,MITIGATED_CONTRACT_MATERIALIZATION_PENDING,W08-W12
RISK-095,Observed weather contaminates earlier pregame forecasts,CRITICAL,HIGH,issued model-run contract + synthetic replay,MITIGATED_CONTRACT_ARCHIVE_PENDING,W08-W13
RISK-096,Weather model initialization mistaken for public availability,HIGH,MEDIUM,separate model_available_at/first_known_at,MITIGATED_CONTRACT_ARCHIVE_PENDING,W08-W13
RISK-097,Fiscal/reporting period mistaken for public availability date,HIGH,MEDIUM,resource dual-time contract,MITIGATED_CONTRACT_MATERIALIZATION_PENDING,W08-W13
RISK-098,Rule season/effective year used without publication/validity semantics,HIGH,MEDIUM,regulatory dual-time contract,MITIGATED_CONTRACT_MATERIALIZATION_PENDING,W08-W13
RISK-099,Same/future game outputs leak into pregame aggregates,CRITICAL,HIGH,game-completion gate + protected synthetic tests,MITIGATED_CONTRACT_REAL_DATA_PENDING,W08-W17
RISK-100,Historical model training uses labels from future games,CRITICAL,HIGH,separate model-training cutoff + AC-076,MITIGATED_CONTRACT_WALK_FORWARD_PENDING,W08-W17
RISK-101,Naive/local timezone timestamps shift eligibility boundary,HIGH,MEDIUM,timezone-aware UTC normalization + raw value preservation,MITIGATED_CONTRACT_REAL_DATA_PENDING,W08-W19
RISK-102,prediction_eligible_at treated as universal raw truth,HIGH,MEDIUM,derived-policy semantics + validator,MITIGATED_W08,W08+
RISK-103,Feature code bypasses PIT gateway,CRITICAL,MEDIUM,protected architecture/gateway validation,MITIGATED_CONTRACT_IMPLEMENTATION_PENDING,W08-W19
RISK-104,Historical archive lacks exact first-known evidence,HIGH,HIGH,"conservative retrieval/lag, uncertainty, suppress feature where necessary",OPEN,W08-W24
RISK-105,Synthetic PIT tests create false confidence before real replay,HIGH,MEDIUM,explicit maturity state and integration/replay controls remain pending,MITIGATED_GOVERNANCE,W08-W24
RISK-106,Schema drift silently changes feature meaning,HIGH,MEDIUM,versioned scans + drift comparison,MITIGATED_CONTRACT_MATERIALIZATION_PENDING,W09-W24
RISK-107,Sample type inference overrides documented schema,HIGH,MEDIUM,documented_type separate from observed_type,MITIGATED_W09,W09+
RISK-108,Representative missingness mistaken for population completeness,HIGH,HIGH,sample-only registry + unmeasured population default,MITIGATED_W09,W09-W19
RISK-109,Exact-name fields incorrectly merged across sources,HIGH,MEDIUM,review-only redundancy clusters,MITIGATED_W09,W09-W10
RISK-110,Join-key presence mistaken for semantic identity,CRITICAL,MEDIUM,canonical W07 mappings + semantic validation,MITIGATED_CONTRACT_MATERIALIZATION_PENDING,W09-W19
RISK-111,Scanner downgrades verified temporal risk,CRITICAL,LOW,classification precedence + validator,MITIGATED_W09,W09+
RISK-112,Raw-field registration mistaken for feature promotion,HIGH,MEDIUM,explicit handoff states + maturity labels,MITIGATED_W09,W09-W10
RISK-113,Unknown W06 schemas filled with invented fields,HIGH,MEDIUM,SCHEMA_PENDING_MATERIALIZATION policy,MITIGATED_W09,W09-W19
RISK-114,Nested JSON paths collide or drift,MEDIUM,MEDIUM,versioned dotted-path convention + drift tests,MITIGATED_CONTRACT_REAL_DATA_PENDING,W09-W19
RISK-115,Optional Parquet support becomes accidental hard dependency,MEDIUM,MEDIUM,optional import + no pyarrow project dependency,MITIGATED_W09,W09-W19
RISK-116,Raw-field IDs change across registry rebuild,HIGH,LOW,stable import ordering/identity policy + validator,MITIGATED_W09,W09+
RISK-117,Source license/access context lost during feature handoff,HIGH,MEDIUM,license/access fields retained in registry,MITIGATED_CONTRACT_PUBLICATION_REVIEW_PENDING,W09-W24
RISK-118,W09 candidate permission bypasses W08 PIT gateway,CRITICAL,LOW,pit_gateway_required=true + protected validator,MITIGATED_W09,W09+
RISK-119,Rolling/trend feature accidentally includes target game,CRITICAL,MEDIUM,Strict-prior transform implementation + synthetic tests,MITIGATED_W10_CONTRACT,W10-W19
RISK-120,Window/decay hyperparameters overfit historical seasons,HIGH,HIGH,Treat windows as experiment parameters; chronological protected evaluation,OPEN_EMPIRICAL,W10-W17
RISK-121,Large candidate set produces multiple-comparison false discoveries,HIGH,HIGH,"Family-first plans, precommitted protected evaluation, stability/ablation gates",OPEN_EMPIRICAL,W10-W17
RISK-122,Correlation or MI is mistaken for incremental predictive value,HIGH,MEDIUM,Univariate methods exploratory only; conditional/out-of-fold evidence required,MITIGATED_W10_GOVERNANCE,W10+
RISK-123,Correlated features make regularization/permutation importance unstable,HIGH,MEDIUM,Redundancy clusters + family ablation + multi-method evidence,OPEN_EMPIRICAL,W10-W17
RISK-124,Missingness/source coverage artifact is learned as football signal,HIGH,HIGH,Population coverage evidence + temporal/source subgroup stability + conditional lifecycle,OPEN_MATERIALIZATION,W10-W19
RISK-125,Feature family with many candidates wins by search volume,HIGH,MEDIUM,"Family-level ablation, predeclared experiment plan, protected criteria",OPEN_EMPIRICAL,W10-W17
RISK-126,Market features contaminate pure-football benchmark,CRITICAL,LOW_MEDIUM,Market-only candidate lane and validator,MITIGATED_W10_CONTRACT,W10-W17
RISK-127,One universal feature set harms target-specific performance,HIGH,MEDIUM,Target-specific lifecycle decisions for win/margin/score/BAS,OPEN_EMPIRICAL,W10-W17
RISK-128,Lifecycle state becomes stale after data/rule/model drift,HIGH,MEDIUM,Append-only reevaluation/demotion history; W24 refresh and monitoring,OPEN,W10-W24
RISK-129,Synthetic W10 tests are misrepresented as predictive evidence,HIGH,MEDIUM,Zero W10 empirical decisions + maturity validator/docs,MITIGATED_W10_GOVERNANCE,W10
RISK-130,Feature selection tunes on protected test period,CRITICAL,MEDIUM,Precommit criteria/folds before protected inspection; W17 governance,OPEN,W10-W17
RISK-131,Interaction generation explodes compute and false discovery,MEDIUM,HIGH,Explicit registered interactions only; no Cartesian generation,MITIGATED_W10_CONTRACT,W10-W18
RISK-132,Rejected/BANNED history is silently erased or resurrected,HIGH,LOW_MEDIUM,Append-only lifecycle log and transition validator,MITIGATED_W10_CONTRACT,W10+
RISK-133,Recent-game weighting overreacts to football randomness,HIGH,MEDIUM,Compare recency candidates chronologically; retain broader priors and uncertainty,OPEN,W11-W17
RISK-134,Early-season prior remains stale after genuine team change,HIGH,MEDIUM,Regime-aware/change-point candidates and faster evidence updating where validated,OPEN,W11-W17
RISK-135,Composite prior double-counts talent/returning production/resources,HIGH,MEDIUM,Redundancy/ablation and target-specific lifecycle evidence,OPEN,W11-W17
RISK-136,Program resources become an unjustified weekly points bonus,MEDIUM,MEDIUM,Upstream-prior-only default and later ablation,MITIGATED_W11_CONTRACT,W11-W17
RISK-137,Regime similarity uses future staff/QB/roster information,CRITICAL,MEDIUM,All continuity factors consume W08 PIT-effective evidence only,MITIGATED_W11_CONTRACT,W11+
RISK-138,Change-point detector produces false resets,HIGH,MEDIUM,No automatic hard reset; shrinkage/uncertainty response and protected comparison,MITIGATED_W11_CONTRACT,W11-W17
RISK-139,Source/schema coverage break is mistaken for performance regime shift,HIGH,MEDIUM,Track source/schema versions and include data-coverage-break candidate,MITIGATED_W11_CONTRACT,W11-W19
RISK-140,FCS strength translation is overconfident,HIGH,HIGH,Internal FCS network plus cross-division evidence and translation uncertainty,OPEN,W11-W19
RISK-141,Lower-division modeling expands without bound,MEDIUM,MEDIUM,Explicit bounded hierarchy terminating in class priors,MITIGATED_W11_CONTRACT,W11+
RISK-142,Hard-coded division penalty creates systematic bias,HIGH,MEDIUM,Fixed penalties prohibited; empirical translation required,MITIGATED_W11_CONTRACT,W11-W17
RISK-143,Uncertainty score is misused as directional team-strength correction,HIGH,MEDIUM,Contract separates uncertainty magnitude from strength direction,MITIGATED_W11_CONTRACT,W11-W16
RISK-144,National sample utility and current-team relevance are conflated,HIGH,MEDIUM,Separate weighting roles/contracts,MITIGATED_W11_CONTRACT,W11-W17
RISK-145,W11 implies injury-adjusted available strength before W12 evidence,HIGH,MEDIUM,Placeholder preserves underlying estimate and marks W12 ownership explicitly,MITIGATED_W11_CONTRACT,W11-W12
RISK-146,Early-season/team-state candidate selection overfits small subgroups,HIGH,HIGH,Protected chronological national evidence plus subgroup stability; selection deferred W17/W19,OPEN,W17-W19
RISK-147,Roster membership is mistaken for starter/availability state,HIGH,HIGH,Separate effective-dated roster/depth/availability contracts and tests,MITIGATED_CONTRACT_W12,W12-W19
RISK-148,Later snaps backfill historical pregame depth,CRITICAL,HIGH,W08 PIT plus W12 observed/inferred/outcome separation,MITIGATED_CONTRACT_W12,W12-W19
RISK-149,Player value becomes hand-authored scouting score without validation,HIGH,MEDIUM,Position-aware evidence registry; no manual production point values; W17 protected validation,OPEN,W12-W17
RISK-150,Injury model double-counts same absence through multiple correlated features,HIGH,HIGH,Replacement/availability anti-double-counting control + later ablation,OPEN,W12-W17
RISK-151,Missing official availability report is interpreted as healthy,CRITICAL,HIGH,Explicit UNKNOWN noncoverage rule and source-policy scope,MITIGATED_CONTRACT_W12,W12-W19
RISK-152,Questionable/limited players are forced into active/out binary,HIGH,HIGH,Scenario probability/effectiveness/usage representation,MITIGATED_CONTRACT_W12,W12-W16
RISK-153,Backup identity/value is wrong when role redistributes across rotation,HIGH,MEDIUM,Multi-player replacement/usage distribution and uncertainty,OPEN,W12-W19
RISK-154,Transfer model applies fixed conference penalty and misprices individual context,HIGH,HIGH,Continuous-strength same-player translation design; fixed penalties prohibited,MITIGATED_CONTRACT_W12,W12-W17
RISK-155,Freshmen with zero college snaps are passed through transfer-production model,HIGH,MEDIUM,Separate prospect-prior eligibility contract,MITIGATED_CONTRACT_W12,W12-W17
RISK-156,Recruiting/transfer upstream rights are assumed from public visibility,HIGH,MEDIUM,Source registry provenance/access/license augmentation and audit,MITIGATED_GOVERNANCE_W12,W12-W24
RISK-157,Preseason honors double-count recruiting/production/reputation,MEDIUM,HIGH,Candidate-only status and later family ablation,OPEN,W12-W17
RISK-158,Future NFL draft results leak talent into historical games,CRITICAL,HIGH,Explicit ban and W08 PIT controls,MITIGATED_CONTRACT_W12,W12-W19
RISK-159,Official availability archive coverage is overstated,HIGH,HIGH,W12 marks materialization PLAN_ONLY; W19 reconstructs and measures coverage,OPEN,W12-W19
RISK-160,Player impact units are incorrectly treated as game-point effects,HIGH,MEDIUM,Reference code labels abstract units; W16/W17 calibration required,MITIGATED_CONTRACT_W12,W12-W17
RISK-161,W12 synthetic tests are misrepresented as predictive player-value evidence,HIGH,MEDIUM,Maturity flag + AC-112 + zero empirical winner declarations,MITIGATED_GOVERNANCE_W12,W12
RISK-162,Coach raw-output attribution confounds talent/co-staff/opponents,HIGH,HIGH,Use residual controls and hierarchical pooling.,OPEN,W13-W19
RISK-163,Formal coaching titles misrepresent actual responsibility/play caller,HIGH,MEDIUM,Store separate responsibility/play-caller episodes with evidence.,OPEN,W13-W19
RISK-164,Sparse coach samples create extreme ratings,HIGH,HIGH,Partial pooling and uncertainty; no W13 numeric effect.,OPEN,W17-W19
RISK-165,Scheme classification is noisy/incomplete across history,MEDIUM,HIGH,Use coverage flags and experimental representations.,OPEN,W13-W19
RISK-166,Decision-quality metrics confounded by game state/talent,HIGH,HIGH,Context controls and later chronological evaluation.,OPEN,W17
RISK-167,Weather hindsight leaks observed conditions,CRITICAL,MEDIUM,Require issued forecast runs for historical pregame features.,MITIGATED_BY_CONTRACT,W08-W19
RISK-168,Travel/body-clock simplified with fixed UTC offsets,HIGH,MEDIUM,IANA timezone/date-aware calculations.,MITIGATED_BY_CONTRACT,W13-W19
RISK-169,Resource asymmetry biases private-school games,HIGH,HIGH,Separate R0/R1/R2/R3 lanes; missing is not zero.,OPEN,W17-W19
RISK-170,Latent resource proxy mislabeled as dollar spending,HIGH,MEDIUM,Explicit proxy semantics; prohibit dollar-spend claim.,MITIGATED_BY_CONTRACT,W13
RISK-171,Home-field effect confounded by team strength/schedule,HIGH,HIGH,Residual hierarchy with controls/shrinkage.,OPEN,W17-W19
RISK-172,Final attendance leaks postgame information,HIGH,MEDIUM,Only genuine pregame expectation can be candidate.,MITIGATED_BY_CONTRACT,W13
RISK-173,Rule changes alter feature meaning across eras,HIGH,MEDIUM,Effective-dated regulatory environment/versioned definitions.,OPEN,W13-W19
RISK-174,Hidden-yards components double counted with ST/turnovers,HIGH,MEDIUM,Component accounting and ablation.,OPEN,W17-W20
RISK-175,Garbage-time policy removes real signal or creates bias,HIGH,HIGH,Compare multiple policies chronologically; no W13 threshold.,OPEN,W17
RISK-176,Opponent adjustment becomes circular/future-informed,CRITICAL,MEDIUM,Strict-prior opponent states and protected replay.,MITIGATED_BY_CONTRACT,W13-W19
RISK-177,Style similarity overfits sparse/noisy scheme proxies,MEDIUM,HIGH,Uncertainty + ablation + temporal stability.,OPEN,W17-W20
RISK-178,Schedule stress/look-ahead imports future opponent results,CRITICAL,LOW,Schedule identity only; prohibit future performance.,MITIGATED_BY_CONTRACT,W13
RISK-179,Officiating assignment unavailable pregame or highly confounded,HIGH,HIGH,Experimental lane; fail closed; hierarchical controls.,OPEN,W13-W24
RISK-180,W14 architecture blocked by future W20 dependency,HIGH,MEDIUM,Repair TASK-088 dependency to W12/W13 contract gates.,MITIGATED_W13,W13
RISK-181,A&M high-resolution overlay forks canonical truth,CRITICAL,LOW,Enforce W07 IDs/PIT references and validator no-fork contract.,MITIGATED_BY_CONTRACT,W14+
RISK-182,A&M specialization overfits very small target sample,CRITICAL,HIGH,"Mandatory no-adjust baseline, shrinkage, protected chronology and THR-005.",OPEN_WITH_CONTROL,W14-W17
