join_path_id,evidence_kind,source_artifact,contract_id,left_source,right_source,entity_or_relation,join_expression,join_type,confidence,required_validation,risk,canonical_policy,semantic_validation_required,left,right,join_key_or_method,notes,dataset,join_key_candidate,present,note,join_method,A&M evidence,canonical entity,national source counterpart,join strategy
JP-0033,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_drives,pos_team,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0034,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_passing,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0035,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_passing,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0036,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_passing,week,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0037,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_passing,pos_team,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0038,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_receiving,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0039,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_receiving,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0040,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_receiving,pos_team,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0041,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_rushing,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0042,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_rushing,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0043,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_rushing,week,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0044,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_rushing,pos_team,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0045,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_situational,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0046,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_situational,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0047,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_situational,week,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0048,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_situational,pos_team,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0049,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_team,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0050,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_team,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0051,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_team,week,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0052,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_team,pos_team,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0053,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_turnover,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0054,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_turnover,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0055,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_turnover,week,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0056,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_turnover,pos_team,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0057,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,betting,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0058,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,betting,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0059,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,betting,week,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0060,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,drives,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0061,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,drives,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0062,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,drives,week,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0063,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,drives,id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0064,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,game_rosters,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0065,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,game_rosters,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0066,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,game_rosters,team_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0067,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,game_rosters,athlete_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0068,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,injuries,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0069,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,injuries,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0070,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,injuries,week,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0071,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,injuries,team_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0072,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,injuries,id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0073,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,linescores,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0074,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,linescores,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0075,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,linescores,team_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0076,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,passing,player_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0077,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,play_by_play,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0078,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,play_by_play,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0079,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,play_by_play,week,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0080,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,play_by_play,pos_team,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0081,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,play_by_play,id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0082,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,play_participants,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0083,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,play_participants,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0084,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,play_participants,week,True,Presence only; semantic compatibility/type normalization still required.,,,,,
