adr_id,acceptance_control_ids,status,notes
ADR-094,AC-064,MAPPED,W07 entity architecture decision; implementation/labeled evidence remains separate where specified.
ADR-095,AC-061;AC-062,MAPPED,W07 entity architecture decision; implementation/labeled evidence remains separate where specified.
ADR-096,AC-065,MAPPED,W07 entity architecture decision; implementation/labeled evidence remains separate where specified.
ADR-097,AC-066,MAPPED,W07 entity architecture decision; implementation/labeled evidence remains separate where specified.
ADR-098,AC-063;AC-066,MAPPED,W07 entity architecture decision; implementation/labeled evidence remains separate where specified.
ADR-099,AC-066,MAPPED,W07 entity architecture decision; implementation/labeled evidence remains separate where specified.
ADR-100,AC-061;AC-062;AC-063;AC-064;AC-065;AC-066,MAPPED,W07 entity architecture decision; implementation/labeled evidence remains separate where specified.
ADR-101,AC-067,MAPPED,W08 temporal acceptance mapping; materialized/historical evidence remains separate where noted.
ADR-102,AC-068,MAPPED,W08 temporal acceptance mapping; materialized/historical evidence remains separate where noted.
ADR-103,AC-067,MAPPED,W08 temporal acceptance mapping; materialized/historical evidence remains separate where noted.
ADR-104,AC-011;AC-067,MAPPED,W08 temporal acceptance mapping; materialized/historical evidence remains separate where noted.
ADR-105,AC-069,MAPPED,W08 temporal acceptance mapping; materialized/historical evidence remains separate where noted.
ADR-106,AC-074,MAPPED,W08 temporal acceptance mapping; materialized/historical evidence remains separate where noted.
ADR-107,AC-071,MAPPED,W08 temporal acceptance mapping; materialized/historical evidence remains separate where noted.
ADR-108,AC-070,MAPPED,W08 temporal acceptance mapping; materialized/historical evidence remains separate where noted.
ADR-109,AC-014,MAPPED,W08 temporal acceptance mapping; materialized/historical evidence remains separate where noted.
ADR-110,AC-072,MAPPED,W08 temporal acceptance mapping; materialized/historical evidence remains separate where noted.
ADR-111,AC-075,MAPPED,W08 temporal acceptance mapping; materialized/historical evidence remains separate where noted.
ADR-112,AC-073,MAPPED,W08 temporal acceptance mapping; materialized/historical evidence remains separate where noted.
ADR-113,AC-011;AC-067,MAPPED,W08 temporal acceptance mapping; materialized/historical evidence remains separate where noted.
ADR-114,AC-055,MAPPED,W08 temporal acceptance mapping; materialized/historical evidence remains separate where noted.
ADR-115,AC-077,MAPPED,W09 registry/schema-discovery acceptance traceability.
ADR-116,AC-077,MAPPED,W09 registry/schema-discovery acceptance traceability.
ADR-117,AC-078,MAPPED,W09 registry/schema-discovery acceptance traceability.
ADR-118,AC-079,MAPPED,W09 registry/schema-discovery acceptance traceability.
ADR-119,AC-079,MAPPED,W09 registry/schema-discovery acceptance traceability.
ADR-120,AC-080,MAPPED,W09 registry/schema-discovery acceptance traceability.
ADR-121,AC-081,MAPPED,W09 registry/schema-discovery acceptance traceability.
ADR-122,AC-081,MAPPED,W09 registry/schema-discovery acceptance traceability.
ADR-123,AC-082,MAPPED,W09 registry/schema-discovery acceptance traceability.
ADR-124,AC-083,MAPPED,W09 registry/schema-discovery acceptance traceability.
ADR-125,AC-083,MAPPED,W09 registry/schema-discovery acceptance traceability.
ADR-126,AC-084,MAPPED,W09 registry/schema-discovery acceptance traceability.
ADR-127,AC-089;AC-090,MAPPED,W10 feature-engineering/lifecycle decision; empirical evidence remains separate where applicable.
ADR-128,AC-087,MAPPED,W10 feature-engineering/lifecycle decision; empirical evidence remains separate where applicable.
ADR-129,AC-085;AC-086,MAPPED,W10 feature-engineering/lifecycle decision; empirical evidence remains separate where applicable.
ADR-130,AC-087;AC-088,MAPPED,W10 feature-engineering/lifecycle decision; empirical evidence remains separate where applicable.
ADR-131,AC-087,MAPPED,W10 feature-engineering/lifecycle decision; empirical evidence remains separate where applicable.
ADR-132,AC-088,MAPPED,W10 feature-engineering/lifecycle decision; empirical evidence remains separate where applicable.
ADR-133,AC-091,MAPPED,W10 feature-engineering/lifecycle decision; empirical evidence remains separate where applicable.
ADR-134,AC-090,MAPPED,W10 feature-engineering/lifecycle decision; empirical evidence remains separate where applicable.
ADR-135,AC-090,MAPPED,W10 feature-engineering/lifecycle decision; empirical evidence remains separate where applicable.
ADR-136,AC-092,MAPPED,W10 feature-engineering/lifecycle decision; empirical evidence remains separate where applicable.
ADR-137,AC-087,MAPPED,W10 feature-engineering/lifecycle decision; empirical evidence remains separate where applicable.
ADR-138,AC-085,MAPPED,W10 feature-engineering/lifecycle decision; empirical evidence remains separate where applicable.
ADR-139,AC-093,MAPPED,W11 team-state/early-season/lower-division decision; empirical evidence remains separate where applicable.
ADR-140,AC-094,MAPPED,W11 team-state/early-season/lower-division decision; empirical evidence remains separate where applicable.
ADR-141,AC-095,MAPPED,W11 team-state/early-season/lower-division decision; empirical evidence remains separate where applicable.
ADR-142,AC-095;AC-100,MAPPED,W11 team-state/early-season/lower-division decision; empirical evidence remains separate where applicable.
ADR-143,AC-096,MAPPED,W11 team-state/early-season/lower-division decision; empirical evidence remains separate where applicable.
ADR-144,AC-096;AC-100,MAPPED,W11 team-state/early-season/lower-division decision; empirical evidence remains separate where applicable.
ADR-145,AC-097,MAPPED,W11 team-state/early-season/lower-division decision; empirical evidence remains separate where applicable.
ADR-146,AC-098,MAPPED,W11 team-state/early-season/lower-division decision; empirical evidence remains separate where applicable.
ADR-147,AC-099,MAPPED,W11 team-state/early-season/lower-division decision; empirical evidence remains separate where applicable.
ADR-148,AC-095,MAPPED,W11 team-state/early-season/lower-division decision; empirical evidence remains separate where applicable.
ADR-149,AC-093,MAPPED,W11 team-state/early-season/lower-division decision; empirical evidence remains separate where applicable.
ADR-150,AC-005,MAPPED,W11 team-state/early-season/lower-division decision; empirical evidence remains separate where applicable.
ADR-151,AC-101,MAPPED,W11 team-state/early-season/lower-division decision; empirical evidence remains separate where applicable.
ADR-152,AC-102,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-153,AC-103,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-154,AC-104,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-155,AC-105,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-156,AC-106,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-157,AC-102;AC-105,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-158,AC-108,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-159,AC-108,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-160,AC-107,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-161,AC-109,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-162,AC-109,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-163,AC-106;AC-110,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-164,AC-111,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-165,AC-111,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-166,AC-105;AC-112,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-167,AC-112,MAPPED,W12 player/roster/availability/transfer decision; empirical selection remains separate where applicable.
ADR-168,AC-113;AC-114;AC-115,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-169,AC-113;AC-114;AC-115,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-170,AC-113;AC-114;AC-115,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-171,AC-113;AC-114;AC-115,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-172,AC-113;AC-114;AC-115,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-173,AC-116,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-174,AC-116,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-175,AC-117,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-176,AC-118,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-177,AC-123,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-178,AC-119,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-179,AC-120,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-180,AC-120,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-181,AC-121,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-182,AC-122,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-183,AC-123,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-184,AC-124,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-185,AC-125,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-186,AC-126,PASS_W13_CONTRACT,W13 contract/reference decision; empirical selection remains later where applicable.
ADR-187,AC-127,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-188,AC-129,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-189,AC-128,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-190,AC-129,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-191,AC-130,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-192,AC-131;AC-132,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-193,AC-131;AC-132,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-194,AC-133,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-195,AC-134,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-196,AC-135,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-197,AC-135,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-198,AC-135,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-199,AC-135,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-200,AC-136,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-201,AC-137,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-202,AC-138,PASS_W14_CONTRACT,W14 contract/reference decision; empirical selection remains W16/W17 where applicable.
ADR-203,AC-139,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-204,AC-140,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-205,AC-140,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-206,AC-142,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-207,AC-151,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-208,AC-141,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-209,AC-143,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-210,AC-144,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-211,AC-145,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-212,AC-148,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-213,AC-146,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-214,AC-147,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-215,AC-146,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-216,AC-149,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-217,AC-142,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-218,AC-150,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-219,AC-151,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-220,AC-151,PASS_W15_CONTRACT,W15 contract/reference decision; protected empirical selection remains later where applicable.
ADR-221,AC-153;AC-154;AC-155,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-222,AC-153;AC-154;AC-155,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-223,AC-152;AC-149,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-224,AC-156;AC-161,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-225,AC-156;AC-161,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-226,AC-156;AC-161,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-227,AC-156;AC-161,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-228,AC-159,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-229,AC-159,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-230,AC-157,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-231,AC-157,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-232,AC-158,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-233,AC-158,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-234,AC-158,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-235,AC-158,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-236,AC-160,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-237,AC-154;AC-157,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-238,AC-161;AC-162,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-239,AC-161;AC-162,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-240,AC-161;AC-162,PASS_W16_CONTRACT,W16 contract/reference decision; protected empirical selection remains later where applicable.
ADR-241,AC-163;AC-164;AC-024,MAPPED,W17 validation/promotion protocol decision.
ADR-242,AC-165,MAPPED,W17 validation/promotion protocol decision.
ADR-243,AC-163;AC-168;AC-018,MAPPED,W17 validation/promotion protocol decision.
ADR-244,AC-163;AC-169,MAPPED,W17 validation/promotion protocol decision.
ADR-245,AC-164;AC-024,MAPPED,W17 validation/promotion protocol decision.
ADR-246,AC-166;AC-025,MAPPED,W17 validation/promotion protocol decision.
ADR-247,AC-166;AC-026,MAPPED,W17 validation/promotion protocol decision.
ADR-248,AC-166;AC-025,MAPPED,W17 validation/promotion protocol decision.
ADR-249,AC-167;AC-173,MAPPED,W17 validation/promotion protocol decision.
ADR-250,AC-168,MAPPED,W17 validation/promotion protocol decision.
ADR-251,AC-169,MAPPED,W17 validation/promotion protocol decision.
ADR-252,AC-170;AC-175,MAPPED,W17 validation/promotion protocol decision.
ADR-253,AC-171;AC-022,MAPPED,W17 validation/promotion protocol decision.
ADR-254,AC-172;AC-029,MAPPED,W17 validation/promotion protocol decision.
ADR-255,AC-173;AC-030,MAPPED,W17 validation/promotion protocol decision.
ADR-256,AC-174;AC-027,MAPPED,W17 validation/promotion protocol decision.
ADR-257,AC-174;AC-014,MAPPED,W17 validation/promotion protocol decision.
ADR-258,AC-175;AC-031,MAPPED,W17 validation/promotion protocol decision.
ADR-259,AC-169;AC-176,MAPPED,W17 validation/promotion protocol decision.
ADR-260,AC-176,MAPPED,W17 validation/promotion protocol decision.
ADR-261,AC-177,MAPPED,W18 experimentation/research governance decision.
ADR-262,AC-178,MAPPED,W18 experimentation/research governance decision.
ADR-263,AC-179,MAPPED,W18 experimentation/research governance decision.
ADR-264,AC-180,MAPPED,W18 experimentation/research governance decision.
ADR-265,AC-181,MAPPED,W18 experimentation/research governance decision.
ADR-266,AC-182,MAPPED,W18 experimentation/research governance decision.
ADR-267,AC-183,MAPPED,W18 experimentation/research governance decision.
ADR-268,AC-184,MAPPED,W18 experimentation/research governance decision.
ADR-269,AC-185,MAPPED,W18 experimentation/research governance decision.
ADR-270,AC-186,MAPPED,W18 experimentation/research governance decision.
ADR-271,AC-187,MAPPED,W18 experimentation/research governance decision.
ADR-272,AC-188,MAPPED,W18 experimentation/research governance decision.
ADR-273,AC-189,MAPPED,W18 experimentation/research governance decision.
ADR-274,AC-190,MAPPED,W18 experimentation/research governance decision.
ADR-275,AC-177,MAPPED,W18 experimentation/research governance decision.
ADR-276,AC-178,MAPPED,W18 experimentation/research governance decision.
ADR-277,AC-179,MAPPED,W18 experimentation/research governance decision.
ADR-278,AC-180,MAPPED,W18 experimentation/research governance decision.
ADR-279,AC-191,MAPPED,Corrected W18 decision.
ADR-280,AC-191,MAPPED,Corrected W18 decision.
ADR-281,AC-192,MAPPED,Corrected W18 decision.
ADR-282,AC-193,MAPPED,Corrected W18 decision.
ADR-283,AC-193,MAPPED,Corrected W18 decision.
ADR-284,AC-195,MAPPED,Corrected W18 decision.
ADR-285,AC-194,MAPPED,Corrected W18 decision.
ADR-286,AC-204,MAPPED,Corrected W18 decision.
ADR-287,AC-203,MAPPED,Corrected W18 decision.
