control_id,title,domain,evidence_mode,owner_wave,blocking_scope,release_blocking,current_status,criterion,threshold_refs
AC-037,Forecast freshness/staleness visibility,serving,INTEGRATION,W21-W22,FORECAST_PUBLICATION,True,PASS_W22_CONFIGURABLE_FRESHNESS_THR010_TBD,Served snapshot exposes as-of/freshness; stale snapshot is visibly stale and never mislabeled current,THR-010
AC-038,Local resource benchmark,performance,BENCHMARK,W19-W23,OPERATIONS_GATE,True,BLOCKED_W23_TARGET_HARDWARE,Representative/full workloads are benchmarked on target hardware for RAM/runtime/storage before fixed budgets are approved,THR-011;THR-012
AC-039,Backup/restore and historical immutability,operations,INTEGRATION,W21-W23,OPERATIONS_GATE,True,PASS_W23_REFERENCE_BACKUP_RESTORE,Recovery preserves immutable histories and operational backup/restore procedure is tested,
AC-040,Untrusted input safety,security,STATIC_INTEGRATION,W04-W09,DATA_RELEASE,True,PARTIAL_W04,"Archives/inputs are treated as untrusted, path-safe and contract-validated; source content is never executed as instructions/code",
AC-041,Dependency/tool integrity and security,security,STATIC_REVIEW,W23,RELEASE_GATE,True,PASS_W23_REFERENCE_POLICY_CI,Final dependency surface has version/provenance/security/integrity checks appropriate to risk,
AC-042,Restricted data/secret-safe logging,security,STATIC_INTEGRATION,W21-W23,OPERATIONS_GATE,True,PASS_W23_REFERENCE_REDACTION,Logs contain no secrets or prohibited restricted raw payloads and use approved redaction/structured metadata,
AC-043,License/redistribution review,data governance,MANUAL_REVIEW,W06+,PUBLICATION_GATE,True,DEFINED_PENDING_OWNER,Owner/terms/license/attribution/redistribution/public-repo suitability is accepted before external publication,
AC-044,Acceptance failure remediation trace,acceptance,GOVERNANCE,W04+,ALL_GATES,True,PASS_W04,Blocking failures identify affected controls/requirements/evidence and cannot be silently waived,
AC-045,Honest maturity/completion reporting,governance,REVIEW,W01-W25,PACK_RELEASE,True,PASS_W04,Designed/scaffolded/implemented/validated states and performance claims are reported exactly without fabricated evidence,
AC-046,Snapshot-serving boundary,architecture,STATIC_INTEGRATION,W03-W22,MERGE_RELEASE,True,PASS_W22_FUNCTIONAL_STARTER,Serving depends on published forecast snapshots/lineage and cannot bypass raw/PIT/model internals,
AC-047,National/A&M canonical-truth boundary,architecture,STATIC_SCIENCE,W03-W16,MODEL_PROMOTION,True,PASS_W04,A&M uses shared canonical/PIT truth via explicit specialization interface and may shrink to no adjustment,
AC-048,Live/pregame isolation,architecture,STATIC_TEMPORAL,Phase5,LIVE_RELEASE,True,PASS_W04,Future live lane cannot feed same-game pregame features; pregame prior may flow one-way into live lane,
AC-049,Implementation WBS requirement coverage,implementation,STATIC,W05-W25,PLAN_GATE,True,PASS_W05,Every cumulative requirement maps to at least one valid task and every task uses known phase/epic IDs,
AC-050,Implementation dependency DAG integrity,implementation,STATIC,W05-W25,PLAN_GATE,True,PASS_W05,Task dependencies reference existing tasks and the dependency graph is acyclic,
AC-051,Codex packet/worktree safety,repository,STATIC,W05+,MERGE_GATE,True,PASS_W05_CONTRACT,Packets declare scope/dependencies/outputs/tests/stop conditions and isolated worktree policy,
AC-052,Shared-contract serialization,architecture,STATIC,W05+,MERGE_GATE,True,PASS_W05_CONTRACT,Unfrozen shared contracts have one mutation owner at a time and parallel packets identify exclusions,
AC-053,W06 replan and source provisionality gate,program,MANUAL_PLUS_STATIC,W06,PROGRAM_GATE,True,PASS_W06,W06 explicitly updates source-dependent task status/dependencies/plan and clears the replan gate before W07.,
AC-054,No fabricated schedule precision,governance,STATIC,W05-W25,PLAN_GATE,True,PASS_W05,Backlog contains no unsupported hours/dates/velocity promises; complexity semantics are non-temporal,
AC-055,Backlog provenance and maturity honesty,governance,STATIC,W05-W25,PACK_GATE,True,PASS_W05,"Stable task IDs, statuses, plan version and change history preserve planned/blocked/done/superseded distinctions",
AC-056,Critical-spine and evidence-gate coverage,implementation,STATIC,W05-W25,PLAN_GATE,True,PASS_W05,Dependency-critical gates and acceptance/evidence responsibilities are explicitly represented and traceable,
AC-057,Fresh source-universe research coverage,data governance,RESEARCH_AUDIT,W06-W24,PLAN_GATE,True,PASS_W06,"Fresh research logs current sources across required domains, includes primary/fallback discovery and documents stopping rationale.",
AC-058,Source fallback and redundancy coverage,data governance,REVIEW,W06-W24,DATA_PLAN_GATE,True,PASS_W06_CONTRACT,Material domains identify primary/fallback/overlap and avoid treating shared upstreams as independent evidence.,
AC-059,Source PIT/access/license classification,data governance,RESEARCH_PLUS_REVIEW,W06+,DATA_PLAN_GATE,True,PASS_W06_CLASSIFICATION,"Candidate production sources record PIT class, access/auth/cost/terms/redistribution and unresolved review requirements.",
AC-060,W06 evidence-driven backlog closure,program,STATIC_PLUS_REVIEW,W06,PROGRAM_GATE,True,PASS_W06,W06 research findings are reflected in requirements/ADRs/risks/tasks/future-wave plan and W07 first packet is unblocked only after validation.,
AC-061,Canonical identity contract validity,data identity,STATIC,W07-W19,DATA_CONTRACT_GATE,True,PASS_W07_CONTRACT,Entity catalog/ID policy separates stable opaque identities from mutable observations and source IDs,
AC-062,Source mapping and no-name-only join contract,entity resolution,STATIC,W07-W19,DATA_CONTRACT_GATE,True,PASS_W07_CONTRACT,Source mappings are scoped/auditable; direct IDs require validated contracts; names alone cannot form durable production joins,
AC-063,Conservative entity resolution/review policy,entity resolution,STATIC_PLUS_LABELED_EVAL,W07-W19,DATA_RELEASE,True,PASS_W07_CONTRACT_LABELED_EVAL_PENDING,Fuzzy/composite ambiguity remains reviewable; only verified mapping classes auto-accept until labeled evidence supports a threshold,THR-008
AC-064,Identity correction history preservation,entity resolution,STATIC_PLUS_INTEGRATION,W07-W19,DATA_RELEASE,True,PASS_W07_CONTRACT_IMPLEMENTATION_PENDING,Merge/split corrections preserve IDs/decisions/version lineage through redirect/supersession rather than destructive rewrite,
AC-065,Source evidence identity/version hierarchy,provenance,STATIC_PLUS_INTEGRATION,W07-W08/W19,DATA_RELEASE,True,PASS_W08_CONTRACT_TEMPORAL_SYNTHETIC_MATERIALIZATION_PENDING,Source system/resource/publication/raw capture/observation identities are distinct and exact evidence remains reconstructible,
AC-066,Entity storage decision evidence,storage architecture,DESIGN_REVIEW_PLUS_BENCHMARK,W07/W19/W22,ARCHITECTURE_GATE,False,PASS_W07_DESIGN_BENCHMARK_PENDING,PostgreSQL remains optional unless concurrent transactional or benchmark evidence justifies it behind storage ports,
AC-067,Bitemporal knowledge/validity separation,temporal,STATIC_PLUS_SYNTHETIC_REPLAY,W08+,DATA_MODEL_RELEASE,True,PASS_W08_CONTRACT_SYNTHETIC_REAL_DATA_PENDING,Knowledge time and target validity are independently represented and enforced,
AC-068,Defensible first-known and conservative fallback,temporal,STATIC_PLUS_INTEGRATION,W08-W19,DATA_RELEASE,True,PASS_W08_CONTRACT_SYNTHETIC_REAL_DATA_PENDING,first_known evidence is provenance-backed; unknown earlier availability fails closed or uses conservative retrieval/lag,
AC-069,Revision as-known-at-cutoff replay,temporal,SYNTHETIC_PLUS_HISTORICAL_REPLAY,W08-W24,MODEL_PROMOTION,True,PASS_W08_CONTRACT_SYNTHETIC_REAL_DATA_PENDING,Later corrections/versions never replace what was knowable at an earlier historical cutoff,
AC-070,Availability report scope/version safety,availability,SYNTHETIC_PLUS_INTEGRATION,W08-W12,MODEL_PROMOTION,True,PASS_W08_CONTRACT_SYNTHETIC_MATERIALIZATION_PENDING,Availability policy scope/report versions are timestamped; noncoverage stays UNKNOWN,
AC-071,Issued weather model-run temporal safety,weather,SYNTHETIC_PLUS_HISTORICAL_REPLAY,W08-W13,MODEL_PROMOTION,True,PASS_W08_CONTRACT_SYNTHETIC_ARCHIVE_COVERAGE_PENDING,Pregame weather uses an issued run available by cutoff and valid for target; observed truth cannot backfill earlier snapshots,
AC-072,Regulatory/resource publish-versus-effective safety,temporal,SYNTHETIC_PLUS_INTEGRATION,W08-W13,DATA_MODEL_RELEASE,True,PASS_W08_CONTRACT_SYNTHETIC_MATERIALIZATION_PENDING,Publication/first-known and effective/reporting periods remain distinct in historical eligibility,
AC-073,Historical game-output chronology gate,temporal,SYNTHETIC_PLUS_REPLAY,W08-W17,MODEL_PROMOTION,True,PASS_W08_CONTRACT_SYNTHETIC_REAL_DATA_PENDING,Same/future-game outputs are excluded and prior-game outputs require completion before cutoff,
AC-074,Immutable cutoff and deterministic replay lineage,reproducibility,STATIC_PLUS_REPLAY,W08-W23,FORECAST_PUBLICATION,True,PASS_W08_CONTRACT_SYNTHETIC_REAL_DATA_PENDING,Cutoff/policy/data snapshot IDs reproduce deterministic observation selection and lineage,
AC-075,Retrospective-evidence quarantine,temporal,SYNTHETIC_PLUS_REVIEW,W08-W19,DATA_RELEASE,True,PASS_W08_CONTRACT_SYNTHETIC_MATERIALIZATION_PENDING,Retrospective/current documents are historical-ineligible without dated corroboration,
AC-076,Training-cutoff chronology,validation,SYNTHETIC_PLUS_WALK_FORWARD,W08-W17,MODEL_PROMOTION,True,PASS_W08_CONTRACT_SYNTHETIC_WALK_FORWARD_PENDING,Historical training runs cannot consume labels/outcomes unavailable before their model-training cutoff,
AC-077,Raw-field registry completeness and stable identity,feature registry,STATIC_PLUS_REGISTRY_VALIDATION,W09+,DATA_MODEL_RELEASE,True,PASS_W09_CONTRACT,All imported raw fields have unique stable source-scoped IDs and required lineage.,
AC-078,Verified temporal classification preservation,temporal,RECONCILIATION_PLUS_VALIDATOR,W09+,DATA_MODEL_RELEASE,True,PASS_W09_RECONCILIATION,Verified recon temporal classes are preserved; zero silent downgrades.,
AC-079,Deterministic schema discovery and drift evidence,schema,UNIT_PLUS_INTEGRATION,W09-W19,DATA_RELEASE,True,PASS_W09_SYNTHETIC_REAL_DATA_PENDING,Scanner records deterministic field paths/types/missingness and detects additions/removals/type changes.,
AC-080,Missingness evidence honesty,data quality,STATIC_PLUS_MATERIALIZATION,W09-W19,DATA_RELEASE,True,PASS_W09_CONTRACT_POPULATION_PENDING,Sample missingness remains non-population; population completeness requires materialized snapshot evidence.,
AC-081,Join path semantic/canonical safety,joins,STATIC_PLUS_INTEGRATION,W09-W19,DATA_RELEASE,True,PASS_W09_CONTRACT_MATERIALIZATION_PENDING,Join key/name presence never bypasses canonical identity and semantic compatibility checks.,
AC-082,Redundancy review without name-based semantic merge,redundancy,STATIC_PLUS_REVIEW,W09-W10,FEATURE_PROMOTION,True,PASS_W09_CONTRACT,Same-name overlap creates review clusters; no automatic semantic merge.,
AC-083,Raw-field to W10 handoff safety,feature registry,STATIC_PLUS_ACCEPTANCE,W09-W10,FEATURE_EXPERIMENT,True,PASS_W09_CONTRACT,Banned/review/metadata-only fields are blocked; candidate inputs remain behind W08 PIT gateway.,
AC-084,Raw-field source rights/provenance carry-forward,governance,STATIC_PLUS_REVIEW,W09-W24,DATA_PUBLICATION,True,PASS_W09_CONTRACT_RIGHTS_REVIEW_PENDING,Raw-field metadata retains source access/license/redistribution context through candidate handoff.,
AC-085,PIT-safe feature transform contract,features,UNIT_PLUS_TEMPORAL_REPLAY,W10+,FEATURE_EXPERIMENT,True,PASS_W10_SYNTHETIC_REAL_DATA_PENDING,Transforms consume PIT-safe inputs with versioned lineage and no direct mutable-state bypass,
AC-086,Strict-prior trailing feature safety,features,UNIT_PLUS_HISTORICAL_REPLAY,W10-W19,MODEL_PROMOTION,True,PASS_W10_SYNTHETIC_REAL_DATA_PENDING,Lag/rolling/EWMA/trend candidates exclude target/same-game observations,
AC-087,Multi-method screening evidence contract,features,STATIC_PLUS_SCIENTIFIC,W10-W17,FEATURE_PROMOTION,True,PASS_W10_CONTRACT_EMPIRICAL_PENDING,No single correlation/MI/importance method is sufficient; screening stages and limitations are recorded,
AC-088,Feature-family ablation and temporal-stability gate,features,WALK_FORWARD,W10-W17,FEATURE_PROMOTION,True,PASS_W10_CONTRACT_EMPIRICAL_PENDING,Promotion requires chronological family ablation and temporal stability under protected evaluation,THR-007
AC-089,Target-specific lifecycle gate,features,SCIENTIFIC_PLUS_REGISTRY,W10-W17,FEATURE_PROMOTION,True,PASS_W10_CONTRACT_EMPIRICAL_PENDING,Lifecycle decisions are target-specific and production states require target evidence,THR-007
AC-090,Append-only feature lifecycle history,governance,STATIC_PLUS_REGISTRY,W10+,FEATURE_PROMOTION,True,PASS_W10_CONTRACT,Promotion/demotion/rejection/reopen decisions preserve evidence and prior history,
AC-091,Pure-football versus market-feature isolation,features,STATIC_PLUS_INTEGRATION,W10-W17,MODEL_PROMOTION,True,PASS_W10_CONTRACT,Market-derived candidates are restricted to market-augmented experiments,
AC-092,Synthetic evidence cannot promote features,governance,STATIC_PLUS_REGISTRY,W10,FEATURE_PROMOTION,True,PASS_W10_ZERO_PROMOTIONS,W10 synthetic/reference tests yield zero empirical CORE/SUPPORTED/CONDITIONAL promotions,
AC-093,Team-state semantic separation,team_state,CONTRACT,W11+,STATE_INTERFACE,True,PASS_W11_CONTRACT,"Prior, underlying, available and recent-form state semantics are separate and machine-readable",
AC-094,Team-state PIT immutability,team_state,STATIC_PLUS_SYNTHETIC,W11+,DATA_MODEL_RELEASE,True,PASS_W11_CONTRACT_SYNTHETIC,Team-state snapshots are cutoff/version bound and accept only W08 PIT-safe inputs,
AC-095,Early-season prior governance,early_season,CONTRACT,W11-W19,MODEL_PROMOTION,True,PASS_W11_CONTRACT_EMPIRICAL_PENDING,Prior components are provenance/PIT controlled and no component weights or weekly blend schedule are frozen without chronological evidence,
AC-096,Historical weighting parameter governance,historical_weighting,CONTRACT_PLUS_WALK_FORWARD,W11-W17,MODEL_PROMOTION,True,PASS_W11_CONTRACT_EMPIRICAL_PENDING,Recency/regime/change-point parameters remain candidates until protected chronological comparison,
AC-097,Regime and change-point safety,historical_weighting,STATIC_PLUS_REPLAY,W11-W17,STATE_MODEL_RELEASE,True,PASS_W11_CONTRACT_REAL_DATA_PENDING,Regime inputs are effective-dated; change candidates do not automatically erase history; data-coverage shifts are distinguishable,
AC-098,Bounded lower-division scope,opponent_strength,STATIC,W11+,ARCHITECTURE_GATE,True,PASS_W11_CONTRACT,FBS/FCS/lower-division hierarchy terminates in progressively coarse priors rather than recursive full modeling,
AC-099,Cross-division strength and uncertainty,opponent_strength,CONTRACT_PLUS_WALK_FORWARD,W11-W19,MODEL_PROMOTION,True,PASS_W11_CONTRACT_EMPIRICAL_PENDING,Every opponent has continuous strength plus uncertainty; fixed division point penalties are prohibited,
AC-100,Chronological team-state comparison,validation,WALK_FORWARD,W11-W19,TEAM_STATE_PROMOTION,True,CONTRACT_VERIFIED_W11_REAL_DATA_PENDING,"Candidate team-state representations are compared chronologically with early-season, transition and lower-division slices before empirical selection",
AC-101,W11 synthetic evidence cannot select team-state winner,governance,STATIC_PLUS_REGISTRY,W11,TEAM_STATE_GATE,True,PASS_W11_NO_EMPIRICAL_WINNER,W11 semantic/reference tests yield no claimed empirical winning decay/blend/change-point/translation parameterization,
AC-102,Effective-dated player/roster/depth state integrity,players,STATIC_PLUS_SYNTHETIC,W12,PLAYER_STATE_GATE,True,PASS_W12_CONTRACT,"Roster/depth/role states remain distinct, PIT-safe and same-game participation cannot backfill pregame truth",
AC-103,Position-aware player-value contract without fixed penalties,players,STATIC_PLUS_SYNTHETIC,W12,PLAYER_VALUE_GATE,True,PASS_W12_CONTRACT,Player-value evidence is position-aware; no manual player/position point values are frozen,
AC-104,Availability probability/effectiveness/usage scenario contract,availability,STATIC_PLUS_SYNTHETIC,W12,AVAILABILITY_GATE,True,PASS_W12_CONTRACT,"Availability supports probability, effectiveness, expected usage, limitations and uncertainty rather than binary only",
AC-105,Replacement/depth redistribution and anti-double-counting,availability,STATIC_PLUS_SYNTHETIC,W12,AVAILABILITY_GATE,True,PASS_W12_CONTRACT,Replacement identity/value/usage may be multi-player; no fixed position penalty or duplicate injury penalty stack,
AC-106,Sparse availability evidence fails safe,availability,STATIC_PLUS_SYNTHETIC,W12,AVAILABILITY_GATE,True,PASS_W12_CONTRACT,Noncoverage/missing reports produce UNKNOWN; source confidence/version/freshness are preserved,
AC-107,Recruiting/freshman prospect-prior contract,players,STATIC_PLUS_REGISTRY,W12,ADVANCED_PLAYER_INPUT_GATE,True,PASS_W12_CONTRACT,Zero-college-snap players use a distinct prospect prior with explicit uncertainty and no fabricated weights,
AC-108,Transfer identity/translation contract,players,STATIC_PLUS_SYNTHETIC,W12,ADVANCED_PLAYER_INPUT_GATE,True,PASS_W12_CONTRACT,Transfers preserve player identity; translation uses same-player/continuous-strength/context design and forbids fixed conference penalties,
AC-109,Preseason honor and draft-development temporal safety,players,STATIC_PLUS_REGISTRY,W12,ADVANCED_PLAYER_INPUT_GATE,True,PASS_W12_CONTRACT,Honors require announced_at and future draft outcomes are not historical pregame features,
AC-110,Official availability source lane and A&M SEC priority,availability,STATIC_PLUS_REGISTRY,W12,SOURCE_GOVERNANCE_GATE,True,PASS_W12_PLAN_ONLY,Official covered reports are primary; SEC is A&M priority; W12 does not falsely claim historical materialization,
AC-111,Transfer/recruiting upstream provenance and rights snapshot,data_governance,STATIC_PLUS_REGISTRY,W12,SOURCE_GOVERNANCE_GATE,True,PASS_W12_GOVERNANCE,Dataset/source registry carries owner/access/auth/license/redistribution provenance and transfer/recruiting audit decisions,
AC-112,W12 synthetic evidence cannot select empirical player/transfer winner,governance,STATIC_PLUS_REGISTRY,W12,PLAYER_INTELLIGENCE_GATE,True,PASS_W12_NO_EMPIRICAL_WINNER,"W12 freezes interfaces only; no player-value, availability-impact or transfer-translation model/parameter is declared empirically superior",
AC-113,Coach role-episode PIT integrity,coaching,CONTRACT,W13-W19,DATA_RELEASE,True,PASS_W13_CONTRACT,Coach title/responsibility/play-caller episodes preserve effective/known-at/source evidence,
AC-114,Coach residual confound-control contract,coaching,EXPERIMENT,W13-W17,MODEL_PROMOTION,False,DEFINED_W13_PENDING_EMPIRICAL,Coach effects cannot be promoted from raw output without required controls/shrinkage,
AC-115,Scheme/play-caller/tendency temporal integrity,coaching,CONTRACT,W13-W19,DATA_RELEASE,True,PASS_W13_CONTRACT,Scheme/tendency evidence is effective-dated and derived from eligible prior behavior,
AC-116,Weather/travel/venue PIT context integrity,context,INTEGRATION,W13-W19,DATA_RELEASE,True,PASS_W13_CONTRACT,"Issued forecast, DST-aware travel and venue fields obey cutoff semantics",
AC-117,Resource lane missingness/semantic integrity,resources,CONTRACT,W13-W19,MODEL_PROMOTION,True,PASS_W13_CONTRACT,Private/public asymmetry preserved; no missing-as-zero or fabricated spend,
AC-118,Home-field residual experiment integrity,context,EXPERIMENT,W13-W17,MODEL_PROMOTION,False,DEFINED_W13_PENDING_EMPIRICAL,Home/venue effects use residual controls/shrinkage and no manual bonus,
AC-119,Regulatory-environment versioning,context,CONTRACT,W13-W19,DATA_RELEASE,True,PASS_W13_CONTRACT,Material rules/roster/eligibility/transfer regimes are effective-dated and version definitions,
AC-120,Possession/field-position/special-teams component integrity,mechanics,CONTRACT,W13-W20,MODEL_PROMOTION,True,PASS_W13_CONTRACT,"Opportunity, field-position and special-teams components preserve double-count guards",
AC-121,Score-state/garbage-time policy experiment integrity,mechanics,EXPERIMENT,W13-W17,MODEL_PROMOTION,False,DEFINED_W13_PENDING_EMPIRICAL,No garbage-time threshold/policy is production-selected without chronological evidence,
AC-122,Opponent-adjustment/style circularity guard,matchup,EXPERIMENT,W13-W17,MODEL_PROMOTION,True,PASS_W13_CONTRACT,Opponent/style candidates use strict-prior states and prohibit future outcomes,
AC-123,Schedule stress/look-ahead PIT guard,context,CONTRACT,W13-W19,DATA_RELEASE,True,PASS_W13_CONTRACT,Stress uses completed prior workload; look-ahead excludes future performance/results,
AC-124,Officiating experimental eligibility/anti-bias guard,officiating,REVIEW,W13-W24,MODEL_PROMOTION,True,PASS_W13_CONTRACT,Crew-specific features require pregame-public assignments; causal bias narratives prohibited,
AC-125,W13 honest maturity and no fixed-effect gate,governance,STATIC,W13,WAVE_GATE,True,PASS_W13,No empirical W13 effect winner/numeric bonus is claimed; W10-W12 baselines preserved,
