requirement_id,constraint_class,lifecycle_status,acceptance_control_ids,acceptance_state,owner_wave,threshold_refs,evidence_artifact,notes
REQ-032,B,DEFAULT,AC-023;AC-026,VERIFIED_W22_PRECOMPUTED_INTERFACE_ONLY,W22,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json;docs/107_W22_SNAPSHOT_SERVING_PRODUCT.md;tests/test_w22_product_serving.py,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL. W22 evidence is functional/synthetic where noted; no protected model metric implied.
REQ-033,A,ACTIVE,AC-023;AC-026,CONTRACT_DEFINED_OWNER_PENDING,W16+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-034,A,ACTIVE,AC-023;AC-026,CONTRACT_DEFINED_OWNER_PENDING,W15+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-035,A,ACTIVE,AC-023,CONTRACT_DEFINED_OWNER_PENDING,W21+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-036,A,ACTIVE,AC-033,CONTRACT_DEFINED_OWNER_PENDING,W08+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-037,A,ACTIVE,AC-009;AC-010;AC-020,CONTRACT_VERIFIED_W07_IMPLEMENTATION_PENDING,W07,THR-009;THR-013,configs/entity_registry.json;docs/14_CANONICAL_ENTITY_ARCHITECTURE.md;docs/16_ENTITY_RESOLUTION_AND_REVIEW.md,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-038,A,ACTIVE,AC-009;AC-010;AC-020,CONTRACT_VERIFIED_W07_IMPLEMENTATION_PENDING,W07,THR-009;THR-013,configs/entity_registry.json;docs/14_CANONICAL_ENTITY_ARCHITECTURE.md;docs/16_ENTITY_RESOLUTION_AND_REVIEW.md,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-039,A,ACTIVE,AC-008,CONTRACT_DEFINED_OWNER_PENDING,W08+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json;configs/temporal_registry.json;governance/W08_VALIDATION_REPORT.md,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-040,A,ACTIVE,AC-009,CONTRACT_DEFINED_OWNER_PENDING,W07-W09,THR-013,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-041,A,ACTIVE,AC-011,CONTRACT_DEFINED_OWNER_PENDING,W08,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json;configs/temporal_registry.json;governance/W08_VALIDATION_REPORT.md,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-042,A,ACTIVE,AC-011;AC-012,CONTRACT_DEFINED_OWNER_PENDING,W08+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json;configs/temporal_registry.json;governance/W08_VALIDATION_REPORT.md,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-043,A,ACTIVE,AC-013,CONTRACT_DEFINED_OWNER_PENDING,W08+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-044,A,ACTIVE,AC-014,CONTRACT_DEFINED_OWNER_PENDING,W08+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json;configs/temporal_registry.json;governance/W08_VALIDATION_REPORT.md,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-045,A,ACTIVE,AC-016,CONTRACT_DEFINED_OWNER_PENDING,W08+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-046,A,ACTIVE,AC-015,CONTRACT_DEFINED_OWNER_PENDING,W08-W12,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-047,A,ACTIVE,AC-017,CONTRACT_DEFINED_OWNER_PENDING,W07,THR-008,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-048,A,ACTIVE,AC-009,CONTRACT_DEFINED_OWNER_PENDING,W07-W09,THR-013,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-049,A,ACTIVE,AC-020,CONTRACT_DEFINED_OWNER_PENDING,W07+,THR-009;THR-013,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-050,A,ACTIVE,AC-010,CONTRACT_DEFINED_OWNER_PENDING,W07+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-051,A,ACTIVE,AC-010;AC-033,CONTRACT_DEFINED_OWNER_PENDING,W09+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-052,A,ACTIVE,AC-009;AC-020,CONTRACT_DEFINED_OWNER_PENDING,W09-W19,THR-009;THR-013,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-053,A,ACTIVE,AC-045,CURRENTLY_VERIFIED_W04,W01+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-054,A,ACTIVE,AC-043,CONTRACT_DEFINED_OWNER_PENDING,W06+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-055,A,ACTIVE,AC-043,CONTRACT_DEFINED_OWNER_PENDING,ALL,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-056,A,ACTIVE,AC-040;AC-043,PARTIAL_OR_CONTRACT_DEFINED,ALL,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-057,A,ACTIVE,AC-043,CONTRACT_DEFINED_OWNER_PENDING,W06+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-058,A,ACTIVE,AC-010,CONTRACT_DEFINED_OWNER_PENDING,W07+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-059,A,ACTIVE,AC-012,CONTRACT_DEFINED_OWNER_PENDING,W08+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json;configs/temporal_registry.json;governance/W08_VALIDATION_REPORT.md,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-060,A,ACTIVE,AC-018,CONTRACT_DEFINED_OWNER_PENDING,W17,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-061,A,ACTIVE,AC-018,CONTRACT_DEFINED_OWNER_PENDING,W17,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-062,A,ACTIVE,AC-018,CONTRACT_DEFINED_OWNER_PENDING,W07-W17,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-063,A,ACTIVE,AC-009;AC-021,CONTRACT_DEFINED_OWNER_PENDING,W09,THR-007;THR-013,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-064,A,ACTIVE,AC-021,CONTRACT_VERIFIED_W10_EMPIRICAL_PENDING,W10+,THR-007,configs/feature_lifecycle_registry.json;governance/FEATURE_*;tools/validate_feature_lifecycle.py,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-065,A,ACTIVE,AC-021,CONTRACT_VERIFIED_W10_EMPIRICAL_PENDING,W10+,THR-007,configs/feature_lifecycle_registry.json;governance/FEATURE_*;tools/validate_feature_lifecycle.py,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-066,A,ACTIVE,AC-021,CONTRACT_VERIFIED_W10_EMPIRICAL_PENDING,W10+,THR-007,configs/feature_lifecycle_registry.json;governance/FEATURE_*;tools/validate_feature_lifecycle.py,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-067,C,RESEARCH,AC-021,EXPERIMENT_REQUIRED_NONBLOCKING_UNTIL_PROMOTION,W10,THR-007,configs/feature_lifecycle_registry.json;governance/FEATURE_*;tools/validate_feature_lifecycle.py,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-068,A,ACTIVE,AC-021,CONTRACT_DEFINED_OWNER_PENDING,W10-W13,THR-007,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-069,A,ACTIVE,AC-023;AC-026,CONTRACT_DEFINED_OWNER_PENDING,W11,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-070,B,DEFAULT,AC-023;AC-026,CONTRACT_DEFINED_OWNER_PENDING,W11,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-071,B,DEFAULT,AC-023;AC-026,CONTRACT_DEFINED_OWNER_PENDING,W11-W14,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-072,A,ACTIVE,AC-023;AC-027,CONTRACT_DEFINED_OWNER_PENDING,W12,THR-014;THR-015,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-073,A,ACTIVE,AC-023;AC-027,CONTRACT_DEFINED_OWNER_PENDING,W12,THR-014;THR-015,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-074,A,ACTIVE,AC-023,CONTRACT_DEFINED_OWNER_PENDING,W12,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-075,A,ACTIVE,AC-023,CONTRACT_DEFINED_OWNER_PENDING,W12,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-076,A,ACTIVE,AC-009,CONTRACT_DEFINED_OWNER_PENDING,W13,THR-013,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-077,B,DEFAULT,AC-023,CONTRACT_DEFINED_OWNER_PENDING,W13,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-078,A,ACTIVE,AC-023,CONTRACT_DEFINED_OWNER_PENDING,W13,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-079,A,ACTIVE,AC-020,CONTRACT_DEFINED_OWNER_PENDING,W13,THR-009;THR-013,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-080,A,ACTIVE,AC-023,CONTRACT_DEFINED_OWNER_PENDING,W13-W14,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-081,B,DEFAULT,AC-023,CONTRACT_DEFINED_OWNER_PENDING,W13,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-082,B,DEFAULT,AC-023,CONTRACT_DEFINED_OWNER_PENDING,W13,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-083,B,DEFAULT,AC-023,CONTRACT_DEFINED_OWNER_PENDING,W13,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-084,C,RESEARCH,AC-021,EXPERIMENT_REQUIRED_NONBLOCKING_UNTIL_PROMOTION,W13,THR-007,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-085,C,RESEARCH,AC-021,EXPERIMENT_REQUIRED_NONBLOCKING_UNTIL_PROMOTION,W13,THR-007,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-086,B,DEFAULT,AC-021,CONTRACT_DEFINED_OWNER_PENDING,W13,THR-007,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-087,A,ACTIVE,AC-019,CONTRACT_DEFINED_OWNER_PENDING,W08-W13,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-088,C,RESEARCH,AC-021,EXPERIMENT_REQUIRED_NONBLOCKING_UNTIL_PROMOTION,W13,THR-007,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-089,C,RESEARCH,AC-021,EXPERIMENT_REQUIRED_NONBLOCKING_UNTIL_PROMOTION,W13,THR-007,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
