predecessor_task_id,successor_task_id,dependency_type,reason
TASK-036,TASK-037,HARD,Declared WBS dependency
TASK-036,TASK-038,HARD,Declared WBS dependency
TASK-037,TASK-039,HARD,Declared WBS dependency
TASK-038,TASK-039,HARD,Declared WBS dependency
TASK-129,TASK-039,,W16_SEQUENCE_REPAIR
TASK-039,TASK-040,HARD,Declared WBS dependency
TASK-006,TASK-041,HARD,Declared WBS dependency
TASK-018,TASK-041,HARD,Declared WBS dependency
TASK-012,TASK-042,HARD,Declared WBS dependency
TASK-041,TASK-042,HARD,Declared WBS dependency
TASK-018,TASK-043,HARD,Declared WBS dependency
TASK-042,TASK-043,HARD,Declared WBS dependency
TASK-023,TASK-044,HARD,Declared WBS dependency
TASK-029,TASK-044,HARD,Declared WBS dependency
TASK-043,TASK-044,HARD,Declared WBS dependency
TASK-044,TASK-045,HARD,Declared WBS dependency
TASK-045,TASK-046,HARD,Declared WBS dependency
TASK-035,TASK-047,HARD,Declared WBS dependency
TASK-018,TASK-047,HARD,Declared WBS dependency
TASK-047,TASK-048,HARD,Declared WBS dependency
TASK-047,TASK-049,HARD,Declared WBS dependency
TASK-048,TASK-050,HARD,Declared WBS dependency
TASK-049,TASK-050,HARD,Declared WBS dependency
TASK-049,TASK-051,HARD,Declared WBS dependency
TASK-050,TASK-052,HARD,Declared WBS dependency
TASK-051,TASK-052,HARD,Declared WBS dependency
TASK-047,TASK-053,HARD,Declared WBS dependency
TASK-047,TASK-054,HARD,Declared WBS dependency
TASK-012,TASK-054,HARD,Declared WBS dependency
TASK-053,TASK-055,HARD,Declared WBS dependency
TASK-054,TASK-055,HARD,Declared WBS dependency
TASK-053,TASK-056,HARD,Declared WBS dependency
TASK-055,TASK-057,HARD,Declared WBS dependency
TASK-056,TASK-057,HARD,Declared WBS dependency
TASK-057,TASK-058,HARD,Declared WBS dependency
TASK-052,TASK-058,HARD,Declared WBS dependency
TASK-012,TASK-059,HARD,Declared WBS dependency
TASK-018,TASK-059,HARD,Declared WBS dependency
TASK-059,TASK-060,HARD,Declared WBS dependency
TASK-052,TASK-060,HARD,Declared WBS dependency
TASK-059,TASK-061,HARD,Declared WBS dependency
TASK-061,TASK-062,HARD,Declared WBS dependency
TASK-060,TASK-063,HARD,Declared WBS dependency
TASK-062,TASK-063,HARD,Declared WBS dependency
TASK-063,TASK-064,HARD,Declared WBS dependency
TASK-018,TASK-065,HARD,Declared WBS dependency
TASK-012,TASK-066,HARD,Declared WBS dependency
TASK-018,TASK-066,HARD,Declared WBS dependency
TASK-006,TASK-067,HARD,Declared WBS dependency
TASK-066,TASK-068,HARD,Declared WBS dependency
TASK-035,TASK-068,HARD,Declared WBS dependency
TASK-018,TASK-069,HARD,Declared WBS dependency
TASK-065,TASK-070,HARD,Declared WBS dependency
TASK-067,TASK-070,HARD,Declared WBS dependency
TASK-068,TASK-070,HARD,Declared WBS dependency
TASK-069,TASK-070,HARD,Declared WBS dependency
TASK-029,TASK-071,HARD,Declared WBS dependency
TASK-035,TASK-071,HARD,Declared WBS dependency
TASK-071,TASK-072,HARD,Declared WBS dependency
TASK-072,TASK-073,HARD,Declared WBS dependency
TASK-065,TASK-073,HARD,Declared WBS dependency
TASK-029,TASK-074,HARD,Declared WBS dependency
TASK-072,TASK-075,HARD,Declared WBS dependency
TASK-074,TASK-075,HARD,Declared WBS dependency
TASK-073,TASK-076,HARD,Declared WBS dependency
TASK-075,TASK-076,HARD,Declared WBS dependency
TASK-035,TASK-077,HARD,Declared WBS dependency
TASK-029,TASK-077,HARD,Declared WBS dependency
TASK-061,TASK-078,HARD,Declared WBS dependency
TASK-077,TASK-078,HARD,Declared WBS dependency
TASK-066,TASK-079,HARD,Declared WBS dependency
TASK-071,TASK-079,HARD,Declared WBS dependency
TASK-079,TASK-080,HARD,Declared WBS dependency
TASK-018,TASK-080,HARD,Declared WBS dependency
TASK-006,TASK-081,HARD,Declared WBS dependency
TASK-018,TASK-081,HARD,Declared WBS dependency
TASK-077,TASK-082,HARD,Declared WBS dependency
TASK-078,TASK-082,HARD,Declared WBS dependency
TASK-080,TASK-082,HARD,Declared WBS dependency
TASK-081,TASK-082,HARD,Declared WBS dependency
TASK-052,TASK-083,HARD,Declared WBS dependency
TASK-046,TASK-083,HARD,Declared WBS dependency
TASK-058,TASK-084,HARD,Declared WBS dependency
TASK-046,TASK-084,HARD,Declared WBS dependency
TASK-064,TASK-085,HARD,Declared WBS dependency
TASK-070,TASK-085,HARD,Declared WBS dependency
TASK-076,TASK-085,HARD,Declared WBS dependency
TASK-082,TASK-085,HARD,Declared WBS dependency
TASK-046,TASK-085,HARD,Declared WBS dependency
TASK-083,TASK-086,HARD,Declared WBS dependency
TASK-084,TASK-086,HARD,Declared WBS dependency
TASK-085,TASK-086,HARD,Declared WBS dependency
TASK-086,TASK-087,HARD,Declared WBS dependency
TASK-040,TASK-087,HARD,Declared WBS dependency
TASK-058,TASK-088,HARD,Declared WBS dependency
TASK-064,TASK-088,HARD,Declared WBS dependency
TASK-070,TASK-088,HARD,Declared WBS dependency
TASK-076,TASK-088,HARD,Declared WBS dependency
TASK-082,TASK-088,HARD,Declared WBS dependency
TASK-088,TASK-089,HARD,Declared WBS dependency
TASK-052,TASK-089,HARD,Declared WBS dependency
TASK-088,TASK-090,HARD,Declared WBS dependency
TASK-064,TASK-090,HARD,Declared WBS dependency
TASK-088,TASK-091,HARD,Declared WBS dependency
TASK-018,TASK-091,HARD,Declared WBS dependency
TASK-088,TASK-092,HARD,Declared WBS dependency
TASK-035,TASK-092,HARD,Declared WBS dependency
TASK-089,TASK-093,HARD,Declared WBS dependency
TASK-090,TASK-093,HARD,Declared WBS dependency
TASK-091,TASK-093,HARD,Declared WBS dependency
TASK-092,TASK-093,HARD,Declared WBS dependency
TASK-093,TASK-094,HARD,Declared WBS dependency
TASK-094,TASK-095,HARD,Declared WBS dependency
TASK-094,TASK-096,HARD,Declared WBS dependency
TASK-095,TASK-097,HARD,Declared WBS dependency
TASK-096,TASK-097,HARD,Declared WBS dependency
TASK-094,TASK-098,HARD,Declared WBS dependency
TASK-097,TASK-099,HARD,Declared WBS dependency
TASK-098,TASK-099,HARD,Declared WBS dependency
TASK-099,TASK-100,HARD,Declared WBS dependency
TASK-100,TASK-101,HARD,Declared WBS dependency
TASK-018,TASK-101,HARD,Declared WBS dependency
TASK-101,TASK-102,HARD,Declared WBS dependency
TASK-101,TASK-103,HARD,Declared WBS dependency
TASK-102,TASK-103,HARD,Declared WBS dependency
TASK-103,TASK-104,HARD,Declared WBS dependency
TASK-104,TASK-105,HARD,Declared WBS dependency
TASK-105,TASK-106,HARD,Declared WBS dependency
TASK-092,TASK-106,HARD,Declared WBS dependency
TASK-104,TASK-107,HARD,Declared WBS dependency
TASK-106,TASK-108,HARD,Declared WBS dependency
TASK-107,TASK-108,HARD,Declared WBS dependency
TASK-108,TASK-109,HARD,Declared WBS dependency
TASK-128,TASK-109,,W16_SEQUENCE_REPAIR
TASK-129,TASK-109,,W16_SEQUENCE_REPAIR
TASK-109,TASK-110,HARD,Declared WBS dependency
TASK-093,TASK-111,HARD,Declared WBS dependency
TASK-046,TASK-111,HARD,Declared WBS dependency
TASK-099,TASK-112,HARD,Declared WBS dependency
TASK-111,TASK-112,HARD,Declared WBS dependency
TASK-104,TASK-113,HARD,Declared WBS dependency
TASK-112,TASK-114,HARD,Declared WBS dependency
TASK-113,TASK-114,HARD,Declared WBS dependency
TASK-114,TASK-115,HARD,Declared WBS dependency
TASK-110,TASK-115,HARD,Declared WBS dependency
TASK-099,TASK-116,HARD,Declared WBS dependency
TASK-104,TASK-116,HARD,Declared WBS dependency
TASK-116,TASK-117,HARD,Declared WBS dependency
TASK-117,TASK-118,HARD,Declared WBS dependency
TASK-118,TASK-119,HARD,Declared WBS dependency
TASK-052,TASK-119,HARD,Declared WBS dependency
TASK-070,TASK-119,HARD,Declared WBS dependency
TASK-119,TASK-120,HARD,Declared WBS dependency
TASK-118,TASK-121,HARD,Declared WBS dependency
TASK-120,TASK-121,HARD,Declared WBS dependency
TASK-121,TASK-122,HARD,Declared WBS dependency
TASK-122,TASK-123,HARD,Declared WBS dependency
TASK-121,TASK-124,HARD,Declared WBS dependency
TASK-121,TASK-125,HARD,Declared WBS dependency
TASK-015,TASK-125,HARD,Declared WBS dependency
TASK-123,TASK-126,HARD,Declared WBS dependency
TASK-124,TASK-126,HARD,Declared WBS dependency
TASK-125,TASK-126,HARD,Declared WBS dependency
TASK-128,TASK-126,,W16_SEQUENCE_REPAIR
TASK-129,TASK-126,,W16_SEQUENCE_REPAIR
TASK-126,TASK-127,HARD,Declared WBS dependency
TASK-121,TASK-128,HARD,Declared WBS dependency
TASK-128,TASK-129,HARD,Declared WBS dependency
TASK-128,TASK-130,HARD,Declared WBS dependency
TASK-129,TASK-131,HARD,Declared WBS dependency
TASK-130,TASK-131,HARD,Declared WBS dependency
TASK-040,TASK-131,HARD,Declared WBS dependency
TASK-131,TASK-132,HARD,Declared WBS dependency
TASK-132,TASK-133,HARD,Declared WBS dependency
TASK-127,TASK-133,HARD,Declared WBS dependency
TASK-110,TASK-133,HARD,Declared WBS dependency
TASK-133,TASK-134,HARD,Declared WBS dependency
TASK-134,TASK-135,HARD,Declared WBS dependency
TASK-134,TASK-136,HARD,Declared WBS dependency
TASK-135,TASK-136,HARD,Declared WBS dependency
TASK-136,TASK-137,HARD,Declared WBS dependency
TASK-133,TASK-137,HARD,Declared WBS dependency
TASK-137,TASK-138,HARD,Declared WBS dependency
TASK-138,TASK-139,HARD,Declared WBS dependency
TASK-121,TASK-140,HARD,Declared WBS dependency
TASK-133,TASK-140,HARD,Declared WBS dependency
TASK-046,TASK-140,HARD,Declared WBS dependency
TASK-140,TASK-141,HARD,Declared WBS dependency
TASK-040,TASK-141,HARD,Declared WBS dependency
TASK-140,TASK-142,HARD,Declared WBS dependency
TASK-121,TASK-142,HARD,Declared WBS dependency
TASK-141,TASK-143,HARD,Declared WBS dependency
TASK-142,TASK-143,HARD,Declared WBS dependency
TASK-127,TASK-143,HARD,Declared WBS dependency
TASK-140,TASK-144,HARD,Declared WBS dependency
TASK-133,TASK-144,HARD,Declared WBS dependency
TASK-143,TASK-145,HARD,Declared WBS dependency
TASK-144,TASK-145,HARD,Declared WBS dependency
TASK-115,TASK-145,HARD,Declared WBS dependency
TASK-145,TASK-146,HARD,Declared WBS dependency
TASK-139,TASK-146,HARD,Declared WBS dependency
TASK-146,TASK-147,HARD,Declared WBS dependency
TASK-046,TASK-147,HARD,Declared WBS dependency
TASK-146,TASK-148,HARD,Declared WBS dependency
TASK-145,TASK-148,HARD,Declared WBS dependency
TASK-133,TASK-148,HARD,Declared WBS dependency
TASK-148,TASK-149,HARD,Declared WBS dependency
TASK-149,TASK-150,HARD,Declared WBS dependency
TASK-139,TASK-150,HARD,Declared WBS dependency
TASK-147,TASK-151,HARD,Declared WBS dependency
TASK-150,TASK-151,HARD,Declared WBS dependency
TASK-151,TASK-152,HARD,Declared WBS dependency
TASK-152,TASK-153,HARD,Declared WBS dependency
TASK-152,TASK-154,HARD,Declared WBS dependency
TASK-153,TASK-154,HARD,Declared WBS dependency
TASK-115,TASK-154,HARD,Declared WBS dependency
TASK-145,TASK-154,HARD,Declared WBS dependency
TASK-154,TASK-155,HARD,Declared WBS dependency
TASK-152,TASK-156,HARD,Declared WBS dependency
TASK-155,TASK-157,HARD,Declared WBS dependency
TASK-156,TASK-157,HARD,Declared WBS dependency
TASK-157,TASK-158,HARD,Declared WBS dependency
TASK-158,TASK-159,HARD,Declared WBS dependency
TASK-151,TASK-160,HARD,Declared WBS dependency
TASK-157,TASK-160,HARD,Declared WBS dependency
TASK-145,TASK-161,HARD,Declared WBS dependency
TASK-151,TASK-161,HARD,Declared WBS dependency
TASK-160,TASK-162,HARD,Declared WBS dependency
TASK-159,TASK-163,HARD,Declared WBS dependency
TASK-161,TASK-163,HARD,Declared WBS dependency
TASK-162,TASK-163,HARD,Declared WBS dependency
TASK-133,TASK-164,HARD,Declared WBS dependency
TASK-139,TASK-164,HARD,Declared WBS dependency
TASK-164,TASK-165,HARD,Declared WBS dependency
TASK-164,TASK-166,HARD,Declared WBS dependency
TASK-040,TASK-166,HARD,Declared WBS dependency
TASK-164,TASK-167,HARD,Declared WBS dependency
TASK-165,TASK-168,HARD,Declared WBS dependency
TASK-166,TASK-168,HARD,Declared WBS dependency
TASK-167,TASK-168,HARD,Declared WBS dependency
TASK-163,TASK-169,HARD,Declared WBS dependency
TASK-169,TASK-170,HARD,Declared WBS dependency
TASK-170,TASK-171,HARD,Declared WBS dependency
TASK-171,TASK-172,HARD,Declared WBS dependency
TASK-162,TASK-173,HARD,W24 user-directed sequencing override: depend on completed W23 implementation substrate while AC-038 remains carried unresolved
TASK-173,TASK-174,HARD,Declared WBS dependency
TASK-173,TASK-175,HARD,Declared WBS dependency
TASK-174,TASK-176,HARD,Declared WBS dependency
TASK-175,TASK-176,HARD,Declared WBS dependency
TASK-176,TASK-177,HARD,Declared WBS dependency
TASK-177,TASK-178,HARD,Declared WBS dependency
TASK-178,TASK-179,HARD,Declared WBS dependency
TASK-179,TASK-180,HARD,Declared WBS dependency
TASK-180,TASK-181,HARD,Declared WBS dependency
TASK-180,TASK-182,HARD,Declared WBS dependency
TASK-181,TASK-183,HARD,Declared WBS dependency
TASK-182,TASK-183,HARD,Declared WBS dependency
TASK-183,TASK-184,HARD,Declared WBS dependency
TASK-185,TASK-186,HARD,Declared WBS dependency
TASK-185,TASK-187,HARD,Declared WBS dependency
TASK-185,TASK-188,HARD,Declared WBS dependency
TASK-187,TASK-189,HARD,Declared WBS dependency
TASK-007,TASK-190,HARD,Declared WBS dependency
TASK-015,TASK-191,HARD,Declared WBS dependency
TASK-190,TASK-191,HARD,Declared WBS dependency
TASK-015,TASK-192,HARD,Declared WBS dependency
TASK-052,TASK-193,HARD,Declared WBS dependency
TASK-191,TASK-193,HARD,Declared WBS dependency
TASK-033,TASK-194,HARD,Declared WBS dependency
TASK-069,TASK-195,HARD,Declared WBS dependency
TASK-190,TASK-195,HARD,Declared WBS dependency
TASK-125,TASK-196,HARD,Declared WBS dependency
TASK-023,TASK-197,HARD,Declared WBS dependency
TASK-190,TASK-197,HARD,Declared WBS dependency
TASK-067,TASK-198,HARD,Declared WBS dependency
TASK-175,TASK-199,HARD,Declared WBS dependency
TASK-054,TASK-200,HARD,Declared WBS dependency
TASK-197,TASK-200,HARD,Declared WBS dependency
TASK-081,TASK-201,HARD,Declared WBS dependency
TASK-139,TASK-041,PROGRAM_SEQUENCE,W18 research-governance gate completes before W19 implementation begins
