change_id,wave,original_strategy,revised_strategy,reason,affected_requirements,affected_adrs,affected_future_waves
CHANGE-020,W06,Rule era focused mainly on on-field football rule changes,"Expand to effective-dated regulatory environment covering playing rules, roster limits, eligibility and transfer rules",Recent NCAA roster/eligibility changes materially alter player/roster feature semantics,REQ-250,ADR-081,W08;W12-W13
CHANGE-021,W06,Lower divisions were represented by coarse priors without a refreshed official-source hierarchy,Use bounded NCAA/NAIA/NJCAA official statistics/rankings as the preferred lower-division evidence lane,Fresh research confirmed viable official source classes without requiring FBS-equivalent recursive modeling,REQ-249,ADR-080,W11-W12
CHANGE-022,W06,W07+ source-dependent WBS tasks were provisional pending research,"Clear W06_REPLAN, convert revalidated tasks to PLANNED/READY and add TASK-190 through TASK-201 for newly discovered temporal/source/governance work",Fresh research materially changed future source semantics but not the 25-wave mission structure,REQ-258,ADR-087,W07-W24
CHANGE-023,W06,W03 modular-monolith architecture remained subject to source-universe challenge,Retain modular monolith and immutable snapshot serving; refine data contracts instead of introducing distributed infrastructure,"Source diversity creates adapter/temporal/provenance requirements, not independent scaling or online-serving requirements",REQ-253,ADR-085,W07-W23
CHANGE-024,W07,W07 source identity could be modeled as provider/resource plus normalized records,Freeze five-layer source evidence identity: source system → resource → publication version → raw capture → source observation,W06 found mutable availability/ranking/report pages where publication edits and retrieval events must remain distinguishable,REQ-275;REQ-276,ADR-096,W08-W09;W12;W24
CHANGE-025,W07,Entity resolver could choose a numeric confidence threshold during W07,Disable fuzzy auto-accept; only verified mapping/direct/crosswalk classes auto-accept until W19 labeled evidence exists,No labeled resolver benchmark exists and inventing THR-008 would create false precision and silent identity risk,REQ-266;REQ-278;REQ-282,ADR-092,W19
CHANGE-026,W07,PostgreSQL could become canonical-state default because manual entity review is relational,Keep append-only Parquet/DuckDB single-writer default behind storage ports; defer PostgreSQL until concurrent transactional need is demonstrated,Current local batch/review workflow derives current state from immutable events and has no multi-writer requirement,REQ-168;REQ-281,ADR-097;ADR-098,W19;W22
CHANGE-027,W07,Prior-wave verifier expected only current_wave in CURRENT_STATE even though W06 emitted wave,Normalize W07 CURRENT_STATE to current_wave and make verifier backward-compatible with legacy wave key,The W06 pack binding was valid but its own verifier could fail on a state-key naming mismatch,REQ-001;REQ-002,ADR-100,W08-W25
CHANGE-028,W07,Identity correction might mutate canonical rows in place,Use append-only resolution decisions plus merge redirects/split supersessions and rebuild later derivatives under new versions,Destructive correction would break forecast replay and provenance,REQ-262;REQ-277;REQ-279,ADR-094,W08;W19
CHANGE-029,W08,Treat effective/known-at timestamps as one generic as-of time,Separate knowledge/system time from real-world validity/event time,Future-effective known rules and late-published older reports prove one-axis semantics can leak or wrongly exclude data,REQ-283;REQ-289;REQ-290,ADR-101,W09-W24 temporal joins/features/replay
CHANGE-030,W08,Treat prediction_eligible_at as a universal stored timestamp,Define it as policy-versioned derived/cache metadata plus mandatory validity/domain/revision checks,Eligibility is context- and target-dependent; one raw timestamp cannot encode all semantics,REQ-309,ADR-103,W09-W24
CHANGE-031,W08,Use weather date/observation as generic historical environment,Require exact issued model-run availability + valid-time lineage for pregame replay,W06/Recon distinguish historical forecast evidence from realized weather,REQ-298;REQ-299,ADR-107,W13/W19/W24
CHANGE-032,W08,Treat missing official availability report as weak negative signal,Explicitly encode report policy/game scope; noncoverage remains UNKNOWN,W06 conference policies do not cover every game/era,REQ-300;REQ-301;REQ-302,ADR-108,W12/W19
CHANGE-033,W08,Allow current corrections to backfill canonical history,Replay source revisions as-known-at-cutoff and preserve older versions,Reproducibility requires historical snapshots to reflect information actually available then,REQ-288,ADR-105,W09-W24
CHANGE-034,W08,PIT tests remain prose-only until materialization,Add executable synthetic bitemporal/leakage battery now while clearly deferring real-data proof,Protected semantics benefit from early executable tests without overstating production evidence,REQ-308,ADR-114,W09-W24
CHANGE-035,W08,W07 carry-forward reused ISSUE-039..042 IDs already assigned to earlier open issues,Preserve the W07 carry-forward content under unique ISSUE-064..067 IDs,Duplicate issue IDs create ambiguous governance references and violate cumulative traceability quality,,,W09-W22 issue tracking
CHANGE-036,W09,W09 raw schema/feature registry baseline,"Preserve 1,197 verified recon temporal field classifications instead of rescoring them during W09",Avoid scanner/LLM drift from evidence-backed temporal registry.,REQ-313;REQ-314;REQ-315;REQ-316;REQ-317;REQ-318;REQ-319;REQ-320;REQ-321;REQ-322;REQ-323;REQ-324;REQ-325;REQ-326;REQ-327;REQ-328;REQ-329;REQ-330;REQ-331;REQ-332;REQ-333;REQ-334;REQ-335;REQ-336;REQ-337;REQ-338;REQ-339;REQ-340,ADR-115;ADR-116;ADR-117;ADR-118;ADR-119;ADR-120;ADR-121;ADR-122;ADR-123;ADR-124;ADR-125;ADR-126,W10;W19;W24
CHANGE-037,W09,W09 raw schema/feature registry baseline,Represent unknown W06 endpoint schemas as SCHEMA_PENDING_MATERIALIZATION,Prevents invented field coverage.,REQ-313;REQ-314;REQ-315;REQ-316;REQ-317;REQ-318;REQ-319;REQ-320;REQ-321;REQ-322;REQ-323;REQ-324;REQ-325;REQ-326;REQ-327;REQ-328;REQ-329;REQ-330;REQ-331;REQ-332;REQ-333;REQ-334;REQ-335;REQ-336;REQ-337;REQ-338;REQ-339;REQ-340,ADR-115;ADR-116;ADR-117;ADR-118;ADR-119;ADR-120;ADR-121;ADR-122;ADR-123;ADR-124;ADR-125;ADR-126,W10;W19;W24
CHANGE-038,W09,W09 raw schema/feature registry baseline,Separate sample missingness evidence from population completeness,Prevents representative samples from becoming fake dataset statistics.,REQ-313;REQ-314;REQ-315;REQ-316;REQ-317;REQ-318;REQ-319;REQ-320;REQ-321;REQ-322;REQ-323;REQ-324;REQ-325;REQ-326;REQ-327;REQ-328;REQ-329;REQ-330;REQ-331;REQ-332;REQ-333;REQ-334;REQ-335;REQ-336;REQ-337;REQ-338;REQ-339;REQ-340,ADR-115;ADR-116;ADR-117;ADR-118;ADR-119;ADR-120;ADR-121;ADR-122;ADR-123;ADR-124;ADR-125;ADR-126,W10;W19;W24
CHANGE-039,W09,W09 raw schema/feature registry baseline,"Treat exact-name field overlap as review clusters, not semantic duplicates",Prevents destructive source consolidation.,REQ-313;REQ-314;REQ-315;REQ-316;REQ-317;REQ-318;REQ-319;REQ-320;REQ-321;REQ-322;REQ-323;REQ-324;REQ-325;REQ-326;REQ-327;REQ-328;REQ-329;REQ-330;REQ-331;REQ-332;REQ-333;REQ-334;REQ-335;REQ-336;REQ-337;REQ-338;REQ-339;REQ-340,ADR-115;ADR-116;ADR-117;ADR-118;ADR-119;ADR-120;ADR-121;ADR-122;ADR-123;ADR-124;ADR-125;ADR-126,W10;W19;W24
CHANGE-040,W09,W09 raw schema/feature registry baseline,Freeze raw-field → W10 candidate-input handoff without feature promotion,Keeps empirical adoption authority in W10+.,REQ-313;REQ-314;REQ-315;REQ-316;REQ-317;REQ-318;REQ-319;REQ-320;REQ-321;REQ-322;REQ-323;REQ-324;REQ-325;REQ-326;REQ-327;REQ-328;REQ-329;REQ-330;REQ-331;REQ-332;REQ-333;REQ-334;REQ-335;REQ-336;REQ-337;REQ-338;REQ-339;REQ-340,ADR-115;ADR-116;ADR-117;ADR-118;ADR-119;ADR-120;ADR-121;ADR-122;ADR-123;ADR-124;ADR-125;ADR-126,W10;W19;W24
CHANGE-041,W11,Treat old team history as uniformly relevant or discard it on regime change,Separate national historical utility from current-team relevance,Avoid discarding nationally useful games while preventing stale current-team identity assumptions,REQ-372,ADR-143,W12;W13;W17;W19
CHANGE-042,W11,One static team rating,Four-part prior/underlying/available/form semantic interface,Preserve conceptual state distinctions and downstream ownership,REQ-364;REQ-366,ADR-139;ADR-149,W12;W13;W16
CHANGE-043,W11,Illustrative recency/Week-1 weights could become defaults,Treat recency and early-season blend parameters as experiments,Avoid unsupported numeric assumptions,REQ-369;REQ-370;REQ-373,ADR-141;ADR-142;ADR-144,W17;W19
CHANGE-044,W11,Regime change could imply hard reset,Use shrinkage/uncertainty-first change-point response,Preserve useful evidence and reduce false regime breaks,REQ-375;REQ-376,ADR-145,W17;W19
CHANGE-045,W11,Lower divisions could recurse indefinitely,Bound lower-division hierarchy with continuous strength and uncertainty,Protect project scope while representing opponents/transfers,REQ-378;REQ-379;REQ-382;REQ-383,ADR-146;ADR-147,W12;W13;W17;W19
CHANGE-046,W12,Player state could collapse roster/depth/availability,"Separate roster membership, depth/rotation, availability and participation",PIT-safe player state requires distinct evidence semantics,REQ-389;REQ-390;REQ-391;REQ-392;REQ-393,ADR-152;ADR-157,W19
CHANGE-047,W12,Availability could collapse to starter-out counts,Use probability/effectiveness/usage/replacement scenario/uncertainty,Represent actual player-specific consequence and uncertainty,REQ-396;REQ-397;REQ-398;REQ-399;REQ-400;REQ-401;REQ-402;REQ-403;REQ-404,ADR-154;ADR-155;ADR-156,W16;W17;W19
CHANGE-048,W12,Transfer context could use fixed conference penalty,Use same-player position-aware continuous-strength translation design,Avoid arbitrary conference-label penalties,REQ-407;REQ-408;REQ-409;REQ-410;REQ-411;REQ-412,ADR-158;ADR-159,W17;W19
CHANGE-049,W12,TASK-200 blocked by stale TASK-197,Complete TASK-197 provenance catch-up before TASK-200,Preserve dependency integrity rather than waive it,REQ-419,ADR-164;ADR-165,W19;W24
CHANGE-050,W12,Official availability lane could look materialized,Mark official availability acquisition as plan-only W12,Honest maturity and coverage reporting,REQ-417;REQ-418,ADR-163,W19
CHANGE-051,W12,Honors/draft signals could become manual bonuses,Timestamped experimental lanes; future draft leakage banned,Preserve PIT correctness and empirical promotion,REQ-413;REQ-414;REQ-415;REQ-416,ADR-161;ADR-162,W17
CHANGE-052,W12,Player/available-strength interfaces could imply calibrated point effects,Freeze abstract interfaces only,No empirical player/availability/transfer winner exists yet,REQ-420;REQ-421,ADR-166;ADR-167,W16;W17;W19
CHANGE-053,W13,Coach identity could collapse to one generic rating,Effective-dated role/responsibility episodes plus residual/hierarchical candidate profiles,Preserves role-specific career evidence and avoids raw-output attribution,REQ-422;REQ-423;REQ-424;REQ-425;REQ-426,ADR-168;ADR-169;ADR-170,W14;W17;W19
CHANGE-054,W13,Home/resources could be intuition-based team bonuses,Learned home residual plus explicit R0/R1/R2/R3 resource lanes,Controls confounding and public/private asymmetry,REQ-435;REQ-436;REQ-437;REQ-438;REQ-459,ADR-175;ADR-176,W14;W17;W19
CHANGE-055,W13,Rule era could remain a season label,Effective-dated regulatory environment with definition versioning,Rules/roster/eligibility/transfer semantics change within training history,REQ-440;REQ-441,ADR-178,W14;W19
CHANGE-056,W13,Game mechanics could collapse to aggregate rankings,"Componentize possession, field position, special teams and score-state policies",Avoid double counting and preserve interpretable experimental lanes,REQ-442;REQ-443;REQ-444;REQ-445;REQ-447;REQ-448,ADR-179;ADR-180;ADR-181,W16;W17;W20
CHANGE-057,W13,Officiating could be treated as causal team/referee narrative,Fail-closed experimental crew lane with pregame-public assignment requirement,Recon evidence says retrospective crew identity exists but upcoming assignment availability is uncertain/confounded,REQ-454;REQ-455,ADR-184,W17;W24
CHANGE-058,W13,TASK-088 W14 architecture depended on future W20 TASK-087 implementation gate,TASK-088 now depends on frozen W12/W13 contract gates,Restores executable numbered wave order without bypassing implementation evidence,REQ-461,ADR-186,W14
CHANGE-059,W13,Adaptive-change CSV lagged W11/W12 Markdown log,Backfill CHANGE-041 through CHANGE-052 into CSV ledger,Keep structured recovery state consistent with narrative history,REQ-457,ADR-185,W14-W25
CHANGE-060,W14,Carry W13 requirements as-is,Repair 14 column-shifted W13 requirement rows without changing IDs/meaning,Structured traceability defect discovered during W14 adaptive review,REQ-427;REQ-428;REQ-429;REQ-430;REQ-439;REQ-442;REQ-443;REQ-444;REQ-445;REQ-446;REQ-447;REQ-451;REQ-452;REQ-453,ADR-202,W14+
CHANGE-061,W14,A&M specialization as deeper model layer,Make same canonical/PIT truth explicit and distinguish evidence resolution from canonical authority,Prevents A&M-specific truth fork and data leakage,REQ-462;REQ-463;REQ-464,ADR-187;ADR-188;ADR-189,W14-W25
CHANGE-062,W14,Assume specialization should add an A&M correction,Make no-adjustment national forecast a mandatory baseline and valid final outcome,Primary target status is not evidence for nonzero residual,REQ-475;REQ-480;REQ-481;REQ-482,ADR-195;ADR-199,W16-W17
CHANGE-063,W14,Peer cohorts and analogs as one comparison concept,Separate peer-cohort scientific comparison from strict-prior analog retrieval,Different statistical roles and leakage risks,REQ-471;REQ-472;REQ-473,ADR-192;ADR-193,W15-W17
CHANGE-064,W14,Suggested weekly snapshot schedule,Retain multiple immutable cadence candidates without freezing exact times,Operational value must be measured rather than assumed,REQ-469;REQ-470,ADR-191,W17-W22
CHANGE-065,W14,Residual adapter as preferred default,"Freeze residual, hierarchical/multi-task, partial-pooling, calibration and stacked candidates plus null baseline",W14 lacks protected evidence to select one architecture,REQ-477;REQ-478;REQ-479;REQ-492;REQ-493,ADR-196;ADR-197;ADR-198;ADR-202,W16-W17
CHANGE-066,W15,Cross-fit interpreted as target-row holdout only,Require chronological training cutoff plus canonical-game group exclusion,Target holdout alone can still train on future games,REQ-497;REQ-498;REQ-499,ADR-204;ADR-205,W16-W20
CHANGE-067,W15,Any forecast could define primary BAS expectation,Create BAS-independent national pregame primary anchor; sensitivity anchors remain separate,Avoid circularly training away the A&M underperformance phenomenon,REQ-501;REQ-502;REQ-523,ADR-206;ADR-217,W16-W17
CHANGE-068,W15,BAS product concept may imply A&M effect exists,Make Aggie Excess explicitly null-first with protected no-excess outcome,Scientific result must be allowed to contradict narrative,REQ-507;REQ-524;REQ-525,ADR-210,W17-W25
CHANGE-069,W15,Component decompositions could be treated as additive,Allow nonadditive candidates unless W16 coherent score architecture proves decomposition identity,Avoid double counting/confounded attribution,REQ-514;REQ-520,ADR-213;ADR-215,W16-W17
CHANGE-070,W15,Collapse BAS grouped with pregame components,Isolate Collapse to chronological live-replay research,Live evidence cannot define same-game pregame state,REQ-519,ADR-214,W18+
CHANGE-071,W15,W15 TASK-101 depended on future W17 TASK-040,Replace dependency with W15 label contract + completed W08 PIT gate,Numbered program must remain executable,REQ-527,ADR-219,W15
CHANGE-072,W15,W16 TASK-116 depended on future W17 TASK-040,Make TASK-116 depend on W14 specialization gate + W15 BAS label gate,Model-target architecture precedes W17 promotion benchmark,REQ-527;REQ-528,ADR-219;ADR-220,W16-W17
CHANGE-073,W15,Repository navigation still presented stale earlier-wave state in AGENTS/README,Refresh operating/navigation surfaces to W15→W16 state,Prevent wrong-wave execution from stale prose,REQ-528,ADR-220,W16
CHANGE-074,W16,W16 baseline tasks were worded as trained implementations,Reframe TASK-036..038 as baseline/calibration contracts; W20 retains trained starter implementation,Master W16 is architecture/evaluation candidate design; no historical model lake exists,REQ-540;REQ-541;REQ-566,ADR-224;ADR-225;ADR-237,W16;W20
CHANGE-075,W16,W17 task wording could imply empirical benchmark results before real data/model starters exist,Freeze W17 protected split/metrics/benchmark protocols first; empirical values require later materialized artifacts,Preserve honest completion and master W17 design/refine intent,REQ-565;REQ-567,ADR-238;ADR-239,W17-W20
CHANGE-076,W16,Independent target/model outputs could diverge,Make coherent joint score distribution the source/reconciliation object for score/margin/win,Prevent contradictory predictions,REQ-529;REQ-531;REQ-532,ADR-221,W16-W22
CHANGE-077,W16,Market benchmark and augmented model could contaminate pure lane,Freeze explicit PURE_FOOTBALL/MARKET_AUGMENTED/MARKET_BENCHMARK lanes,Preserve market-independent product and PIT validity,REQ-545;REQ-546;REQ-547,ADR-228;ADR-229,W16-W17
CHANGE-078,W16,Uncertainty/OOD candidates could acquire arbitrary numeric thresholds,Leave THR-014/015 blank and require W17 precommitment,No fabricated warning thresholds,REQ-557;REQ-558,ADR-234,W17
CHANGE-079,W16,Scenario simulation could become an untracked alternate forecast state,Bind scenarios to immutable baseline snapshot + explicit PIT-safe overrides/weights/seed,Reproducibility and anti-double-counting,REQ-549;REQ-550;REQ-551;REQ-552,ADR-230;ADR-231,W16-W20
CHANGE-080,W16,W14 TASK-094 depended on future W17 TASK-040,Remove future dependency; TASK-094 depends on W14 state-interface TASK-093,Specialization semantics must exist before later empirical baseline/promotion science and the stale edge created a DAG cycle,REQ-567,ADR-239,W14-W17
CHANGE-081,W17,Protected test periods were defined conceptually but not concretely sealed,Seal 2024-2025 as governance-protected holdout and 2026+ as forward forecast-first shadow lane,Prevents later test-period cherry-picking while preserving a future operational holdout,REQ-569;REQ-571;REQ-573;REQ-574,ADR-241;ADR-242;ADR-245,W18-W25
CHANGE-082,W17,Protected could be misread as outcome-unknown,Explicitly distinguish governance protection from real-world/public outcome knowledge,"2024-2025 outcomes are historical by W17; honest protection is a no-tuning rule, not a claim of blindness",REQ-571;REQ-574,ADR-241,W18-W25
CHANGE-083,W17,TASK-131 wording implied numeric evidence-backed threshold values could be populated now,Freeze threshold derivation methods now; keep THR-001..007/014/015 numeric values blank until development-only materialized evidence exists,No real trained development evidence exists yet and protected results may not create thresholds,REQ-589;REQ-590;REQ-591,ADR-251;ADR-252;ADR-259,W19-W21
CHANGE-084,W17,Promotion gate could be interpreted as pass/fail even when prerequisites are absent,Add explicit BLOCKED_PROTOCOL_UNSEALED/BLOCKED_THRESHOLD_UNSET/BLOCKED_ARTIFACT_MISSING states,Missing evidence must fail closed rather than silently waive governance,REQ-591;REQ-592;REQ-593;REQ-601,ADR-252;ADR-258,W18-W23
CHANGE-085,W17,Evaluation metrics/subgroups could be selected during analysis,Predeclare metric hierarchy plus national/A&M/context scorecards before protected result review,Prevents metric switching and subgroup fishing,REQ-577;REQ-578;REQ-579;REQ-580;REQ-583;REQ-584,ADR-246;ADR-247;ADR-248;ADR-249,W19-W25
CHANGE-086,W17,W18 research system could inherit generic evaluation access,Make W17 judging rules immutable inputs to W18; research agents may propose but cannot mutate splits/metrics/threshold methods/promotion rules,Experimenter cannot rewrite its own scoring rules,REQ-593;REQ-602,ADR-258;ADR-260,W18+
CHANGE-087,W17,WAVE_LEDGER/navigation still described W16 as NEXT after W16 completion,Refresh cumulative navigation to W17 complete / W18 next,Prevent fresh-session wrong-wave execution from stale presentation state,REQ-602,ADR-260,W18
CHANGE-088,W18,MLflow/Optuna were strong defaults but not yet current-validated,Keep MLflow Tracking and Optuna as selected replaceable adapters after current official-doc validation; core remains tool-neutral,Current local SQLite/Journal capabilities fit local-first requirements without server/cloud dependency,REQ-612;REQ-613,ADR-263;ADR-264,W19-W23
CHANGE-089,W18,Generic research queue could mutate its own scoring inputs,Hash-seal W17 judging-rule files and verify before execution/adoption,Experimenter cannot rewrite judging rules after seeing results,REQ-608;REQ-609,ADR-262,W18+
CHANGE-090,W18,Research adoption/promotion boundary was conceptual,Remove PROMOTE from research queue and require external promotion governor,Prevents self-promotion and protected feedback loops,REQ-627;REQ-628;REQ-629,ADR-273,W18+
CHANGE-091,W18,Advanced challengers were listed but could be run too early,Block expensive neural/sequence/graph execution until materialized baseline evidence and resource rationale exist,Complexity must earn its place; W17 has no trained baseline metrics yet,REQ-630;REQ-631;REQ-632,ADR-274,W20+
CHANGE-092,W18,W19 task could appear independently ready of W18 gate,Add explicit TASK-139 -> TASK-041 program-sequence dependency and make TASK-041 READY only after W18 clears,Preserves exact wave sequencing in machine-readable DAG,REQ-640,ADR-278,W19
CHANGE-093,W18,Codex work-packet queue carried only the first seven epic packets despite a 33-epic canonical plan,Reconstruct one stable Codex work packet for every EPIC-001 through EPIC-033 from the authoritative WBS and dependency DAG,Current backlog validator correctly exposed incomplete packet coverage; suppressing the check would hide a cumulative planning defect,REQ-640,ADR-278,W19-W25
CHANGE-094,W18,Treat thin first-pass W18 contract set as complete,Reject thin W18 draft and rebuild corrected W18 with full tournament/HPO/replay/worktree subsystems,Audit found master-scope omissions and several 7–20 line core docs,REQ-677;REQ-678;REQ-679;REQ-680,ADR-295;ADR-296,W19-W25
CHANGE-095,W18,Generic experiment queue implicitly covered feature search,"Create explicit target-specific feature tournament with eligibility, ablation, stability, cost and replay stages",Master W18 explicitly requires a feature tournament and W10 lifecycle needs a governed research path,REQ-641;REQ-642;REQ-643;REQ-644;REQ-645;REQ-646;REQ-647,ADR-279;ADR-280,W19-W23
CHANGE-096,W18,Generic challenger admission implicitly covered model comparison,"Create explicit model tournament with mandatory simple baselines, A&M no-adjustment baseline and market-lane isolation",Master W18 explicitly requires a model tournament and complexity must earn its place,REQ-648;REQ-649;REQ-650;REQ-651;REQ-652;REQ-653;REQ-654,ADR-281;ADR-282;ADR-283,W20-W23
CHANGE-097,W18,Optuna selection without first-class search-space/study governance,"Version HPO search spaces/studies and enforce development-only objectives, bounded budgets and safe storage",Prevents result-dependent search changes and protected-feedback leakage,REQ-655;REQ-656;REQ-657;REQ-658;REQ-659;REQ-660;REQ-661;REQ-662,ADR-284;ADR-285;ADR-286,W20-W23
CHANGE-098,W18,Hypotheses and result comparison were implicit in queue/result packet,"Add explicit hypothesis lifecycle, experiment deduplication and semantic comparison compatibility",Autonomous research needs falsifiable state/history and incompatible candidates must not be ranked,REQ-664;REQ-665;REQ-666;REQ-667;REQ-675;REQ-676,ADR-288;ADR-293;ADR-294,W19-W23
CHANGE-099,W18,Replay/worktree/artifact/resource policies were minimally specified,"Add artifact manifests, typed replay failures, protected worktree scopes and explicit resource/paid-compute policy",Makes reference execution reproducible and fail-closed,REQ-668;REQ-669;REQ-670;REQ-671;REQ-672;REQ-673;REQ-674,ADR-289;ADR-290;ADR-291;ADR-292,W19-W23
CHANGE-100,W18,Tool evidence recorded only high-level default choice,"Preserve MLflow/Optuna as replaceable adapters and document canonical mapping, local persistence and non-authority boundaries",Current official documentation supports local-first use without making tools governance truth,REQ-662;REQ-663,ADR-286;ADR-287,W19-W23
CHANGE-101,W18,Wave gate relied on narrative completion claims,Add machine-readable W18 master-requirement coverage matrix and dedicated tournament/HPO/replay tests,Prevents future scope omissions from being hidden by a passing generic validator,REQ-677;REQ-680,ADR-296,W19-W25
CHANGE-102,W18,Earlier corrected W18 treated six core W18 tasks as the completion set,Audit all W18-owned tasks and close TASK-164 advanced challenger admission,TASK-164 is owned by W18 and was still PLANNED,REQ-631;REQ-632,ADR-314,W19-W25
CHANGE-103,W18,Experiment metadata existed only as contracts/manifests,Add transactional local SQLite reference store with integrity checks,W19/W20 need executable local experiment lineage before real runs,REQ-681;REQ-691,ADR-297;ADR-307,W19-W23
CHANGE-104,W18,Queue governance lacked bounded scheduler/resource reference implementation,"Add resource admission, owner-wave/seal/lock/paid-compute gates",Local autonomous research needs enforceable resource boundaries,REQ-682;REQ-684;REQ-685,ADR-298;ADR-300;ADR-301,W19-W23
CHANGE-105,W18,Tournament comparison was primarily ranking-oriented,Add semantic compatibility and Pareto/multi-metric evidence preservation,Prevents false rankings across different splits/data/lanes and arbitrary scalarization,REQ-686;REQ-687,ADR-302;ADR-303,W20-W23
