requirement_id,title,primary_task,artifacts,tests_or_validator,status
REQ-613,Optuna is selected replaceable HPO default adapter,TASK-135,docs/81_HPO_STUDY_GOVERNANCE.md;docs/92_MLFLOW_ADAPTER.md;docs/93_OPTUNA_ADAPTER.md;src/aggie_analytics/experimentation/hpo.py;src/aggie_analytics/experimentation/hpo_engine.py,tests/test_hpo_governance.py;tests/test_hpo_engine_full.py;tests/test_local_tracker_full.py,COVERED_FULL_REFERENCE
REQ-614,Experiment governance core has no mandatory external service,TASK-135,docs/81_HPO_STUDY_GOVERNANCE.md;docs/92_MLFLOW_ADAPTER.md;docs/93_OPTUNA_ADAPTER.md;src/aggie_analytics/experimentation/hpo.py;src/aggie_analytics/experimentation/hpo_engine.py,tests/test_hpo_governance.py;tests/test_hpo_engine_full.py;tests/test_local_tracker_full.py,COVERED_FULL_REFERENCE
REQ-615,MLflow local SQLite is preferred initial metadata backend,TASK-135,docs/81_HPO_STUDY_GOVERNANCE.md;docs/92_MLFLOW_ADAPTER.md;docs/93_OPTUNA_ADAPTER.md;src/aggie_analytics/experimentation/hpo.py;src/aggie_analytics/experimentation/hpo_engine.py,tests/test_hpo_governance.py;tests/test_hpo_engine_full.py;tests/test_local_tracker_full.py,COVERED_FULL_REFERENCE
REQ-616,Optuna shared or distributed file workflows avoid SQLite,TASK-135,docs/81_HPO_STUDY_GOVERNANCE.md;docs/92_MLFLOW_ADAPTER.md;docs/93_OPTUNA_ADAPTER.md;src/aggie_analytics/experimentation/hpo.py;src/aggie_analytics/experimentation/hpo_engine.py,tests/test_hpo_governance.py;tests/test_hpo_engine_full.py;tests/test_local_tracker_full.py,COVERED_FULL_REFERENCE
REQ-617,Experiment queue transitions are append-only and role governed,TASK-136,docs/78_RESEARCH_QUEUE_SCHEDULER.md;docs/85_WORKTREE_ISOLATION.md;docs/90_LOCAL_RESOURCE_ORCHESTRATION.md;src/aggie_analytics/experimentation/queue.py;src/aggie_analytics/experimentation/scheduler.py;src/aggie_analytics/experimentation/locks.py,tests/test_experimentation_governance.py;tests/test_resource_scheduler_full.py;tests/test_locks_full.py,COVERED_FULL_REFERENCE
REQ-618,Experiments execute in isolated worktrees or immutable snapshots,TASK-136,docs/78_RESEARCH_QUEUE_SCHEDULER.md;docs/85_WORKTREE_ISOLATION.md;docs/90_LOCAL_RESOURCE_ORCHESTRATION.md;src/aggie_analytics/experimentation/queue.py;src/aggie_analytics/experimentation/scheduler.py;src/aggie_analytics/experimentation/locks.py,tests/test_experimentation_governance.py;tests/test_resource_scheduler_full.py;tests/test_locks_full.py,COVERED_FULL_REFERENCE
REQ-619,Experiment artifacts stay outside cumulative repo when large,TASK-136,docs/78_RESEARCH_QUEUE_SCHEDULER.md;docs/85_WORKTREE_ISOLATION.md;docs/90_LOCAL_RESOURCE_ORCHESTRATION.md;src/aggie_analytics/experimentation/queue.py;src/aggie_analytics/experimentation/scheduler.py;src/aggie_analytics/experimentation/locks.py,tests/test_experimentation_governance.py;tests/test_resource_scheduler_full.py;tests/test_locks_full.py,COVERED_FULL_REFERENCE
REQ-620,Negative and failed experiments are retained,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-621,Changed retry configuration creates a new experiment ID,TASK-136,docs/78_RESEARCH_QUEUE_SCHEDULER.md;docs/85_WORKTREE_ISOLATION.md;docs/90_LOCAL_RESOURCE_ORCHESTRATION.md;src/aggie_analytics/experimentation/queue.py;src/aggie_analytics/experimentation/scheduler.py;src/aggie_analytics/experimentation/locks.py,tests/test_experimentation_governance.py;tests/test_resource_scheduler_full.py;tests/test_locks_full.py,COVERED_FULL_REFERENCE
REQ-622,Experiment resource budgets and concurrency are explicit,TASK-136,docs/78_RESEARCH_QUEUE_SCHEDULER.md;docs/85_WORKTREE_ISOLATION.md;docs/90_LOCAL_RESOURCE_ORCHESTRATION.md;src/aggie_analytics/experimentation/queue.py;src/aggie_analytics/experimentation/scheduler.py;src/aggie_analytics/experimentation/locks.py,tests/test_experimentation_governance.py;tests/test_resource_scheduler_full.py;tests/test_locks_full.py,COVERED_FULL_REFERENCE
REQ-623,Paid remote compute requires explicit approval,TASK-136,docs/78_RESEARCH_QUEUE_SCHEDULER.md;docs/85_WORKTREE_ISOLATION.md;docs/90_LOCAL_RESOURCE_ORCHESTRATION.md;src/aggie_analytics/experimentation/queue.py;src/aggie_analytics/experimentation/scheduler.py;src/aggie_analytics/experimentation/locks.py,tests/test_experimentation_governance.py;tests/test_resource_scheduler_full.py;tests/test_locks_full.py,COVERED_FULL_REFERENCE
REQ-624,Result packets separate development from protected metrics,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-625,Replay is required before challenger adoption,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-626,Replay mismatch blocks or makes adoption inconclusive,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-627,Research adoption does not equal promotion,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-628,Research queue cannot emit PROMOTE,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-629,Champion state changes only through promotion governor,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-630,Advanced challengers require baseline empirical evidence,TASK-139,docs/94_W18_ACCEPTANCE_TRACEABILITY.md;docs/96_W18_OPERATOR_RUNBOOK.md;docs/99_FULL_REBUILD_AUDIT_METHOD.md;docs/100_W18_FULL_IMPLEMENTATION_INVENTORY.md;tools/validate_w18_full_rebuild.py,tests/test_w18_full_gate.py;tools/validate_experimentation.py;tools/validate_w18_full_rebuild.py,COVERED_FULL_REFERENCE
REQ-631,Advanced challengers require compute and maintenance rationale,TASK-139,docs/94_W18_ACCEPTANCE_TRACEABILITY.md;docs/96_W18_OPERATOR_RUNBOOK.md;docs/99_FULL_REBUILD_AUDIT_METHOD.md;docs/100_W18_FULL_IMPLEMENTATION_INVENTORY.md;tools/validate_w18_full_rebuild.py,tests/test_w18_full_gate.py;tools/validate_experimentation.py;tools/validate_w18_full_rebuild.py,COVERED_FULL_REFERENCE
REQ-632,Advanced challenger admission is research-only,TASK-139,docs/94_W18_ACCEPTANCE_TRACEABILITY.md;docs/96_W18_OPERATOR_RUNBOOK.md;docs/99_FULL_REBUILD_AUDIT_METHOD.md;docs/100_W18_FULL_IMPLEMENTATION_INVENTORY.md;tools/validate_w18_full_rebuild.py,tests/test_w18_full_gate.py;tools/validate_experimentation.py;tools/validate_w18_full_rebuild.py,COVERED_FULL_REFERENCE
REQ-633,LLM research proposals are untrusted proposals,TASK-139,docs/94_W18_ACCEPTANCE_TRACEABILITY.md;docs/96_W18_OPERATOR_RUNBOOK.md;docs/99_FULL_REBUILD_AUDIT_METHOD.md;docs/100_W18_FULL_IMPLEMENTATION_INVENTORY.md;tools/validate_w18_full_rebuild.py,tests/test_w18_full_gate.py;tools/validate_experimentation.py;tools/validate_w18_full_rebuild.py,COVERED_FULL_REFERENCE
REQ-634,Experiment tool decisions preserve official-source evidence,TASK-135,docs/81_HPO_STUDY_GOVERNANCE.md;docs/92_MLFLOW_ADAPTER.md;docs/93_OPTUNA_ADAPTER.md;src/aggie_analytics/experimentation/hpo.py;src/aggie_analytics/experimentation/hpo_engine.py,tests/test_hpo_governance.py;tests/test_hpo_engine_full.py;tests/test_local_tracker_full.py,COVERED_FULL_REFERENCE
REQ-635,W18 does not claim empirical experiment winners,TASK-139,docs/94_W18_ACCEPTANCE_TRACEABILITY.md;docs/96_W18_OPERATOR_RUNBOOK.md;docs/99_FULL_REBUILD_AUDIT_METHOD.md;docs/100_W18_FULL_IMPLEMENTATION_INVENTORY.md;tools/validate_w18_full_rebuild.py,tests/test_w18_full_gate.py;tools/validate_experimentation.py;tools/validate_w18_full_rebuild.py,COVERED_FULL_REFERENCE
REQ-636,W18 research governance gate enables W19 implementation,TASK-139,docs/94_W18_ACCEPTANCE_TRACEABILITY.md;docs/96_W18_OPERATOR_RUNBOOK.md;docs/99_FULL_REBUILD_AUDIT_METHOD.md;docs/100_W18_FULL_IMPLEMENTATION_INVENTORY.md;tools/validate_w18_full_rebuild.py,tests/test_w18_full_gate.py;tools/validate_experimentation.py;tools/validate_w18_full_rebuild.py,COVERED_FULL_REFERENCE
REQ-637,Advanced challenger results cannot redefine W17 scorecards,TASK-139,docs/94_W18_ACCEPTANCE_TRACEABILITY.md;docs/96_W18_OPERATOR_RUNBOOK.md;docs/99_FULL_REBUILD_AUDIT_METHOD.md;docs/100_W18_FULL_IMPLEMENTATION_INVENTORY.md;tools/validate_w18_full_rebuild.py,tests/test_w18_full_gate.py;tools/validate_experimentation.py;tools/validate_w18_full_rebuild.py,COVERED_FULL_REFERENCE
REQ-638,Protected result records are one-way governance evidence,TASK-139,docs/94_W18_ACCEPTANCE_TRACEABILITY.md;docs/96_W18_OPERATOR_RUNBOOK.md;docs/99_FULL_REBUILD_AUDIT_METHOD.md;docs/100_W18_FULL_IMPLEMENTATION_INVENTORY.md;tools/validate_w18_full_rebuild.py,tests/test_w18_full_gate.py;tools/validate_experimentation.py;tools/validate_w18_full_rebuild.py,COVERED_FULL_REFERENCE
REQ-639,Experiment lineage preserves negative-result search history,TASK-139,docs/94_W18_ACCEPTANCE_TRACEABILITY.md;docs/96_W18_OPERATOR_RUNBOOK.md;docs/99_FULL_REBUILD_AUDIT_METHOD.md;docs/100_W18_FULL_IMPLEMENTATION_INVENTORY.md;tools/validate_w18_full_rebuild.py,tests/test_w18_full_gate.py;tools/validate_experimentation.py;tools/validate_w18_full_rebuild.py,COVERED_FULL_REFERENCE
REQ-640,Research queue cannot use idle capacity to violate wave ownership,TASK-139,docs/94_W18_ACCEPTANCE_TRACEABILITY.md;docs/96_W18_OPERATOR_RUNBOOK.md;docs/99_FULL_REBUILD_AUDIT_METHOD.md;docs/100_W18_FULL_IMPLEMENTATION_INVENTORY.md;tools/validate_w18_full_rebuild.py,tests/test_w18_full_gate.py;tools/validate_experimentation.py;tools/validate_w18_full_rebuild.py,COVERED_FULL_REFERENCE
REQ-641,Feature tournament is a first-class governed subsystem,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-642,Feature tournament admits only PIT-safe eligible candidates,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-643,Feature tournament baseline is frozen before comparison,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-644,Feature tournament requires family ablation evidence,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-645,Feature tournament requires temporal/subgroup stability evidence,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-646,Feature tournament cannot directly promote lifecycle state,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-647,Feature tournament retains search multiplicity history,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-648,Model tournament is a first-class governed subsystem,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-649,Model tournament requires simple baseline ladder,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-650,A&M model tournament retains no-adjustment comparator,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
REQ-651,Market model tournament preserves lane isolation,TASK-138,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;docs/80_MODEL_TOURNAMENT_PROTOCOL.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md;docs/84_REPLAY_ENGINE.md;docs/86_ARTIFACT_RETENTION.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;docs/88_CHALLENGER_ADOPTION.md;src/aggie_analytics/experimentation/feature_tournament.py;src/aggie_analytics/experimentation/model_tournament.py;src/aggie_analytics/experimentation/replay_engine.py;src/aggie_analytics/experimentation/artifacts_v2.py,tests/test_feature_tournament_full.py;tests/test_model_tournament_full.py;tests/test_replay_engine_full.py;tests/test_artifact_policy_full.py;tests/test_result_comparison_full.py,COVERED_FULL_REFERENCE
