raw_field_id,source_id,source,dataset_or_model,field_path,grain,documented_type,observed_type,description,feature_family,raw_temporal_class,normalized_temporal_class,usage_class,leakage_review,classification_origin,classification_preserved,population_missingness_status,sample_missingness_name_match_count,sample_missingness_caveat,join_role,handoff_state,w10_candidate_experiment_allowed,pit_gateway_required,source_access_priority,source_license_status,source_redistribution_status,notes
RF-000011,SRC-001,SportsDataverse,play_by_play,teamParticipants,one row per play,list,UNMATERIALIZED_OR_NOT_SCANNED,"List of participant objects ({team $ref, id, order, type=offense/defense}).",identity_metadata,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,JOIN_OR_METADATA,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,0,NO_DIRECT_SAMPLE_EVIDENCE_LINKED,JOIN_OR_METADATA,EVIDENCE_OR_METADATA_ONLY,false,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000012,SRC-001,SportsDataverse,play_by_play,isPenalty,one row per play,logical,UNMATERIALIZED_OR_NOT_SCANNED,TRUE if ESPN classifies the play as a penalty.,penalties,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000013,SRC-001,SportsDataverse,play_by_play,statYardage,one row per play,integer,UNMATERIALIZED_OR_NOT_SCANNED,ESPN stat yardage for the play.,situational_field_position,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000014,SRC-001,SportsDataverse,play_by_play,isTurnover,one row per play,logical,UNMATERIALIZED_OR_NOT_SCANNED,TRUE if ESPN classifies the play as a turnover.,turnovers,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000015,SRC-001,SportsDataverse,play_by_play,type.id,one row per play,character,UNMATERIALIZED_OR_NOT_SCANNED,ESPN play-type id code.,other,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000016,SRC-001,SportsDataverse,play_by_play,type.text,one row per play,character,UNMATERIALIZED_OR_NOT_SCANNED,"ESPN play-type label (e.g. ""Rush"", ""Pass Reception"", ""Field Goal Good"").",other,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000017,SRC-001,SportsDataverse,play_by_play,type.abbreviation,one row per play,character,UNMATERIALIZED_OR_NOT_SCANNED,ESPN play-type abbreviation (sparse/null on many plays).,identity_metadata,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,JOIN_OR_METADATA,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,JOIN_OR_METADATA,EVIDENCE_OR_METADATA_ONLY,false,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000018,SRC-001,SportsDataverse,play_by_play,period.number,one row per play,integer,UNMATERIALIZED_OR_NOT_SCANNED,Quarter/period number of the play.,game_state_tempo_clock,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000019,SRC-001,SportsDataverse,play_by_play,clock.displayValue,one row per play,character,UNMATERIALIZED_OR_NOT_SCANNED,"Game clock at play start, MM:SS display string.",game_state_tempo_clock,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000020,SRC-001,SportsDataverse,play_by_play,start.down,one row per play,integer,UNMATERIALIZED_OR_NOT_SCANNED,Down at the start of the play.,situational_field_position,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000021,SRC-001,SportsDataverse,play_by_play,start.distance,one row per play,integer,UNMATERIALIZED_OR_NOT_SCANNED,Yards to go for a first down at play start.,situational_field_position,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000022,SRC-001,SportsDataverse,play_by_play,start.yardLine,one row per play,integer,UNMATERIALIZED_OR_NOT_SCANNED,Yard line (ESPN 0-100 field) at play start.,situational_field_position,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000023,SRC-001,SportsDataverse,play_by_play,start.yardsToEndzone,one row per play,integer,UNMATERIALIZED_OR_NOT_SCANNED,Yards to the opponent end zone at play start.,situational_field_position,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000024,SRC-001,SportsDataverse,play_by_play,start.downDistanceText,one row per play,character,UNMATERIALIZED_OR_NOT_SCANNED,"Down-and-distance text at play start (e.g. ""1st & 10""); null on non-scrimmage plays.",situational_field_position,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,0,NO_DIRECT_SAMPLE_EVIDENCE_LINKED,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000025,SRC-001,SportsDataverse,play_by_play,start.shortDownDistanceText,one row per play,character,UNMATERIALIZED_OR_NOT_SCANNED,Abbreviated down-and-distance text at play start; null on non-scrimmage plays.,situational_field_position,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,0,NO_DIRECT_SAMPLE_EVIDENCE_LINKED,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000026,SRC-001,SportsDataverse,play_by_play,start.possessionText,one row per play,character,UNMATERIALIZED_OR_NOT_SCANNED,Field-position possession text at play start; null on non-scrimmage plays.,other,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,0,NO_DIRECT_SAMPLE_EVIDENCE_LINKED,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000027,SRC-001,SportsDataverse,play_by_play,start.team.id,one row per play,integer,UNMATERIALIZED_OR_NOT_SCANNED,ESPN team id in possession reported at play start.,identity_metadata,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,JOIN_OR_METADATA,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,JOIN_OR_METADATA,EVIDENCE_OR_METADATA_ONLY,false,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000028,SRC-001,SportsDataverse,play_by_play,end.down,one row per play,integer,UNMATERIALIZED_OR_NOT_SCANNED,Down at the end of the play.,situational_field_position,HISTORICAL_GAME_OUTPUT_USE_VIA_PRIOR_GAME_AGGREGATION,HISTORICAL_AGGREGATE_ONLY,CANDIDATE_OR_DERIVED,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,PIT_HISTORICAL_AGGREGATION_INPUT,true,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000029,SRC-001,SportsDataverse,play_by_play,end.distance,one row per play,integer,UNMATERIALIZED_OR_NOT_SCANNED,Yards to go for a first down at play end.,situational_field_position,CURRENT_GAME_POSTSTART_NOT_DIRECT_PREGAME,CURRENT_GAME_OR_POSTGAME_NOT_DIRECT_PREGAME,HISTORICAL_TRANSFORM_ONLY,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,HISTORICAL_OR_LIVE_DERIVATION_ONLY,false,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000030,SRC-001,SportsDataverse,play_by_play,end.yardLine,one row per play,integer,UNMATERIALIZED_OR_NOT_SCANNED,Yard line at play end.,situational_field_position,CURRENT_GAME_POSTSTART_NOT_DIRECT_PREGAME,CURRENT_GAME_OR_POSTGAME_NOT_DIRECT_PREGAME,HISTORICAL_TRANSFORM_ONLY,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,HISTORICAL_OR_LIVE_DERIVATION_ONLY,false,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000031,SRC-001,SportsDataverse,play_by_play,end.yardsToEndzone,one row per play,integer,UNMATERIALIZED_OR_NOT_SCANNED,Yards to the opponent end zone at play end.,situational_field_position,CURRENT_GAME_POSTSTART_NOT_DIRECT_PREGAME,CURRENT_GAME_OR_POSTGAME_NOT_DIRECT_PREGAME,HISTORICAL_TRANSFORM_ONLY,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,1,NAME_MATCH_ONLY_NOT_POPULATION_EVIDENCE,NON_JOIN_OR_REVIEW,HISTORICAL_OR_LIVE_DERIVATION_ONLY,false,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000032,SRC-001,SportsDataverse,play_by_play,end.downDistanceText,one row per play,character,UNMATERIALIZED_OR_NOT_SCANNED,Down-and-distance text at play end; null on non-scrimmage plays.,situational_field_position,CURRENT_GAME_POSTSTART_NOT_DIRECT_PREGAME,CURRENT_GAME_OR_POSTGAME_NOT_DIRECT_PREGAME,HISTORICAL_TRANSFORM_ONLY,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,0,NO_DIRECT_SAMPLE_EVIDENCE_LINKED,NON_JOIN_OR_REVIEW,HISTORICAL_OR_LIVE_DERIVATION_ONLY,false,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
RF-000033,SRC-001,SportsDataverse,play_by_play,end.shortDownDistanceText,one row per play,character,UNMATERIALIZED_OR_NOT_SCANNED,Abbreviated down-and-distance text at play end; null on non-scrimmage plays.,situational_field_position,CURRENT_GAME_POSTSTART_NOT_DIRECT_PREGAME,CURRENT_GAME_OR_POSTGAME_NOT_DIRECT_PREGAME,HISTORICAL_TRANSFORM_ONLY,REQUIRED,RECON_UNIFIED_TEMPORAL_FIELD_REGISTRY_v1.2,true,UNMEASURED_UNTIL_SOURCE_MATERIALIZATION,0,NO_DIRECT_SAMPLE_EVIDENCE_LINKED,NON_JOIN_OR_REVIEW,HISTORICAL_OR_LIVE_DERIVATION_ONLY,false,true,PRIMARY,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,W09 raw-field metadata only; no production feature adoption.
