task_id,phase_id,epic_id,owner_wave,title,task_type,priority,complexity_class,execution_lane,status,depends_on,requirement_ids,acceptance_control_ids,outputs,mutation_scope,replan_gate,critical_dependency_gate,notes
TASK-011,PHASE-1,EPIC-002,W07,Evaluate DuckDB/Parquet versus relational transaction need,ARCHITECTURE_DECISION,MUST,C4,SHARED_CONTRACT,DONE,TASK-007;TASK-006,REQ-168;REQ-281,AC-055;AC-056;AC-066,docs/17_ENTITY_STORAGE_EVALUATION.md; governance/ENTITY_STORAGE_DECISION_MATRIX.csv; ADR-097,,W06_REPLAN,NO,PostgreSQL deferred for current single-writer append-only workflow; W19 benchmark/reopen gate retained.
TASK-012,PHASE-1,EPIC-002,W07,Freeze canonical identity contracts and acceptance evidence plan,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-010;TASK-011,REQ-037;REQ-038;REQ-040;REQ-049;REQ-058;REQ-062;REQ-155;REQ-159;REQ-168;REQ-196;REQ-232;REQ-233;REQ-261;REQ-262;REQ-263;REQ-264;REQ-265;REQ-266;REQ-267;REQ-268;REQ-269;REQ-270;REQ-271;REQ-272;REQ-273;REQ-274;REQ-275;REQ-276;REQ-277;REQ-278;REQ-279;REQ-280;REQ-281;REQ-282,AC-010;AC-017;AC-055;AC-056;AC-061;AC-062;AC-063;AC-064;AC-065;AC-066,W07 canonical identity contract baseline; entity validator; acceptance mappings; W08 handoff,,W06_REPLAN,YES,W07 protected gate complete; W08 may rely on identity/evidence layer contracts.
TASK-013,PHASE-1,EPIC-003,W08,Define observation/effective/known-at temporal contract,DESIGN,MUST,C5,SHARED_CONTRACT,DONE,TASK-012,REQ-059;REQ-232;REQ-233;REQ-283;REQ-284;REQ-285;REQ-286;REQ-287;REQ-309;REQ-310,AC-011;AC-055;AC-056;AC-067;AC-068,PIT observation schema and temporal semantics,,W06_REPLAN,NO,First W08 task; W07 identity gate TASK-012 is complete.;Completed W08 contract + synthetic evidence
TASK-014,PHASE-1,EPIC-003,W08,Define temporal join and as-of query interfaces,DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-013,REQ-059;REQ-232;REQ-233;REQ-288;REQ-289;REQ-290;REQ-295,AC-011;AC-055;AC-056;AC-069,as-of access API; eligibility rules,,W06_REPLAN,NO,Completed W08 contract + synthetic evidence
TASK-015,PHASE-1,EPIC-003,W08,Specify market/weather/availability snapshot semantics,DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-013,REQ-059;REQ-232;REQ-233;REQ-296;REQ-297;REQ-303;REQ-304;REQ-305,AC-011;AC-055;AC-056;AC-072,snapshot policy by mutable source domain,,W06_REPLAN,NO,Completed W08 contract + synthetic evidence
TASK-016,PHASE-1,EPIC-003,W08,Implement leakage/PIT synthetic test fixtures and battery,IMPLEMENTATION,MUST,C5,PROTECTED_GATE,DONE,TASK-014;TASK-015,REQ-059;REQ-232;REQ-233;REQ-291;REQ-292;REQ-306;REQ-308,AC-011;AC-055;AC-056;AC-069;AC-070;AC-071;AC-072;AC-073;AC-075,PIT test fixtures; leakage battery,,W06_REPLAN,NO,Completed W08 contract + synthetic evidence
TASK-017,PHASE-1,EPIC-003,W08,Define forecast/training cutoff provenance and replay contract,DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-014,REQ-059;REQ-232;REQ-233;REQ-293;REQ-294;REQ-311;REQ-312,AC-011;AC-055;AC-056;AC-068;AC-074;AC-076,cutoff lineage/replay contract,,W06_REPLAN,NO,Completed W08 contract + synthetic evidence
TASK-018,PHASE-1,EPIC-003,W08,Freeze PIT gateway as mandatory feature-entry boundary,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-016;TASK-017,REQ-039;REQ-041;REQ-042;REQ-044;REQ-059;REQ-091;REQ-156;REQ-158;REQ-191;REQ-199;REQ-232;REQ-233;REQ-307,AC-011;AC-012;AC-013;AC-014;AC-015;AC-055;AC-056;AC-067;AC-073;AC-074;AC-075;AC-076,accepted PIT interface; passing protected PIT controls,,W06_REPLAN,YES,Completed W08 contract + synthetic evidence
TASK-019,PHASE-1,EPIC-004,W09,Ingest recon/W06 schema inventories into registry staging,IMPLEMENTATION,MUST,C3,SOLO_WORKTREE,DONE,TASK-018,REQ-051;REQ-232;REQ-233;REQ-313;REQ-314;REQ-315;REQ-316;REQ-317,AC-009;AC-055;AC-056;AC-077;AC-078,registry staging imports,,W06_REPLAN,NO,Completed W09; registry gate evidence in configs/raw_feature_registry.json and governance/RAW_FIELD_REGISTRY.csv.
TASK-020,PHASE-1,EPIC-004,W09,Implement automated schema/column scanner,IMPLEMENTATION,MUST,C3,SOLO_WORKTREE,DONE,TASK-019,REQ-051;REQ-232;REQ-233;REQ-318;REQ-319;REQ-320;REQ-321;REQ-322,AC-009;AC-055;AC-056;AC-079,schema scanner; field inventory generator,,W06_REPLAN,NO,Completed W09; registry gate evidence in configs/raw_feature_registry.json and governance/RAW_FIELD_REGISTRY.csv.
TASK-021,PHASE-1,EPIC-004,W09,"Assign temporal safety, lineage, missingness and join metadata",DATA_GOVERNANCE,MUST,C4,SHARED_CONTRACT,DONE,TASK-020,REQ-051;REQ-232;REQ-233;REQ-323;REQ-324;REQ-325;REQ-326;REQ-333;REQ-334;REQ-335;REQ-336;REQ-337,AC-009;AC-055;AC-056;AC-080;AC-081;AC-084,raw feature registry metadata,,W06_REPLAN,NO,Completed W09; registry gate evidence in configs/raw_feature_registry.json and governance/RAW_FIELD_REGISTRY.csv.
TASK-022,PHASE-1,EPIC-004,W09,Cluster redundancies and preserve verified prior classifications,DATA_GOVERNANCE,MUST,C3,SOLO_WORKTREE,DONE,TASK-021,REQ-051;REQ-232;REQ-233;REQ-327;REQ-328;REQ-329,AC-009;AC-055;AC-056;AC-082,redundancy clusters; reconciliation report,,W06_REPLAN,NO,Completed W09; registry gate evidence in configs/raw_feature_registry.json and governance/RAW_FIELD_REGISTRY.csv.
TASK-023,PHASE-1,EPIC-004,W09,Freeze registry schema and source-to-feature-candidate handoff,GATE,MUST,C4,PROTECTED_GATE,DONE,TASK-022,REQ-051;REQ-052;REQ-063;REQ-197;REQ-232;REQ-233;REQ-330;REQ-331;REQ-332;REQ-338;REQ-339;REQ-340,AC-009;AC-019;AC-055;AC-056;AC-083,feature-registry contract baseline,,W06_REPLAN,YES,Completed W09; registry gate evidence in configs/raw_feature_registry.json and governance/RAW_FIELD_REGISTRY.csv.
TASK-024,PHASE-1,EPIC-005,W10,Implement PIT-safe rolling/trend/recency transformation contracts,DESIGN_IMPLEMENTATION,MUST,C4,SOLO_WORKTREE,DONE,TASK-023,REQ-064;REQ-232;REQ-233;REQ-341;REQ-342;REQ-343;REQ-344;REQ-359,AC-021;AC-055;AC-056;AC-085;AC-086,feature transform library/contracts,,W06_REPLAN,NO,W10 contract/reference implementation complete; empirical feature value/promotion remains pending real-data chronological evaluation.
TASK-025,PHASE-1,EPIC-005,W10,Implement opponent-adjustment and matchup transformation framework,DESIGN_IMPLEMENTATION,MUST,C4,SOLO_WORKTREE,DONE,TASK-024,REQ-064;REQ-232;REQ-233;REQ-341;REQ-342;REQ-343;REQ-353;REQ-354,AC-021;AC-055;AC-056;AC-085;AC-091,opponent/matchup transform interfaces,,W06_REPLAN,NO,W10 contract/reference implementation complete; empirical feature value/promotion remains pending real-data chronological evaluation.
TASK-026,PHASE-1,EPIC-005,W10,Implement screening/redundancy/regularization evidence pipeline,IMPLEMENTATION,MUST,C4,SOLO_WORKTREE,DONE,TASK-024,REQ-064;REQ-232;REQ-233;REQ-345;REQ-346;REQ-347;REQ-348;REQ-349;REQ-361;REQ-362,AC-021;AC-055;AC-056;AC-087,screening reports; selection evidence,,W06_REPLAN,NO,W10 contract/reference implementation complete; empirical feature value/promotion remains pending real-data chronological evaluation.
TASK-027,PHASE-1,EPIC-005,W10,Implement feature-family ablation and temporal stability tests,IMPLEMENTATION,MUST,C5,PROTECTED_GATE,DONE,TASK-025;TASK-026,REQ-064;REQ-232;REQ-233;REQ-350;REQ-351;REQ-352;REQ-358,AC-021;AC-055;AC-056;AC-088,family ablation/stability evidence,,W06_REPLAN,NO,W10 contract/reference implementation complete; empirical feature value/promotion remains pending real-data chronological evaluation.
TASK-028,PHASE-1,EPIC-005,W10,Implement feature lifecycle promotion/demotion registry,GOVERNANCE_IMPLEMENTATION,MUST,C4,SHARED_CONTRACT,DONE,TASK-027,REQ-064;REQ-232;REQ-233;REQ-353;REQ-354;REQ-355;REQ-356;REQ-357;REQ-359,AC-021;AC-055;AC-056;AC-089;AC-090;AC-091,CORE/SUPPORTED/CONDITIONAL/EXPERIMENTAL/REJECTED/BANNED transitions,,W06_REPLAN,NO,W10 contract/reference implementation complete; empirical feature value/promotion remains pending real-data chronological evaluation.
TASK-029,PHASE-1,EPIC-005,W10,Freeze target-specific feature lifecycle gate,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-028,REQ-064;REQ-065;REQ-066;REQ-232;REQ-233;REQ-350;REQ-351;REQ-352;REQ-353;REQ-355;REQ-358;REQ-360,AC-021;AC-055;AC-056;AC-088;AC-089;AC-090;AC-092,approved feature lifecycle contract and evidence rules,,W06_REPLAN,YES,W10 contract/reference implementation complete; empirical feature value/promotion remains pending real-data chronological evaluation.
TASK-030,PHASE-1,EPIC-006,W11,Define latent/available team-strength state interface,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-029,REQ-023;REQ-232;REQ-233;REQ-363;REQ-364;REQ-365;REQ-366;REQ-385;REQ-386,AC-021;AC-055;AC-056;AC-093;AC-094,team state contract,,W06_REPLAN,NO,W10 feature lifecycle gate cleared; W11 may begin team-state design without treating W10 candidates as production-approved features. W11 contract/reference output completed; real empirical selection remains later evidence.
TASK-031,PHASE-1,EPIC-006,W11,Build Week-1 priors and early-season blending candidates,EXPERIMENT_DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-030,REQ-023;REQ-232;REQ-233;REQ-367;REQ-368;REQ-369;REQ-370;REQ-371,AC-021;AC-055;AC-056;AC-095,early-season prior/blending candidates,,W06_REPLAN,NO,W11 contract/reference output completed; real empirical selection remains later evidence.
TASK-032,PHASE-1,EPIC-006,W11,Build recency/regime/change-point candidate framework,EXPERIMENT_DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-030,REQ-023;REQ-232;REQ-233;REQ-372;REQ-373;REQ-374;REQ-375;REQ-376;REQ-377,AC-021;AC-055;AC-056;AC-096;AC-097,historical weighting candidates,,W06_REPLAN,NO,W11 contract/reference output completed; real empirical selection remains later evidence.
TASK-033,PHASE-1,EPIC-006,W11,Build FBS/FCS/lower-division strength translation hierarchy,DESIGN_IMPLEMENTATION,MUST,C4,SOLO_WORKTREE,DONE,TASK-030,REQ-023;REQ-232;REQ-233;REQ-378;REQ-379;REQ-380;REQ-381;REQ-382;REQ-383;REQ-384;REQ-385,AC-021;AC-055;AC-056;AC-098;AC-099,opponent hierarchy and uncertainty contract,,W06_REPLAN,NO,W11 contract/reference output completed; real empirical selection remains later evidence.
TASK-034,PHASE-1,EPIC-006,W11,Evaluate team-state alternatives through chronological evidence,VALIDATION,MUST,C5,PROTECTED_GATE,DONE,TASK-031;TASK-032;TASK-033,REQ-023;REQ-232;REQ-233;REQ-369;REQ-370;REQ-373;REQ-374;REQ-375;REQ-383;REQ-385;REQ-386;REQ-387;REQ-388,AC-021;AC-055;AC-056;AC-095;AC-096;AC-097;AC-099;AC-100;AC-101,team-state comparison report,,W06_REPLAN,NO,W11 contract/reference output completed; real empirical selection remains later evidence.
TASK-035,PHASE-1,EPIC-006,W11,Freeze team-state/early-season interface for downstream intelligence,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-034,REQ-023;REQ-070;REQ-071;REQ-232;REQ-233;REQ-363;REQ-364;REQ-366;REQ-372;REQ-378;REQ-387;REQ-388,AC-021;AC-023;AC-055;AC-056;AC-093;AC-094;AC-100;AC-101,team-state baseline contract,,W06_REPLAN,YES,W11 contract/reference output completed; real empirical selection remains later evidence.
TASK-036,PHASE-1,EPIC-007,W16,Define Elo/logistic/simple score baseline contracts,DESIGN,MUST,C3,SOLO_WORKTREE,DONE,TASK-035,REQ-106;REQ-232;REQ-233,AC-022;AC-055;AC-056,baseline candidate contracts + reference formulas,,W06_REPLAN,NO,W16 contract/reference only; actual trained implementation/results are not claimed.
TASK-037,PHASE-1,EPIC-007,W16,Define boosted-tree baseline candidate contract,DESIGN,MUST,C3,SOLO_WORKTREE,DONE,TASK-036,REQ-106;REQ-232;REQ-233,AC-022;AC-055;AC-056,boosted-tree candidate interface (XGBoost/LightGBM/CatBoost alternatives),,W06_REPLAN,NO,No boosted-tree library or empirical winner selected in W16; W20 owns starter implementation.
TASK-038,PHASE-1,EPIC-007,W16,Define baseline probability calibration interface,DESIGN,MUST,C3,SOLO_WORKTREE,DONE,TASK-036,REQ-106;REQ-232;REQ-233,AC-022;AC-055;AC-056,versioned calibration artifact/interface contract,,W06_REPLAN,NO,W17 owns calibration protocol; W20 owns starter implementation. W16 completed at contract/reference maturity; no empirical performance claim.
TASK-039,PHASE-1,EPIC-007,W17,Freeze protected baseline benchmark protocol,VALIDATION_DESIGN,MUST,C5,PROTECTED_GATE,DONE,TASK-037;TASK-038;TASK-129,REQ-106;REQ-232;REQ-233;REQ-587;REQ-588,AC-022;AC-055;AC-056;AC-171,protected baseline benchmark protocol; mandatory comparator registry; no empirical result required,,W06_REPLAN,NO,W17 freezes comparator protocol only; trained baseline evidence requires materialized W19/W20 artifacts.
TASK-040,PHASE-1,EPIC-007,W17,Freeze minimum baseline comparison bar methodology,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-039,REQ-106;REQ-232;REQ-233;REQ-587,AC-022;AC-023;AC-025;AC-055;AC-056;AC-171,baseline comparison decision method; numeric deltas remain pending development evidence,,W06_REPLAN,YES,No protected/trained benchmark values are fabricated in W17.
TASK-041,PHASE-1,EPIC-008,W19,Implement approved source-adapter and raw snapshot starters,IMPLEMENTATION,MUST,C4,SOLO_WORKTREE,DONE,TASK-006;TASK-018;TASK-139,REQ-058;REQ-232;REQ-233,AC-008;AC-055;AC-056,source adapter starters; raw snapshot writer,,W06_REPLAN,NO,First READY W19 task after W18 governance gate; owner-wave sequencing still applies. Completed W19 functional starter; no empirical model/feature claims.
TASK-042,PHASE-1,EPIC-008,W19,Implement canonical/entity-resolution starter,IMPLEMENTATION,MUST,C4,SOLO_WORKTREE,DONE,TASK-012;TASK-041,REQ-058;REQ-232;REQ-233,AC-008;AC-055;AC-056,entity mapping/resolution starter,,W06_REPLAN,NO,Completed W19 functional starter; no empirical model/feature claims.
TASK-043,PHASE-1,EPIC-008,W19,Implement PIT state and lineage starter,IMPLEMENTATION,MUST,C5,PROTECTED_GATE,DONE,TASK-018;TASK-042,REQ-058;REQ-232;REQ-233,AC-008;AC-055;AC-056,as-of state builder; lineage artifacts,,W06_REPLAN,NO,Completed W19 functional starter; no empirical model/feature claims.
TASK-044,PHASE-1,EPIC-008,W19,Implement feature registry/factory starter,IMPLEMENTATION,MUST,C4,SOLO_WORKTREE,DONE,TASK-023;TASK-029;TASK-043,REQ-058;REQ-232;REQ-233,AC-008;AC-055;AC-056,feature registry/factory,,W06_REPLAN,NO,Completed W19 functional starter; no empirical model/feature claims.
TASK-045,PHASE-1,EPIC-008,W19,Create synthetic end-to-end foundation fixture,INTEGRATION_TEST,MUST,C4,SOLO_WORKTREE,DONE,TASK-044,REQ-058;REQ-232;REQ-233,AC-008;AC-055;AC-056,synthetic source→PIT→feature replay fixture,,W06_REPLAN,NO,Completed W19 functional starter; no empirical model/feature claims.
TASK-046,PHASE-1,EPIC-008,W19,Pass foundation implementation gate,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-045,REQ-053;REQ-055;REQ-058;REQ-124;REQ-155;REQ-156;REQ-167;REQ-200;REQ-201;REQ-202;REQ-232;REQ-233,AC-008;AC-010;AC-011;AC-016;AC-019;AC-020;AC-036;AC-055;AC-056,validated functional foundation starter,,W06_REPLAN,YES,Completed W19 functional starter; no empirical model/feature claims.
TASK-047,PHASE-2,EPIC-009,W12,Define player/roster/depth effective-dated state contracts,DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-035;TASK-018,REQ-072;REQ-232;REQ-233;REQ-389;REQ-390;REQ-391;REQ-392;REQ-393,AC-015;AC-055;AC-056;AC-102,player and depth state contracts,,W06_REPLAN,NO,W11 team-state gate cleared; W12 may begin player/roster/depth contracts.;Completed W12 contract/reference scope; no empirical winner implied.
TASK-048,PHASE-2,EPIC-009,W12,Define position-aware player-value evidence interfaces,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-047,REQ-072;REQ-232;REQ-233;REQ-394;REQ-395;REQ-420,AC-015;AC-055;AC-056;AC-103;AC-112,player value input/output contract,,W06_REPLAN,NO,Completed W12 contract/reference scope; no empirical winner implied.
TASK-049,PHASE-2,EPIC-009,W12,Define availability probability/effectiveness/usage representation,DESIGN,MUST,C5,SHARED_CONTRACT,DONE,TASK-047,REQ-072;REQ-232;REQ-233;REQ-396;REQ-397;REQ-398;REQ-399;REQ-400,AC-015;AC-055;AC-056;AC-104,availability state contract,,W06_REPLAN,NO,Completed W12 contract/reference scope; no empirical winner implied.
TASK-050,PHASE-2,EPIC-009,W12,Define replacement-player and depth uncertainty mechanics,DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-048;TASK-049,REQ-072;REQ-232;REQ-233;REQ-401;REQ-402;REQ-403;REQ-404,AC-015;AC-055;AC-056;AC-105,replacement value/uncertainty contract,,W06_REPLAN,NO,Completed W12 contract/reference scope; no empirical winner implied.
TASK-051,PHASE-2,EPIC-009,W12,Design sparse/ambiguous injury evidence confidence rules,DATA_GOVERNANCE,MUST,C5,SOLO_WORKTREE,DONE,TASK-049,REQ-072;REQ-232;REQ-233;REQ-399;REQ-400,AC-015;AC-055;AC-056;AC-106,injury evidence confidence/missingness policy,,W06_REPLAN,NO,Completed W12 contract/reference scope; no empirical winner implied.
TASK-052,PHASE-2,EPIC-009,W12,Freeze player/availability downstream interface,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-050;TASK-051,REQ-031;REQ-037;REQ-045;REQ-046;REQ-047;REQ-069;REQ-071;REQ-072;REQ-073;REQ-074;REQ-075;REQ-087;REQ-110;REQ-116;REQ-232;REQ-233;REQ-389;REQ-394;REQ-396;REQ-401;REQ-403;REQ-404;REQ-420,AC-015;AC-019;AC-055;AC-056;AC-102;AC-103;AC-104;AC-105;AC-106;AC-112,player/availability interface baseline,,W06_REPLAN,YES,Completed W12 contract/reference scope; no empirical winner implied.
TASK-053,PHASE-2,EPIC-010,W12,Define recruiting/prospect prior contracts,DESIGN,MUST,C3,SOLO_WORKTREE,DONE,TASK-047,REQ-074;REQ-232;REQ-233;REQ-405;REQ-406,AC-015;AC-055;AC-056;AC-107,recruiting and freshman prior schema,,W06_REPLAN,NO,Completed W12 contract/reference scope; no empirical winner implied.
TASK-054,PHASE-2,EPIC-010,W12,Define transfer episode and same-player identity contract,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-047;TASK-012,REQ-074;REQ-232;REQ-233;REQ-407;REQ-408;REQ-419,AC-015;AC-055;AC-056;AC-108;AC-111,transfer episode schema,,W06_REPLAN,NO,Completed W12 contract/reference scope; no empirical winner implied.
TASK-055,PHASE-2,EPIC-010,W12,Build historical transfer translation training design,EXPERIMENT_DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-053;TASK-054,REQ-074;REQ-232;REQ-233;REQ-409;REQ-410;REQ-411;REQ-412;REQ-421,AC-015;AC-055;AC-056;AC-108;AC-112,position-aware translation experiment plan,,W06_REPLAN,NO,Completed W12 contract/reference scope; no empirical winner implied.
TASK-056,PHASE-2,EPIC-010,W12,Add preseason-honor and lagged draft-development candidate lanes,RESEARCH_DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-053,REQ-074;REQ-232;REQ-233;REQ-413;REQ-414;REQ-415;REQ-416;REQ-421,AC-015;AC-055;AC-056;AC-109;AC-112,consensus/development candidate contracts,,W06_REPLAN,NO,Completed W12 contract/reference scope; no empirical winner implied.
TASK-057,PHASE-2,EPIC-010,W12,Define transfer/freshman uncertainty outputs,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-055;TASK-056,REQ-074;REQ-232;REQ-233;REQ-406;REQ-412,AC-015;AC-055;AC-056;AC-107;AC-108,translation uncertainty/usage outputs,,W06_REPLAN,NO,Completed W12 contract/reference scope; no empirical winner implied.
TASK-058,PHASE-2,EPIC-010,W12,Freeze advanced player-input contract,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-057;TASK-052,REQ-074;REQ-075;REQ-232;REQ-233;REQ-405;REQ-407;REQ-409;REQ-413;REQ-415;REQ-421,AC-015;AC-016;AC-019;AC-055;AC-056;AC-107;AC-108;AC-109;AC-112,transfer/recruiting/prospect interface baseline,,W06_REPLAN,YES,Completed W12 contract/reference scope; no empirical winner implied.
TASK-059,PHASE-2,EPIC-011,W13,Define coach/staff role-episode canonical contracts,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-012;TASK-018,REQ-076;REQ-232;REQ-233;REQ-422;REQ-423,AC-019;AC-055;AC-056;AC-113,effective-dated coach role schema,,W06_REPLAN,NO,W12 player/availability contract gate cleared; W13 may begin coach role-episode design. Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-060,PHASE-2,EPIC-011,W13,Define role-conditioned development residual framework,EXPERIMENT_DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-059;TASK-052,REQ-076;REQ-232;REQ-233;REQ-424,AC-019;AC-055;AC-056;AC-114,coach development candidate model contract,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-061,PHASE-2,EPIC-011,W13,Define scheme/play-caller/tendency evidence representation,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-059,REQ-076;REQ-232;REQ-233;REQ-427;REQ-428,AC-019;AC-055;AC-056;AC-115,scheme/tendency feature contract,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-062,PHASE-2,EPIC-011,W13,Define fourth-down/clock/halftime decision evidence candidates,EXPERIMENT_DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-061,REQ-076;REQ-232;REQ-233;REQ-429;REQ-430,AC-019;AC-055;AC-056;AC-114,decision-quality candidate features,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-063,PHASE-2,EPIC-011,W13,Design hierarchical pooling and confound controls,EXPERIMENT_DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-060;TASK-062,REQ-076;REQ-232;REQ-233;REQ-425,AC-019;AC-055;AC-056;AC-114,coach-effect evaluation specification,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
