dataset_registry_id,source_id,source,dataset_or_endpoint,family,grain,w06_schema_description,historical_coverage,w06_pit_note,inventory_provenance,w06_status,reconciled_raw_field_count,schema_status,schema_policy,notes,source_owner,source_url,source_access_method,source_authentication,source_cost,source_terms_or_license,source_redistribution,source_public_repo_suitability,source_rights_review_status,provenance_augmented_wave
DS-0012,SRC-001,SportsDataverse/cfbfastR-cfb-data,play_participants,sportsdataverse,"one row per (play, athlete, role)",reported columns=56,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,56,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0013,SRC-001,SportsDataverse/cfbfastR-cfb-data,drives,sportsdataverse,one row per drive,reported columns=15,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,15,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0014,SRC-001,SportsDataverse/cfbfastR-cfb-data,game_rosters,sportsdataverse,one row per rostered athlete per game,reported columns=70,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,70,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0015,SRC-001,SportsDataverse/cfbfastR-cfb-data,rosters,sportsdataverse,one row per rostered athlete per season,reported columns=~63 documented / 64 mechanically derived,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0016,SRC-001,SportsDataverse/cfbfastR-cfb-data,betting,sportsdataverse,one row per game,reported columns=9,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,9,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0017,SRC-001,SportsDataverse/cfbfastR-cfb-data,schedules,sportsdataverse,one row per game,reported columns=34,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,34,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0018,SRC-001,SportsDataverse/cfbfastR-cfb-data,linescores,sportsdataverse,"one row per (team, period)",reported columns=5,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,5,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0019,SRC-001,SportsDataverse/cfbfastR-cfb-data,power_index,sportsdataverse,one row per team per FPI stat (long),reported columns=22,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,22,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0020,SRC-001,SportsDataverse/cfbfastR-cfb-data,injuries,sportsdataverse,one row per injury entry,reported columns=12,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,12,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0021,SRC-001,SportsDataverse/cfbfastR-cfb-data,team_summaries,sportsdataverse,one row per team per season,reported columns=383,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0022,SRC-001,SportsDataverse/cfbfastR-cfb-data,passing,sportsdataverse,"one row per (team, passer) per season",reported columns=43,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0023,SRC-001,SportsDataverse/cfbfastR-cfb-data,rushing,sportsdataverse,"one row per (team, rusher) per season",reported columns=28,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0024,SRC-001,SportsDataverse/cfbfastR-cfb-data,receiving,sportsdataverse,"one row per (team, receiver) per season",reported columns=32,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0025,SRC-001,SportsDataverse/cfbfastR-cfb-data,percentiles,sportsdataverse,one row per percentile (1-99),reported columns=27,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0026,SRC-002,CollegeFootballData API,/wepa/players/passing,adjusted_metrics,PlayerWeightedEPA,Opponent-adjusted player passing; useful for player priors/matchups.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0027,SRC-002,CollegeFootballData API,/wepa/players/rushing,adjusted_metrics,PlayerWeightedEPA,Opponent-adjusted player rushing.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0028,SRC-002,CollegeFootballData API,/wepa/team/season,adjusted_metrics,AdjustedTeamMetrics,Opponent-adjusted team-season metrics; high-value source.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0029,SRC-002,CollegeFootballData API,/wepa/players/kicking,adjusted_metrics,KickerPAAR,Opponent/adjusted kicking value.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0030,SRC-002,CollegeFootballData API,/lines,betting,BettingGame,Pregame betting lines; timestamp/forecast-time discipline required.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0031,SRC-002,CollegeFootballData API,/coaches/profile,coaches,CoachProfile,Newer detailed coach profile surface in 5.22.0.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0032,SRC-002,CollegeFootballData API,/coaches/seasons,coaches,DetailedCoachSeason,Coach-season detail.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0033,SRC-002,CollegeFootballData API,/coaches/tenures,coaches,CoachTenure,Coach tenure history.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0034,SRC-002,CollegeFootballData API,/coaches,coaches,Coach,Head-coach history and seasons.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0035,SRC-002,CollegeFootballData API,/conferences,reference,Conference,Conference reference data.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0036,SRC-002,CollegeFootballData API,/draft/picks,draft,DraftPick,Player-development outcome/research.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0037,SRC-002,CollegeFootballData API,/draft/positions,draft,DraftPosition,Reference.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0038,SRC-002,CollegeFootballData API,/draft/teams,draft,DraftTeam,Reference.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0039,SRC-002,CollegeFootballData API,/drives,drives,Drive,Drive-level context / field position / possession modeling.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0040,SRC-002,CollegeFootballData API,/game/box/advanced,games,AdvancedBoxScore,Advanced per-game team/player summary.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0041,SRC-002,CollegeFootballData API,/calendar,games,CalendarWeek,Season-week boundaries.,endpoint-dependent,Endpoint/field-specific known-at review required,recon CFBD endpoint inventory + current Swagger revalidation,CONFIRMED_W06,0,SCHEMA_PENDING_MATERIALIZATION,DO_NOT_INVENT_FIELDS,,Rad Sports Analytics / CollegeFootballData,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
