redundancy_id,level,basis,domain_or_name,members,overlap_type,decision,semantic_merge_allowed,notes
RFRED-1002,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,athlete_id,RF-000407;RF-000779,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1003,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,athlete_name,RF-000380;RF-000408;RF-000918,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1004,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,attendance,RF-000889;RF-000938,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 2 source(s), 2 dataset/model(s)."
RFRED-1005,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,awayclassification,RF-000953;RF-001049,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1006,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,awayconference,RF-000952;RF-001048;RF-001089,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1007,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,awayscore,RF-000005;RF-001050,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 2 source(s), 2 dataset/model(s)."
RFRED-1008,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,awayteam,RF-000951;RF-001033;RF-001047;RF-001088,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"4 fields across 1 source(s), 4 dataset/model(s)."
RFRED-1009,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,awayteamid,RF-000071;RF-001046,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 2 source(s), 2 dataset/model(s)."
RFRED-1010,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,city,RF-001020;RF-001137,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1011,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,conference,RF-000984;RF-001062;RF-001066;RF-001076;RF-001109;RF-001127,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"6 fields across 1 source(s), 6 dataset/model(s)."
RFRED-1012,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,def_pos_team,RF-000164;RF-000591,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1013,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,description,RF-000763;RF-000914,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1014,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,display_name,RF-000787;RF-000910,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1015,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,early_down_pass,RF-000283;RF-000656,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1016,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,early_down_rush,RF-000284;RF-000661,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1017,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,elevation,RF-001144;RF-001151,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 2 source(s), 2 dataset/model(s)."
RFRED-1018,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa,RF-000308;RF-000546;RF-000567;RF-000582,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"4 fields across 1 source(s), 4 dataset/model(s)."
RFRED-1019,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_explosive,RF-000313;RF-000505,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1020,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_fg,RF-000339;RF-000471,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1021,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_kickoff,RF-000341;RF-000475,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1022,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_middle_8_success,RF-000334;RF-000671,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1023,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_middle_8_success_pass,RF-000335;RF-000676,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1024,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_middle_8_success_rush,RF-000336;RF-000681,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1025,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_non_explosive,RF-000314;RF-000503,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1026,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_penalty,RF-000337;RF-000464,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1027,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_per_play,RF-000502;RF-000547;RF-000568;RF-000583,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"4 fields across 1 source(s), 4 dataset/model(s)."
RFRED-1028,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_punt,RF-000340;RF-000473,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1029,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_sp,RF-000338;RF-000468,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1030,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_success,RF-000318;RF-000637,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1031,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_success_early_down,RF-000319;RF-000647,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1032,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_success_early_down_pass,RF-000320;RF-000659,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1033,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_success_early_down_rush,RF-000321;RF-000664,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1034,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_success_late_down,RF-000322;RF-000683,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1035,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_success_late_down_pass,RF-000323;RF-000684,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1036,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_success_late_down_rush,RF-000324;RF-000685,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1037,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_success_pass,RF-000327;RF-000639,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1038,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_success_passing_down,RF-000326;RF-000701,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1039,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_success_rush,RF-000328;RF-000641,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1040,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,epa_success_standard_down,RF-000325;RF-000696,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1041,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,firstname,RF-000964;RF-000998;RF-001103,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1042,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,fum,RF-000571;RF-000586,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1043,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,fum_lost,RF-000572;RF-000587,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1044,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,fumbles,RF-000425;RF-000598,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1045,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,fumbles_lost,RF-000399;RF-000426;RF-000611,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1046,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,fumbles_recovered,RF-000427;RF-000612,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1047,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,game_id,RF-000065;RF-000381;RF-000402;RF-000458;RF-000535;RF-000558;RF-000573;RF-000588;RF-000620;RF-000623;RF-000633;RF-000706;RF-000774;RF-000777;RF-000847;RF-000856;RF-000893;RF-000895;RF-000926,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"19 fields across 1 source(s), 19 dataset/model(s)."
RFRED-1048,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,height,RF-000792;RF-000967;RF-001016,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 2 source(s), 3 dataset/model(s)."
RFRED-1049,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,home_away,RF-000386;RF-000807,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1050,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,homeclassification,RF-000944;RF-001044,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1051,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,homeconference,RF-000943;RF-001043;RF-001087,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1052,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,homescore,RF-000006;RF-001045,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 2 source(s), 2 dataset/model(s)."
RFRED-1053,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,hometeam,RF-000942;RF-001032;RF-001042;RF-001086,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"4 fields across 1 source(s), 4 dataset/model(s)."
RFRED-1054,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,hometeamid,RF-000070;RF-001041,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 2 source(s), 2 dataset/model(s)."
RFRED-1055,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,id,RF-000002;RF-000762;RF-000923;RF-000929;RF-000963;RF-001007;RF-001036;RF-001080;RF-001102;RF-001122;RF-001135,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"11 fields across 2 source(s), 11 dataset/model(s)."
RFRED-1056,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,int,RF-000205;RF-000544;RF-000614,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1057,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,interceptions,RF-000400;RF-000413,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1058,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,jersey,RF-000796;RF-000969,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 2 source(s), 2 dataset/model(s)."
RFRED-1059,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,lastname,RF-000965;RF-000999;RF-001104,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1060,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,late_down_pass,RF-000285;RF-000687,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1061,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,late_down_rush,RF-000286;RF-000688,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1062,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,latitude,RF-001142;RF-001149,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 2 source(s), 2 dataset/model(s)."
RFRED-1063,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,line_yards,RF-000272;RF-000531,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1064,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,longitude,RF-001143;RF-001150,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 2 source(s), 2 dataset/model(s)."
RFRED-1065,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,middle_8,RF-000262;RF-000666,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1066,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,name,RF-001012;RF-001136,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1067,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,open_field_yards,RF-000274;RF-000534,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1068,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,overunder,RF-000083;RF-001056,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 2 source(s), 2 dataset/model(s)."
RFRED-1069,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,pass_breakups,RF-000606;RF-000610,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1070,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,pass_epa,RF-000372;RF-000553,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1071,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,pass_td,RF-000211;RF-000543,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1072,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,passer_player_name,RF-000241;RF-000539;RF-000711,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1073,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,pen_epa,RF-000374;RF-000555,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1074,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,period,RF-000123;RF-000891,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1075,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,pos_team,RF-000163;RF-000461;RF-000538;RF-000561;RF-000575;RF-000609;RF-000625;RF-000636,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"8 fields across 1 source(s), 8 dataset/model(s)."
RFRED-1076,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,position,RF-000922;RF-000971;RF-001000;RF-001015,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"4 fields across 2 source(s), 4 dataset/model(s)."
RFRED-1077,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,precipitation,RF-001095;RF-001159,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 2 source(s), 2 dataset/model(s)."
RFRED-1078,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,punter_player_name,RF-000253;RF-000739,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1079,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,qbr_epa,RF-000368;RF-000551,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
