requirement_id,planned_wave,current_artifact,acceptance_or_evidence,status,source_basis
REQ-015,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-021 (EXPERIMENT_REQUIRED_NONBLOCKING_UNTIL_PROMOTION),HYPOTHESIS_RULE,master prompt §3
REQ-016,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-045 (CURRENTLY_VERIFIED_W04),ACTIVE,"master prompt §§53,60"
REQ-017,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-002;AC-003 (CURRENTLY_VERIFIED_W04),ACTIVE,master prompt §61
REQ-018,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-004;AC-042 (PARTIAL_OR_CONTRACT_DEFINED),ACTIVE,"master prompt §§3,42,49,53"
REQ-019,W18+,configs/experiment_research_registry.json;governance/PROTECTED_JUDGING_RULE_SEAL.csv;governance/RESEARCH_ROLE_CAPABILITIES.csv,W04 acceptance mapping: AC-032 (CONTRACT_DEFINED_OWNER_PENDING);AC-178;AC-185,CONTRACT_VERIFIED_W18,master prompt §56; source log 017
REQ-020,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-001 (CURRENTLY_VERIFIED_W04),ACTIVE,W01 adaptive hardening
REQ-021,ALL,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §1
REQ-022,W03+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§1,17"
REQ-023,W11+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §17; source log 014
REQ-024,W11+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §17; source log 014
REQ-025,W14+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§17,47; source log 015"
REQ-026,W16+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023;AC-026 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§1,39"
REQ-027,W16+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023;AC-026 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§1,39"
REQ-028,W16+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023;AC-026 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§1,39"
REQ-029,W16+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023;AC-026 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§1,39-40"
REQ-030,W16+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023;AC-026 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§1,40"
REQ-031,W12-W16,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023;AC-026 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §1
REQ-032,W22,governance/REQUIREMENTS_INDEX.csv;docs/107_W22_SNAPSHOT_SERVING_PRODUCT.md;tests/test_w22_product_serving.py,W04 acceptance mapping: AC-023;AC-026 (CONTRACT_DEFINED_OWNER_PENDING);W22 functional snapshot-serving evidence,DEFAULT,master prompt §1
REQ-033,W16+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023;AC-026 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§1,38"
REQ-034,W15+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023;AC-026 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§1,18,39"
REQ-035,W21+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§1,55,57"
REQ-036,W08+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-033 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §1
REQ-037,W07,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-009;AC-010;AC-020 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,recon canonical rules; master prompt W07
REQ-038,W07,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-009;AC-010;AC-020 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,recon canonical rules
REQ-039,W08+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-008 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,recon CANONICAL_DATA_RULES; master prompt §28
REQ-040,W07-W09,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-009 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,recon CANONICAL_DATA_RULES
REQ-041,W08,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-011 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §§27-28; recon
REQ-042,W08+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-011;AC-012 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §27
REQ-043,W08+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-013 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§21,27-28; recon"
REQ-044,W08+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-014 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§38,58; recon v1.2"
REQ-045,W08+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-016 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §30; recon v1.1
REQ-046,W08-W12,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-015 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§28,33; recon"
REQ-047,W07,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-017 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,recon CANONICAL_DATA_RULES
REQ-048,W07-W09,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-009 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,recon CANONICAL_DATA_RULES
REQ-049,W07+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-020 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,recon CANONICAL_DATA_RULES
REQ-050,W07+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-010 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,recon CANONICAL_DATA_RULES
REQ-051,W09+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-010;AC-033 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,recon provenance requirements
REQ-052,W09-W19,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-009;AC-020 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,recon FULL_DATA_PROFILING_CONTRACT
REQ-053,W01+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-045 (CURRENTLY_VERIFIED_W04),ACTIVE,recon README/FINAL_READINESS
REQ-054,W06+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-043 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §42; recon v1.2
REQ-055,ALL,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-043 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §42; recon source inventory; source log 007
REQ-056,ALL,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-040;AC-043 (PARTIAL_OR_CONTRACT_DEFINED),ACTIVE,master prompt §42
REQ-057,W06+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-043 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,recon source access policy
REQ-058,W07+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-010 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,recon SOURCE_PROVENANCE_REQUIREMENTS
REQ-059,W08+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-012 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§27,54; source log 011"
REQ-060,W17,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-018 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §41; recon v1.2
REQ-061,W17,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-018 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §41; recon v1.2
REQ-062,W07-W17,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-018 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §41; recon v1.2
REQ-063,W09,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-009;AC-021 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§26, W09"
REQ-064,W10+,configs/feature_lifecycle_registry.json;governance/FEATURE_*,W04 acceptance mapping: AC-021 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §26; source log 012
REQ-065,W10+,configs/feature_lifecycle_registry.json;governance/FEATURE_*,W04 acceptance mapping: AC-021 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §26
REQ-066,W10+,configs/feature_lifecycle_registry.json;governance/FEATURE_*,W04 acceptance mapping: AC-021 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §26; source log 012
REQ-067,W10,configs/feature_lifecycle_registry.json;governance/FEATURE_*,W04 acceptance mapping: AC-021 (EXPERIMENT_REQUIRED_NONBLOCKING_UNTIL_PROMOTION),RESEARCH,"master prompt W10; source logs 001,009"
REQ-068,W10-W13,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-021 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,recon v1.2 football mechanics; source log 011
REQ-069,W11,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023;AC-026 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"source logs 010,013; master prompt W11"
REQ-070,W11,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023;AC-026 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,source log 013; master prompt W11
REQ-071,W11-W14,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023;AC-026 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,"source logs 011,013; master prompt W11"
REQ-072,W12,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023;AC-027 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt W12; source log 010
REQ-073,W12,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023;AC-027 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §33; recon v1.1
REQ-074,W12,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §29; recon v1.1
REQ-075,W12,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt W12; recon v1.1
REQ-076,W13,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-009 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §32; recon v1.1
REQ-077,W13,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,master prompt §32; recon v1.1
REQ-078,W13,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §21, W13; source log 016"
REQ-079,W13,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-020 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §21; recon
REQ-080,W13-W14,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §34; recon v1.1
REQ-081,W13,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,"master prompt §§35, W13; recon v1.2"
REQ-082,W13,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,master prompt §35; recon v1.2
REQ-083,W13,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-023 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,master prompt §35; recon v1.2
REQ-084,W13,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-021 (EXPERIMENT_REQUIRED_NONBLOCKING_UNTIL_PROMOTION),RESEARCH,master prompt §36; recon v1.2
REQ-085,W13,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-021 (EXPERIMENT_REQUIRED_NONBLOCKING_UNTIL_PROMOTION),RESEARCH,master prompt §36; recon v1.2
REQ-086,W13,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-021 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,master prompt §36; recon v1.2
REQ-087,W08-W13,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-019 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §37; recon v1.2
REQ-088,W13,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-021 (EXPERIMENT_REQUIRED_NONBLOCKING_UNTIL_PROMOTION),RESEARCH,master prompt §21; recon v1.2
REQ-089,W13,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-021 (EXPERIMENT_REQUIRED_NONBLOCKING_UNTIL_PROMOTION),RESEARCH,master prompt §21; recon v1.2
REQ-090,W16,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-014;AC-026 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §38
REQ-091,W08-W22,governance/REQUIREMENTS_INDEX.csv;docs/107_W22_SNAPSHOT_SERVING_PRODUCT.md;tests/test_w22_product_serving.py,W04 acceptance mapping: AC-033 (CONTRACT_DEFINED_OWNER_PENDING);W22 functional snapshot-serving evidence,ACTIVE,master prompt §58; recon v1.2
REQ-092,W16,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-026 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §39; recon v1.2
REQ-093,W16-W17,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-027 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,master prompt §40; recon v1.2
REQ-094,W16-W17,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-027 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,master prompt §40; recon v1.2
REQ-095,W15,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-028 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §18; source log 011
REQ-096,W15,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-029 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,master prompt §18
REQ-097,W15-W17,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-029 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §18
REQ-098,W15,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-029 (EXPERIMENT_REQUIRED_NONBLOCKING_UNTIL_PROMOTION),RESEARCH,master prompt §18
REQ-099,W14,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-015;AC-030 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §47; source log 015
REQ-100,W14,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-030 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §47
REQ-101,W14-W17,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-030;AC-023 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §47; source log 015
REQ-102,W14-W22,governance/REQUIREMENTS_INDEX.csv;docs/107_W22_SNAPSHOT_SERVING_PRODUCT.md;tests/test_w22_product_serving.py,W04 acceptance mapping: AC-033 (CONTRACT_DEFINED_OWNER_PENDING);W22 functional snapshot-serving evidence,DEFAULT,master prompt §47; source log 015
REQ-103,W15+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-029;AC-045 (PARTIAL_OR_CONTRACT_DEFINED),ACTIVE,master prompt §18
REQ-104,W15,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-029 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,source log 013; master prompt W15
REQ-105,ALL,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-045 (CURRENTLY_VERIFIED_W04),ACTIVE,master prompt §18
REQ-106,W16-W17,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-022 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §45
REQ-107,W16,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-022;AC-023 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,master prompt §45
REQ-108,W16-W18,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-022;AC-023 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,master prompt §45; source logs 018-019
REQ-109,W16-W17,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-025;AC-031 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§45,17"
REQ-110,W16,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-026;AC-027 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,master prompt §45
REQ-111,W18+,configs/experiment_research_registry.json;governance/PROTECTED_JUDGING_RULE_SEAL.csv;governance/RESEARCH_ROLE_CAPABILITIES.csv,W04 acceptance mapping: AC-022;AC-031 (CONTRACT_DEFINED_OWNER_PENDING);AC-178;AC-185,CONTRACT_VERIFIED_W18,master prompt §45; source log 019
REQ-112,W02+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-038 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §44; source log 018
REQ-113,W02+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-038 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §44
REQ-114,W02-W23,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-038 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §44; source logs 018-019
REQ-115,W21,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-020;AC-036 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,master prompt §55; source log 017
REQ-116,W17-W21,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-031 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt §§55-56; source log 017
REQ-117,W21,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-036 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,master prompt §57
REQ-118,W03-W21,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-032 (CONTRACT_DEFINED_OWNER_PENDING),DEFAULT,source log 017; master prompt §55
REQ-119,W18+,configs/experiment_research_registry.json;governance/PROTECTED_JUDGING_RULE_SEAL.csv;governance/RESEARCH_ROLE_CAPABILITIES.csv,W04 acceptance mapping: AC-032 (CONTRACT_DEFINED_OWNER_PENDING);AC-178;AC-185,CONTRACT_VERIFIED_W18,master prompt §56; source log 017
REQ-120,W18+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-024;AC-032 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,source log 017; master prompt §56
REQ-121,W18,configs/experiment_research_registry.json;governance/PROTECTED_JUDGING_RULE_SEAL.csv;governance/RESEARCH_ROLE_CAPABILITIES.csv,W04 acceptance mapping: AC-031 (CONTRACT_DEFINED_OWNER_PENDING);AC-178;AC-185,CONTRACT_VERIFIED_W18,"master prompt §45, W18"
REQ-122,W22,governance/REQUIREMENTS_INDEX.csv;docs/107_W22_SNAPSHOT_SERVING_PRODUCT.md;tests/test_w22_product_serving.py,W04 acceptance mapping: AC-037 (CONTRACT_DEFINED_OWNER_PENDING);W22 functional snapshot-serving evidence,DEFAULT,master prompt W22
REQ-123,W23,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-039;AC-041;AC-042 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,master prompt W23
REQ-124,W19+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-045 (CURRENTLY_VERIFIED_W04),ACTIVE,master prompt §53
REQ-125,W01+,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-004 (CURRENTLY_VERIFIED_W04),ACTIVE,"master prompt §§43,49"
REQ-126,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-003 (CURRENTLY_VERIFIED_W04),ACTIVE,master prompt §52
REQ-127,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-003 (CURRENTLY_VERIFIED_W04),ACTIVE,master prompt §52
REQ-128,W06,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-043 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,"master prompt §§20-24, W06"
REQ-129,W24,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-005;AC-043 (PARTIAL_OR_CONTRACT_DEFINED),ACTIVE,master prompt W24
REQ-130,W25,governance/REQUIREMENTS_INDEX.csv,W25 final consolidation/handoff evidence; AC-003;AC-007;AC-045,COMPLETE_W25,master prompt W25
REQ-131,W01,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-003 (VERIFIED_HISTORICAL),COMPLETE_W01,master prompt §74 + W01 hardening
REQ-132,W01,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-003 (VERIFIED_HISTORICAL),COMPLETE_W01,"master prompt §§9,74"
REQ-133,W02-W03,pyproject.toml; src/aggie_analytics/__init__.py; docs/04_REPOSITORY_OPERATIONS.md,W04 acceptance mapping: AC-002;AC-003 (VERIFIED_HISTORICAL),COMPLETE_W02,Wave02 adaptive review; master W02/W03
REQ-134,W02+,.python-version; docs/05_LOCAL_WINDOWS_SETUP.md,W04 acceptance mapping: AC-031;AC-036;AC-039 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,Wave02 local compatibility decision; REQ-112
REQ-135,W02+,scripts/bootstrap.py; scripts/bootstrap.ps1; docs/05_LOCAL_WINDOWS_SETUP.md,W04 acceptance mapping: AC-031;AC-036;AC-039 (CONTRACT_DEFINED_OWNER_PENDING),ACTIVE,Wave02 simplicity/local-first rule
REQ-136,W02+,tools/validate_repository.py; scripts/validate_repo.ps1,W04 acceptance mapping: AC-002;AC-003;AC-004 (CURRENTLY_VERIFIED_W04),ACTIVE,"master §§16,54,66; W02"
REQ-137,W02+,tools/repo_integrity.py; provenance/MANIFEST_POLICY.md,W04 acceptance mapping: AC-002 (CURRENTLY_VERIFIED_W04),ACTIVE,REQ-008; ADR-024; W01 CHANGE-003
REQ-138,W02+,tools/packaging.py; tests/test_repo_integrity_tools.py,W04 acceptance mapping: AC-040 (PARTIAL_OR_CONTRACT_DEFINED),ACTIVE,pack integrity hardening
REQ-139,W02+,configs/hydration_manifest.json; tools/packaging.py,W04 acceptance mapping: AC-002 (CURRENTLY_VERIFIED_W04),ACTIVE,master §14; Wave02
REQ-140,W02-W23,.github/workflows/ci.yml; scripts/validate_repo.ps1,W04 acceptance mapping: AC-002 (CURRENTLY_VERIFIED_W04),ACTIVE,Wave02 CI parity
REQ-141,W02+,tools/; .github/workflows/ci.yml,W04 acceptance mapping: AC-002 (CURRENTLY_VERIFIED_W04),ACTIVE,REQ-112; master §53
REQ-142,W02+,.codex/WORKTREE_POLICY.md; scripts/new_worktree.ps1,W04 acceptance mapping: AC-003 (CURRENTLY_VERIFIED_W04),ACTIVE,master §50; source implementation planning
REQ-143,W02+,.codex/WORKTREE_POLICY.md; CONTRIBUTING.md,W04 acceptance mapping: AC-002;AC-003 (CURRENTLY_VERIFIED_W04),ACTIVE,master §50
REQ-144,W02,governance/W02_ADAPTIVE_REVIEW.md; docs/04_REPOSITORY_OPERATIONS.md,W04 acceptance mapping: AC-005 (VERIFIED_HISTORICAL),COMPLETE_W02,master W02/W03; adaptive review
