control_id,task_id,mapping_role,evidence_expectation
AC-056,TASK-023,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-023,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-009,TASK-023,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-024,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-024,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-024,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-025,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-025,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-025,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-026,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-026,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-026,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-027,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-027,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-027,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-028,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-028,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-028,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-029,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-029,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-030,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-030,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-030,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-031,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-031,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-031,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-032,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-032,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-032,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-033,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-033,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-033,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-034,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-034,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-034,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-035,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-023,TASK-035,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-035,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-035,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-036,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-036,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-022,TASK-036,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-037,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-037,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-022,TASK-037,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-038,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-038,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-022,TASK-038,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-039,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-039,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-022,TASK-039,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-025,TASK-040,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-023,TASK-040,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-022,TASK-040,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-040,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-040,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-008,TASK-041,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-041,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-041,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-008,TASK-042,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-042,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-042,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-008,TASK-043,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-043,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-043,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-008,TASK-044,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-044,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-044,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-008,TASK-045,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-045,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-045,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-036,TASK-046,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-046,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-046,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-015,TASK-047,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-047,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-047,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-015,TASK-048,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-048,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-048,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-015,TASK-049,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-049,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-049,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-015,TASK-050,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-050,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-050,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-015,TASK-051,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-051,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-051,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-019,TASK-052,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-015,TASK-052,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-052,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-052,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-015,TASK-053,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-053,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-053,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-015,TASK-054,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-054,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-054,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-015,TASK-055,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-055,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-055,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-015,TASK-056,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-056,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-056,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
