adr_id,title,status,constraint_class,wave,decision,evidence_basis,supersedes,notes
ADR-012,Role-conditioned hierarchical coaching,ACCEPTED,B,W01,Coach careers use effective-dated role episodes and residual/partial-pooled effects; no static generic coach rating.,source logs 003/004; recon v1.1; master §32,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-013,Resources as conditional upstream capacity,ACCEPTED,B,W01,Resources inform priors/expectation and BAS efficiency; avoid direct dollar bonus/double counting and preserve public/private asymmetry.,source log 016; recon,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-014,Pure-football + market-augmented lanes,ACCEPTED,A,W01,Keep market-free forecast separate from timestamp-safe market-augmented forecast.,source log 001; master §38,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-015,Canonical game as split unit,ACCEPTED,A,W01,All representations of a game remain in same train/validation/test fold.,recon v1.2; master §41,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-016,Joint-score coherence requirement,ACCEPTED,A,W01,"Win, score, margin, spread-cover and BAS residual distributions must be mathematically coherent.",source log 011; recon v1.2; master §39,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-017,Governed autonomous research,ACCEPTED,A,W01,Research agents may propose/run approved experiments but cannot alter judging rules or directly promote themselves.,source log 017; master §56,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-018,Local-first compute,ACCEPTED,A,W01,Phases 1–4 target local Ryzen/32GB/RTX5060; remote GPU optional later.,source logs 018/019; master §44,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-019,Five-phase framework,ACCEPTED,B,W01,"Foundation → advanced football intelligence → A&M specialization → production/autonomy → advanced research, refinable if dependencies justify.",source log 019; master §48,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-020,No large raw data in repo packs,ACCEPTED,A,W01,"Repository holds acquisition code/contracts/tiny fixtures/manifests/docs, not full raw lake/model binaries.","master §§43,49",,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-021,Adaptive 25-wave plan,ACCEPTED,A,W01,Wave missions are minimum centers of gravity; later scopes may be revised while retaining exactly 25 waves.,master §§2-7,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-022,Numerical source-log chronology,ACCEPTED,A,W01,"Wave 01 reads chat logs by numeric filename sequence 001→020, not ZIP member order.",W01 input-integrity hardening,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-023,Content-based reconnaissance identity,ACCEPTED,A,W01,Internal pack edition/required structure/hashes define identity; host copy suffixes do not invalidate the artifact.,W01 input-integrity hardening,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-024,Authoritative recon integrity manifest,ACCEPTED,A,W01,Use final/manifests/FINAL_FILE_MANIFEST.csv + FINAL_FILE_HASHES.sha256 as authoritative; root PACK_MANIFEST self-entry mismatch is documented non-blocking self-reference artifact.,W01 validation,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-025,Deterministic services for deterministic work,ACCEPTED,B,W01,Prefer normal Python services for deterministic ingestion/validation/state jobs; use LLMs where language/research reasoning adds value.,source log 017,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-026,No unverified pretrained-model dependency,ACCEPTED,A,W01,Train/evaluate our own models; external public models may be benchmarks/reference only when currently verified.,source logs 002→007 supersession,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-027,Learned home-field effect,ACCEPTED,B,W01,Estimate partial-pooled residual home/venue effects; no hard-coded Kyle Field bonus.,recon v1.1; master §34,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-028,Learned transfer translation,ACCEPTED,A,W01,No fixed conference transfer penalty; learn destination translation from historical cohorts/context.,recon v1.1; master §29,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-029,Effective-dated rule-era registry,ACCEPTED,A,W01,Version material NCAA rule changes and affected feature definitions; season alone is insufficient when explicit versioning is needed.,recon v1.2; master §37,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-030,Immutable market/prediction snapshots,ACCEPTED,A,W01,Preserve market and prediction observations at each forecast timestamp; never overwrite earlier state.,"recon v1.2; master §§38,58",,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-031,Minimal src-layout until Wave03,ACCEPTED,B,W02,Use an installable src/aggie_analytics package scaffold but do not create speculative future domain/service packages before Wave03 architecture comparison.,W02 adaptive review; master W02/W03,,Operational structure accepted; domain boundaries remain explicitly open.
ADR-032,Python 3.12 preferred local baseline,ACCEPTED,B,W02,Prefer CPython 3.12 locally while allowing 3.11-3.13 in starter metadata until actual ML/data dependency compatibility is measured.,Local-first compatibility and simplicity,,Revisit when production dependency stack is selected.
ADR-033,Portable venv/pip baseline,ACCEPTED,B,W02,Python venv plus pip is the required portable bootstrap; optional faster environment managers may accelerate but are not mandatory.,No-cargo-cult/local portability rule,,Revisable if measured workflow benefit justifies another required manager.
ADR-034,Standard-library deterministic pack tooling,ACCEPTED,A/B boundary,W02,"Wave pack verification, manifesting, safe ZIP handling and packaging use Python standard library and normalized ZIP metadata.",W01 manifest issue; cumulative integrity requirements,,Core safety behavior is protected; implementation may evolve.
ADR-035,Machine-readable hydration allowlist,ACCEPTED,A,W02,Hydration content is generated from configs/hydration_manifest.json plus generated HYDRATE_FIRST/PACK_BINDING/hash evidence.,Master hydration rule; anti-drift,,Do not silently expand hydration with full repo.
ADR-036,Minimal cross-platform CI now; full CI Wave23,ACCEPTED,B,W02,Create Windows/Linux Python 3.12 repository-integrity CI now; defer complete security/dependency/deployment/observability CI to Wave23.,Master W02/W23; simplicity rule,,Expand earlier only if dependencies require it.
ADR-037,Codex worktree contract without guessed external config,ACCEPTED,B,W02,Use repository-local task/worktree contracts and codex/<epic>-<task>; do not commit unverified external Codex config schemas.,Master §50; evidence-backed change rule,,Tool config may be added after schema verification.
ADR-038,No Docker/database/orchestrator commitment in W02,ACCEPTED,B,W02,"Do not add Docker, database services or orchestration frameworks solely for repository setup; evaluate them in their architecture/operations waves.",Master no-cargo-cult rule; W02 adaptive review,,"This is a deferral, not a permanent rejection."
ADR-039,Safe prior-wave verification before extraction,ACCEPTED,A,W02,Verify binding hash/next-wave and reject unsafe archive members before extraction; future sessions should use executable verification tooling.,Master §65; pack security hardening,,Protected pack-integrity behavior.
ADR-040,Offline-first modular monolith,ACCEPTED,B,W03,Use one modular local application/repository as the default Phases 1-4 deployment; split services only on demonstrated operational need.,W03 alternative comparison; local hardware; simplicity rule,,Revisable if independent scaling/security/latency evidence appears.
ADR-041,Immutable snapshot serving,ACCEPTED,B,W03,Pregame API/dashboard serves immutable forecast snapshots rather than synchronous online feature construction/model execution.,Prediction snapshot principle; reproducibility; local-first,,W22 may choose UI/API technology without changing snapshot boundary.
ADR-042,Parquet plus DuckDB early analytical stack,ACCEPTED,B,W03,"Prefer native immutable raw files, partitioned Parquet analytical zones and DuckDB local querying for early phases.",Master storage defaults; local hardware; W03 comparison,,Physical implementation remains evidence-revisable.
ADR-043,PostgreSQL deferred behind storage port,ACCEPTED,B,W03,Do not make PostgreSQL mandatory now; W07/W22/W23 may adopt a relational adapter if transactional/concurrent workflows justify it.,W03 storage comparison; no-cargo-cult rule,,Supersedes any implication that PostgreSQL is mandatory from initial defaults.
ADR-044,Provider ports and canonical boundary,ACCEPTED,B,W03,Keep source-provider acquisition/parsing behind adapters; provider schemas do not directly define football/model interfaces.,Recon canonical source rules; W03 boundaries,,Source adapters remain replaceable after Wave06 source research.
ADR-045,PIT state as hard feature gateway,ACCEPTED,A,W03,All historical/inference features obtain mutable observations through explicit as-of/PIT state contracts.,PIT invariant; recon temporal rules,,"W08 owns detailed implementation, not whether the gateway exists."
ADR-046,Explicit national-to-A&M specialization contract,ACCEPTED,A/B boundary,W03,National foundation and A&M high-resolution specialization communicate through an explicit representation/adjustment contract; A&M cannot fork canonical truth.,Protected national+A&M objective; recon source precedence,,W14/W16 select residual/multitask/MoE implementation.
ADR-047,Forecast assembly owns cross-target coherence,ACCEPTED,A,W03,"Use a forecast-distribution assembly boundary to keep score, margin, win and BAS-related outputs coherent.",Joint-score invariant; master target architecture,,W16 selects statistical family.
ADR-048,Research plane isolated from protected production,ACCEPTED,A,W03,Research can produce candidates/proposals but enters production only through protected evaluation/promotion gates.,Research-agent governance,,No research component is a required import of production forecast runtime.
ADR-049,LLM assistive plane only,ACCEPTED,A/B boundary,W03,LLMs may assist evidence extraction/research/explanations but are not required for deterministic core forecast refresh and cannot decide PIT/promotion rules.,Source logs; deterministic-service principle,,Future LLM use must preserve evidence/provenance and deterministic validation.
ADR-050,Read-serving boundary cannot query raw/model internals,ACCEPTED,A,W03,"Serving surfaces consume immutable forecast snapshots and lineage, not raw provider/PIT/feature/model internals.",Reproducibility and snapshot architecture,,W22 implementation must honor this boundary.
ADR-051,Future live plane isolated,ACCEPTED,A,W03,Future in-game modeling is a separate chronological lane and cannot feed same-game pregame features.,Live modeling invariant,,Phase5 may reuse pregame priors through an explicit one-way interface.
ADR-052,Stable semantic namespaces without empty implementation sprawl,ACCEPTED,B,W03,Define future core/data/features/models/forecasting/tamu/evaluation/research/serving namespace ownership but instantiate only architecture contracts in W03.,W02 anti-premature-freezing decision; W03 package review,ADR-031,"ADR-031 is refined: logical boundaries are now accepted, implementation packages remain created by owning waves."
ADR-053,No distributed infrastructure requirement for pregame v1,ACCEPTED,B,W03,"Do not require Kafka, Redis, Kubernetes, online feature stores or microservices for the current pregame architecture.",No-cargo-cult; snapshot serving; local-first,,These are not permanently banned; later evidence may justify them.
ADR-054,Machine-readable architecture registry,ACCEPTED,A/B boundary,W03,Maintain component/interface/data-zone/dependency rules in configs/architecture_registry.json and validate them in tests.,W03 adaptive review; anti-drift,,"Registry captures logical architecture, not all later domain schemas."
ADR-055,Separate requirement class/lifecycle/evidence status,ACCEPTED,A,W04,"Track Level A/B/C class, requirement lifecycle, and acceptance evidence state independently.",W04 requirements audit; anti-false-completion,,Prevents a mandatory future requirement from being mislabeled PASS before evidence exists.
ADR-056,Machine-readable acceptance registry and full coverage,ACCEPTED,A,W04,"Maintain acceptance controls, thresholds and requirement/ADR/risk mappings in machine-readable registries validated by repository tooling.",Master acceptance/traceability mandate; W04 adaptive review,,Representation may evolve through ADR without weakening exact coverage.
ADR-057,No fabricated quantitative acceptance thresholds,ACCEPTED,A,W04,Record unknown numerical thresholds as TBD_BY_EVIDENCE/TBD_BY_BENCHMARK and assign owning waves; do not invent false precision in W04.,Master no-fabricated-metrics rule; W04 hardening,,W17/W19-W23 own evidence-derived values.
ADR-058,Protected temporal/leakage controls fail closed and block release,ACCEPTED,A,W04,"PIT ambiguity, leakage, canonical-game split safety and BAS expected-margin temporal failures block affected data/model/forecast release.",PIT invariants; RISK-001/002/028,,No waiver by research agent.
ADR-059,Protected test seal and precommitted promotion criteria,ACCEPTED,A,W04,Freeze protected periods and promotion criteria before inspecting protected results; protected results are not tuning feedback.,Champion/challenger governance; statistical validity,,W17 implements detailed protocol.
ADR-060,Acceptance uses multiple evidence modes,ACCEPTED,A,W04,Use static/unit/integration/replay/scientific/benchmark/manual evidence according to requirement nature rather than forcing every requirement into a unit test.,W04 acceptance analysis,,Manual decisions must still be traceable.
ADR-061,Explicit trust boundary and fail-closed untrusted inputs,ACCEPTED,A,W04,Treat external files/APIs/pages/LLM extraction as untrusted data; validate before canonical use and never execute source-provided code/instructions.,Security hardening; existing safe ZIP tooling,,Provider-specific controls are added in W06-W09.
ADR-062,Forecast reproducibility is lineage-replay based,ACCEPTED,A,W04,"Reproducibility means immutable linked data/feature/model/config/environment evidence sufficient to replay/explain a forecast, not merely rerunning latest code.",Snapshot architecture; provenance requirements,,Exact storage schemas remain later-wave work.
ADR-063,Performance budgets require target-hardware benchmark evidence,ACCEPTED,A,W04,Do not freeze arbitrary runtime/RAM/storage limits before representative/full workload benchmarks on the target local machine.,Local-first objective; no fake precision,,W19-W23 populate performance thresholds.
ADR-064,Bidirectional acceptance traceability across REQ/ADR/RISK,ACCEPTED,A,W04,"Every requirement, ADR and risk maps to acceptance controls so changes/failures identify affected governance objects.",Master traceability/acceptance mandate,,Validated by tools/validate_acceptance.py.
ADR-065,"Capability phases are organizational, waves remain execution authority",ACCEPTED,A/B boundary,W05,Use five capability phases to organize work while the exactly-25-wave program remains the execution/control sequence.,master W05 + REQ-001/REQ-234,,Prevents phase labels from silently creating/reordering waves.
ADR-066,Stable epic/task IDs and machine-readable WBS,ACCEPTED,A,W05,Use stable EPIC/TASK IDs in CSV/JSON as the canonical implementation backlog.,W05 planning need,,
ADR-067,DAG/gates instead of fabricated calendar schedule,ACCEPTED,A,W05,Represent implementation order using dependencies/readiness gates; do not invent hour/date estimates.,master W05,,
ADR-068,Critical path means dependency-critical spine,ACCEPTED,A,W05,"Critical path is a dependency/gating spine, not a duration-optimized CPM calculation without task durations.",REQ-221/236,,
ADR-069,Five complexity classes describe coupling and risk,ACCEPTED,B,W05,"C1-C5 classify scope/coupling/uncertainty/protected-contract risk, not elapsed time.",W05 adaptive review,,
ADR-070,Mandatory W06 implementation replan gate,ACCEPTED,A,W05,W06 source research must explicitly revalidate source-dependent future tasks before they become ready.,master W05/W06,,
ADR-071,Source-dependent tasks provisional until W06,ACCEPTED,A,W05,Mark W07+ source/schema-dependent tasks PLANNED_REVALIDATE_AFTER_W06.,master W05/W06,,
ADR-072,Codex packets are bounded implementation slices,ACCEPTED,B,W05,Use work packets spanning coherent task slices with outputs/tests/acceptance/stop conditions; avoid micro-handoff prompt fragmentation.,master W05 + W02 worktree contract,,
ADR-073,Serialize unfrozen shared-contract mutations,ACCEPTED,A,W05,Only one workstream mutates an unfrozen shared contract at a time; parallelism targets independent modules or stable interfaces.,architecture integrity,,
ADR-074,Bounded adaptive parallelism over fixed concurrency,ACCEPTED,B,W05,Run as many independent worktrees as dependencies/local resources allow; do not hard-code a concurrency count that ignores current constraints.,local-first constraint,,
ADR-075,Evidence gate required before DONE/integration,ACCEPTED,A,W05,"Task completion requires required test/evidence controls, not code presence alone.",W04 acceptance architecture,,
ADR-076,W05 backlog is revisable evidence-controlled plan,ACCEPTED,B,W05,Treat W05 ordering/task details as a strong implementation baseline that can change through W06/later evidence-backed revisions without losing IDs/history.,adaptive mandate,,
ADR-077,Official availability reports are primary where policy covers the game,ACCEPTED,A,W06,Use versioned official conference/CFP availability reports as primary evidence when covered; aggregators/media remain fallback/enrichment.,,,
ADR-078,Issued weather model runs replace observed-weather proxies for historical forecast state,ACCEPTED,A,W06,Historical forecast weather uses NOAA/Open-Meteo archived issued runs with model/init/lead/valid-time provenance; observations are separate.,,,
ADR-079,Timestamped market providers are optional market-lane enrichment,ACCEPTED,A/B boundary,W06,Use timestamped market snapshot providers when justified; preserve pure-football lane and never make paid market history a core dependency.,,,
ADR-080,Official lower-division statistics strengthen bounded priors,ACCEPTED,B,W06,"Use NCAA FCS/DII/DIII, NAIA and NJCAA official statistics for bounded opponent/transfer priors while avoiding equal-resolution recursive modeling.",,,
ADR-081,Rule era expands to effective-dated regulatory environment,ACCEPTED,A,W06,"Represent material roster, eligibility and transfer governance changes alongside playing rules using publication/adoption/effective dates.",,,
ADR-082,Derived data requires explicit upstream provenance,ACCEPTED,A,W06,SportsDataverse/CFBD and similar derived data retain upstream publisher/source lineage and are not treated as independent corroboration when sharing upstreams.,,,
ADR-083,Commercial advanced data remains adapter-isolated and nonblocking,ACCEPTED,B,W06,Commercial injury/live/charting/tracking providers are optional adapters/research lanes until value/cost/rights justify promotion.,,,
ADR-084,Private-school resource proxies remain semantically separate,ACCEPTED,A,W06,IRS/institutional proxy evidence may reduce missingness but cannot be presented as football-specific spending without direct evidence.,,,
ADR-085,Current source research does not require distributed service architecture,ACCEPTED,B,W06,Retain W03 modular monolith/snapshot serving; source diversity is handled through adapters and temporal evidence contracts.,,,
ADR-086,Mutable official reports require publication/version observations,ACCEPTED,A,W06,"Availability, rankings and edited official pages are stored as versioned observations with publication/first-known/retrieval semantics rather than overwritten current state.",,,
ADR-087,W06 replan clears but does not freeze future source choices forever,ACCEPTED,A/B boundary,W06,Clear W07 readiness using W06 evidence while retaining W24 source refresh and future evidence-backed source substitutions.,,,
ADR-088,Public access is not redistribution permission,ACCEPTED,A,W06,Raw data may remain local; public repository inclusion requires explicit rights/terms/attribution decision independent of URL accessibility.,,,
ADR-089,Opaque prefixed UUID surrogate is current canonical-ID representation default,ACCEPTED,B,W07,Use type-prefixed UUID4 hex as the dependency-free representation default for surrogate canonical IDs; the protected invariants are opacity/stability/no source coupling and the representation may change before real IDs are materialized.,W07 entity design,,
ADR-090,Source mappings are first-class append-only decision records,ACCEPTED,A,W07,"Represent source-system/type/key to canonical mappings as auditable records with evidence, method, state and supersession rather than overwriting a lookup table in place.",Recon canonical rules; W07,,
ADR-091,Direct source IDs are mapping evidence only after contract validation,ACCEPTED,A,W07,A provider ID may support deterministic mapping only after its semantics/uniqueness/scope are validated; canonical IDs never become aliases for unverified source IDs.,Recon join contracts,,
ADR-092,"Fuzzy/name matching is candidate generation, not canonical truth",ACCEPTED,A,W07,"Disable fuzzy auto-accept in W07; only verified existing/direct/crosswalk mapping classes auto-accept, while ambiguous candidates enter review.",REQ-266/278; THR-008,,
ADR-093,"Human identity is separated from roles, teams and mutable attributes",ACCEPTED,A,W07,Player transfers and coach role/team changes are episodes/observations linked to stable human identity.,Recon canonical registry/roster identity policy,,
ADR-094,Identity corrections use merge/split/supersession history,ACCEPTED,A,W07,Never destructively delete/reuse assigned canonical identities; corrections preserve old decisions/data versions and add redirects or split mappings.,W07 correction design,,
ADR-095,"Game identity represents the underlying contest, not current schedule fields",ACCEPTED,A,W07,Retain game identity through supported reschedule/venue/status changes; create a new identity for replacement matchups; annotate forfeit/vacated results without changing identity.,Master game edge cases; recon join contracts,,
ADR-096,Mutable source evidence uses layered identity,ACCEPTED,A,W07,"Separate source system, resource, publication version, raw capture and parsed source observation so edited reports/pages and retrieval events remain reconstructible.",ADR-086; W06 research,,
ADR-097,PostgreSQL remains deferred for canonical identity workflow,ACCEPTED,B,W07,Current single-writer append-only mapping/decision workflow does not justify a relational server; retain Parquet/DuckDB default behind storage ports and reopen on real concurrent transactional need.,W03 ADR-043; W07 workload evaluation,,
ADR-098,Review queue is a derived view over immutable candidate/decision events,ACCEPTED,B,W07,Do not require a mutable queue table; derive current unresolved/review state from append-only candidates and latest non-superseded decisions.,W07 resolution/storage evaluation,,
ADR-099,No graph database is required for canonical relationships,ACCEPTED,B,W07,Represent identity relationships/episodes as normalized tables/contracts; adopt graph infrastructure only if a later measured workload justifies it.,No-cargo-cult rule; W07,,
ADR-100,W07 identity contracts are frozen for W08 but implementation benchmark remains W19,ACCEPTED,A/B boundary,W07,W08 may rely on canonical identity/evidence layers; W19 still owns materialized resolver/storage throughput benchmarks and any labeled fuzzy auto-accept threshold.,W07 gate,,
ADR-101,Bitemporal knowledge and validity axes,ACCEPTED,A,W08,Represent public knowability separately from real-world validity/effectivity; both participate in PIT selection.,Recon temporal policies; W07 evidence identity; W08 synthetic fixtures,,Protects against publication/effective conflation.
ADR-102,first_known evidence policy,ACCEPTED,A,W08,Use defensible first-known evidence; retrieval is conservative fallback when earlier public availability cannot be proven.,Recon resource/TAMU policies; W08,,No guessed historic publication time.
ADR-103,prediction_eligible_at is derived metadata,ACCEPTED,A,W08,"Treat prediction_eligible_at as policy-versioned derived/cache metadata, never a raw source truth or sufficient sole predicate.",W07 reserved field; W08,,Validity/domain/revision checks remain required.
ADR-104,Deterministic fail-closed as-of selector,ACCEPTED,A,W08,"As-of selection applies domain ban, knowledge cutoff, target validity, revision state and deterministic precedence; ambiguity fails closed.",Master PIT invariant; W08,,Protected gateway behavior.
ADR-105,Revision replay uses as-known version,ACCEPTED,A,W08,Later source corrections/reports do not rewrite historical snapshots; select versions known at the cutoff.,W07 publication-version identity; W08,,Append-only correction lineage retained.
ADR-106,Immutable cutoff object,ACCEPTED,A,W08,"Forecast/training/replay cutoffs are immutable versioned lineage records including target, lane, policy and data snapshot.",Recon prediction snapshot contract; W08,,Enables reproducible replay.
ADR-107,Issued weather run contract,ACCEPTED,A,W08,Weather pregame evidence requires exact model initialization/availability/valid-time lineage; realized weather cannot substitute.,W06 weather research; recon weather safety,,Archive coverage remains later materialization work.
ADR-108,Availability policy/version contract,ACCEPTED,A,W08,Official availability is versioned and policy/game scoped; noncoverage means UNKNOWN and later versions affect later cutoffs only.,W06 availability findings,,Supports W12 materialization.
ADR-109,Market labels are descriptive not temporal authority,ACCEPTED,A,W08,Opening/current/closing labels never override provider observation knowability; pure and market lanes remain separate.,Recon market contract,,Timestamp is authoritative for eligibility.
ADR-110,Regulatory/resource dual-time contract,ACCEPTED,A,W08,Regulatory effective intervals and resource reporting periods are separate from publication/first-known time.,W06 regulatory; recon resource policy,,Season/fiscal labels are insufficient.
ADR-111,Retrospective evidence fail-closed,ACCEPTED,A,W08,Retrospective/current pages require dated corroboration before historical PIT use.,Recon canonical rules/TAMU policy,,Official status alone is insufficient.
ADR-112,Completed-game chronology for historical aggregates,ACCEPTED,A,W08,Current/future-game outputs are banned; prior outputs require game completion and source knowability before cutoff.,Master leakage rules,,Applies to training replay and features.
ADR-113,PIT gateway becomes protected feature boundary,ACCEPTED,A,W08,CMP-006 feature construction may consume temporal state only through CMP-005 PIT gateway contracts.,ADR-045; W08,,Direct mutable-source feature access is forbidden.
ADR-114,Synthetic PIT PASS is not production data proof,ACCEPTED,A,W08,Synthetic leakage tests validate contract behavior but real historical materialization/replay remains later evidence.,W04 maturity honesty; W08,,Prevents overclaiming W08 completion.
ADR-115,Raw-field registry is metadata not production feature lifecycle,ACCEPTED,A,W09,Registry presence and W09 handoff may authorize W10 experimentation only; W10 evidence owns feature promotion.,Recon v1.2 + W06 + W08/W09 contracts,,
ADR-116,Stable source-scoped raw-field IDs,ACCEPTED,A,W09,Assign stable RF IDs to source/dataset/field semantics; rename/repurpose creates new identity rather than reusing an old ID.,Recon v1.2 + W06 + W08/W09 contracts,,
ADR-117,Recon temporal classification has precedence over scanner heuristics,ACCEPTED,A,W09,Observed schema facts may enrich metadata but cannot downgrade verified temporal/leakage classifications.,Recon v1.2 + W06 + W08/W09 contracts,,
ADR-118,Unmaterialized W06 endpoint schemas remain pending,ACCEPTED,A,W09,Represent unknown schemas explicitly instead of fabricating field inventories.,Recon v1.2 + W06 + W08/W09 contracts,,
ADR-119,Sample missingness remains non-population evidence,ACCEPTED,A,W09,Preserve representative sample profiles separately and require later snapshot population profiling.,Recon v1.2 + W06 + W08/W09 contracts,,
ADR-120,Exact-name overlap creates review clusters only,ACCEPTED,A,W09,Do not semantically merge fields based on names; require compatible semantics/grain/unit/time/join evidence.,Recon v1.2 + W06 + W08/W09 contracts,,
ADR-121,Join paths require canonical identity semantics,ACCEPTED,A,W09,Presence of key/name fields is insufficient for durable cross-source joins.,Recon v1.2 + W06 + W08/W09 contracts,,
ADR-122,Schema scanner separates documented and observed type,ACCEPTED,A,W09,Observed type is scan evidence; it does not mutate documented contracts or prior schema versions.,Recon v1.2 + W06 + W08/W09 contracts,,
ADR-123,Standard-library scanner core with optional Parquet plugin,ACCEPTED,B,W09,CSV/JSON/JSONL work without new dependency; Parquet uses pyarrow only when already approved/installed.,Recon v1.2 + W06 + W08/W09 contracts,,
ADR-124,Nested JSON uses deterministic dotted paths,ACCEPTED,B,W09,Dotted nested paths are the W09 default and may be revised only through versioned schema contract.,Recon v1.2 + W06 + W08/W09 contracts,,
ADR-125,W09 W10-candidate handoff remains behind W08 PIT gateway,ACCEPTED,A,W09,"Candidate permission never bypasses W08 as-of selection, source lineage or later W10 empirical lifecycle.",Recon v1.2 + W06 + W08/W09 contracts,,
ADR-126,W09 feature-registry gate frozen for W10,ACCEPTED,A,W09,"W10 may rely on W09 registry/handoff contracts but owns transformations, screening, ablation and promotion.",Recon v1.2 + W06 + W08/W09 contracts,,
ADR-127,Target-specific six-state feature lifecycle,ACCEPTED,A/B boundary,W10,Use CORE/SUPPORTED/CONDITIONAL/EXPERIMENTAL/REJECTED/BANNED per target with append-only decisions.,Master §26; REQ-065/066; W10,,State semantics frozen; empirical state assignments remain evidence-driven.
ADR-128,No universal rolling-window default,ACCEPTED,C hypothesis discipline,W10,Rolling/EWMA/recency parameters are experiment candidates rather than one hard-coded football intuition window.,Master W10; REQ-067,,Concrete winning windows remain empirical.
ADR-129,Strict-prior transform semantics,ACCEPTED,A,W10,Pregame lag/rolling/trend transforms exclude target/same-game observations by construction.,W08 PIT invariant; W10 tests,,Protected transform rule.
ADR-130,Multi-method screening instead of single importance ranking,ACCEPTED,A/B boundary,W10,Use staged PIT/data-quality/redundancy/regularization/permutation/ablation/stability evidence; no single importance statistic promotes.,Master §26; W10,,Specific models/estimators remain revisable.
ADR-131,Univariate association is exploratory,ACCEPTED,A,W10,Correlation/mutual information may generate evidence but cannot independently approve a feature.,W10 screening analysis,,Prevents association ranking from becoming production truth.
ADR-132,Family ablation and temporal stability are promotion evidence,ACCEPTED,A,W10,Production promotion requires chronological family ablation and stability evidence under the target plan.,Master §26; AC-021,,Numeric threshold remains THR-007 TBD.
