requirement_id,title,category,constraint_class,status,source_basis,planned_wave,description,wave_introduced
REQ-032,Explainability and historical analogs,outputs,B,DEFAULT,master prompt §1,W22,Provide interpretable drivers and historical analog context without implying causal certainty.,W01
REQ-033,Pure-football and optional market-augmented forecasts,outputs,A,ACTIVE,"master prompt §§1,38",W16+,Maintain a market-independent forecast and a separate lane using only market data available at prediction time.,W01
REQ-034,BAS severity outputs,outputs,A,ACTIVE,"master prompt §§1,18,39",W15+,"Produce BAS probabilities for at least ≥3, ≥7, ≥14 and ≥21 point underperformance thresholds.",W01
REQ-035,Autonomous weekly refresh/retraining/calibration,objective,A,ACTIVE,"master prompt §§1,55,57",W21+,"End-state supports automated data refresh, state updates, retraining, calibration, champion/challenger evaluation and postmortems.",W01
REQ-036,Model/version/data lineage,objective,A,ACTIVE,master prompt §1,W08+,"Every prediction is traceable to model, feature set, data snapshot and source lineage.",W01
REQ-037,Canonical internal entity IDs,data,A,ACTIVE,recon canonical rules; master prompt W07,W07,"Maintain stable internal IDs for teams, games, players, coaches, venues, institutions and other approved entities.",W01
REQ-038,Preserve source entity mappings,data,A,ACTIVE,recon canonical rules,W07,Retain original source identifiers and confidence for source→canonical mappings.,W01
REQ-039,Immutable raw snapshots first,data,A,ACTIVE,recon CANONICAL_DATA_RULES; master prompt §28,W08+,Store external payloads/files unchanged with retrieval metadata and hashes; never overwrite historical raw state.,W01
REQ-040,Versioned normalization contracts,data,A,ACTIVE,recon CANONICAL_DATA_RULES,W07-W09,Normalize raw fields through versioned source contracts without rewriting raw evidence.,W01
REQ-041,Known-at/effective-dated observation semantics,data,A,ACTIVE,master prompt §§27-28; recon,W08,Mutable information must carry publication/effective/retrieval semantics sufficient for as-of eligibility.,W01
REQ-042,Absolute no-future-information leakage,data,A,ACTIVE,master prompt §27,W08+,Historical predictions may use only information available at the intended forecast timestamp.,W01
REQ-043,Weather forecast vs observed separation,data,A,ACTIVE,"master prompt §§21,27-28; recon",W08+,Do not substitute realized/observed weather for a forecast snapshot that would have existed earlier.,W01
REQ-044,Market observations are timestamped and provider-specific,data,A,ACTIVE,"master prompt §§38,58; recon v1.2",W08+,Never overwrite one market line; preserve provider/value/price/first-known and forecast-time cutoff semantics.,W01
REQ-045,Future NFL Draft outcomes banned for historical roster features,data,A,ACTIVE,master prompt §30; recon v1.1,W08+,Eventual draft outcomes cannot leak into earlier historical player/team features; only lagged completed drafts are candidates.,W01
REQ-046,Roster/staff/depth/availability are snapshots,data,A,ACTIVE,"master prompt §§28,33; recon",W08-W12,Current pages cannot retroactively reconstruct prior state without dated evidence.,W01
REQ-047,No name-only durable production joins,data,A,ACTIVE,recon CANONICAL_DATA_RULES,W07,Names may seed resolution but cannot be sole durable keys for players/coaches.,W01
REQ-048,Units/sign conventions explicit,data,A,ACTIVE,recon CANONICAL_DATA_RULES,W07-W09,"Normalize and retain original units/sign conventions for spreads, weather, elevation, distance, currency and other measures.",W01
REQ-049,Unknown is not zero,data,A,ACTIVE,recon CANONICAL_DATA_RULES,W07+,Missing/uncertain values remain missing/uncertain unless an explicit validated imputation model exists.,W01
REQ-050,Field-specific source precedence,data,A,ACTIVE,recon CANONICAL_DATA_RULES,W07+,Authority and precedence differ by field; A&M official sources lead A&M target facts while national structured sources lead broad data.,W01
REQ-051,Derived features retain parent lineage,data,A,ACTIVE,recon provenance requirements,W09+,Every derived feature links to transform/version and parent observations where practical.,W01
REQ-052,Full materialization profiling before production reliance,data,A,ACTIVE,recon FULL_DATA_PROFILING_CONTRACT,W09-W19,"Measure schema, missingness, distributions, identities, timestamps, duplicates, reconciliation and drift on intended historical coverage before production reliance.",W01
REQ-053,Recon sample statistics are not population statistics,data,A,ACTIVE,recon README/FINAL_READINESS,W01+,Representative sample missingness/ranges/correlations cannot be presented as population findings.,W01
REQ-054,Source access/license/redistribution governance,data,A,ACTIVE,master prompt §42; recon v1.2,W06+,"Record owner, terms, license, authentication, usage limits, redistribution and public-repo suitability.",W01
REQ-055,PFF remains deferred/optional,data,A,ACTIVE,master prompt §42; recon source inventory; source log 007,ALL,No v1/core dependency may rely on PFF unless the user explicitly reactivates it.,W01
REQ-056,Never bypass source controls,security,A,ACTIVE,master prompt §42,ALL,"Do not bypass authentication, CAPTCHA, access controls, contractual restrictions or rate-limit protections.",W01
REQ-057,Unclear raw redistribution defaults local-only,data,A,ACTIVE,recon source access policy,W06+,"When raw redistribution rights are unclear, keep full raw data local and publish acquisition code/manifests/derived outputs only when defensible.",W01
REQ-058,Every normalized record carries provenance/quality metadata,data,A,ACTIVE,recon SOURCE_PROVENANCE_REQUIREMENTS,W07+,"Capture source URI, retrieval/publication/effective times, versions, raw hash/path, entity mapping, units, transform and quality flags as applicable.",W01
REQ-059,Point-in-time/leakage software tests,testing,A,ACTIVE,"master prompt §§27,54; source log 011",W08+,"Temporal safety must be executable tests, not only documentation.",W01
REQ-060,Canonical game is atomic split unit,validation,A,ACTIVE,master prompt §41; recon v1.2,W17,Train/validation/test grouping occurs at canonical game identity.,W01
REQ-061,Mirrored rows stay in same fold,validation,A,ACTIVE,master prompt §41; recon v1.2,W17,"If both team perspectives are generated, all representations of one game stay in one split.",W01
REQ-062,Explicit game edge-case policy,data,A,ACTIVE,master prompt §41; recon v1.2,W07-W17,"Define neutral, postseason, overtime, FCS, canceled/rescheduled, no-contest, forfeit/vacated, relocated, duplicate-ID and classification-change behavior.",W01
REQ-063,Raw feature registry and schema discovery,features,A,ACTIVE,"master prompt §§26, W09",W09,"Inventory raw fields with source, grain, temporal class, leakage risk, family, missingness and join paths.",W01
REQ-064,Production features require empirical evidence,features,A,ACTIVE,master prompt §26; source log 012,W10+,"No feature enters production solely because a human, expert or LLM believes it should matter.",W01
REQ-065,Feature lifecycle governance,features,A,ACTIVE,master prompt §26,W10+,Track CORE/SUPPORTED/CONDITIONAL/EXPERIMENTAL/REJECTED/BANNED or evidence-backed refined equivalents without erasing history.,W01
REQ-066,Target-specific feature selection,features,A,ACTIVE,master prompt §26; source log 012,W10+,"Win, score, margin and BAS may retain different feature sets based on target-specific evidence.",W01
REQ-067,Rolling/trend/opponent-adjusted candidates,features,C,RESEARCH,"master prompt W10; source logs 001,009",W10,"Evaluate rolling windows, EWMA, trends, interactions and opponent adjustment rather than assuming one hand-selected window.",W01
REQ-068,Schedule load distinct from opponent adjustment,features,A,ACTIVE,recon v1.2 football mechanics; source log 011,W10-W13,Schedule stress describes what a team endured; opponent adjustment describes how impressive performance was given opposition.,W01
REQ-069,Current team-state representation,modeling,A,ACTIVE,"source logs 010,013; master prompt W11",W11,"Estimate underlying/available current strength from recent performance, priors, continuity, roster, staff and context rather than static season labels.",W01
REQ-070,"Old games teach football structure, not current identity",modeling,B,DEFAULT,source log 013; master prompt W11,W11,Old games primarily teach football structure; direct current-team influence should decay with continuity/regime change unless empirical validation supports persistence.,W01
REQ-071,Regime/change-point awareness,modeling,B,DEFAULT,"source logs 011,013; master prompt W11",W11-W14,"Change-point/regime awareness is a strong modeling default to evaluate for coaching, QB, scheme and major roster changes; exact method is evidence-selected.",W01
REQ-072,Pregame player-value system,players,A,ACTIVE,master prompt W12; source log 010,W12,Estimate player value before games using only eligible evidence and appropriate uncertainty.,W01
REQ-073,Availability impact is player/replacement specific,players,A,ACTIVE,master prompt §33; recon v1.1,W12,"Represent availability probability, effectiveness, expected usage, healthy value, replacement identity/value, uncertainty and matchup propagation.",W01
REQ-074,Transfers require learned competition translation,players,A,ACTIVE,master prompt §29; recon v1.1,W12,"Do not hard-code conference penalties; use same-player transfer cohorts, continuous competition strength, supporting cast, scheme, role and uncertainty.",W01
REQ-075,Freshmen use separate prospect priors,players,A,ACTIVE,master prompt W12; recon v1.1,W12,Players with no college production use recruiting/physical/development priors rather than transfer-production translation.,W01
REQ-076,Coach careers use effective-dated role episodes,coaching,A,ACTIVE,master prompt §32; recon v1.1,W13,Represent HC/coordinator/position/analyst roles through effective-dated episodes and responsibilities.,W01
REQ-077,"Coach effects are residual/hierarchical, not raw attribution",coaching,B,DEFAULT,master prompt §32; recon v1.1,W13,Coach effects should avoid raw attribution and favor role-conditioned residual/hierarchical controls; exact statistical representation remains evidence-selected.,W01
REQ-078,Program resources are upstream capacity/expectation variables,resources,A,ACTIVE,"master prompt §21, W13; source log 016",W13,Do not use raw dollars as automatic game bonuses; evaluate incremental value and resource-efficiency concepts after downstream football factors.,W01
REQ-079,Public/private resource asymmetry preserved,resources,A,ACTIVE,master prompt §21; recon,W13,Never fabricate unavailable private-school financial values; use universal baseline + public-school enrichment/explicit missingness strategy.,W01
REQ-080,"Home field is learned, not hard-coded",context,A,ACTIVE,master prompt §34; recon v1.1,W13-W14,"Estimate national/program/venue/era residual home effects with shrinkage; Kyle Field gets evidence-based estimate, not a fixed 12th Man bonus.",W01
REQ-081,Expected possession/tempo subsystem,mechanics,B,DEFAULT,"master prompt §§35, W13; recon v1.2",W13,Model expected opportunities separately from scoring efficiency and validate its contribution.,W01
REQ-082,Field-position/hidden-yards subsystem,mechanics,B,DEFAULT,master prompt §35; recon v1.2,W13,Represent drive starts and field-position value from punts/kickoffs/turnovers/fourth downs.,W01
REQ-083,Component-level special teams modeling,mechanics,B,DEFAULT,master prompt §35; recon v1.2,W13,"Evaluate kicking, punting, kickoffs, returns, blocks, continuity and weather rather than a single crude rank by default.",W01
REQ-084,Fourth-down decision quality candidate,mechanics,C,RESEARCH,master prompt §36; recon v1.2,W13,"Evaluate go-for-it tendencies, conversion and EP/WP decision quality as coach/context signals.",W01
REQ-085,Clock-management candidate,mechanics,C,RESEARCH,master prompt §36; recon v1.2,W13,"Evaluate timeouts, two-minute/four-minute offense, late-half sequencing and game-management residuals.",W01
REQ-086,Score-state/garbage-time treatment,mechanics,B,DEFAULT,master prompt §36; recon v1.2,W13,Score-state/garbage-time adjustment is a strong candidate treatment whose exact policy must be validated rather than assumed.,W01
REQ-087,Effective-dated rule eras,context,A,ACTIVE,master prompt §37; recon v1.2,W08-W13,"Version rule changes that materially alter definitions, timing, availability, penalties or game structure.",W01
REQ-088,Point-in-time game stakes/context candidates,context,C,RESEARCH,master prompt §21; recon v1.2,W13,Only objective pregame-known stakes/context definitions may be tested; retrospective labels are forbidden.,W01
REQ-089,Officiating is experimental and anti-causal,context,C,RESEARCH,master prompt §21; recon v1.2,W13,Use crew history only with strong controls and pregame assignment evidence; never encode unsupported team/referee bias claims.,W01
REQ-090,Separate pure-football and market-augmented lanes,modeling,A,ACTIVE,master prompt §38,W16,Market-augmented models may use only observations known at the forecast timestamp; pure lane remains market-free.,W01
REQ-091,Immutable prediction snapshots,modeling,A,ACTIVE,master prompt §58; recon v1.2,W08-W22,Preserve Monday/Wednesday/Friday/pregame or refined snapshot schedule without overwriting prior forecasts.,W01
REQ-092,Coherent joint-score/margin/win distribution,modeling,A,ACTIVE,master prompt §39; recon v1.2,W16,"Score, margin, win, spread-cover and BAS residual outputs must not contradict one another.",W01
REQ-093,Uncertainty decomposition,modeling,B,DEFAULT,master prompt §40; recon v1.2,W16-W17,Separate epistemic/aleatoric and other uncertainty components where practical; exact decomposition is selected by validation.,W01
REQ-094,OOD awareness widens uncertainty,modeling,B,DEFAULT,master prompt §40; recon v1.2,W16-W17,"Detect unusual states and use OOD primarily to widen uncertainty, not as an unvalidated directional correction.",W01
REQ-095,BAS expected-margin label is strictly pregame and OOS,BAS,A,ACTIVE,master prompt §18; source log 011,W15,Historical expected margin for BAS must be cross-fitted or otherwise leakage-safe and cannot have seen the target game result.,W01
REQ-096,Aggie Excess and peer comparison,BAS,B,DEFAULT,master prompt §18,W15,Separate ordinary underperformance risk from A&M-specific excess and evaluate against comparable peer cohorts.,W01
REQ-097,BAS significance/stability/anti-circularity tests,BAS,A,ACTIVE,master prompt §18,W15-W17,Test whether A&M-specific underperformance survives seasons/regimes/cohorts and is not labeling/model circularity.,W01
REQ-098,BAS component decompositions are candidates,BAS,C,RESEARCH,master prompt §18,W15,"Offensive/Defensive/Special Teams/Coaching/Collapse BAS are candidate scientific decompositions, not guaranteed production models.",W01
REQ-099,Weekly A&M Team State,TAMU,A,ACTIVE,master prompt §47; source log 015,W14,Maintain high-resolution A&M roster/depth/QB/OL/WR/injury/transfer/recruiting/staff/scheme/workload/travel/matchup state with uncertainty.,W01
REQ-100,A&M player/unit/coaching depth exceeds generic team,TAMU,A,ACTIVE,master prompt §47,W14,Allocate deeper collection/modeling effort to A&M than an arbitrary FBS team where it improves the product objective.,W01
REQ-101,A&M-specific calibration/evaluation priority,TAMU,A,ACTIVE,master prompt §47; source log 015,W14-W17,Evaluate A&M separately and weight A&M performance heavily while retaining national statistical honesty.,W01
REQ-102,A&M frequent snapshots and postmortems,TAMU,B,DEFAULT,master prompt §47; source log 015,W14-W22,A&M receives more frequent forecast snapshots and deep postgame error analysis without overwriting history.,W01
REQ-103,BAS must not encode fan narrative,BAS,A,ACTIVE,master prompt §18,W15+,"If A&M-specific excess underperformance is not statistically supported, report that result honestly.",W01
REQ-104,BAS historical identity decays by regime/continuity,BAS,B,DEFAULT,source log 013; master prompt W15,W15,A&M historical identity should be shrunk by regime/continuity unless persistent effects survive controlled testing; exact decay is empirical.,W01
REQ-105,Illustrative BAS percentages are not truth,BAS,A,ACTIVE,master prompt §18,ALL,"Do not hard-code example percentages, hand-built fan scores or anecdotal collapse weights.",W01
REQ-106,Strong simple baselines retained,modeling,A,ACTIVE,master prompt §45,W16-W17,Evaluate simple baselines such as Elo/logistic/score/market benchmarks and retain them for honest comparison.,W01
REQ-107,Boosted trees are strong default candidates,modeling,B,DEFAULT,master prompt §45,W16,"XGBoost/LightGBM and optional CatBoost are candidate tabular champions, not sacred requirements.",W01
REQ-108,"Small PyTorch model is challenger, not assumed winner",modeling,B,DEFAULT,master prompt §45; source logs 018-019,W16-W18,A modest neural challenger may be evaluated; complexity must beat strong baselines before promotion.,W01
REQ-109,Calibration/ensemble evaluation,modeling,A,ACTIVE,"master prompt §§45,17",W16-W17,"Evaluate calibrated ensembles, proper scoring rules and model disagreement rather than arbitrary weighting.",W01
REQ-110,Scenario/joint-score simulation is evidence-gated,modeling,B,DEFAULT,master prompt §45,W16,Monte Carlo/scenario simulation may represent availability/weather/outcome uncertainty when coherent and validated.,W01
REQ-111,Advanced sequence/graph/transformer research waits,modeling,A,ACTIVE,master prompt §45; source log 019,W18+,Expensive/complex Phase-5 challengers are considered only after strong conventional baselines and must prove incremental value.,W01
REQ-112,Local Windows hardware is primary target,operations,A,ACTIVE,master prompt §44; source log 018,W02+,"Design for Ryzen 7 HX-class CPU, 32GB RAM, RTX 5060-class GPU, Windows and NVMe as the baseline environment.",W01
REQ-113,Memory/compute-aware local processing,operations,A,ACTIVE,master prompt §44,W02+,"Use bounded concurrency, lazy/predicate pushdown, caching, partitioning, incremental updates and resumable pipelines.",W01
REQ-114,Cloud GPU not mandatory for Phases 1-4,operations,A,ACTIVE,master prompt §44; source logs 018-019,W02-W23,"If remote compute is helpful, isolate it as optional; do not make core development dependent on expensive cloud GPU.",W01
REQ-115,Autonomous dependency chain with quarantine,MLOps,B,DEFAULT,master prompt §55; source log 017,W21,"The autonomous dependency chain is a strong default ordering; implementation may refine ordering while preserving immutable raw, validation/quarantine, PIT, protected evaluation and publication correctness.",W01
REQ-116,Champion/challenger must earn promotion,MLOps,A,ACTIVE,master prompt §§55-56; source log 017,W17-W21,No automatic replacement merely because a new model exists; promotion follows protected statistical/governance gates.,W01
REQ-117,Operational cadence differs by task,MLOps,B,DEFAULT,master prompt §57,W21,"Daily/per-game state refresh, weekly model work and offseason research are default cadences subject to measurement.",W01
REQ-118,Deterministic jobs use deterministic services by default,architecture,B,DEFAULT,source log 017; master prompt §55,W03-W21,Do not turn deterministic ingestion/validation/state computation into LLM agents without a justified reason.,W01
REQ-119,LLM/research agent proposes but does not self-judge,MLOps,A,ACTIVE,master prompt §56; source log 017,W18+,Agents may propose experiments/code branches but cannot alter immutable evaluation rules or directly declare promotion.,W01
REQ-120,Protected governance is immutable/human-controlled,MLOps,A,ACTIVE,source log 017; master prompt §56,W18+,"Leakage rules, protected test periods, promotion criteria, BAS headline definition and ground truth require protected control.",W01
REQ-121,"Experiment tracking/HPO tools are defaults, not mandates",experimentation,B,DEFAULT,"master prompt §45, W18",W18,MLflow/Optuna are current strong defaults and may be replaced through ADR if better tools satisfy requirements.,W01
REQ-122,API/dashboard/explainability product comes after core science,product,B,DEFAULT,master prompt W22,W22,FastAPI/Streamlit/React are candidate implementations; product surface must reflect exact snapshot/model/source metadata and warnings.,W01
REQ-123,CI/security/observability/local operations are explicit,operations,A,ACTIVE,master prompt W23,W23,"Add appropriate CI, reproducibility, security scanning, logging/metrics, backup/restore and runbooks; Docker only where useful.",W01
REQ-124,Starter implementations carry maturity labels,repository,A,ACTIVE,master prompt §53,W19+,Every code component clearly indicates production-ready/functional starter/scaffold/interface/design-only status.,W01
REQ-125,Repository excludes large raw/model/local artifacts,repository,A,ACTIVE,"master prompt §§43,49",W01+,"Repository ZIPs include code/docs/schemas/tiny fixtures/manifests, not large raw datasets, huge binaries, virtualenvs, caches or local experiment stores.",W01
REQ-126,Stable requirement IDs are never cosmetically renumbered,governance,A,ACTIVE,master prompt §52,W01-W25,Accepted requirement IDs persist through revisions/supersession for traceability.,W01
REQ-127,Stable ADR history preserved,governance,A,ACTIVE,master prompt §52,W01-W25,Architectural decisions receive stable IDs and preserve changes/supersessions.,W01
REQ-128,Wave 06 performs fresh comprehensive data-universe research,research,A,ACTIVE,"master prompt §§20-24, W06",W06,"Search beyond reconnaissance/familiar sources across football data domains, PIT/access/license/fallback/value questions and update later waves when justified.",W01
REQ-129,Wave 24 refreshes source landscape and challenges architecture,research,A,ACTIVE,master prompt W24,W24,Run targeted source refresh and ask whether major architecture decisions should be kept/revised/deferred/rejected using implementation evidence.,W01
REQ-130,Wave 25 performs final consolidation and Codex handoff,program,A,COMPLETE_W25,master prompt W25,W25,Audit repository/requirements/ADRs/data/PIT/features/architecture/acceptance and produce final implementation order and handoff.,W01
REQ-131,Wave 01 reads all source logs in numeric order,provenance,A,COMPLETE_W01,master prompt §74 + W01 hardening,W01,Read every supplied TXT source log; numeric sequence 001→020 is authoritative rather than ZIP archive entry order.,W01
REQ-132,Wave 01 reads mandatory recon chain and extension policies/schemas,provenance,A,COMPLETE_W01,"master prompt §§9,74",W01,Read prescribed reconnaissance files and all policy/schema files under v1.1 and v1.2 before finalizing source synthesis.,W01
REQ-133,Minimal src-layout package scaffold,repository,B,COMPLETE_W02,Wave02 adaptive review; master W02/W03,W02-W03,W02 used a minimal installable src scaffold and deliberately deferred domain/service decomposition; W03 subsequently refined the architecture through ADR-052.,W02
REQ-134,Preferred local Python 3.12 baseline,operations,B,ACTIVE,Wave02 local compatibility decision; REQ-112,W02+,Prefer CPython 3.12 locally; permit nearby supported minors during starter planning until model-library compatibility is benchmarked.,W02
REQ-135,Portable venv plus pip bootstrap baseline,operations,B,ACTIVE,Wave02 simplicity/local-first rule,W02+,Standard Python venv/pip must be sufficient to bootstrap; optional faster environment managers cannot become mandatory without evidence.,W02
REQ-136,Executable repository integrity command,testing,A,ACTIVE,"master §§16,54,66; W02",W02+,"Provide one cross-platform command that checks required structure, manifest coverage/hashes, governance IDs, secrets and forbidden artifacts.",W02
REQ-137,Deterministic non-self-referential manifests,packaging,A,ACTIVE,REQ-008; ADR-024; W01 CHANGE-003,W02+,Generate tree/manifest/hash evidence deterministically while excluding manifest/hash files from their own scope.,W02
REQ-138,ZIP path safety before extraction,security,A,ACTIVE,pack integrity hardening,W02+,"Reject absolute, drive-qualified and parent-traversal ZIP members before extraction of wave artifacts.",W02
REQ-139,Hydration allowlist is machine-readable,packaging,A,ACTIVE,master §14; Wave02,W02+,Generate hydration packs from an explicit source-to-archive allowlist plus generated binding/recovery/hash files.,W02
REQ-140,Local and CI validation use same commands,operations,A,ACTIVE,Wave02 CI parity,W02-W23,Minimal CI must call the same repository-integrity and unit-test commands used locally to reduce environment divergence.,W02
REQ-141,Cross-platform repository operations,operations,A,ACTIVE,REQ-112; master §53,W02+,Repository tooling uses pathlib/Python and is exercised on Windows and Linux CI; Windows wrappers remain thin operators.,W02
REQ-142,Codex worktree isolation contract,repository,A,ACTIVE,master §50; source implementation planning,W02+,Use focused worktrees/branches and prohibit uncoordinated parallel mutation of unfrozen shared contracts/protected governance.,W02
REQ-143,Codex branch naming default,repository,B,ACTIVE,master §50,W02+,"Default isolated branch convention is codex/<epic>-<task>, revisable if repository workflow later requires another convention.",W02
REQ-144,Do not freeze Wave03 domain boundaries in W02,architecture,A,COMPLETE_W02,master W02/W03; adaptive review,W02,Wave02 establishes operational structure only and deliberately defers detailed service/domain/module architecture to Wave03.,W02
REQ-145,Windows PowerShell operator wrappers,operations,B,ACTIVE,REQ-112; Wave02,W02+,"Provide thin PowerShell wrappers for bootstrap, validation, prior-wave verification, packaging and worktree creation.",W02
REQ-146,Repository line-ending and path portability policy,repository,B,ACTIVE,Wave02 Windows/Linux interoperability,W02+,Normalize text line endings through .gitattributes/.editorconfig and use project-relative/pathlib paths in Python.,W02
REQ-147,Deterministic cumulative ZIP content order,packaging,A,ACTIVE,master §§13-16; Wave02,W02+,Cumulative/hydration ZIP members are sorted and normalized so identical staged bytes yield identical archives.,W02
REQ-148,Completed wave pair validator,testing,A,ACTIVE,"master §§15,66; Wave02",W02+,"Validate cumulative SHA binding, hydration required files/hashes, safe ZIP paths and cumulative internal manifest before handoff.",W02
REQ-149,Wave02 CI remains minimal scaffold,operations,B,ACTIVE,master W23; no-cargo-cult rule,W02-W23,W02 CI covers repository/tool integrity only; full security/dependency/deployment/observability CI is deferred to W23 unless required earlier.,W02
REQ-150,No unverified tool-specific Codex config schema,repository,B,ACTIVE,adaptive evidence rule,W02+,Do not commit guessed external-tool configuration formats; keep Codex operating contracts as documented repository files until a schema is verified and useful.,W02
REQ-151,Offline-first modular monolith default,architecture,B,ACTIVE,W03 architecture comparison; local-first invariant,W03+,Use one local modular application/repository by default; split deployable services only when independent scaling/security/latency evidence justifies it.,W03
REQ-152,Pregame product uses immutable snapshot serving,architecture,B,ACTIVE,W03 architecture comparison; prediction snapshot principle,W03-W22,Dashboard/API should read immutable forecast snapshots rather than synchronously run ingestion/features/models per request.,W03
REQ-153,Production forecast path does not require research agents,governance,A,ACTIVE,Research-agent governance,W03+,Core forecast refresh must not import or require research-agent execution.,W03
REQ-154,LLM is optional assistive capability,architecture,A,ACTIVE,Source logs; deterministic services decision,W03+,The deterministic core forecast runtime must not require an LLM. LLM-assisted extraction/research/explanation remains optional and evidence-governed.,W03
