epic_id,phase_id,owner_wave,title,objective,priority,replan_gate,status
EPIC-021,PHASE-4,W16,"Model targets, joint score and simulation",Build coherent outcome-distribution architecture for win/loss/score/margin/BAS rather than disconnected point predictions.,MUST,W06_REPLAN,DONE_W16_CONTRACT_ONLY
EPIC-022,PHASE-4,W16-W17,"Uncertainty, OOD and market lanes",Separate pure-football and timestamp-safe market-augmented forecasts and expose uncertainty without unsupported directional claims.,MUST,W06_REPLAN,W16_CONTRACTS_COMPLETE_W17_PROTOCOL_PENDING
EPIC-023,PHASE-4,W17,"Validation, benchmarking and promotion science",Protect chronological evaluation and promotion rules before protected results are observed.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-024,PHASE-4,W18,Experimentation and autonomous research system,Build a governed experiment queue that can propose/run challengers without changing its own judging rules.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-025,PHASE-4,W20,"Model, calibration and forecast starter implementation",Implement selected baseline/boosting/score/calibration/ensemble/uncertainty interfaces without fabricated performance.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-026,PHASE-4,W21,Autonomous weekly MLOps,Create resumable ingestion→QA→state→features→train→evaluate→promote→forecast→postmortem workflows.,MUST,W06_REPLAN,COMPLETE_W21_FUNCTIONAL_STARTER
EPIC-027,PHASE-4,W22,"API, dashboard and forecast product","Serve immutable forecast snapshots with lineage, explanation, uncertainty, BAS and availability context.",MUST,W06_REPLAN,COMPLETE_W22_FUNCTIONAL_STARTER
EPIC-028,PHASE-4,W23,"CI/CD, security, observability and local operations",Harden the local production path using measured operational needs rather than cargo-cult infrastructure.,MUST,W06_REPLAN,READY_W23
EPIC-029,PHASE-5,W18+,Advanced challenger framework,Allow neural/sequence/graph/other challengers only after strong baselines and protected evaluation exist.,SHOULD,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-030,PHASE-5,W24+,Future live/in-game research lane,Research chronological live replay without allowing live state into the same game pregame feature row.,COULD,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-031,PHASE-5,W24,End-to-end readiness and source refresh,"Replay the integrated system, refresh source assumptions and challenge architecture before final consolidation.",MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-032,PHASE-5,W25,Final consolidation and Codex handoff,Audit all requirements/ADRs/data/PIT/features/models/acceptance and deliver the final canonical repository and implementation priority.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-033,PHASE-4,W06-W25,"Program governance, packaging and adaptive control","Maintain cumulative integrity, stable IDs, acceptance evidence, architecture conformance and adaptive replanning across all implementation waves.",MUST,NONE,PLANNED
