packet_id,epic_id,owner_wave,priority,task_ids,depends_on_epics,status,worktree_pattern,shared_contract_policy,required_exit_evidence,stop_conditions
PACKET-011,EPIC-011,W13,MUST,TASK-059;TASK-060;TASK-061;TASK-062;TASK-063;TASK-064,EPIC-002;EPIC-003;EPIC-009,DONE_CURRENT_STATE,codex/epic-011-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-012,EPIC-012,W13,MUST,TASK-065;TASK-066;TASK-067;TASK-068;TASK-069;TASK-070;TASK-195;TASK-198,EPIC-001;EPIC-002;EPIC-003;EPIC-006,DONE_CURRENT_STATE,codex/epic-012-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-013,EPIC-013,W13,MUST,TASK-071;TASK-072;TASK-073;TASK-074;TASK-075;TASK-076,EPIC-005;EPIC-006;EPIC-012,DONE_CURRENT_STATE,codex/epic-013-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-014,EPIC-014,W13,MUST,TASK-077;TASK-078;TASK-079;TASK-080;TASK-081;TASK-082;TASK-201,EPIC-001;EPIC-003;EPIC-005;EPIC-006;EPIC-011;EPIC-012;EPIC-013,DONE_CURRENT_STATE,codex/epic-014-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-015,EPIC-015,W19-W20,MUST,TASK-083;TASK-084;TASK-085;TASK-086;TASK-087,EPIC-007;EPIC-008;EPIC-009;EPIC-010;EPIC-011;EPIC-012;EPIC-013;EPIC-014,PLANNED,codex/epic-015-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-016,EPIC-016,W14,MUST,TASK-088;TASK-089;TASK-090;TASK-091;TASK-092;TASK-093,EPIC-003;EPIC-006;EPIC-009;EPIC-010;EPIC-011;EPIC-012;EPIC-013;EPIC-014,DONE_CURRENT_STATE,codex/epic-016-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-017,EPIC-017,W14,MUST,TASK-094;TASK-095;TASK-096;TASK-097;TASK-098;TASK-099,EPIC-016,DONE_CURRENT_STATE,codex/epic-017-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-018,EPIC-018,W15,MUST,TASK-100;TASK-101;TASK-102;TASK-103;TASK-104,EPIC-003;EPIC-017,DONE_CURRENT_STATE,codex/epic-018-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-019,EPIC-019,W15-W17,MUST,TASK-105;TASK-106;TASK-107;TASK-108;TASK-109;TASK-110,EPIC-016;EPIC-018;EPIC-023,DONE_CURRENT_STATE,codex/epic-019-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-020,EPIC-020,W20,MUST,TASK-111;TASK-112;TASK-113;TASK-114;TASK-115,EPIC-008;EPIC-016;EPIC-017;EPIC-018;EPIC-019,DONE_W20,codex/epic-020-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-021,EPIC-021,W16,MUST,TASK-116;TASK-117;TASK-118;TASK-119;TASK-120;TASK-121,EPIC-009;EPIC-012;EPIC-017;EPIC-018,DONE_CURRENT_STATE,codex/epic-021-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-022,EPIC-022,W16-W17,MUST,TASK-122;TASK-123;TASK-124;TASK-125;TASK-126;TASK-127;TASK-196,EPIC-003;EPIC-021;EPIC-023,DONE_CURRENT_STATE,codex/epic-022-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-023,EPIC-023,W17,MUST,TASK-128;TASK-129;TASK-130;TASK-131;TASK-132;TASK-133,EPIC-007;EPIC-019;EPIC-021;EPIC-022,DONE_CURRENT_STATE,codex/epic-023-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-024,EPIC-024,W18,MUST,TASK-134;TASK-135;TASK-136;TASK-137;TASK-138;TASK-139,EPIC-023,DONE_CURRENT_STATE,codex/epic-024-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-025,EPIC-025,W20,MUST,TASK-140;TASK-141;TASK-142;TASK-143;TASK-144;TASK-145,EPIC-007;EPIC-008;EPIC-020;EPIC-021;EPIC-022;EPIC-023,DONE_W20,codex/epic-025-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-026,EPIC-026,W21,MUST,TASK-146;TASK-147;TASK-148;TASK-149;TASK-150;TASK-151,EPIC-008;EPIC-023;EPIC-024;EPIC-025,DONE_W21,codex/epic-026-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-027,EPIC-027,W22,MUST,TASK-152;TASK-153;TASK-154;TASK-155;TASK-156;TASK-157,EPIC-020;EPIC-025;EPIC-026,DONE_W22_FUNCTIONAL_STARTER,codex/epic-027-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-028,EPIC-028,W23,MUST,TASK-158;TASK-159;TASK-160;TASK-161;TASK-162;TASK-163,EPIC-025;EPIC-026;EPIC-027,READY_W23,codex/epic-028-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-029,EPIC-029,W18+,SHOULD,TASK-164;TASK-165;TASK-166;TASK-167;TASK-168,EPIC-007;EPIC-023;EPIC-024,PLANNED,codex/epic-029-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-030,EPIC-030,W24+,COULD,TASK-169;TASK-170;TASK-171;TASK-172,EPIC-028,PLANNED,codex/epic-030-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-031,EPIC-031,W24,MUST,TASK-173;TASK-174;TASK-175;TASK-176;TASK-177;TASK-178;TASK-199,EPIC-028,DONE_CURRENT_STATE,codex/epic-031-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-032,EPIC-032,W25,MUST,TASK-179;TASK-180;TASK-181;TASK-182;TASK-183;TASK-184,EPIC-031,DONE_CURRENT_STATE,codex/epic-032-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-033,EPIC-033,W06-W25,MUST,TASK-185;TASK-186;TASK-187;TASK-188;TASK-189,,DONE_CURRENT_STATE,codex/epic-033-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
