label,category,definition,issue_count,allow_freeform_variants
integration-test,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,2,false
live,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
mlops,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
modeling,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
operations,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,28,false
pit,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
planning-program,lifecycle,Controlled lifecycle label used by the generated Jira system.,234,false
post-wave,lifecycle,Controlled lifecycle label used by the generated Jira system.,229,false
product,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
program-control,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,2,false
program-gate,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,1,false
protected-gate,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,72,false
raw-data,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
release,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
research,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,8,false
research-design,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,4,false
research-gate,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,1,false
research-governance,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,2,false
research-implementation,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,2,false
research-lane,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,16,false
scientific,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,9,false
security,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,2,false
shared-contract,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,14,false
solo-worktree,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,8,false
sources,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,17,false
story,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,53,false
subtask,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,159,false
tamu,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
temporal-design,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,2,false
validation,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,18,false
validation-design,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,8,false
w06,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,7,false
w06-w25,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,6,false
w07,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,8,false
w08,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,9,false
w09,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,7,false
w10,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,7,false
w11,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,8,false
w12,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,16,false
w13,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,31,false
w14,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,14,false
w15,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,10,false
w15-w17,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,1,false
w16,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,14,false
w16-w17,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,3,false
w17,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
w18,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
w19,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,11,false
w19-w20,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,1,false
w20,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,14,false
w21,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,7,false
w22,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,7,false
w23,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,7,false
w24,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
w25,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,7,false
wave-completed,lifecycle,Controlled lifecycle label used by the generated Jira system.,221,false
