"source_id","owner","dataset","domain","official_nonofficial","canonical_url","stable_id_capability","join_keys","source_role","acquisition_priority","inclusion_status","upstream_relationship","independent_corroboration","access_method","authentication","cost","rate_limits","historical_depth","divisions_covered","timestamp_fields","pit_feasibility","known_at_feasibility","snapshot_required","pit_guardrail","terms_or_license","redistribution","attribution","repository_eligibility","availability_disposition","supersession_status","production_disposition","disposition_reason","version_or_commit","refresh_change","verified_at_utc","provenance_basis"
"SRC-011","Official conferences","stats/schedules/archives/game notes","conference validation/context","OFFICIAL","conference-specific","source-specific","canonical mapping required","official validation/fallback and reports","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","NOT_CLAIMED_SINGLE_SOURCE","HTML/PDF","none","free","source-specific","conference-dependent","FBS/FCS","event/publication date","DIRECT_OR_HISTORICAL_BY_FIELD","REVIEW_REQUIRED","CONDITIONAL","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","W06_BASELINE","2026-08-08T00:00:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv;docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv"
"SRC-012","Recognized preseason selectors","preseason all-conference/all-America","preseason honors","MIXED","selector-specific","source-specific","canonical mapping required","consensus prior research candidate","SECONDARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","NOT_CLAIMED_SINGLE_SOURCE","HTML/PDF","none/varies","free/varies","source-specific","selector-dependent","national/conference","announcement date","DIRECT_PREGAME_SAFE_AFTER_PUBLICATION","REVIEW_REQUIRED","CONDITIONAL","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","W06_BASELINE","2026-08-08T00:00:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv;docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv"
"SRC-013","NCAA","Football Playing Rules + legislation/LSDBi","rules/regulatory era","OFFICIAL_GOVERNING_BODY","https://www.ncaa.org/championships/playing-rules/football-playing-rules/","source-specific","canonical mapping required","EFFECTIVE_DATED_RULE_ENVIRONMENT","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","YES","HTML/PDF/legislative DB","none","free","source-specific","current + archived rules/legislation","NCAA divisions","adoption/effective/publication date","DIRECT_SAFE_BY_EFFECTIVE_DATE","REVIEW_REQUIRED","CONDITIONAL","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","REFINED","2026-08-09T00:30:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w24/SOURCE_REFRESH_DELTA.csv"
"SRC-014","Official gamebooks/box scores","gamebooks incl. officials/participation","game/officials/participation","OFFICIAL","school/conference-specific","source-specific","canonical mapping required","official reconciliation, officiating and participation evidence","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","NOT_CLAIMED_SINGLE_SOURCE","PDF/HTML","none","free","source-specific","school/conference dependent","all","game/document date","POSTGAME_FOR_GAME_STATS; PREGAME_FOR_PREP_DOCS","REVIEW_REQUIRED","CONDITIONAL","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","W06_BASELINE","2026-08-08T00:00:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv;docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv"
"SRC-015","NCAA Statistics","Football Statistics & Records","team/player stats/lower divisions/attendance","OFFICIAL_GOVERNING_BODY","https://www.ncaa.org/championships/statistics-and-records/football/","source-specific","canonical mapping required","official validation + lower-division foundation","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","NOT_CLAIMED_SINGLE_SOURCE","HTML/PDF/stats.ncaa.org","none","free","source-specific","archived rankings/statistics including DII/DIII 2001+ and broader records","FBS/FCS/DII/DIII","season/week/game","HISTORICAL_GAME_OUTPUT_SAFE_VIA_PRIOR_GAME_AGGREGATION","REVIEW_REQUIRED","CONDITIONAL","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","W06_BASELINE","2026-08-08T00:00:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv;docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv"
"SRC-016","NCAA","Membership Directory","entity identity/membership","OFFICIAL_GOVERNING_BODY","https://web3.ncaa.org/directory/","source-specific","canonical mapping required","canonical institution/division/conference crosswalk support","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","NOT_CLAIMED_SINGLE_SOURCE","HTML directory","none","free","source-specific","current plus membership metadata/history signals","NCAA institutions/conferences","current/effective membership fields","DIRECT_IDENTITY_METADATA","REVIEW_REQUIRED","CONDITIONAL","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","W06_BASELINE","2026-08-08T00:00:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv;docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv"
"SRC-017","Southeastern Conference","Football Student-Athlete Availability Reports","injuries/availability","OFFICIAL","https://www.secsports.com/fbreports-archive","source-specific","canonical mapping required","TAMU_AVAILABILITY_PRIMARY","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","YES","public HTML/report archive","none","free","source-specific","2024 onward","SEC conference games","report publication/update; final 90 min pregame","DIRECT_PREGAME_SAFE_BY_REPORT_VERSION","DIRECT_PREGAME_SAFE_AFTER_PUBLICATION","YES","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","UNCHANGED","2026-08-09T00:30:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w24/SOURCE_REFRESH_DELTA.csv"
"SRC-018","Big Ten Conference","Gameday Availability Reports","injuries/availability","OFFICIAL","https://bigten.org/fb/article/blt2856785fb75ee868/","source-specific","canonical mapping required","national official availability lane","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","NOT_CLAIMED_SINGLE_SOURCE","public conference reports","none","free","source-specific","2023 onward","Big Ten football competition","gameday report/publication","DIRECT_PREGAME_SAFE_AFTER_PUBLICATION","REVIEW_REQUIRED","YES","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","W06_BASELINE","2026-08-08T00:00:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv;docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv"
"SRC-019","Atlantic Coast Conference","Availability Reporting","injuries/availability","OFFICIAL","https://theacc.com/sports/2025/8/28/availability-reporting.aspx","source-specific","canonical mapping required","OFFICIAL_CONFERENCE_AVAILABILITY","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","YES","public HTML/PDF/reports","none","free","source-specific","2025 onward","ACC conference football games","two nights/night before/2h pregame reports","DIRECT_PREGAME_SAFE_BY_REPORT_VERSION","REVIEW_REQUIRED","YES","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","UNCHANGED","2026-08-09T00:30:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w24/SOURCE_REFRESH_DELTA.csv"
"SRC-020","Big 12 Conference","Player Availability Reporting","injuries/availability","OFFICIAL","https://big12sports.com/news/2025/8/13/general-big-12-conference-to-begin-player-availability-reporting-for-football-womens-and-mens-basketball.aspx","source-specific","canonical mapping required","OFFICIAL_CONFERENCE_AVAILABILITY","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","YES","public reports","none","free","source-specific","2025 onward","Big 12 conference games","daily starting 3 days pregame; final 90m","DIRECT_PREGAME_SAFE_BY_REPORT_VERSION","REVIEW_REQUIRED","YES","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","UNCHANGED","2026-08-09T00:30:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w24/SOURCE_REFRESH_DELTA.csv"
"SRC-021","American Conference","Football Player Availability Reports","injuries/availability","OFFICIAL","https://theamerican.org/sports/2025/8/5/fbavail.aspx","source-specific","canonical mapping required","national official availability lane","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","NOT_CLAIMED_SINGLE_SOURCE","public reports","none","free","source-specific","2025 onward","American intraconference games","no later than 2h pre-kick","DIRECT_PREGAME_SAFE_AFTER_PUBLICATION","REVIEW_REQUIRED","YES","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","W06_BASELINE","2026-08-08T00:00:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv;docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv"
