source_local_id,relationship,target_local_id,source_jira_key,target_jira_key,target_link_type_name,status
POST-SUBTASK-002,BLOCKS,POST-SUBTASK-007,{{JIRA_KEY:POST-SUBTASK-002}},{{JIRA_KEY:POST-SUBTASK-007}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-002,BLOCKS,POST-SUBTASK-008,{{JIRA_KEY:POST-SUBTASK-002}},{{JIRA_KEY:POST-SUBTASK-008}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-002,BLOCKS,POST-SUBTASK-009,{{JIRA_KEY:POST-SUBTASK-002}},{{JIRA_KEY:POST-SUBTASK-009}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-002,BLOCKS,POST-SUBTASK-124,{{JIRA_KEY:POST-SUBTASK-002}},{{JIRA_KEY:POST-SUBTASK-124}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-002,BLOCKS,POST-SUBTASK-125,{{JIRA_KEY:POST-SUBTASK-002}},{{JIRA_KEY:POST-SUBTASK-125}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-002,BLOCKS,POST-SUBTASK-126,{{JIRA_KEY:POST-SUBTASK-002}},{{JIRA_KEY:POST-SUBTASK-126}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-004,BLOCKS,POST-SUBTASK-005,{{JIRA_KEY:POST-SUBTASK-004}},{{JIRA_KEY:POST-SUBTASK-005}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-004,BLOCKS,POST-SUBTASK-006,{{JIRA_KEY:POST-SUBTASK-004}},{{JIRA_KEY:POST-SUBTASK-006}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-005,BLOCKS,POST-SUBTASK-006,{{JIRA_KEY:POST-SUBTASK-005}},{{JIRA_KEY:POST-SUBTASK-006}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-006,BLOCKS,POST-STORY-003,{{JIRA_KEY:POST-SUBTASK-006}},{{JIRA_KEY:POST-STORY-003}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-006,BLOCKS,POST-STORY-009,{{JIRA_KEY:POST-SUBTASK-006}},{{JIRA_KEY:POST-STORY-009}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-006,BLOCKS,POST-SUBTASK-007,{{JIRA_KEY:POST-SUBTASK-006}},{{JIRA_KEY:POST-SUBTASK-007}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-006,BLOCKS,POST-SUBTASK-008,{{JIRA_KEY:POST-SUBTASK-006}},{{JIRA_KEY:POST-SUBTASK-008}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-006,BLOCKS,POST-SUBTASK-009,{{JIRA_KEY:POST-SUBTASK-006}},{{JIRA_KEY:POST-SUBTASK-009}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-006,BLOCKS,POST-SUBTASK-025,{{JIRA_KEY:POST-SUBTASK-006}},{{JIRA_KEY:POST-SUBTASK-025}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-006,BLOCKS,POST-SUBTASK-026,{{JIRA_KEY:POST-SUBTASK-006}},{{JIRA_KEY:POST-SUBTASK-026}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-006,BLOCKS,POST-SUBTASK-027,{{JIRA_KEY:POST-SUBTASK-006}},{{JIRA_KEY:POST-SUBTASK-027}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-007,BLOCKS,POST-SUBTASK-008,{{JIRA_KEY:POST-SUBTASK-007}},{{JIRA_KEY:POST-SUBTASK-008}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-007,BLOCKS,POST-SUBTASK-009,{{JIRA_KEY:POST-SUBTASK-007}},{{JIRA_KEY:POST-SUBTASK-009}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-008,BLOCKS,POST-SUBTASK-009,{{JIRA_KEY:POST-SUBTASK-008}},{{JIRA_KEY:POST-SUBTASK-009}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-009,BLOCKS,POST-EPIC-015,{{JIRA_KEY:POST-SUBTASK-009}},{{JIRA_KEY:POST-EPIC-015}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-009,BLOCKS,POST-STORY-004,{{JIRA_KEY:POST-SUBTASK-009}},{{JIRA_KEY:POST-STORY-004}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-009,BLOCKS,POST-STORY-041,{{JIRA_KEY:POST-SUBTASK-009}},{{JIRA_KEY:POST-STORY-041}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-009,BLOCKS,POST-STORY-046,{{JIRA_KEY:POST-SUBTASK-009}},{{JIRA_KEY:POST-STORY-046}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-009,BLOCKS,POST-SUBTASK-010,{{JIRA_KEY:POST-SUBTASK-009}},{{JIRA_KEY:POST-SUBTASK-010}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-009,BLOCKS,POST-SUBTASK-011,{{JIRA_KEY:POST-SUBTASK-009}},{{JIRA_KEY:POST-SUBTASK-011}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-009,BLOCKS,POST-SUBTASK-012,{{JIRA_KEY:POST-SUBTASK-009}},{{JIRA_KEY:POST-SUBTASK-012}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-009,BLOCKS,POST-SUBTASK-121,{{JIRA_KEY:POST-SUBTASK-009}},{{JIRA_KEY:POST-SUBTASK-121}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-009,BLOCKS,POST-SUBTASK-122,{{JIRA_KEY:POST-SUBTASK-009}},{{JIRA_KEY:POST-SUBTASK-122}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-009,BLOCKS,POST-SUBTASK-123,{{JIRA_KEY:POST-SUBTASK-009}},{{JIRA_KEY:POST-SUBTASK-123}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-009,BLOCKS,POST-SUBTASK-136,{{JIRA_KEY:POST-SUBTASK-009}},{{JIRA_KEY:POST-SUBTASK-136}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-009,BLOCKS,POST-SUBTASK-137,{{JIRA_KEY:POST-SUBTASK-009}},{{JIRA_KEY:POST-SUBTASK-137}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-009,BLOCKS,POST-SUBTASK-138,{{JIRA_KEY:POST-SUBTASK-009}},{{JIRA_KEY:POST-SUBTASK-138}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-010,BLOCKS,POST-SUBTASK-011,{{JIRA_KEY:POST-SUBTASK-010}},{{JIRA_KEY:POST-SUBTASK-011}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-010,BLOCKS,POST-SUBTASK-012,{{JIRA_KEY:POST-SUBTASK-010}},{{JIRA_KEY:POST-SUBTASK-012}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-011,BLOCKS,POST-SUBTASK-012,{{JIRA_KEY:POST-SUBTASK-011}},{{JIRA_KEY:POST-SUBTASK-012}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-013,BLOCKS,POST-SUBTASK-014,{{JIRA_KEY:POST-SUBTASK-013}},{{JIRA_KEY:POST-SUBTASK-014}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-013,BLOCKS,POST-SUBTASK-015,{{JIRA_KEY:POST-SUBTASK-013}},{{JIRA_KEY:POST-SUBTASK-015}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-014,BLOCKS,POST-SUBTASK-015,{{JIRA_KEY:POST-SUBTASK-014}},{{JIRA_KEY:POST-SUBTASK-015}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-015,BLOCKS,POST-STORY-006,{{JIRA_KEY:POST-SUBTASK-015}},{{JIRA_KEY:POST-STORY-006}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-015,BLOCKS,POST-STORY-007,{{JIRA_KEY:POST-SUBTASK-015}},{{JIRA_KEY:POST-STORY-007}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-015,BLOCKS,POST-SUBTASK-016,{{JIRA_KEY:POST-SUBTASK-015}},{{JIRA_KEY:POST-SUBTASK-016}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-015,BLOCKS,POST-SUBTASK-017,{{JIRA_KEY:POST-SUBTASK-015}},{{JIRA_KEY:POST-SUBTASK-017}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-015,BLOCKS,POST-SUBTASK-018,{{JIRA_KEY:POST-SUBTASK-015}},{{JIRA_KEY:POST-SUBTASK-018}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-015,BLOCKS,POST-SUBTASK-019,{{JIRA_KEY:POST-SUBTASK-015}},{{JIRA_KEY:POST-SUBTASK-019}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-015,BLOCKS,POST-SUBTASK-020,{{JIRA_KEY:POST-SUBTASK-015}},{{JIRA_KEY:POST-SUBTASK-020}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-015,BLOCKS,POST-SUBTASK-021,{{JIRA_KEY:POST-SUBTASK-015}},{{JIRA_KEY:POST-SUBTASK-021}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-016,BLOCKS,POST-SUBTASK-017,{{JIRA_KEY:POST-SUBTASK-016}},{{JIRA_KEY:POST-SUBTASK-017}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-016,BLOCKS,POST-SUBTASK-018,{{JIRA_KEY:POST-SUBTASK-016}},{{JIRA_KEY:POST-SUBTASK-018}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-017,BLOCKS,POST-SUBTASK-018,{{JIRA_KEY:POST-SUBTASK-017}},{{JIRA_KEY:POST-SUBTASK-018}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-018,BLOCKS,POST-STORY-008,{{JIRA_KEY:POST-SUBTASK-018}},{{JIRA_KEY:POST-STORY-008}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-018,BLOCKS,POST-STORY-009,{{JIRA_KEY:POST-SUBTASK-018}},{{JIRA_KEY:POST-STORY-009}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-018,BLOCKS,POST-SUBTASK-022,{{JIRA_KEY:POST-SUBTASK-018}},{{JIRA_KEY:POST-SUBTASK-022}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-018,BLOCKS,POST-SUBTASK-023,{{JIRA_KEY:POST-SUBTASK-018}},{{JIRA_KEY:POST-SUBTASK-023}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-018,BLOCKS,POST-SUBTASK-024,{{JIRA_KEY:POST-SUBTASK-018}},{{JIRA_KEY:POST-SUBTASK-024}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-018,BLOCKS,POST-SUBTASK-025,{{JIRA_KEY:POST-SUBTASK-018}},{{JIRA_KEY:POST-SUBTASK-025}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-018,BLOCKS,POST-SUBTASK-026,{{JIRA_KEY:POST-SUBTASK-018}},{{JIRA_KEY:POST-SUBTASK-026}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-018,BLOCKS,POST-SUBTASK-027,{{JIRA_KEY:POST-SUBTASK-018}},{{JIRA_KEY:POST-SUBTASK-027}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-019,BLOCKS,POST-SUBTASK-020,{{JIRA_KEY:POST-SUBTASK-019}},{{JIRA_KEY:POST-SUBTASK-020}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-019,BLOCKS,POST-SUBTASK-021,{{JIRA_KEY:POST-SUBTASK-019}},{{JIRA_KEY:POST-SUBTASK-021}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-020,BLOCKS,POST-SUBTASK-021,{{JIRA_KEY:POST-SUBTASK-020}},{{JIRA_KEY:POST-SUBTASK-021}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-021,BLOCKS,POST-STORY-008,{{JIRA_KEY:POST-SUBTASK-021}},{{JIRA_KEY:POST-STORY-008}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-021,BLOCKS,POST-STORY-009,{{JIRA_KEY:POST-SUBTASK-021}},{{JIRA_KEY:POST-STORY-009}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-021,BLOCKS,POST-SUBTASK-022,{{JIRA_KEY:POST-SUBTASK-021}},{{JIRA_KEY:POST-SUBTASK-022}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-021,BLOCKS,POST-SUBTASK-023,{{JIRA_KEY:POST-SUBTASK-021}},{{JIRA_KEY:POST-SUBTASK-023}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-021,BLOCKS,POST-SUBTASK-024,{{JIRA_KEY:POST-SUBTASK-021}},{{JIRA_KEY:POST-SUBTASK-024}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-021,BLOCKS,POST-SUBTASK-025,{{JIRA_KEY:POST-SUBTASK-021}},{{JIRA_KEY:POST-SUBTASK-025}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-021,BLOCKS,POST-SUBTASK-026,{{JIRA_KEY:POST-SUBTASK-021}},{{JIRA_KEY:POST-SUBTASK-026}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-021,BLOCKS,POST-SUBTASK-027,{{JIRA_KEY:POST-SUBTASK-021}},{{JIRA_KEY:POST-SUBTASK-027}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-022,BLOCKS,POST-STORY-009,{{JIRA_KEY:POST-SUBTASK-022}},{{JIRA_KEY:POST-STORY-009}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-022,BLOCKS,POST-SUBTASK-023,{{JIRA_KEY:POST-SUBTASK-022}},{{JIRA_KEY:POST-SUBTASK-023}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-022,BLOCKS,POST-SUBTASK-024,{{JIRA_KEY:POST-SUBTASK-022}},{{JIRA_KEY:POST-SUBTASK-024}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-022,BLOCKS,POST-SUBTASK-025,{{JIRA_KEY:POST-SUBTASK-022}},{{JIRA_KEY:POST-SUBTASK-025}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-022,BLOCKS,POST-SUBTASK-026,{{JIRA_KEY:POST-SUBTASK-022}},{{JIRA_KEY:POST-SUBTASK-026}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-022,BLOCKS,POST-SUBTASK-027,{{JIRA_KEY:POST-SUBTASK-022}},{{JIRA_KEY:POST-SUBTASK-027}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-023,BLOCKS,POST-SUBTASK-024,{{JIRA_KEY:POST-SUBTASK-023}},{{JIRA_KEY:POST-SUBTASK-024}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-024,BLOCKS,POST-EPIC-003,{{JIRA_KEY:POST-SUBTASK-024}},{{JIRA_KEY:POST-EPIC-003}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-024,BLOCKS,POST-EPIC-014,{{JIRA_KEY:POST-SUBTASK-024}},{{JIRA_KEY:POST-EPIC-014}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-024,BLOCKS,POST-STORY-036,{{JIRA_KEY:POST-SUBTASK-024}},{{JIRA_KEY:POST-STORY-036}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-024,BLOCKS,POST-STORY-043,{{JIRA_KEY:POST-SUBTASK-024}},{{JIRA_KEY:POST-STORY-043}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-024,BLOCKS,POST-SUBTASK-106,{{JIRA_KEY:POST-SUBTASK-024}},{{JIRA_KEY:POST-SUBTASK-106}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-024,BLOCKS,POST-SUBTASK-107,{{JIRA_KEY:POST-SUBTASK-024}},{{JIRA_KEY:POST-SUBTASK-107}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-024,BLOCKS,POST-SUBTASK-108,{{JIRA_KEY:POST-SUBTASK-024}},{{JIRA_KEY:POST-SUBTASK-108}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-024,BLOCKS,POST-SUBTASK-127,{{JIRA_KEY:POST-SUBTASK-024}},{{JIRA_KEY:POST-SUBTASK-127}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-024,BLOCKS,POST-SUBTASK-128,{{JIRA_KEY:POST-SUBTASK-024}},{{JIRA_KEY:POST-SUBTASK-128}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-024,BLOCKS,POST-SUBTASK-129,{{JIRA_KEY:POST-SUBTASK-024}},{{JIRA_KEY:POST-SUBTASK-129}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-025,BLOCKS,POST-SUBTASK-026,{{JIRA_KEY:POST-SUBTASK-025}},{{JIRA_KEY:POST-SUBTASK-026}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-025,BLOCKS,POST-SUBTASK-027,{{JIRA_KEY:POST-SUBTASK-025}},{{JIRA_KEY:POST-SUBTASK-027}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-026,BLOCKS,POST-SUBTASK-027,{{JIRA_KEY:POST-SUBTASK-026}},{{JIRA_KEY:POST-SUBTASK-027}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-027,BLOCKS,POST-STORY-010,{{JIRA_KEY:POST-SUBTASK-027}},{{JIRA_KEY:POST-STORY-010}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-027,BLOCKS,POST-STORY-011,{{JIRA_KEY:POST-SUBTASK-027}},{{JIRA_KEY:POST-STORY-011}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-027,BLOCKS,POST-SUBTASK-028,{{JIRA_KEY:POST-SUBTASK-027}},{{JIRA_KEY:POST-SUBTASK-028}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-027,BLOCKS,POST-SUBTASK-029,{{JIRA_KEY:POST-SUBTASK-027}},{{JIRA_KEY:POST-SUBTASK-029}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-027,BLOCKS,POST-SUBTASK-030,{{JIRA_KEY:POST-SUBTASK-027}},{{JIRA_KEY:POST-SUBTASK-030}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-027,BLOCKS,POST-SUBTASK-031,{{JIRA_KEY:POST-SUBTASK-027}},{{JIRA_KEY:POST-SUBTASK-031}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-027,BLOCKS,POST-SUBTASK-032,{{JIRA_KEY:POST-SUBTASK-027}},{{JIRA_KEY:POST-SUBTASK-032}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-027,BLOCKS,POST-SUBTASK-033,{{JIRA_KEY:POST-SUBTASK-027}},{{JIRA_KEY:POST-SUBTASK-033}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-028,BLOCKS,POST-SUBTASK-029,{{JIRA_KEY:POST-SUBTASK-028}},{{JIRA_KEY:POST-SUBTASK-029}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-028,BLOCKS,POST-SUBTASK-030,{{JIRA_KEY:POST-SUBTASK-028}},{{JIRA_KEY:POST-SUBTASK-030}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-028,BLOCKS,POST-SUBTASK-162,{{JIRA_KEY:POST-SUBTASK-028}},{{JIRA_KEY:POST-SUBTASK-162}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-028,BLOCKS,POST-SUBTASK-165,{{JIRA_KEY:POST-SUBTASK-028}},{{JIRA_KEY:POST-SUBTASK-165}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-028,BLOCKS,POST-SUBTASK-167,{{JIRA_KEY:POST-SUBTASK-028}},{{JIRA_KEY:POST-SUBTASK-167}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-030,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-030}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-170,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-170}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-173,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-173}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-174,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-174}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-175,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-175}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-176,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-176}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-178,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-178}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-179,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-179}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-185,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-185}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-186,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-186}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-188,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-188}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-189,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-189}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-190,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-190}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-191,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-191}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-192,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-192}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-193,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-193}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-029,BLOCKS,POST-SUBTASK-194,{{JIRA_KEY:POST-SUBTASK-029}},{{JIRA_KEY:POST-SUBTASK-194}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-030,BLOCKS,POST-EPIC-007,{{JIRA_KEY:POST-SUBTASK-030}},{{JIRA_KEY:POST-EPIC-007}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-030,BLOCKS,POST-STORY-011,{{JIRA_KEY:POST-SUBTASK-030}},{{JIRA_KEY:POST-STORY-011}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-030,BLOCKS,POST-STORY-021,{{JIRA_KEY:POST-SUBTASK-030}},{{JIRA_KEY:POST-STORY-021}},Blocks,PENDING_POST_IMPORT_KEY_MAP
