id,section,section_title,obligation,status,evidence,validation,verification_note
MPR-01-011,1,PRIMARY MISSION,Detect and recover from loops.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/17_BLOCKERS_LOOPS_OVERENGINEERING_AND_RECOVERY.md;instructions/18_OPERATIONAL_RUNBOOKS.md;instructions/policies/loop_and_retry_policy.json,VAL-COMPLIANCE;VAL-LINKS;VAL-LOOP-POLICY;VAL-BLOCKER-POLICY;VAL-OVERENGINEERING,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-012,1,PRIMARY MISSION,Prevent overengineering.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/17_BLOCKERS_LOOPS_OVERENGINEERING_AND_RECOVERY.md;instructions/18_OPERATIONAL_RUNBOOKS.md;instructions/policies/loop_and_retry_policy.json,VAL-COMPLIANCE;VAL-LINKS;VAL-LOOP-POLICY;VAL-BLOCKER-POLICY;VAL-OVERENGINEERING,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-013,1,PRIMARY MISSION,Classify and manage blockers.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/17_BLOCKERS_LOOPS_OVERENGINEERING_AND_RECOVERY.md;instructions/18_OPERATIONAL_RUNBOOKS.md;instructions/policies/loop_and_retry_policy.json,VAL-COMPLIANCE;VAL-LINKS;VAL-LOOP-POLICY;VAL-BLOCKER-POLICY;VAL-OVERENGINEERING,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-014,1,PRIMARY MISSION,Coordinate safe parallel work.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/16_PARALLELISM_RESOURCES_CONTEXT_AND_HANDOFF.md;instructions/policies/parallelism_policy.json;instructions/templates/HANDOFF_RECORD.md,VAL-COMPLIANCE;VAL-LINKS;VAL-PARALLELISM;VAL-HANDOFF,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-015,1,PRIMARY MISSION,Preserve source-of-truth relationships.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/02_SOURCE_OF_TRUTH_AND_CONFLICT_RESOLUTION.md;instructions/policies/source_precedence.json,VAL-COMPLIANCE;VAL-LINKS;VAL-SOURCE-PRECEDENCE,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-016,1,PRIMARY MISSION,"Maintain traceability among plans, Jira, code, tests, evidence, commits, and PRs.",CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/07_JIRA_OPERATING_CONTRACT.md;instructions/08_LOCAL_JIRA_MIRROR_AND_SYNC.md;instructions/policies/jira_operating_policy.json;jira/README.md;instructions/11_PULL_REQUEST_REVIEW_MERGE_AND_CLEANUP.md,VAL-COMPLIANCE;VAL-LINKS;VAL-JIRA-POLICY;VAL-JIRA;VAL-PR-LIFECYCLE;VAL-GITHUB-ENFORCEMENT;VAL-GIT-POLICY;VAL-WORKTREE-POLICY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-017,1,PRIMARY MISSION,Persist continuity across long or interrupted autonomous sessions.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md,VAL-COMPLIANCE;VAL-LINKS,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-018,1,PRIMARY MISSION,Prevent drift from accepted architecture and objectives.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/15_ARCHITECTURE_DOCUMENTATION_RELEASE_AND_ROLLBACK.md;instructions/templates/ARCHITECTURE_CHANGE_PROPOSAL.md;instructions/templates/RELEASE_READINESS_CHECKLIST.md,VAL-COMPLIANCE;VAL-LINKS;VAL-ARCHITECTURE-CHANGE;VAL-DOCUMENTATION-POLICY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-019,1,PRIMARY MISSION,"Model the combined discipline of principal engineering, architecture, ML/MLOps, technical program management, DevOps, and GitHub/Jira administration.",CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/07_JIRA_OPERATING_CONTRACT.md;instructions/08_LOCAL_JIRA_MIRROR_AND_SYNC.md;instructions/policies/jira_operating_policy.json;jira/README.md;instructions/11_PULL_REQUEST_REVIEW_MERGE_AND_CLEANUP.md,VAL-COMPLIANCE;VAL-LINKS;VAL-JIRA-POLICY;VAL-JIRA;VAL-PR-LIFECYCLE;VAL-GITHUB-ENFORCEMENT;VAL-ML-GOVERNANCE;VAL-PROTECTED,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-020,1,PRIMARY MISSION,Treat the instruction/control system as the primary deliverable.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md,VAL-COMPLIANCE;VAL-LINKS,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-021,1,PRIMARY MISSION,Do not arbitrarily implement the remaining product backlog during instruction-pack construction.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/templates/TASK_EXECUTION_PACKET.md,VAL-COMPLIANCE;VAL-LINKS;VAL-EXECUTION-LOOP;VAL-MEANINGFUL-PROGRESS,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-022,1,PRIMARY MISSION,Limit repository mutations to control files and directly related alignment required by the instruction system.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/03_REPOSITORY_ARCHITECTURE_AND_NAVIGATION.md;instructions/20_INSTRUCTION_MAINTENANCE_AND_CHANGE_CONTROL.md;instructions/manifest.json,VAL-COMPLIANCE;VAL-LINKS;VAL-MANIFEST;VAL-READ-BUDGET,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-02-001,2,OUTPUT LOCATION,Define C:\BatteredAggieSyndrome\instructions as the canonical installation directory.,CONTROL_IMPLEMENTED,instructions/21_PACKAGING_INTEGRITY_AND_INSTALLATION.md;tools/package_instructions.py;tools/package_repository_export.py,VAL-PACKAGE;VAL-SECRET;VAL-PACKAGE-REPOSITORY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-02-002,2,OUTPUT LOCATION,Produce a live usable instructions directory in the repository staging tree.,CONTROL_IMPLEMENTED,instructions/21_PACKAGING_INTEGRITY_AND_INSTALLATION.md;tools/package_instructions.py,VAL-PACKAGE;VAL-SECRET,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-02-003,2,OUTPUT LOCATION,"Produce a complete standalone ZIP export for backup, transfer, and hydration.",CONTROL_IMPLEMENTED,instructions/21_PACKAGING_INTEGRITY_AND_INSTALLATION.md;tools/package_instructions.py;tools/package_repository_export.py,VAL-PACKAGE;VAL-SECRET;VAL-PACKAGE-REPOSITORY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-02-004,2,OUTPUT LOCATION,Use a professional semantic/versioned ZIP name.,CONTROL_IMPLEMENTED,instructions/21_PACKAGING_INTEGRITY_AND_INSTALLATION.md;tools/package_instructions.py;tools/package_repository_export.py,VAL-PACKAGE;VAL-SECRET;VAL-PACKAGE-REPOSITORY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-02-005,2,OUTPUT LOCATION,Place generated exports outside versioned repository content unless release policy explicitly says otherwise.,CONTROL_IMPLEMENTED,instructions/21_PACKAGING_INTEGRITY_AND_INSTALLATION.md;tools/package_instructions.py;tools/package_repository_export.py,VAL-PACKAGE;VAL-SECRET;VAL-PACKAGE-REPOSITORY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-02-006,2,OUTPUT LOCATION,"Exclude .env and all credentials, tokens, passwords, and secret values from exports.",CONTROL_IMPLEMENTED,instructions/21_PACKAGING_INTEGRITY_AND_INSTALLATION.md;tools/package_instructions.py;instructions/13_SECURITY_SECRETS_DATA_RIGHTS_AND_DEPENDENCIES.md;instructions/policies/security_policy.json;tools/package_repository_export.py,VAL-PACKAGE;VAL-SECRET;VAL-SECURITY-POLICY;VAL-PACKAGE-REPOSITORY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-02-007,2,OUTPUT LOCATION,Exclude raw restricted data from exports.,CONTROL_IMPLEMENTED,instructions/21_PACKAGING_INTEGRITY_AND_INSTALLATION.md;tools/package_instructions.py;tools/package_repository_export.py,VAL-PACKAGE;VAL-SECRET;VAL-PACKAGE-REPOSITORY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-02-008,2,OUTPUT LOCATION,"Exclude caches, virtual environments, temporary worktrees, and unrelated artifacts from exports.",CONTROL_IMPLEMENTED,instructions/21_PACKAGING_INTEGRITY_AND_INSTALLATION.md;tools/package_instructions.py;tools/package_repository_export.py,VAL-PACKAGE;VAL-SECRET;VAL-PACKAGE-REPOSITORY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-02-009,2,OUTPUT LOCATION,Run a secret scan before final packaging.,CONTROL_IMPLEMENTED,instructions/21_PACKAGING_INTEGRITY_AND_INSTALLATION.md;tools/package_instructions.py;instructions/13_SECURITY_SECRETS_DATA_RIGHTS_AND_DEPENDENCIES.md;instructions/policies/security_policy.json,VAL-PACKAGE;VAL-SECRET;VAL-SECURITY-POLICY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-02-010,2,OUTPUT LOCATION,"Run a content-integrity, CRC, member-set, and extraction review before declaring the ZIP valid.",CONTROL_IMPLEMENTED,instructions/21_PACKAGING_INTEGRITY_AND_INSTALLATION.md;tools/package_instructions.py;instructions/12_CI_TESTING_EVIDENCE_AND_DEFINITION_OF_DONE.md;instructions/policies/definition_of_done.json;instructions/catalogs/validation_command_catalog.json;tools/package_repository_export.py,VAL-PACKAGE;VAL-SECRET;VAL-TESTING-POLICY;VAL-DOD;VAL-PACKAGE-REPOSITORY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-02-011,2,OUTPUT LOCATION,Document the installation boundary because this environment cannot write directly to the user’s Windows path.,CONTROL_IMPLEMENTED_EXTERNAL_ACTIVATION_REQUIRED,instructions/21_PACKAGING_INTEGRITY_AND_INSTALLATION.md;tools/package_instructions.py;tools/package_repository_export.py,VAL-PACKAGE;VAL-SECRET;VAL-PACKAGE-REPOSITORY,"The durable control is implemented, but activation or direct verification of the referenced live Windows/GitHub/Jira state requires the correct local checkout, authorized account, or explicit high-risk approval. No value was invented."
MPR-03-001,3,PROJECT LOCATIONS,Treat C:\BatteredAggieSyndrome as the one canonical local repository path.,CONTROL_IMPLEMENTED,instructions/01_PROJECT_IDENTITY_AND_HANDOFF.md;instructions/23_ACTIVATION_AND_NEXT_SESSION.md;instructions/audit/EXTERNAL_INTEGRATION_AUDIT.md,VAL-CONTROL-PLANE;VAL-JIRA,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-03-002,3,PROJECT LOCATIONS,Verify actual repository directories instead of blindly assuming the illustrative list is current.,CONTROL_IMPLEMENTED,instructions/01_PROJECT_IDENTITY_AND_HANDOFF.md;instructions/23_ACTIVATION_AND_NEXT_SESSION.md;instructions/audit/EXTERNAL_INTEGRATION_AUDIT.md,VAL-CONTROL-PLANE;VAL-JIRA,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-03-003,3,PROJECT LOCATIONS,"Recognize and navigate .codex, .github, artifacts, configs, data, docs, fixtures, governance, jira, provenance, requirements, schemas, scripts, sql, src, tests, tools, and instructions when present.",CONTROL_IMPLEMENTED,instructions/01_PROJECT_IDENTITY_AND_HANDOFF.md;instructions/23_ACTIVATION_AND_NEXT_SESSION.md;instructions/audit/EXTERNAL_INTEGRATION_AUDIT.md;instructions/07_JIRA_OPERATING_CONTRACT.md;instructions/08_LOCAL_JIRA_MIRROR_AND_SYNC.md;instructions/policies/jira_operating_policy.json;jira/README.md;instructions/11_PULL_REQUEST_REVIEW_MERGE_AND_CLEANUP.md,VAL-CONTROL-PLANE;VAL-JIRA;VAL-JIRA-POLICY;VAL-PR-LIFECYCLE;VAL-GITHUB-ENFORCEMENT,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-03-004,3,PROJECT LOCATIONS,Treat the local-to-GitHub relationship as unverified until reconciled.,CONTROL_IMPLEMENTED_EXTERNAL_ACTIVATION_REQUIRED,instructions/01_PROJECT_IDENTITY_AND_HANDOFF.md;instructions/23_ACTIVATION_AND_NEXT_SESSION.md;instructions/audit/EXTERNAL_INTEGRATION_AUDIT.md;instructions/11_PULL_REQUEST_REVIEW_MERGE_AND_CLEANUP.md;instructions/19_GITHUB_ENFORCEMENT_RECOMMENDATIONS.md;.github/pull_request_template.md,VAL-CONTROL-PLANE;VAL-JIRA;VAL-PR-LIFECYCLE;VAL-GITHUB-ENFORCEMENT,"The durable control is implemented, but activation or direct verification of the referenced live Windows/GitHub/Jira state requires the correct local checkout, authorized account, or explicit high-risk approval. No value was invented."
MPR-03-005,3,PROJECT LOCATIONS,Inspect the specified GitHub repository read-only before choosing branch or publication behavior.,CONTROL_IMPLEMENTED,instructions/01_PROJECT_IDENTITY_AND_HANDOFF.md;instructions/23_ACTIVATION_AND_NEXT_SESSION.md;instructions/audit/EXTERNAL_INTEGRATION_AUDIT.md;instructions/11_PULL_REQUEST_REVIEW_MERGE_AND_CLEANUP.md;instructions/19_GITHUB_ENFORCEMENT_RECOMMENDATIONS.md;.github/pull_request_template.md;instructions/09_GIT_REPOSITORY_SAFETY_AND_RECOVERY.md;instructions/10_BRANCH_WORKTREE_AND_COMMIT_POLICY.md,VAL-CONTROL-PLANE;VAL-JIRA;VAL-PR-LIFECYCLE;VAL-GITHUB-ENFORCEMENT;VAL-GIT-POLICY;VAL-WORKTREE-POLICY;VAL-AUDIT,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-03-006,3,PROJECT LOCATIONS,"Do not force-push, delete history, reset local work, create arbitrary replacement clones, recreate the repository elsewhere, or overwrite one side to resolve discrepancies.",CONTROL_IMPLEMENTED,instructions/01_PROJECT_IDENTITY_AND_HANDOFF.md;instructions/23_ACTIVATION_AND_NEXT_SESSION.md;instructions/audit/EXTERNAL_INTEGRATION_AUDIT.md;instructions/09_GIT_REPOSITORY_SAFETY_AND_RECOVERY.md;instructions/10_BRANCH_WORKTREE_AND_COMMIT_POLICY.md;instructions/runbooks/REPOSITORY_IDENTITY_AND_REMOTE_RECONCILIATION.md,VAL-CONTROL-PLANE;VAL-JIRA;VAL-GIT-POLICY;VAL-WORKTREE-POLICY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-03-007,3,PROJECT LOCATIONS,Perform a safe local/remote reconciliation first.,CONTROL_IMPLEMENTED_EXTERNAL_ACTIVATION_REQUIRED,instructions/01_PROJECT_IDENTITY_AND_HANDOFF.md;instructions/23_ACTIVATION_AND_NEXT_SESSION.md;instructions/audit/EXTERNAL_INTEGRATION_AUDIT.md;instructions/09_GIT_REPOSITORY_SAFETY_AND_RECOVERY.md;instructions/10_BRANCH_WORKTREE_AND_COMMIT_POLICY.md;instructions/runbooks/REPOSITORY_IDENTITY_AND_REMOTE_RECONCILIATION.md,VAL-CONTROL-PLANE;VAL-JIRA;VAL-GIT-POLICY;VAL-WORKTREE-POLICY,"The durable control is implemented, but activation or direct verification of the referenced live Windows/GitHub/Jira state requires the correct local checkout, authorized account, or explicit high-risk approval. No value was invented."
MPR-03-008,3,PROJECT LOCATIONS,Target Jira project BAT at the requested Atlassian site and board URL.,CONTROL_IMPLEMENTED,instructions/01_PROJECT_IDENTITY_AND_HANDOFF.md;instructions/23_ACTIVATION_AND_NEXT_SESSION.md;instructions/audit/EXTERNAL_INTEGRATION_AUDIT.md;instructions/07_JIRA_OPERATING_CONTRACT.md;instructions/08_LOCAL_JIRA_MIRROR_AND_SYNC.md;instructions/policies/jira_operating_policy.json;jira/README.md,VAL-CONTROL-PLANE;VAL-JIRA;VAL-JIRA-POLICY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-03-009,3,PROJECT LOCATIONS,"Treat the local jira directory as something to inspect and formally define, not assume populated.",CONTROL_IMPLEMENTED,instructions/01_PROJECT_IDENTITY_AND_HANDOFF.md;instructions/23_ACTIVATION_AND_NEXT_SESSION.md;instructions/audit/EXTERNAL_INTEGRATION_AUDIT.md;instructions/07_JIRA_OPERATING_CONTRACT.md;instructions/08_LOCAL_JIRA_MIRROR_AND_SYNC.md;instructions/policies/jira_operating_policy.json;jira/README.md;instructions/audit/REPOSITORY_DISCOVERY_REPORT.md,VAL-CONTROL-PLANE;VAL-JIRA;VAL-JIRA-POLICY;VAL-AUDIT,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-03-010,3,PROJECT LOCATIONS,Treat C:\BatteredAggieSyndrome\.env as the expected local secret path but verify the actual configuration on the machine.,CONTROL_IMPLEMENTED,instructions/01_PROJECT_IDENTITY_AND_HANDOFF.md;instructions/23_ACTIVATION_AND_NEXT_SESSION.md;instructions/audit/EXTERNAL_INTEGRATION_AUDIT.md;instructions/13_SECURITY_SECRETS_DATA_RIGHTS_AND_DEPENDENCIES.md;instructions/policies/security_policy.json,VAL-CONTROL-PLANE;VAL-JIRA;VAL-SECURITY-POLICY;VAL-SECRET,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-03-011,3,PROJECT LOCATIONS,Access credentials through environment variables or secure local configuration.,CONTROL_IMPLEMENTED,instructions/01_PROJECT_IDENTITY_AND_HANDOFF.md;instructions/23_ACTIVATION_AND_NEXT_SESSION.md;instructions/audit/EXTERNAL_INTEGRATION_AUDIT.md;instructions/13_SECURITY_SECRETS_DATA_RIGHTS_AND_DEPENDENCIES.md;instructions/policies/security_policy.json,VAL-CONTROL-PLANE;VAL-JIRA;VAL-SECURITY-POLICY;VAL-SECRET,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-03-012,3,PROJECT LOCATIONS,"Never copy secret values into instructions, Markdown, committed JSON/YAML, Jira, GitHub, commits, logs, fixtures, ZIPs, screenshots, or provenance.",CONTROL_IMPLEMENTED,instructions/01_PROJECT_IDENTITY_AND_HANDOFF.md;instructions/23_ACTIVATION_AND_NEXT_SESSION.md;instructions/audit/EXTERNAL_INTEGRATION_AUDIT.md;instructions/07_JIRA_OPERATING_CONTRACT.md;instructions/08_LOCAL_JIRA_MIRROR_AND_SYNC.md;instructions/policies/jira_operating_policy.json;jira/README.md;instructions/11_PULL_REQUEST_REVIEW_MERGE_AND_CLEANUP.md,VAL-CONTROL-PLANE;VAL-JIRA;VAL-JIRA-POLICY;VAL-PR-LIFECYCLE;VAL-GITHUB-ENFORCEMENT;VAL-GIT-POLICY;VAL-WORKTREE-POLICY;VAL-SECURITY-POLICY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-03-013,3,PROJECT LOCATIONS,Refer only to environment-variable names or secret aliases in documentation.,CONTROL_IMPLEMENTED,instructions/01_PROJECT_IDENTITY_AND_HANDOFF.md;instructions/23_ACTIVATION_AND_NEXT_SESSION.md;instructions/audit/EXTERNAL_INTEGRATION_AUDIT.md;instructions/13_SECURITY_SECRETS_DATA_RIGHTS_AND_DEPENDENCIES.md;instructions/policies/security_policy.json,VAL-CONTROL-PLANE;VAL-JIRA;VAL-SECURITY-POLICY;VAL-SECRET,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-04-001,4,FIRST ACTION — COMPLETE REPOSITORY DISCOVERY,Perform a comprehensive read-only repository discovery pass before designing or creating large numbers of instruction files.,CONTROL_IMPLEMENTED,instructions/audit/REPOSITORY_DISCOVERY_REPORT.md;instructions/audit/repository_inventory.json;instructions/audit/external_access_audit.json;tools/audit_control_plane.py;instructions/03_REPOSITORY_ARCHITECTURE_AND_NAVIGATION.md;instructions/20_INSTRUCTION_MAINTENANCE_AND_CHANGE_CONTROL.md;instructions/manifest.json;instructions/audit/EXTERNAL_INTEGRATION_AUDIT.md,VAL-CONTROL-PLANE;VAL-AUDIT;VAL-MANIFEST;VAL-READ-BUDGET,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
