path,change,w01_bytes,w01_sha256,w02_bytes,w02_sha256,authorization,impact
.github/workflows/ci.yml,ADDED,,,679,5b5dd283073f295aa9d487f5b886c5e25f8984b60e3c07dd239ec3fa5e75898a,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
.gitignore,ADDED,,,673,a5fc18c568ef0d6d5f1fa064e05ce38cfc02046b8c37acf95ca6d681e8c32c76,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
.python-version,ADDED,,,5,7b55f8e67b5623c4bef3fa691288da9437d79d3aba156de48d481db32ac7d16d,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
AGENTS.md,MODIFIED,782,18b040b2f81d190621ef4ae267a43dc94c84e59dfb8b5c67f2a364943a925228,1479,06a44121696aff881a6bb47233b14f232687078515aa6547c572e1ba2d2abd77,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
CHANGELOG.md,MODIFIED,528,9228e04a8be41702556d7534e4535fb3353d86f2f1930ef48611df33bde012c9,1413,ef8c9bab11c558e6207179b042e0d6752fc954091b2ac4e05165968cc9c24633,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
CONTRIBUTING.md,ADDED,,,893,0c8dea47db129c5286b441f0c01c881eb0b464b8f26d405540be67d4eded9a53,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
README.md,MODIFIED,901,31830e4f36b67c22ec3d9b744b03a98e9961d25cfedbaa422f4905e240223ece,1220,b73330ba980b476ae4269c3e53b0bb1860754c14666b24d65a44d39d08af4097,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
configs/hydration_manifest.json,ADDED,,,4099,81d481847e6a439fefce969ce8063cb63f7f588a72e040975755647b16d53747,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
configs/repository_policy.json,ADDED,,,1004,4e46a40ce4fe6d1bc8faa049c5f74aad5db1fe01eb0be2b431b9d25b41132839,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
docs/03_REQUIREMENTS_BASELINE.md,MODIFIED,507,24e18d7901bab6fe2c013d444a625594ae9e564c00a80c1fec1ca369f26872ca,672,114b9eaa4e6c63e56f9993c950c9630c11faf9def733a24a6b5bc82daef8d547,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
docs/04_REPOSITORY_OPERATIONS.md,ADDED,,,1613,2caf76a8a85592adf1fea83b4aff6867b622d25ff2975af555eeb1a6a8146868,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
docs/05_LOCAL_WINDOWS_SETUP.md,ADDED,,,1147,34d6b5c81b35ab1967e5d2a061eab604f597d53ca1eebf4df6eb3f33dcba5c80,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
docs/06_GITHUB_CODEX_WORKFLOW.md,ADDED,,,934,3ff557c129c061fb1be7a26a42b17c3ea31b00e4ab35a4d59cbaec030a6fe8da,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
docs/07_PACKAGING_INTEGRITY.md,ADDED,,,1691,25e08209e76a304e2fae09835b90fa5741f506856d84747df066485e0c4c04b2,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/ACCEPTANCE_STATUS.json,MODIFIED,1365,a7af81b0f8533217b2268eb145fdc7bad0003d24f3021d739deabd9a7b319ef0,1333,ad4ea24a89f155566e372a946e8ce620034f4d215e6c9c69404867c7b3544fd5,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/ADAPTIVE_CHANGE_LOG.csv,MODIFIED,1496,78cdf097b6eb0ee16ebe386ddcc9f74e79864a03217a9196826aae283d68a37f,2703,b005bd07b5a095545c8fa13abdc27888fe47dbff7bac1f108ca1ed5d3c37c2e4,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/ADAPTIVE_CHANGE_LOG.md,MODIFIED,1971,869bebd2fecd41073a437683bdcfc9fdc691998a0da34cd27b4adacef79b4e87,3632,a6a3b125c18497e1e8d04f149135f19e7b2976307684bfce0cf6e94d57aeea9f,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/ADR_INDEX.csv,MODIFIED,8579,ec875d01f1d3368f6ecd20515f04753246f95a3cab9afe0f9b1ddbc97608e712,11236,9ae2efbc3232d9bb5ed5b12af8aba3931c06b2c7d5f74f1844b4ed94e6381660,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/ASSUMPTION_CHALLENGE_LOG.csv,MODIFIED,2014,feec36fcb35b41d617dec8ea1df31acdcb81bb56a24048e8b58c7f62cda6e5d7,2658,9294d6cd3ed89ca9b5dbda1c37d0a79d088123728535810e22fbfcd838718bb6,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/ASSUMPTION_CHALLENGE_LOG.md,MODIFIED,2559,3041956cb73bb32544e89fb2f83d1bce0275b652ac3c3f7d624292ebcb757bea,3622,11bbcca71c281668cd96308b43a8df5fe42c4984c3d239c6199b7351af80368d,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/CURRENT_BACKLOG.yaml,MODIFIED,1420,06591f705680768095d0c2a46e7c0fbeb1ed3389d569402b34bfdabe07596dff,1271,209c4ae69e0b88d4634551af5897b6b1f8376699c4a160ca2fa9a0bfe29cc7b9,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/CURRENT_STATE.yaml,MODIFIED,414,bf0767239087151335c070fa21517569f743360b1abb2b1e061978805a8cd55d,487,0a205a8c0ca3b8ea39976437636e8285b0be290901b62c24b4da5336fa234b76,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/DECISION_LEDGER.md,MODIFIED,11597,0d240accd323e3443e17dc7178d56d65b847a9d8fa468263afbb816c4911fecc,15246,507eb986c6d32fe32335ee434b5e70384745de29665adcc5e0e5ef8d2e6068c1,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/NEXT_WAVE.md,MODIFIED,1073,83ebaefd860f68626beaba439e77bb9ae126fac7bb28f57e449f998dbe054b7e,1229,8a8a1bdb7a6ae0c21b75c197d020e47d6b674a42a46ce3e3d0f49f471edb1b68,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/OPEN_ISSUES.md,MODIFIED,9522,4dd865b0520039b88e5a082ef109ae78f72f861ccd893eea60fb53dc5c812c65,10445,2ef6d492f8f4fbd2491aa3b63f99c21957865e72290213801c778a0466c2fb9e,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/OPPORTUNITY_BACKLOG.yaml,MODIFIED,2206,88f334a5a165ec9890f5d6e50866811ae06b59141a7956122fe6761f61b6fd0f,2925,e673714c36ef7c19d33d3d773cb2c73b0ead6aac6fc2cc2a4a8ec4ab83f2462b,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/PROJECT_IDENTITY.yaml,MODIFIED,338,512855aaad9bd16a1e768aab856b0f1ab48b608c528d4b312cbcafd1a069dbb0,338,32a78fa8d9b2029816063de7b9c6ba5b580c1d51131334012a498534083c645b,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/REQUIREMENTS_INDEX.csv,MODIFIED,28730,7446588719052b6f7270bfb925b69f2fd91dd633938d3a2d992b1f29c0414208,32761,4020f306345e1369442ddfabdd51b45867b4ec6bb8229bfb3bfe78cb1275a18d,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/REQUIREMENTS_TRACEABILITY.csv,MODIFIED,22980,5c8a4a5cfb9b79020db8adec341646de0c7691a1ea003c239933839af00ef235,25532,483b337b718dbd5e12d1d22bc4161bdcf91bc91bed34acbc743ae28b10dff832,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/RISKS.md,MODIFIED,6422,639d1ab2d98f641ceb1e26e1f4fe9ea21c98cbb9a9703a2e8d154e72e8975ac7,8272,a8fe3c030a558b43433787270f4ab5f27dd240a9109ad31204ded82e9b19b3cf,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/RISK_REGISTER.csv,MODIFIED,4603,5275437e7336e1ab381b730b30cc744aaa77b67ddcbaeac3147c07d841599516,5889,9def0f88c36c9a8950ef04bc736cfe714274366de1e30461c1fcfc0b8f8e538e,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/W02_ADAPTIVE_REVIEW.md,ADDED,,,1651,e22f2bef9830f6d07b15d151ee72292d1e66d2dd3ca804f1f51a9b839621b4b0,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/W02_VALIDATION_REPORT.md,ADDED,,,2545,75ade198593a40f3002ae47a6781563c5261ad649240b364ebbe20c399570e5c,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/WAVE_LEDGER.md,MODIFIED,424,0930eee7247f1eb8687fdcafc09ae308d069c8c6789110d706981ce3109d2beb,573,3a055862f970134c485f52e53f9643887a193e6dc6ff0272e0c370633c2c88cf,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/WAVE_PLAN.md,MODIFIED,1734,e622a892bbb40bc6bfddb565386afeee6915e0caa76c2e0a666a64c70670ffef,1976,a308a465127f43023cd94d39b810891138328a1514d536301edbd92cedf331a0,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
governance/WAVE_PLAN_REVISIONS.md,MODIFIED,836,07e61d3ee816cc8dd959ed7609a9e1a49c94cdad0869ad242fc292b1e7549e6a,1466,d6f96b31698cfa56a4cdc485d4933cb2a13fb28f4d1a2e74fbdc92fdb2683047,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
provenance/CURRENT_TREE.txt,MODIFIED,1834,cc28d83aba339e36430dae73d1029ab50b20509410c9c1d219f755fec7f6d5ca,2878,ec5cca571cf1207aa9a8267686495ff172dfc1e0bce28bf592d1d89c5da038ce,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
provenance/MANIFEST_POLICY.md,MODIFIED,323,d3dc0abba040bba0e8bb84109222bd39dbc7c404bbbdcd75d81975cad282ce65,824,6ccf5b7a51185dc09140ee7b917af0344a2be5a1b34d6e592018206d37da1dce,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
provenance/PROJECT_FILE_HASHES.sha256,MODIFIED,5455,250538819b9dace74726171ffd40dc47bf124bb8d4d86822008d29bae82f937f,9233,3c31c6be6c135dddf61868aa5cc58e2e8a47051ddc8577b49c86fcced91b7599,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
provenance/PROJECT_FILE_MANIFEST.csv,MODIFIED,5736,6b6fd2113bfcda9546fbf4bff0fe6559cde0bf26af38aa4dd3afc910dccd461e,9598,12cd003cb9e874ffc7248ae476f9657f80443e4df479de9cc1789f0b34a3fd57,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
provenance/W02_INPUT_ARTIFACTS.csv,ADDED,,,871,355c3319a02386c5bdf2f3b54c3444f8fc191f47d57ca9182602b3560330d6e0,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
pyproject.toml,ADDED,,,473,61c133bc61f75be4eb793ca4b9b01ab87ada189cab98984742bfd90f0aab5aff,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
scripts/bootstrap.ps1,ADDED,,,353,ab458732b0a9f98ae656bbccd9e8a2b31b21a33dcede6493953d10338ed3323e,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
scripts/bootstrap.py,ADDED,,,1160,cc7dda6ddeb1b00db23db44c3df091045f23887d7a0e6294a623a49d9df3b99c,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
scripts/new_worktree.ps1,ADDED,,,725,77b69a40e25dbc03cfe142892736667c8359e7d36b19b0627ba3dac97514899e,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
scripts/package_wave.ps1,ADDED,,,442,24fc0fd6e2df0974e7c516360babd69c21d8271cc1b1f493abeecef40e89f9fa,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
scripts/validate_repo.ps1,ADDED,,,225,68438ffaa3956a175793079c874af2857d0b327bfcaecdaf77ca46a90c0c636c,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
scripts/verify_prior_wave.ps1,ADDED,,,510,4c69068a9e61bbeb71c648423d0c83a8c414ce933de174c50fb10af54f7f6acd,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
src/aggie_analytics/__init__.py,ADDED,,,183,41e30d17b315f2b10704c2189533164c4d414c2828fad3dd33bf84209043b217,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
tests/test_package_scaffold.py,ADDED,,,445,02f5e783dad4b3d089d84dceda9e00ea50b1cd7e048cca6d4810a571815ff62f,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
tests/test_repo_integrity_tools.py,ADDED,,,1535,2f930ed8d5e88b421eb18670c1e9683359aedddd6d673681227ee13608f80a4e,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
tools/__init__.py,ADDED,,,61,efba3e38d7c65a07fb837354b33776aecd4fb11dad137e26ebed95b050d1f8f4,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
tools/package_wave.py,ADDED,,,2868,d06ac78614c2592e285d68e39bd46544757312ac583641fa9149b529ebb3176f,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
tools/packaging.py,ADDED,,,11472,b50af9c6ce1e32e0e2dcb7d5946af03db03bc3349f60d44af163d7a9b3823afd,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
tools/repo_integrity.py,ADDED,,,8057,268de064f3197c39138429c8097dc2fc263f58aee3ced3718f1de3ddc3911752,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
tools/validate_repository.py,ADDED,,,3437,6280e7950d5c77e9c6fddf2b8108a24c2a21eac47467781147c95a28f35489a3,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
tools/validate_wave_pair.py,ADDED,,,3174,37e10d8195abb27a18d4ef74630721048526469aee72168dba30305d4372ab6d,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
tools/verify_prior_wave.py,ADDED,,,1201,4931413bc72b63008b0ff718603844b30935415b446ed9c520da21fe030ae054,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
