path,status,parent_size_bytes,current_size_bytes,parent_sha256,current_sha256
docs/09_SECURITY_REPRODUCIBILITY_PERFORMANCE_GOVERNANCE.md,UNCHANGED,1815,1815,42b76936922ee5095954b39cc0805f88113f4040793fc3e70d6c05fcfbd70742,42b76936922ee5095954b39cc0805f88113f4040793fc3e70d6c05fcfbd70742
docs/100_W18_FULL_IMPLEMENTATION_INVENTORY.md,ADDED,,1802,,dd278da52d7c11af54b4fb009d63416271c0afdd4bf317b46fb0164e39d0bc4b
docs/10_IMPLEMENTATION_MASTER_PLAN.md,UNCHANGED,3261,3261,0a66613bfa4056b47ddc560c96d4d039cf07c5d42945c795f5c04c4ba808bcb6,0a66613bfa4056b47ddc560c96d4d039cf07c5d42945c795f5c04c4ba808bcb6
docs/11_CODEX_EXECUTION_STRATEGY.md,UNCHANGED,2160,2160,045cb173be633f17964842ccbda6da5f6e6dbc244c0473df08be92dc05175cca,045cb173be633f17964842ccbda6da5f6e6dbc244c0473df08be92dc05175cca
docs/12_SHARED_CONTRACT_AND_WORKTREE_STRATEGY.md,UNCHANGED,840,840,3649169c14020b0976cf10f24936e453b18cff37ff3837ae1aa8bb449f73f3ea,3649169c14020b0976cf10f24936e453b18cff37ff3837ae1aa8bb449f73f3ea
docs/13_IMPLEMENTATION_EVIDENCE_GATES.md,UNCHANGED,975,975,cff0f23c88c74b78a9e2c300f5aa1928fdc83fb7cd946522c2041c67031bb5ec,cff0f23c88c74b78a9e2c300f5aa1928fdc83fb7cd946522c2041c67031bb5ec
docs/14_CANONICAL_ENTITY_ARCHITECTURE.md,UNCHANGED,3752,3752,44e0f776dbbb6d8e31f307fac37683fe8c86528c7c353c7e4d10220e4fedb595,44e0f776dbbb6d8e31f307fac37683fe8c86528c7c353c7e4d10220e4fedb595
docs/15_SOURCE_MAPPING_AND_EVIDENCE_IDENTITY.md,UNCHANGED,2303,2303,9fbf23d76009407c25ac28070668325e1df0739d655ccfc5d90ef5f53e9de71d,9fbf23d76009407c25ac28070668325e1df0739d655ccfc5d90ef5f53e9de71d
docs/16_ENTITY_RESOLUTION_AND_REVIEW.md,UNCHANGED,2410,2410,b9b4845be3f8fa2adcd4348c25e1a3d37dd0ca30bdb974c5e980e01584f0c08f,b9b4845be3f8fa2adcd4348c25e1a3d37dd0ca30bdb974c5e980e01584f0c08f
docs/17_ENTITY_STORAGE_EVALUATION.md,UNCHANGED,2162,2162,258a85bef9f21de348ad81736158f7c6dbfd7066fe9ff45769b6239f10a1a860,258a85bef9f21de348ad81736158f7c6dbfd7066fe9ff45769b6239f10a1a860
docs/18_POINT_IN_TIME_DATA_ARCHITECTURE.md,UNCHANGED,2310,2310,c1bde8d7eee342d75908fa18330edcff814c7d84327a29d78ab4da47363750fe,c1bde8d7eee342d75908fa18330edcff814c7d84327a29d78ab4da47363750fe
docs/19_ASOF_QUERY_AND_CUTOFF_CONTRACT.md,UNCHANGED,1582,1582,5b94506cd458825048a1e74a443d683cc056a37d2f3d19c4ddc479709f77940d,5b94506cd458825048a1e74a443d683cc056a37d2f3d19c4ddc479709f77940d
docs/20_MUTABLE_DOMAIN_SNAPSHOT_POLICIES.md,UNCHANGED,1734,1734,d8f6cd0c2d6994cb7d4293da0d70021820777b4a12bc30451266e5cb9b08b1ee,d8f6cd0c2d6994cb7d4293da0d70021820777b4a12bc30451266e5cb9b08b1ee
docs/21_LEAKAGE_AND_REPLAY_TEST_SPEC.md,UNCHANGED,915,915,a21ebe22ad0a2663d1281258c48dda9d127d75656009573323a9316d2a3eb508,a21ebe22ad0a2663d1281258c48dda9d127d75656009573323a9316d2a3eb508
docs/22_RAW_FEATURE_REGISTRY_ARCHITECTURE.md,UNCHANGED,1648,1648,b45a118fc0da6f90747c821f185a00fa49d9bae1927a3e7e80e53000e9910ad7,b45a118fc0da6f90747c821f185a00fa49d9bae1927a3e7e80e53000e9910ad7
docs/23_SCHEMA_DISCOVERY_AND_RECONCILIATION.md,UNCHANGED,923,923,5a2fe37b22a3ac99e8157349066031ff35a867663affd2026a878cb307c1ece8,5a2fe37b22a3ac99e8157349066031ff35a867663affd2026a878cb307c1ece8
docs/24_RAW_FIELD_TO_CANDIDATE_HANDOFF.md,UNCHANGED,798,798,103c57900477460d8bc9c6a4ef4bbcd658a5d3ee2d9d2a3cdd8c8ab74bec274c,103c57900477460d8bc9c6a4ef4bbcd658a5d3ee2d9d2a3cdd8c8ab74bec274c
docs/25_FEATURE_ENGINEERING_ARCHITECTURE.md,UNCHANGED,1944,1944,bb484a2ff370389fef538c4e571e4200e10022a6a059a90799292e203a9de757,bb484a2ff370389fef538c4e571e4200e10022a6a059a90799292e203a9de757
docs/26_FEATURE_SCREENING_AND_SELECTION.md,UNCHANGED,1554,1554,b4b7c8f9223be05e116981cf5e6d8edca03f2b2294c0694bfd32088f949bca86,b4b7c8f9223be05e116981cf5e6d8edca03f2b2294c0694bfd32088f949bca86
docs/27_FEATURE_LIFECYCLE_GOVERNANCE.md,UNCHANGED,1379,1379,05c31feafeea7702a4714860ea1f853f23d9f61aa022e94f74ece3276564972c,05c31feafeea7702a4714860ea1f853f23d9f61aa022e94f74ece3276564972c
docs/28_FEATURE_ABLATION_AND_STABILITY.md,UNCHANGED,1267,1267,8703e0580e45289f7796bce2adadfedf5575034d0ef60fb35d40c43a324d8698,8703e0580e45289f7796bce2adadfedf5575034d0ef60fb35d40c43a324d8698
docs/29_COACHING_INTELLIGENCE_ARCHITECTURE.md,UNCHANGED,1308,1308,34f1738f58366efc3e6e2feea431399bfa1a8a1735d3f24c1084a81a5c790150,34f1738f58366efc3e6e2feea431399bfa1a8a1735d3f24c1084a81a5c790150
docs/29_TEAM_STATE_ARCHITECTURE.md,UNCHANGED,1614,1614,8ab42b7f390655052e19b0dc72947b2f26690f31f199fd8cf3fa99bfb38b0bba,8ab42b7f390655052e19b0dc72947b2f26690f31f199fd8cf3fa99bfb38b0bba
docs/30_EARLY_SEASON_PRIORS_AND_BLENDING.md,UNCHANGED,1432,1432,b9393b5bda8e705c1980245700e9fcf6f3bd184e6692afc3bb6f4627c5585a35,b9393b5bda8e705c1980245700e9fcf6f3bd184e6692afc3bb6f4627c5585a35
docs/30_ENVIRONMENT_RESOURCE_CONTEXT_ARCHITECTURE.md,UNCHANGED,1451,1451,ffef412c1d3ef4e6ce65bf8f09b6bff5a50aebbe1ed42d8123086bfbe878f44e,ffef412c1d3ef4e6ce65bf8f09b6bff5a50aebbe1ed42d8123086bfbe878f44e
docs/31_HISTORICAL_WEIGHTING_AND_REGIME.md,UNCHANGED,1396,1396,96a689987ca717cfd7af013777c681adbd83397ba1b42822c8a44a616de66c67,96a689987ca717cfd7af013777c681adbd83397ba1b42822c8a44a616de66c67
docs/31_REGULATORY_ENVIRONMENT_ARCHITECTURE.md,UNCHANGED,682,682,f51f19e341b4282ec8dacd74f892cd8b00edbfc07e266c5a865a3dce8b068c08,f51f19e341b4282ec8dacd74f892cd8b00edbfc07e266c5a865a3dce8b068c08
docs/32_GAME_MECHANICS_ARCHITECTURE.md,UNCHANGED,1041,1041,c12aa1cce4bdc5560425648638894c7964a4451512cd8cbf5a0241359d956c37,c12aa1cce4bdc5560425648638894c7964a4451512cd8cbf5a0241359d956c37
docs/32_LOWER_DIVISION_STRENGTH_AND_UNCERTAINTY.md,UNCHANGED,1288,1288,206f1ca5aef2ce2b2f3e6d4a17c8703dcfca9ae781f43b808c3a0a69327ebed0,206f1ca5aef2ce2b2f3e6d4a17c8703dcfca9ae781f43b808c3a0a69327ebed0
docs/33_OPPONENT_STYLE_SCHEDULE_OFFICIATING.md,UNCHANGED,1164,1164,31e70588f04c5c019512471f60cc0701a69425833ec357c1c4078bb9a5228d37,31e70588f04c5c019512471f60cc0701a69425833ec357c1c4078bb9a5228d37
docs/33_TEAM_STATE_COMPARISON_AND_GATE.md,UNCHANGED,1143,1143,c3804ea97b25fa644ff52b679af97668d87e11ec6694eca348894b4133e18a35,c3804ea97b25fa644ff52b679af97668d87e11ec6694eca348894b4133e18a35
docs/34_PLAYER_ROSTER_DEPTH_ARCHITECTURE.md,UNCHANGED,2113,2113,81f740dd0d7fd17dc1050d147b2c2bea909c7c07a62eaa661517c82d7a462b54,81f740dd0d7fd17dc1050d147b2c2bea909c7c07a62eaa661517c82d7a462b54
docs/34_W13_EXPERIMENT_BOUNDARIES.md,UNCHANGED,623,623,be35187b0d886e6780ff0e0fd3ac8b277d502dab6d06d32854adfb25d154ff3a,be35187b0d886e6780ff0e0fd3ac8b277d502dab6d06d32854adfb25d154ff3a
docs/35_PLAYER_VALUE_REPLACEMENT_AND_AVAILABILITY.md,UNCHANGED,2032,2032,b31df121dc75f3bf1a5d7d4912f090240f6e5e52a0aefe3bd6eb6cdcf65b5dac,b31df121dc75f3bf1a5d7d4912f090240f6e5e52a0aefe3bd6eb6cdcf65b5dac
docs/35_W13_TO_W14_HANDOFF.md,UNCHANGED,705,705,af2cd0f93eafee70cdebb333d15741547c7bd9e3c6f2d98d2c800eca0cabc5ab,af2cd0f93eafee70cdebb333d15741547c7bd9e3c6f2d98d2c800eca0cabc5ab
docs/36_AVAILABILITY_EVIDENCE_AND_OFFICIAL_REPORTS.md,UNCHANGED,1593,1593,2837c318b5afa052ecfbdc0804c14254007058c331e7dbc9116d8d059a59945e,2837c318b5afa052ecfbdc0804c14254007058c331e7dbc9116d8d059a59945e
docs/37_RECRUITING_TRANSFER_AND_FRESHMAN_INTELLIGENCE.md,UNCHANGED,1627,1627,37af6220d726b9cb4667d2535dd44fd6282955dd734375025035653e1e05feb2,37af6220d726b9cb4667d2535dd44fd6282955dd734375025035653e1e05feb2
docs/38_PRESEASON_HONORS_AND_DRAFT_DEVELOPMENT.md,UNCHANGED,1352,1352,aefc24da060abbdd419ccac730d1f005f4517e592a3df607c95ec93409ef7e32,aefc24da060abbdd419ccac730d1f005f4517e592a3df607c95ec93409ef7e32
docs/39_PLAYER_INTELLIGENCE_GATE_AND_HANDOFF.md,UNCHANGED,1494,1494,00d7357136935a00beb3231968ced35bf0913b22f9eb2640f12971f872832f7a,00d7357136935a00beb3231968ced35bf0913b22f9eb2640f12971f872832f7a
docs/40_TEXAS_AM_SPECIALIZATION_ARCHITECTURE.md,UNCHANGED,1241,1241,c8a8aff2a83d4272fbe860eb67913788580124cf674d6155bb72d7780cbf0718,c8a8aff2a83d4272fbe860eb67913788580124cf674d6155bb72d7780cbf0718
docs/41_TAMU_HIGH_RESOLUTION_STATE.md,UNCHANGED,789,789,26f144da14356dc18a6db41056dad517b1a2c7b17dbc92f772c79317ffd7d373,26f144da14356dc18a6db41056dad517b1a2c7b17dbc92f772c79317ffd7d373
docs/42_TAMU_PEERS_ANALOGS_AND_SNAPSHOTS.md,UNCHANGED,728,728,3b4e0ba68f742b539499646b0f18ba6518ac5015d9a35d83623e8c7b2c491aab,3b4e0ba68f742b539499646b0f18ba6518ac5015d9a35d83623e8c7b2c491aab
docs/43_TAMU_SPECIALIZATION_CANDIDATES_AND_OVERFIT_GUARDS.md,UNCHANGED,732,732,3e46e6ced0fe09fe6c1a8a747ac0b9d83cf308b0c054f9dcbda5ebe8e99b8816,3e46e6ced0fe09fe6c1a8a747ac0b9d83cf308b0c054f9dcbda5ebe8e99b8816
docs/44_W14_TO_W15_HANDOFF.md,UNCHANGED,509,509,3d370d69e58fa0905d747b715a5d06b15d891e65abe05cbdbb8de8a91db29272,3d370d69e58fa0905d747b715a5d06b15d891e65abe05cbdbb8de8a91db29272
docs/45_SCIENTIFIC_BAS_SPECIFICATION.md,UNCHANGED,1509,1509,5686b9fc38c62ce089e0e2b277356d32101b6de1593f334bbf95dc3518f73065,5686b9fc38c62ce089e0e2b277356d32101b6de1593f334bbf95dc3518f73065
docs/46_BAS_CROSSFIT_LABELING_AND_ANTI_CIRCULARITY.md,UNCHANGED,848,848,3e5ccf7426247265a0549806ffa879d812f71745123689e9aa2807e3e4857d0e,3e5ccf7426247265a0549806ffa879d812f71745123689e9aa2807e3e4857d0e
docs/47_BAS_GENERAL_FBS_AGGIE_EXCESS_AND_PEERS.md,UNCHANGED,855,855,9e00d6badf24665d5fbb668e16b9921604cbb96225a20810b75bcdbd6dbfc624,9e00d6badf24665d5fbb668e16b9921604cbb96225a20810b75bcdbd6dbfc624
docs/48_BAS_COMPONENTS_REGIME_STABILITY_AND_CALIBRATION.md,UNCHANGED,913,913,b0326bac2afe72c6b97abc8fc487343fbfd8d87c802de852664deb32234b7323,b0326bac2afe72c6b97abc8fc487343fbfd8d87c802de852664deb32234b7323
docs/49_W15_EXPERIMENT_BOUNDARIES.md,UNCHANGED,516,516,7105d948bd16c7f92f7ce8af985d8e53e175a542d1430efca214cdc42a88b2ed,7105d948bd16c7f92f7ce8af985d8e53e175a542d1430efca214cdc42a88b2ed
docs/50_W15_TO_W16_HANDOFF.md,UNCHANGED,687,687,3f54d7387a78c3da1768ec3ca572268ae2287c7a1ddd0af0c199b816065a2635,3f54d7387a78c3da1768ec3ca572268ae2287c7a1ddd0af0c199b816065a2635
docs/51_MODEL_TARGETS_AND_OUTPUT_COHERENCE.md,UNCHANGED,1668,1668,0a9ef5d0cc74649cb829719c389f4d9941d40bd4b9eab83870c931b3a16d861d,0a9ef5d0cc74649cb829719c389f4d9941d40bd4b9eab83870c931b3a16d861d
docs/52_MODEL_ARCHITECTURE_CANDIDATES.md,UNCHANGED,1361,1361,99be1aaa01490817a06f76e778fb6d098b8fdf6e3a596ee1a453bc85d0402925,99be1aaa01490817a06f76e778fb6d098b8fdf6e3a596ee1a453bc85d0402925
docs/53_JOINT_SCORE_AND_SIMULATION.md,UNCHANGED,1311,1311,8d76729ed1b772b0861568309948ca4e7c713940c460dfe5ac1d13fadf987fde,8d76729ed1b772b0861568309948ca4e7c713940c460dfe5ac1d13fadf987fde
docs/54_UNCERTAINTY_OOD_AND_MARKET_LANES.md,UNCHANGED,1397,1397,98e0478a2eb1e611ba2de6145bea6bbb96f4e46e952663b418096f6fd57fc305,98e0478a2eb1e611ba2de6145bea6bbb96f4e46e952663b418096f6fd57fc305
docs/55_W16_EXPERIMENT_BOUNDARIES_AND_W17_HANDOFF.md,UNCHANGED,1461,1461,faaf29e1f32aa6f512adf6cf8869a578a9353ac4e6d3388cfcd908d443e076b2,faaf29e1f32aa6f512adf6cf8869a578a9353ac4e6d3388cfcd908d443e076b2
docs/56_VALIDATION_AND_PROTECTED_SPLITS.md,UNCHANGED,2044,2044,c868b8d962482fca305db33d230d4338d32f1de6282476829eb62afc06bb3bf2,c868b8d962482fca305db33d230d4338d32f1de6282476829eb62afc06bb3bf2
docs/57_SCORING_CALIBRATION_AND_SCORECARDS.md,UNCHANGED,1619,1619,17fc5e920fd0879788ce41b7222083730af8491f53580831425be8c0c6b8a1fd,17fc5e920fd0879788ce41b7222083730af8491f53580831425be8c0c6b8a1fd
docs/58_MODEL_PROMOTION_AND_THRESHOLD_PRECOMMITMENT.md,UNCHANGED,1389,1389,2e53f84fb0398a7fc9870e4d890a0f28346843e6467433dfb11cce564d3deff1,2e53f84fb0398a7fc9870e4d890a0f28346843e6467433dfb11cce564d3deff1
docs/59_BAS_TAMU_UNCERTAINTY_MARKET_EVALUATION.md,UNCHANGED,1347,1347,057f643e092b467d666c0a0eb1d98c2b51a08822bf19aedbac406cfd1a0c487b,057f643e092b467d666c0a0eb1d98c2b51a08822bf19aedbac406cfd1a0c487b
docs/60_W17_EXPERIMENT_BOUNDARIES_AND_W18_HANDOFF.md,UNCHANGED,1088,1088,15eab56b2ed0131eb72a8b6c70832a4f73048fb581be612f12d349e7e2eaa28b,15eab56b2ed0131eb72a8b6c70832a4f73048fb581be612f12d349e7e2eaa28b
docs/61_EXPERIMENTATION_AND_AUTONOMOUS_RESEARCH_ARCHITECTURE.md,ADDED,,4600,,62f3975a83ccb504bb5d4c1f52a6de15214b6adda1ab80faf0773aabb9ad7021
