path,change_type,notes
governance/ACCEPTANCE_CONTROL_CATALOG.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/ACCEPTANCE_STATUS.json,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/ACCEPTANCE_TASK_TRACEABILITY.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/ADAPTIVE_CHANGE_LOG.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/ADAPTIVE_CHANGE_LOG.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/ADR_ACCEPTANCE_TRACEABILITY.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/ADR_INDEX.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/ARCHITECTURE_ALTERNATIVES.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/ASSUMPTIONS.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/ASSUMPTIONS.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/ASSUMPTION_CHALLENGE_LOG.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/ASSUMPTION_CHALLENGE_LOG.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/CODEX_WORK_PACKET_QUEUE.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/CURRENT_BACKLOG.yaml,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/CURRENT_STATE.yaml,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/DECISION_LEDGER.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/DO_NOT_DRIFT.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/EPIC_CATALOG.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/IMMUTABLE_RULES.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/IMPLEMENTATION_WBS.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/LEAKAGE_SCENARIO_CATALOG.csv,ADDED_W08,New W08 temporal/governance/validation artifact
governance/NEXT_WAVE.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/OPEN_ISSUES.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/OPPORTUNITY_BACKLOG.yaml,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/PIT_DOMAIN_POLICY.csv,ADDED_W08,New W08 temporal/governance/validation artifact
governance/PIT_GATEWAY_RULES.csv,ADDED_W08,New W08 temporal/governance/validation artifact
governance/PROJECT_IDENTITY.yaml,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/PROTECTED_ACCEPTANCE_RULES.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/REQUIREMENTS_INDEX.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/REQUIREMENTS_TRACEABILITY.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/REQUIREMENT_ACCEPTANCE_MATRIX.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/REQUIREMENT_TASK_TRACEABILITY.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/RISKS.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/RISK_ACCEPTANCE_TRACEABILITY.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/RISK_REGISTER.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/SHARED_CONTRACT_OWNERSHIP.csv,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/SOURCE_OF_TRUTH_MAP.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/TEMPORAL_FIELD_SEMANTICS.csv,ADDED_W08,New W08 temporal/governance/validation artifact
governance/W08_ADAPTIVE_REVIEW.md,ADDED_W08,New W08 temporal/governance/validation artifact
governance/W08_VALIDATION_REPORT.md,ADDED_W08,New W08 temporal/governance/validation artifact
governance/WAVE_LEDGER.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/WAVE_PLAN.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
governance/WAVE_PLAN_REVISIONS.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
provenance/CURRENT_TREE.txt,REGENERATED_W08,Deterministic packaging integrity artifact
provenance/PROJECT_FILE_HASHES.sha256,REGENERATED_W08,Deterministic packaging integrity artifact
provenance/PROJECT_FILE_MANIFEST.csv,REGENERATED_W08,Deterministic packaging integrity artifact
provenance/W08_FILE_CHANGES.csv,ADDED_W08,New W08 temporal/governance/validation artifact
provenance/W08_INPUT_ARTIFACTS.csv,ADDED_W08,New W08 temporal/governance/validation artifact
pyproject.toml,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
schemas/temporal/availability_observation.json,ADDED_W08,New W08 temporal/governance/validation artifact
schemas/temporal/forecast_cutoff.json,ADDED_W08,New W08 temporal/governance/validation artifact
schemas/temporal/market_observation.json,ADDED_W08,New W08 temporal/governance/validation artifact
schemas/temporal/observation.json,ADDED_W08,New W08 temporal/governance/validation artifact
schemas/temporal/regulatory_observation.json,ADDED_W08,New W08 temporal/governance/validation artifact
schemas/temporal/weather_forecast_observation.json,ADDED_W08,New W08 temporal/governance/validation artifact
src/aggie_analytics/__init__.py,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
src/aggie_analytics/temporal/__init__.py,ADDED_W08,New W08 temporal/governance/validation artifact
src/aggie_analytics/temporal/contracts.py,ADDED_W08,New W08 temporal/governance/validation artifact
src/aggie_analytics/temporal/eligibility.py,ADDED_W08,New W08 temporal/governance/validation artifact
tests/test_package_scaffold.py,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
tests/test_temporal_governance.py,ADDED_W08,New W08 temporal/governance/validation artifact
tools/validate_repository.py,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
tools/validate_temporal.py,ADDED_W08,New W08 temporal/governance/validation artifact
